function_address	repair_kind	status	detail
0040AE40	full_eax_return	unchanged	return already has /int
0040BC90	full_eax_return	unchanged	return already has /int
0040D540	full_eax_return	unchanged	return already has /int
0040F270	full_eax_return	unchanged	return already has /int
0040FC40	full_eax_return	unchanged	return already has /int
00416400	full_eax_return	unchanged	return already has /int
0041AF40	full_eax_return	unchanged	return already has /int
0041C710	full_eax_return	unchanged	return already has /int
0041E530	full_eax_return	unchanged	return already has /int
00423220	full_eax_return	unchanged	return already has /int
00424E10	full_eax_return	unchanged	return already has /int
004601F0	full_eax_return	unchanged	return already has /int
00460260	full_eax_return	unchanged	return already has /int
00462180	full_eax_return	unchanged	return already has /int
004658D0	full_eax_return	unchanged	return already has /int
004838E0	full_eax_return	unchanged	return already has /int
00483E30	full_eax_return	unchanged	return already has /int
00483F10	full_eax_return	unchanged	return already has /int
00486B40	full_eax_return	unchanged	return already has /int
0048FA80	full_eax_return	unchanged	return already has /int
00490570	full_eax_return	unchanged	return already has /int
00492550	full_eax_return	unchanged	return already has /int
00492B20	full_eax_return	unchanged	return already has /int
00493CD0	full_eax_return	unchanged	return already has /int
004AB050	full_eax_return	unchanged	return already has /int
004AB070	full_eax_return	unchanged	return already has /int
004AC950	full_eax_return	unchanged	return already has /int
004AD650	full_eax_return	unchanged	return already has /int
004B1120	full_eax_return	unchanged	return already has /int
004B1690	full_eax_return	unchanged	return already has /int
004B7520	full_eax_return	unchanged	return already has /int
004B79C0	full_eax_return	unchanged	return already has /int
004B9D90	full_eax_return	unchanged	return already has /int
004C7860	full_eax_return	unchanged	return already has /int
004C90C0	full_eax_return	unchanged	return already has /int
004D6DF0	full_eax_return	unchanged	return already has /int
004D82B0	full_eax_return	unchanged	return already has /int
004DBB10	full_eax_return	unchanged	return already has /int
004DE410	full_eax_return	unchanged	return already has /int
004E1EB0	full_eax_return	unchanged	return already has /int
004E4180	full_eax_return	unchanged	return already has /int
004E5CC0	full_eax_return	unchanged	return already has /int
004E6C20	full_eax_return	unchanged	return already has /int
004E6FE0	full_eax_return	unchanged	return already has /int
004E7F20	full_eax_return	unchanged	return already has /int
004E91E0	full_eax_return	unchanged	return already has /int
004E9930	full_eax_return	unchanged	return already has /int
004F19D0	full_eax_return	unchanged	return already has /int
005050B0	full_eax_return	unchanged	return already has /int
00525390	full_eax_return	unchanged	return already has /int
00529F90	full_eax_return	unchanged	return already has /int
0055AD00	full_eax_return	unchanged	return already has /int
0055DE60	full_eax_return	unchanged	return already has /int
00561DC0	full_eax_return	unchanged	return already has /int
00562CD0	full_eax_return	unchanged	return already has /int
0056F930	full_eax_return	unchanged	return already has /int
005797B0	full_eax_return	unchanged	return already has /int
005845B0	full_eax_return	unchanged	return already has /int
0058B190	full_eax_return	unchanged	return already has /int
0058CFE0	full_eax_return	unchanged	return already has /int
0058FF70	full_eax_return	unchanged	return already has /int
005DA980	full_eax_return	unchanged	return already has /int
005DAA90	full_eax_return	unchanged	return already has /int
005DDB40	full_eax_return	unchanged	return already has /int
005EC850	full_eax_return	unchanged	return already has /int
005F89F0	full_eax_return	unchanged	return already has /int
005FA180	full_eax_return	unchanged	return already has /int
005FA360	full_eax_return	unchanged	return already has /int
005FD850	full_eax_return	unchanged	return already has /int
00604350	full_eax_return	unchanged	return already has /int
0060CEF0	full_eax_return	unchanged	return already has /int
0060E210	full_eax_return	unchanged	return already has /int
0062FCA0	full_eax_return	unchanged	return already has /int
0062FFD0	full_eax_return	unchanged	return already has /int
00636FC0	full_eax_return	unchanged	return already has /int
0063C510	full_eax_return	unchanged	return already has /int
006460C0	full_eax_return	unchanged	return already has /int
00646E00	full_eax_return	unchanged	return already has /int
00648A30	full_eax_return	unchanged	return already has /int
0064A940	full_eax_return	unchanged	return already has /int
0064E510	full_eax_return	unchanged	return already has /int
0064EA10	full_eax_return	unchanged	return already has /int
0064F000	full_eax_return	unchanged	return already has /int
0064F040	full_eax_return	unchanged	return already has /int
00650760	full_eax_return	unchanged	return already has /int
006507E0	full_eax_return	unchanged	return already has /int
0065E450	full_eax_return	unchanged	return already has /int
0065ED90	full_eax_return	unchanged	return already has /int
00668A70	full_eax_return	unchanged	return already has /int
00668F50	full_eax_return	unchanged	return already has /int
00672440	full_eax_return	unchanged	return already has /int
00673210	full_eax_return	unchanged	return already has /int
006734C0	full_eax_return	unchanged	return already has /int
00675950	full_eax_return	unchanged	return already has /int
00675B10	full_eax_return	unchanged	return already has /int
00676260	full_eax_return	unchanged	return already has /int
006777D0	full_eax_return	unchanged	return already has /int
006785A0	full_eax_return	unchanged	return already has /int
0067EF60	full_eax_return	unchanged	return already has /int
0067FC10	full_eax_return	unchanged	return already has /int
00681F70	full_eax_return	unchanged	return already has /int
00681FE0	full_eax_return	unchanged	return already has /int
00682050	full_eax_return	unchanged	return already has /int
00682FB0	full_eax_return	unchanged	return already has /int
006830F0	full_eax_return	unchanged	return already has /int
006834F0	full_eax_return	unchanged	return already has /int
00683670	full_eax_return	unchanged	return already has /int
0068E290	full_eax_return	unchanged	return already has /int
00693E60	full_eax_return	unchanged	return already has /int
00696400	full_eax_return	unchanged	return already has /int
0069F7F0	full_eax_return	unchanged	return already has /int
006A17B0	full_eax_return	unchanged	return already has /int
006A1BB0	full_eax_return	unchanged	return already has /int
006A20E0	full_eax_return	unchanged	return already has /int
006A55D0	full_eax_return	unchanged	return already has /int
