apply	repair_kind	function_address	expected_function	expected_signature	expected_signature_source	target_kind	target_ordinal	expected_target_name	expected_target_type	expected_target_source	proposed_name	proposed_type	proposed_convention	proposed_varargs	proposed_parameter_types	proposed_parameter_names	proposed_parameter_storages	confidence	evidence
1	full_eax_return	0040AE40	STGroupBoatC::sub_0040AE40	int __thiscall sub_0040AE40(STGroupBoatC * this, uint param_1, char param_2)	ANALYSIS	return	-1	<RETURN>	/int	ANALYSIS		/int		false				high	all observed callers consume full EAX (2), none consume AL/AX, and every RET path defines full EAX; generic void/unsized transport requires at least two callers; sites=0044EE30 @ 00459233 -> read as EAX on every CFG path | 0044EE30 @ 00459381 -> killed on every CFG path | 0045FF50 @ 0045FF8B -> killed on every CFG path | 0046CF20 @ 0046D2C0 -> read as EAX on every CFG path
1	full_eax_return	0040BC90	STGroupBoatC::sub_0040BC90	int __thiscall sub_0040BC90(STGroupBoatC * this, uint param_1, short * param_2, short * param_3, short * param_4, char param_5)	ANALYSIS	return	-1	<RETURN>	/int	ANALYSIS		/int		false				high	all observed callers consume full EAX (5), none consume AL/AX, and every RET path defines full EAX; generic void/unsized transport requires at least two callers; sites=0047FE10 @ 0047FEC4 -> read as EAX; remaining paths kill EAX | 0047FE10 @ 004800C5 -> read as EAX; remaining paths kill EAX | 0048D440 @ 0048D4EF -> read as EAX on every CFG path | 0048D440 @ 0048D51A -> read as EAX on every CFG path | 004A7AF0 @ 004A7B4F -> read as EAX on every CFG path
1	full_eax_return	0040D540	FUN_0040d540	int __stdcall FUN_0040d540(AnonShape_0040D540_1BB7A4CF * param_1, uint param_2)	ANALYSIS	return	-1	<RETURN>	/int	ANALYSIS		/int		false				high	all observed callers consume full EAX (2), none consume AL/AX, and every RET path defines full EAX; generic void/unsized transport requires at least two callers; sites=0045F980 @ 0045FB78 -> read as EAX on every CFG path | 0045FF50 @ 0045FF98 -> read as EAX on every CFG path
1	full_eax_return	0040F270	FUN_0040f270	int __stdcall FUN_0040f270(int * param_1, int * param_2, int * param_3, int param_4, int param_5, int param_6, int param_7, int param_8, int param_9)	ANALYSIS	return	-1	<RETURN>	/int	ANALYSIS		/int		false				high	all observed callers consume full EAX (7), none consume AL/AX, and every RET path defines full EAX; generic void/unsized transport requires at least two callers; sites=0040E0F0 @ 0040E7E0 -> read as EAX on every CFG path | 0040FC40 @ 004108F6 -> read as EAX on every CFG path | 00410DC0 @ 0041109F -> read as EAX on every CFG path | 00411260 @ 004118E6 -> read as EAX on every CFG path | 00411E50 @ 00412416 -> read as EAX on every CFG path | 00412B80 @ 00412CCF -> read as EAX on every CFG path | 00412DE0 @ 00412F32 -> read as EAX on every CFG path
1	full_eax_return	0040FC40	FUN_0040fc40	int __stdcall FUN_0040fc40(int param_1, int param_2, int param_3, int param_4, int param_5, int param_6)	ANALYSIS	return	-1	<RETURN>	/int	ANALYSIS		/int		false				high	all observed callers consume full EAX (3), none consume AL/AX, and every RET path defines full EAX; generic void/unsized transport requires at least two callers; sites=00410DC0 @ 00410DEE -> unknown: terminal before explicit accumulator kill | 00410DC0 @ 00410EB0 -> read as EAX on every CFG path | 00410DC0 @ 00410F54 -> read as EAX on every CFG path | 00410DC0 @ 00410FCA -> read as EAX on every CFG path | 00413AF0 @ 004145E6 -> unknown: terminal before explicit accumulator kill
1	full_eax_return	00416400	FUN_00416400	int __fastcall FUN_00416400(STJellyGunC * param_1)	ANALYSIS	return	-1	<RETURN>	/int	ANALYSIS		/int		false				high	all observed callers consume full EAX (4), none consume AL/AX, and every RET path defines full EAX; generic void/unsized transport requires at least two callers; sites=004189D0 @ 004189EE -> read as EAX on every CFG path | 00419A90 @ 00419B75 -> read as EAX on every CFG path | 0045F980 @ 0045F9A2 -> read as EAX on every CFG path | 0045FD30 @ 0045FE7F -> read as EAX on every CFG path
1	full_eax_return	0041AF40	STGameObjC::GetMessage	int __thiscall GetMessage(STGameObjC * this, STMessage * message)	ANALYSIS	return	-1	<RETURN>	/int	ANALYSIS		/int		false				high	all observed callers consume full EAX (4), none consume AL/AX, and every RET path defines full EAX; generic void/unsized transport requires at least two callers; sites=0041E530 @ 0041E56F -> killed on every CFG path | 00581BF0 @ 00581C2E -> killed on every CFG path | 005FD3A0 @ 005FD3AE -> read as EAX on every CFG path | 00603740 @ 0060377F -> read as EAX on every CFG path | 00608E90 @ 00608E9F -> read as EAX on every CFG path | 0062E740 @ 0062E77E -> read as EAX on every CFG path
1	full_eax_return	0041C710	FUN_0041c710	int __fastcall FUN_0041c710(RecoveredRecordView_0041C710_A35B7121 * param_1)	ANALYSIS	return	-1	<RETURN>	/int	ANALYSIS		/int		false				high	all observed callers consume full EAX (13), none consume AL/AX, and every RET path defines full EAX; generic void/unsized transport requires at least two callers; sites=0044EE30 @ 00459F9B -> read as EAX on every CFG path | 00480600 @ 0048060B -> read as EAX on every CFG path | 004CBAD0 @ 004CBAD4 -> read as EAX on every CFG path | 004D5470 @ 004D5475 -> read as EAX on every CFG path | 00579350 @ 00579401 -> read as EAX on every CFG path | 0057CD70 @ 0057CD79 -> read as EAX on every CFG path | 0057E0A0 @ 0057E6B9 -> read as EAX on every CFG path | 005825C0 @ 005825CB -> read as EAX on every CFG path | 00585020 @ 005850D7 -> read as EAX on every CFG path | 00586AF0 @ 00586BAE -> read as EAX on every CFG path | 0058A9E0 @ 0058AA97 -> read as EAX on every CFG path | 0058BD90 @ 0058BE59 -> read as EAX on every CFG path | 0058E570 @ 0058E57B -> read as EAX on every CFG path
1	full_eax_return	0041E530	STSprGameObjC::GetMessage	int __thiscall GetMessage(STSprGameObjC * this, STMessage * message)	ANALYSIS	return	-1	<RETURN>	/int	ANALYSIS		/int		false				high	all observed callers consume full EAX (9), none consume AL/AX, and every RET path defines full EAX; generic void/unsized transport requires at least two callers; sites=0044EE30 @ 0044EE8A -> killed on every CFG path | 004B9FA0 @ 004B9FEA -> killed on every CFG path | 004D0B90 @ 004D0BCF -> killed on every CFG path | 004D55B0 @ 004D55F2 -> killed on every CFG path | 00571C90 @ 00571C98 -> read as EAX on every CFG path | 00578630 @ 00578691 -> killed on every CFG path | 0057BF60 @ 0057BFBF -> killed on every CFG path | 0057E0A0 @ 0057E0FE -> read as EAX on every CFG path | 00583270 @ 005832DB -> killed on every CFG path | 005859A0 @ 00585A02 -> killed on every CFG path | 00588BC0 @ 00588C30 -> killed on every CFG path | 00589C10 @ 00589C58 -> killed on every CFG path | 0058C760 @ 0058C7C2 -> killed on every CFG path | 0058D7C0 @ 0058D81F -> killed on every CFG path | 005EAF10 @ 005EAF20 -> read as EAX on every CFG path | 005F5F20 @ 005F5F30 -> read as EAX on every CFG path | 005FB640 @ 005FB650 -> read as EAX on every CFG path | 00601F80 @ 00601F90 -> read as EAX on every CFG path | 00621B50 @ 00621B60 -> read as EAX on every CFG path | 00638CA0 @ 00638CAE -> read as EAX on every CFG path | 00639C90 @ 00639C9F -> read as EAX on every CFG path | 006406D0 @ 00640720 -> killed on every CFG path
1	full_eax_return	00423220	FUN_00423220	int __thiscall FUN_00423220(void * this, int * param_1, int param_2)	ANALYSIS	return	-1	<RETURN>	/int	ANALYSIS		/int		false				high	all observed callers consume full EAX (3), none consume AL/AX, and every RET path defines full EAX; generic void/unsized transport requires at least two callers; sites=0065E9A0 @ 0065EA8C -> read as EAX on every CFG path | 0065EB70 @ 0065ECBE -> read as EAX on every CFG path | 00679600 @ 00679877 -> read as EAX on every CFG path
