function_address	function	parameter_ordinal	parameter_name	parameter_type	storage	frame_offset	qualifies	selected	score	direct_reads	scalar_operations	signed_comparisons	unsigned_bounds	pointer_dereferences	slot_reused	evidence
0040F4D0	FUN_0040f4d0	0	param_1	pointer:/undefined4	Stack[0x4]:4	0x4	0	0	0	0	0	0	0	0	0	-
0040F4D0	FUN_0040f4d0	0	param_1	pointer:/undefined4	Stack[0x4]:4	0x8	0	0	708	7	8	0	0	0	0	0040F548 incoming load: MOV ESI,dword ptr [EBP + 0x8] | 0040F5AA incoming load: MOV EDX,dword ptr [EBP + 0x8] | 0040F5AD scalar operation: SUB EDX,EBX | 0040F5F2 incoming load: MOV EDX,dword ptr [EBP + 0x8] | 0040F5F5 scalar operation: SUB EDX,EBX | 0040F637 incoming load: MOV EDX,dword ptr [EBP + 0x8] | 0040F63A scalar operation: LEA EDI,[EAX + EDX*0x1] | 0040F642 scalar operation: SUB EDI,EDX | 0040F6AD incoming load: MOV EAX,dword ptr [EBP + 0x8] | 0040F6B0 scalar operation: SUB EAX,EBX | 0040F6F2 incoming load: MOV EAX,dword ptr [EBP + 0x8] | 0040F6F5 scalar operation: SUB EAX,EBX | 0040F733 incoming load: MOV EDI,dword ptr [EBP + 0x8] | 0040F736 scalar operation: LEA ESI,[ECX + EDI*0x1] | 0040F73D scalar operation: SUB EDX,EDI
00413170	FUN_00413170	4	param_5	pointer:/undefined4	Stack[0x14]:4	0x14	0	0	1121	1	1	1	0	0	1	00413185 incoming load: MOV ECX,dword ptr [EBP + 0x14] | 004131AA scalar operation: LEA ECX,[EBX + 0x3] | 004131F0 first slot write: MOV dword ptr [EBP + 0x14],EDI
00413170	FUN_00413170	4	param_5	pointer:/undefined4	Stack[0x14]:4	0x18	0	0	200	2	0	0	0	2	0	00413176 incoming load: MOV EAX,dword ptr [EBP + 0x18] | 0041317C pointer-like dereference: MOV EBX,dword ptr [EAX] | 00413620 incoming load: MOV EDX,dword ptr [EBP + 0x18] | 00413627 pointer-like dereference: MOV dword ptr [EDX],EBX
00413AF0	FUN_00413af0	0	param_1	pointer:/void	Stack[0x4]:4	0x4	0	0	0	0	0	0	0	0	0	-
00413AF0	FUN_00413af0	0	param_1	pointer:/void	Stack[0x4]:4	0x8	0	0	100	1	0	0	0	45	0	00413B70 incoming load: MOV EBX,dword ptr [EBP + 0x8] | 00413B73 pointer-like dereference: MOV AX,word ptr [EBX + 0x27] | 00413C2E pointer-like dereference: MOV CX,word ptr [EBX + 0x27] | 00413C3E pointer-like dereference: MOV EDX,dword ptr [EBX + 0x29] | 00413C56 pointer-like dereference: MOV ECX,dword ptr [EBX + 0x29] | 00413D7C pointer-like dereference: MOV AX,word ptr [EBX + 0x27] | 00413DB1 pointer-like dereference: MOV EAX,dword ptr [EBX + 0x4d] | 00413DCB pointer-like dereference: CMP word ptr [EBX + 0x27],SI | 00413F98 pointer-like dereference: MOV CX,word ptr [EBX + 0x27] | 00413FB1 pointer-like dereference: CMP word ptr [EBX + 0x27],SI | 004140D4 pointer-like dereference: MOV EDX,dword ptr [EBX + 0x59] | 00414128 pointer-like dereference: MOV AX,word ptr [EBX + 0x27] | 00414145 pointer-like dereference: MOV AX,word ptr [EBX + 0x27] | 00414167 pointer-like dereference: MOV AX,word ptr [EBX + 0x27] | 00414185 pointer-like dereference: MOV AX,word ptr [EBX + 0x27] | 00414246 pointer-like dereference: CMP dword ptr [EBX + 0x4d],-0x3
00415ED0	STJellyGunC::sub_00415ED0	1	param_1	pointer:/undefined4	Stack[0x4]:4	0x4	0	0	0	0	0	0	0	0	0	-
00415ED0	STJellyGunC::sub_00415ED0	1	param_1	pointer:/undefined4	Stack[0x4]:4	0x8	0	0	300	3	0	0	0	3	0	00415F44 incoming load: MOV ECX,dword ptr [EBP + 0x8] | 00415F47 pointer-like dereference: MOV dword ptr [ECX],0x1 | 004160DA incoming load: MOV EDX,dword ptr [EBP + 0x8] | 004160DD pointer-like dereference: MOV dword ptr [EDX],0x1 | 004160E5 incoming load: MOV EAX,dword ptr [EBP + 0x8] | 004160E8 pointer-like dereference: MOV dword ptr [EAX],0x0
00416270	FUN_00416270	1	param_1	pointer:/undefined2	Stack[0x4]:4	0x4	0	0	0	0	0	0	0	0	0	-
00416270	FUN_00416270	1	param_1	pointer:/undefined2	Stack[0x4]:4	0x8	0	0	100	1	0	0	0	1	0	00416273 incoming load: MOV EDX,dword ptr [EBP + 0x8] | 0041627A pointer-like dereference: MOV word ptr [EDX],AX
