severity	phase	scope	subject	check	baseline	candidate	baseline_sha256	candidate_sha256	status	detail
info	accepted-refresh	global	class-vptrs	class_vptr_regressions	96	0			ok	Compared every accepted class vptr; existing accepted dispatch vptrs are allowed
info	accepted-refresh	global	accepted-vtables	accepted_slot_abi	2737	0			ok	mismatched=0; erased=0
info	accepted-refresh	fixture	group_boat_message_dispatch	boundary	calling_convention=__thiscall parameter_count=2 return_type=int parameters=STGroupBoatC *;STMessage * varargs=false noreturn=false	calling_convention=__thiscall parameter_count=2 return_type=int parameters=STGroupBoatC *;STMessage * varargs=false noreturn=false			ok	Protect duplicated-receiver and narrow virtual-return regressions in a high-fanout message handler
info	accepted-refresh	fixture	group_boat_message_dispatch	token:extraout_	0	0			ok	Protect duplicated-receiver and narrow virtual-return regressions in a high-fanout message handler
info	accepted-refresh	fixture	group_boat_message_dispatch	token:in_stack_	0	0			ok	Protect duplicated-receiver and narrow virtual-return regressions in a high-fanout message handler
info	accepted-refresh	fixture	group_boat_message_dispatch	token:unaff_	0	0			ok	Protect duplicated-receiver and narrow virtual-return regressions in a high-fanout message handler
info	accepted-refresh	fixture	group_boat_message_dispatch	token:CONCAT31(	0	0			ok	Protect duplicated-receiver and narrow virtual-return regressions in a high-fanout message handler
info	accepted-refresh	fixture	boat_bring_virtual_return	boundary	calling_convention=__thiscall parameter_count=2 return_type=undefined4 parameters=STBoatC *;STBoatC * varargs=false noreturn=false	calling_convention=__thiscall parameter_count=2 return_type=undefined4 parameters=STBoatC *;STBoatC * varargs=false noreturn=false			ok	Protect the accepted full-word slot F8 return and its callers
info	accepted-refresh	fixture	boat_bring_virtual_return	token:extraout_	0	0			ok	Protect the accepted full-word slot F8 return and its callers
info	accepted-refresh	fixture	boat_bring_virtual_return	token:in_stack_	0	0			ok	Protect the accepted full-word slot F8 return and its callers
info	accepted-refresh	fixture	boat_bring_virtual_return	token:unaff_	0	0			ok	Protect the accepted full-word slot F8 return and its callers
info	accepted-refresh	fixture	boat_bring_virtual_return	token:CONCAT31(	0	0			ok	Protect the accepted full-word slot F8 return and its callers
info	accepted-refresh	fixture	base_virtual_slot_returns	boundary	calling_convention=__fastcall parameter_count=1 return_type=undefined parameters=STSprGameObjC * varargs=false noreturn=false	calling_convention=__fastcall parameter_count=1 return_type=undefined parameters=STSprGameObjC * varargs=false noreturn=false			ok	Protect accepted slot 0C and 7C return widths
info	accepted-refresh	fixture	base_virtual_slot_returns	token:extraout_	0	0			ok	Protect accepted slot 0C and 7C return widths
info	accepted-refresh	fixture	base_virtual_slot_returns	token:in_stack_	0	0			ok	Protect accepted slot 0C and 7C return widths
info	accepted-refresh	fixture	base_virtual_slot_returns	token:unaff_	0	0			ok	Protect accepted slot 0C and 7C return widths
info	accepted-refresh	fixture	base_virtual_slot_returns	token:CONCAT31(	0	0			ok	Protect accepted slot 0C and 7C return widths
info	accepted-refresh	fixture	virtual_stack_arguments	boundary	calling_convention=__fastcall parameter_count=1 return_type=undefined4 parameters=TLOBaseTy * varargs=false noreturn=false	calling_convention=__fastcall parameter_count=1 return_type=undefined4 parameters=TLOBaseTy * varargs=false noreturn=false			ok	Detect loss of the final explicit stack argument on virtual calls
info	accepted-refresh	fixture	virtual_stack_arguments	token:extraout_	0	0			ok	Detect loss of the final explicit stack argument on virtual calls
info	accepted-refresh	fixture	virtual_stack_arguments	token:in_stack_	0	0			ok	Detect loss of the final explicit stack argument on virtual calls
info	accepted-refresh	fixture	virtual_stack_arguments	token:unaff_	0	0			ok	Detect loss of the final explicit stack argument on virtual calls
info	accepted-refresh	fixture	virtual_stack_arguments	token:CONCAT31(	0	0			ok	Detect loss of the final explicit stack argument on virtual calls
info	accepted-refresh	fixture	virtual_stack_liveins	boundary	calling_convention=__fastcall parameter_count=1 return_type=undefined4 parameters=TLOBaseTy * varargs=false noreturn=false	calling_convention=__fastcall parameter_count=1 return_type=undefined4 parameters=TLOBaseTy * varargs=false noreturn=false			ok	Detect virtual arguments escaping into synthetic incoming stack inputs
info	accepted-refresh	fixture	virtual_stack_liveins	token:extraout_	0	0			ok	Detect virtual arguments escaping into synthetic incoming stack inputs
