apply	action	function_address	function_name	call_address	target_address	target_name	expected_override	proposed_return_type	confidence	evidence
1	apply	0040AE40	STGroupBoatC::sub_0040AE40	0040AFED	006AAC70	Library::DKW::LIB::MemAlloc	none	pointer:/short	high	one exact direct CALL result reaches only the concrete pointer view pointer:/short through COPY/CAST/INDIRECT; consumer anchors=[0040AFED:typed-boundary-before-reused-lifetime, 0040AFFC, 0040AFFC:typed-store]; transport callee ABI pointer:/void is retained
1	apply	0040AE40	STGroupBoatC::sub_0040AE40	0040B48E	006AAC70	Library::DKW::LIB::MemAlloc	none	pointer:/short	high	one exact direct CALL result reaches only the concrete pointer view pointer:/short through COPY/CAST/INDIRECT; consumer anchors=[0040B48E:typed-boundary-before-reused-lifetime, 0040B49D, 0040B49D:typed-store]; transport callee ABI pointer:/void is retained
1	apply	0040BC90	STGroupBoatC::sub_0040BC90	0040BCA0	0040286F	STGroupBoatC::sub_00423E70	none	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredRecord_STBoatC_0040AE40	high	one exact direct CALL result reaches only the concrete pointer view pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredRecord_STBoatC_0040AE40 through COPY/CAST/INDIRECT; consumer anchors=[0040BCA7:null-test, 0040BD0A:load-base, 0040BD1B:load-base, 0040BD2E:load-base, 0040BDD6, 0040BDD6:typed-argument, 0040BE22:load-base, 0040BE2D:load-base, 0040BE43:load-base, 0040BE9C:load-base, 0040BEA5:load-base, 0040BEAB:load-base, 0040BEE6:load-base, 0040BEEA:load-base, 0040BEEE:load-base, 0040BF4C:load-base, 0040BF57:load-base, 0040BF67:load-base]; transport callee ABI pointer:/STGameObjC is retained
1	apply	0040C080	FUN_0040c080	0040C0C0	006AAC70	Library::DKW::LIB::MemAlloc	none	pointer:/undefined4	high	one exact direct CALL result reaches only the concrete pointer view pointer:/undefined4 through COPY/CAST/INDIRECT; consumer anchors=[0040C0C0:machine-call-boundary, 0040C0C5:store-base]; transport callee ABI pointer:/void is retained
1	apply	0040D540	FUN_0040d540	0040DE0F	006AAC10	Library::DKW::LIB::MemAllocClear	none	pointer:/ushort	high	one exact direct CALL result reaches only the concrete pointer view pointer:/ushort through COPY/CAST/INDIRECT; consumer anchors=[0040DE14:null-test, 0040DE16:typed-store, 0040DE3A:store-base]; transport callee ABI pointer:/void is retained
1	apply	00411260	FUN_00411260	0041139D	006AAC70	Library::DKW::LIB::MemAlloc	none	pointer:/char	high	one exact direct CALL result reaches only the concrete pointer view pointer:/char through COPY/CAST/INDIRECT; consumer anchors=[0041139D:machine-call-boundary, 004113A9, 004113FE]; transport callee ABI pointer:/void is retained
1	apply	00411260	FUN_00411260	004119E5	006ACF50	Library::DKW::LIB::MemRealloc	none	pointer:/char	high	one exact direct CALL result reaches only the concrete pointer view pointer:/char through COPY/CAST/INDIRECT; consumer anchors=[004119E5:machine-call-boundary, 004119EF]; transport callee ABI pointer:/void is retained
1	apply	00411E50	FUN_00411e50	00411FA9	006AAC70	Library::DKW::LIB::MemAlloc	none	pointer:/char	high	one exact direct CALL result reaches only the concrete pointer view pointer:/char through COPY/CAST/INDIRECT; consumer anchors=[00411FA9:machine-call-boundary, 00411FB3]; transport callee ABI pointer:/void is retained
1	apply	00411E50	FUN_00411e50	00412627	006ACF50	Library::DKW::LIB::MemRealloc	none	pointer:/char	high	one exact direct CALL result reaches only the concrete pointer view pointer:/char through COPY/CAST/INDIRECT; consumer anchors=[00412627:machine-call-boundary, 00412631]; transport callee ABI pointer:/void is retained
1	apply	004137F0	FUN_004137f0	004138A8	006AAC70	Library::DKW::LIB::MemAlloc	none	pointer:/SubmarineTitans/Recovered/PointerShapes/AnonNested_AnonShape_004137F0_350C8AE0_0059_F07A8D99	high	one exact direct CALL result reaches only the concrete pointer view pointer:/SubmarineTitans/Recovered/PointerShapes/AnonNested_AnonShape_004137F0_350C8AE0_0059_F07A8D99 through COPY/CAST/INDIRECT; consumer anchors=[004138A8:typed-boundary-before-reused-lifetime, 004138B0:typed-store, 004138B6:store-base]; transport callee ABI pointer:/void is retained
