function_address	function_name	call_address	slot_offset	stack_parameter_count	last_ecx_assignment	receiver_register	exact_unadjusted_receiver	physical_vtable_paths	receiver_paths	physical_owners	caller_owner	machine_return	classification
00418030	SubmarineTitans::Recovered::HiddenThis::AnonReceiver_004167A0::FUN_00418030	00418768	16	6	EBX	EBX	1	/SubmarineTitans/Recovered/VTables/STBoatCVTable		/STBoatC		/undefined4	physical_vtable
004189D0	STGameObjC::MoveStep	00418A2B	24	3	ESI	ESI	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable	/STGameObjC	/STGameObjC	STGameObjC	/undefined4	physical_vtable
00419BF0	FUN_00419bf0	00419C09	32	0	ESI	ESI	1					/void	unresolved_object_dispatch
00419DF0	STGameObjC::SetSelfCheckFlag	0041A060	48	1	EBX	EBX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable		/STGameObjC	STGameObjC	/void	physical_vtable
00419DF0	STGameObjC::SetSelfCheckFlag	0041A083	52	1	EBX	EBX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable		/STGameObjC	STGameObjC	/void	physical_vtable
00419DF0	STGameObjC::SetSelfCheckFlag	0041A13E	64	1	EBX	EBX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable		/STGameObjC	STGameObjC	/void	physical_vtable
00419DF0	STGameObjC::SetSelfCheckFlag	0041A19D	76	1	EBX	EBX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable		/STGameObjC	STGameObjC	/void	physical_vtable
00419DF0	STGameObjC::SetSelfCheckFlag	0041A1DB	88	1	EBX	EBX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable		/STGameObjC	STGameObjC	/void	physical_vtable
00419DF0	STGameObjC::SetSelfCheckFlag	0041A20D	96	1	EBX	EBX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable		/STGameObjC	STGameObjC	/undefined4	physical_vtable
00419DF0	STGameObjC::SetSelfCheckFlag	0041A23F	88	1	EBX	EBX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable		/STGameObjC	STGameObjC	/void	physical_vtable
00419DF0	STGameObjC::SetSelfCheckFlag	0041A271	100	1	EBX	EBX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable		/STGameObjC	STGameObjC	/void	physical_vtable
00419DF0	STGameObjC::SetSelfCheckFlag	0041A30A	56	1	EBX	EBX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable		/STGameObjC	STGameObjC	/void	physical_vtable
00419DF0	STGameObjC::SetSelfCheckFlag	0041A385	60	1	EBX	EBX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable		/STGameObjC	STGameObjC	/void	physical_vtable
00419DF0	STGameObjC::SetSelfCheckFlag	0041A3D3	68	1	EBX	EBX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable		/STGameObjC	STGameObjC	/void	physical_vtable
00419DF0	STGameObjC::SetSelfCheckFlag	0041A3F5	72	1	EBX	EBX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable		/STGameObjC	STGameObjC	/void	physical_vtable
00419DF0	STGameObjC::SetSelfCheckFlag	0041A453	80	1	EBX	EBX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable		/STGameObjC	STGameObjC	/void	physical_vtable
00419DF0	STGameObjC::SetSelfCheckFlag	0041A46A	84	1	EBX	EBX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable		/STGameObjC	STGameObjC	/void	physical_vtable
00419DF0	STGameObjC::SetSelfCheckFlag	0041A494	92	1	EBX	EBX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable		/STGameObjC	STGameObjC	/void	physical_vtable
0041AF40	STGameObjC::GetMessage	0041B004	204	0	EBX	EBX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable	/STGameObjC	/STGameObjC	STGameObjC	/void	physical_vtable
0041AF40	STGameObjC::GetMessage	0041B033	208	0	EBX	EBX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable	/STGameObjC	/STGameObjC	STGameObjC		physical_vtable
0041AF40	STGameObjC::GetMessage	0041B0A6	48	1	EBX	EBX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable		/STGameObjC	STGameObjC		physical_vtable
0041AF40	STGameObjC::GetMessage	0041B148	52	1	EBX	EBX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable		/STGameObjC	STGameObjC	/void	physical_vtable
0041AF40	STGameObjC::GetMessage	0041B20B	64	1	EBX	EBX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable		/STGameObjC	STGameObjC	/undefined4	physical_vtable
0041AF40	STGameObjC::GetMessage	0041B3F8	76	1	EBX	EBX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable		/STGameObjC	STGameObjC	/void	physical_vtable
0041AF40	STGameObjC::GetMessage	0041B46D	88	1	EBX	EBX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable		/STGameObjC	STGameObjC	/void	physical_vtable
0041AF40	STGameObjC::GetMessage	0041B4DE	96	1	EBX	EBX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable		/STGameObjC	STGameObjC	/void	physical_vtable
0041AF40	STGameObjC::GetMessage	0041B547	48	1	EBX	EBX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable		/STGameObjC	STGameObjC	/void	physical_vtable
0041AF40	STGameObjC::GetMessage	0041B5A7	52	1	EBX	EBX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable		/STGameObjC	STGameObjC	/void	physical_vtable
0041AF40	STGameObjC::GetMessage	0041B604	88	1	EBX	EBX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable		/STGameObjC	STGameObjC	/void	physical_vtable
0041AF40	STGameObjC::GetMessage	0041B675	100	1	EBX	EBX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable		/STGameObjC	STGameObjC	/void	physical_vtable
0041AF40	STGameObjC::GetMessage	0041B726	52	1	EBX	EBX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable		/STGameObjC	STGameObjC	/void	physical_vtable
0041AF40	STGameObjC::GetMessage	0041B787	48	1	EBX	EBX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable		/STGameObjC	STGameObjC	/void	physical_vtable
0041AF40	STGameObjC::GetMessage	0041B7E3	52	1	EBX	EBX	1	/SubmarineTitans/Recovered/VTables/STGameObjCVTable		/STGameObjC	STGameObjC	/void	physical_vtable
