apply	shape_id	receiver_type_path	vtable_type_path	receiver_length	vtable_length	site_count	slot_count	confidence	reason
0	CallableReceiver_00419BF0_P0	/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_00419BF0_P0	/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_00419BF0_P0VTable	246	36	1	1	review	receiver family is not dense enough for a persistent structural view; sites=1; slots=1; exact_extent=246
0	CallableReceiver_0041CF50_P0	/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_0041CF50_P0	/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_0041CF50_P0VTable	263	12	1	1	review	receiver family is not dense enough for a persistent structural view; concrete parameter type preserved; sites=1; slots=1; exact_extent=263
0	CallableReceiver_0041D100_P0	/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_0041D100_P0	/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_0041D100_P0VTable	267	12	1	1	review	receiver family is not dense enough for a persistent structural view; concrete parameter type preserved; sites=1; slots=1; exact_extent=267
0	CallableReceiver_0041D4F0_P0	/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_0041D4F0_P0	/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_0041D4F0_P0VTable	275	12	1	1	review	receiver family is not dense enough for a persistent structural view; concrete parameter type preserved; sites=1; slots=1; exact_extent=275
0	CallableReceiver_0041F630_P0	/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_0041F630_P0	/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_0041F630_P0VTable	555	112	1	1	review	receiver family is not dense enough for a persistent structural view; concrete parameter type preserved; sites=1; slots=1; exact_extent=555
0	CallableReceiver_00435930_P2	/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_00435930_P2	/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_00435930_P2VTable	38	240	2	1	review	receiver family is not dense enough for a persistent structural view; concrete parameter type preserved; sites=2; slots=1; exact_extent=38
0	CallableReceiver_00440860_P2	/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_00440860_P2	/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_00440860_P2VTable	4	20	2	2	review	receiver family is not dense enough for a persistent structural view; no exact non-vptr receiver extent was recovered; parameter storage is overwritten and has multiple compiler lifetimes; sites=2; slots=2; exact_extent=4
0	CallableReceiver_00440990_P2	/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_00440990_P2	/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_00440990_P2VTable	4	24	2	2	review	receiver family is not dense enough for a persistent structural view; no exact non-vptr receiver extent was recovered; parameter storage is overwritten and has multiple compiler lifetimes; sites=2; slots=2; exact_extent=4
0	CallableReceiver_00449B60_P1	/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_00449B60_P1	/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_00449B60_P1VTable	26	4	1	1	review	receiver family is not dense enough for a persistent structural view; sites=1; slots=1; exact_extent=26
0	CallableReceiver_00474810_P1	/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_00474810_P1	/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_00474810_P1VTable	26	176	1	1	review	receiver family is not dense enough for a persistent structural view; sites=1; slots=1; exact_extent=26
0	CallableReceiver_0047DF00_P1	/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_0047DF00_P1	/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_0047DF00_P1VTable	1202	48	1	1	review	receiver family is not dense enough for a persistent structural view; parameter storage is overwritten and has multiple compiler lifetimes; concrete parameter type preserved; sites=1; slots=1; exact_extent=1202
0	CallableReceiver_00483300_P0	/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_00483300_P0	/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_00483300_P0VTable	2070	20	1	1	review	receiver family is not dense enough for a persistent structural view; sites=1; slots=1; exact_extent=2070
0	CallableReceiver_004836C0_P0	/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_004836C0_P0	/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_004836C0_P0VTable	2054	20	1	1	review	receiver family is not dense enough for a persistent structural view; concrete parameter type preserved; sites=1; slots=1; exact_extent=2054
0	CallableReceiver_004845E0_P2	/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_004845E0_P2	/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_004845E0_P2VTable	1844	268	4	3	review	receiver family is not dense enough for a persistent structural view; parameter storage is overwritten and has multiple compiler lifetimes; concrete parameter type preserved; sites=4; slots=3; exact_extent=1844
0	CallableReceiver_00491600_P0	/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_00491600_P0	/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_00491600_P0VTable	1474	260	1	1	review	receiver family is not dense enough for a persistent structural view; a slot argument carries an unresolved incoming register ABI; concrete parameter type preserved; sites=1; slots=1; exact_extent=1474
0	CallableReceiver_00493110_P1	/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_00493110_P1	/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_00493110_P1VTable	495	48	1	1	review	receiver family is not dense enough for a persistent structural view; concrete parameter type preserved; sites=1; slots=1; exact_extent=495
1	CallableReceiver_00493D10_P0	/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_00493D10_P0	/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_00493D10_P0VTable	1785	148	41	1	high	exact unadjusted parameter receiver at every retained CALLIND; dense function-local table family; sites=41; slots=1; exact_extent=1785
0	CallableReceiver_004B31C0_P0	/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_004B31C0_P0	/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_004B31C0_P0VTable	1234	48	4	1	review	receiver family is not dense enough for a persistent structural view; concrete parameter type preserved; sites=4; slots=1; exact_extent=1234
0	CallableReceiver_004B7D90_P0	/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_004B7D90_P0	/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_004B7D90_P0VTable	1234	148	1	1	review	receiver family is not dense enough for a persistent structural view; sites=1; slots=1; exact_extent=1234
0	CallableReceiver_004B7DE0_P0	/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_004B7DE0_P0	/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_004B7DE0_P0VTable	1234	148	1	1	review	receiver family is not dense enough for a persistent structural view; sites=1; slots=1; exact_extent=1234
0	CallableReceiver_004C21A0_P2	/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_004C21A0_P2	/SubmarineTitans/Recovered/PointerShapes/CallableReceivers/CallableReceiver_004C21A0_P2VTable	38	240	7	2	review	receiver family is not dense enough for a persistent structural view; sites=7; slots=2; exact_extent=38
