target_address	target_function	callable_entry	callable_function	via_thunk	call_address	caller_address	caller_function	call_instruction	ecx_mode	ecx_evidence	pushes_in_window	stack_reservation	caller_cleanup_bytes	backward_boundary
0040103C	thunk_FUN_00590130	0040103C	thunk_FUN_00590130	0	004CD0BD	004CCC10	FUN_004ccc10	CALL 0x0040103c	pointer_setup	004CD0B2: MOV ECX,dword ptr [EBP + 0xc]	2	0	0	control_flow_boundary
0040104B	thunk_FUN_005797b0	0040104B	thunk_FUN_005797b0	0	00578C35	00578630	STCrabC::GetMessage	CALL 0x0040104b	pointer_setup	00578C33: MOV ECX,EBX	3	0	0	control_flow_boundary
0040104B	thunk_FUN_005797b0	0040104B	thunk_FUN_005797b0	0	00579594	00579350	FUN_00579350	CALL 0x0040104b	pointer_setup	00579592: MOV ECX,ESI	3	0	0	control_flow_boundary
0040108C	thunk_FUN_006270e0	0040108C	thunk_FUN_006270e0	0	00436FB0	00436F20	STAllPlayersC::CmdToPlsObj	CALL 0x0040108c	pointer_setup	00436FAE: MOV ECX,EAX	2	0	0	control_flow_boundary
0040108C	thunk_FUN_006270e0	0040108C	thunk_FUN_006270e0	0	00436FD7	00436F20	STAllPlayersC::CmdToPlsObj	CALL 0x0040108c	pointer_setup	00436FD5: MOV ECX,EAX	2	0	0	control_flow_boundary
004010DC	thunk_FUN_006799b0	004010DC	thunk_FUN_006799b0	0	0067CCA3	0067C7E0	AiPlrClassTy::GetMessage	CALL 0x004010dc	pointer_setup	0067CCA1: MOV ECX,EBX	1	0	0	control_flow_boundary
004010E6	thunk_FUN_0056a2a0	004010E6	thunk_FUN_0056a2a0	0	00566A1F	00566970	SoundManagerTy::sub_00566970	CALL 0x004010e6	scalar_setup	00566A18: MOV ECX,0x807658	2	0	0	previous_call
004010FA	thunk_FUN_00697cf0	004010FA	thunk_FUN_00697cf0	0	006955D6	006952B0	CGenerate::FUN_006952b0	CALL 0x004010fa	pointer_setup	006955D4: MOV ECX,EBX	2	0	0	previous_call
00401122	thunk_FUN_004dbb60	00401122	thunk_FUN_004dbb60	0	004BCC4C	004B9FA0	TLOBaseTy::GetMessage	CALL 0x00401122	pointer_setup	004BCC4A: MOV ECX,EBX	2	0	0	control_flow_boundary
0040115E	thunk_FUN_005800e0	0040115E	thunk_FUN_005800e0	0	0064E2C9	0064E290	FUN_0064e290	CALL 0x0040115e	pointer_setup	0064E2C7: MOV ECX,EBX	1	0	0	control_flow_boundary
004011A4	thunk_FUN_0055b9f0	004011A4	thunk_FUN_0055b9f0	0	0055BC38	0055BBC0	VisibleClassTy::sub_0055BBC0	CALL 0x004011a4	pointer_setup	0055BC30: MOV ECX,ESI	1	0	0	control_flow_boundary
004011F4	thunk_FUN_00494160	004011F4	thunk_FUN_00494160	0	004A8738	004A8690	STGroupBoatC::GenSwitch	CALL 0x004011f4	pointer_setup	004A8736: MOV ECX,ESI	1	0	0	control_flow_boundary
004011F9	thunk_FUN_00617c30	004011F9	thunk_FUN_00617c30	0	00617D7F	00617CA0	FUN_00617ca0	CALL 0x004011f9	pointer_setup	00617D7D: MOV ECX,ESI	2	0	0	control_flow_boundary
00401212	thunk_FUN_0056a8d0	00401212	thunk_FUN_0056a8d0	0	00577BD8	005776D0	GameSystemC::GetMessage	CALL 0x00401212	scalar_setup	00577BD3: MOV ECX,0x807620	3	0	0	control_flow_boundary
