apply	address	function	current_signature	current_calling_convention	signature_source	calls	direct_calls	thunk_calls	ecx_pointer_setup	ecx_scalar_setup	ecx_live_prior	ecx_unknown	caller_cleanup_calls	caller_cleanup_bytes	callee_ret_pop_bytes	expected_stack_bytes	incoming_ecx_used	exact_stack_argument_calls	classification	suggested_calling_convention	confidence	reason	error
0	0040103C	thunk_FUN_00590130	undefined __thiscall thunk_FUN_00590130(void * this, undefined4 param_1)	__thiscall	ANALYSIS	1	1	0	1	0	0	0	0			4	0	0	thiscall_supported	__thiscall	medium	ECX is explicitly prepared at observed callsite	-
0	0040104B	thunk_FUN_005797b0	int __thiscall thunk_FUN_005797b0(void * this, short * param_1, short * param_2, undefined2 * param_3)	__thiscall	ANALYSIS	2	2	0	2	0	0	0	0			12	0	2	thiscall_supported	__thiscall	high	2 callsites explicitly load ECX; no caller stack cleanup observed	-
0	0040108C	thunk_FUN_006270e0	void __thiscall thunk_FUN_006270e0(void * this, int param_1, RecoveredRecord_006270E0_AA70B55C * param_2)	__thiscall	ANALYSIS	2	2	0	2	0	0	0	0			8	0	2	thiscall_supported	__thiscall	high	2 callsites explicitly load ECX; no caller stack cleanup observed	-
0	004010DC	thunk_FUN_006799b0	undefined __thiscall thunk_FUN_006799b0(void * this, uint param_1)	__thiscall	ANALYSIS	1	1	0	1	0	0	0	0			4	0	1	thiscall_supported	__thiscall	medium	ECX is explicitly prepared at observed callsite	-
0	004010E6	thunk_FUN_0056a2a0	undefined4 __thiscall thunk_FUN_0056a2a0(void * this, cMf32 * param_1, char * param_2, int param_3, undefined4 * param_4)	__thiscall	ANALYSIS	1	1	0	0	1	0	0	0			16	0	0	ecx_is_not_receiver_candidate		review	1 callsites place an immediate/zero value in ECX	-
0	004010FA	thunk_FUN_00697cf0	undefined __thiscall thunk_FUN_00697cf0(void * this, int param_1, int param_2)	__thiscall	ANALYSIS	1	1	0	1	0	0	0	0			8	0	1	thiscall_supported	__thiscall	medium	ECX is explicitly prepared at observed callsite	-
0	00401122	thunk_FUN_004dbb60	undefined4 __thiscall thunk_FUN_004dbb60(void * this, int * param_1, int param_2)	__thiscall	ANALYSIS	1	1	0	1	0	0	0	0			8	0	1	thiscall_supported	__thiscall	medium	ECX is explicitly prepared at observed callsite	-
0	0040114F	thunk_FUN_0055d630	undefined __thiscall thunk_FUN_0055d630(void * this, undefined4 param_1, int param_2, undefined4 param_3)	__thiscall	ANALYSIS	0	0	0	0	0	0	0	0			12	1	0	unreferenced		review	no direct call reference to function or thunk entry	-
0	0040115E	thunk_FUN_005800e0	undefined __thiscall thunk_FUN_005800e0(void * this, int param_1)	__thiscall	ANALYSIS	1	1	0	1	0	0	0	0			4	0	1	thiscall_supported	__thiscall	medium	ECX is explicitly prepared at observed callsite	-
0	004011A4	thunk_FUN_0055b9f0	uint __thiscall thunk_FUN_0055b9f0(void * this, RecoveredRecord_VisibleClassTy_0055B9F0 * param_1)	__thiscall	ANALYSIS	1	1	0	1	0	0	0	0			4	0	1	thiscall_supported	__thiscall	medium	ECX is explicitly prepared at observed callsite	-
0	004011F4	thunk_FUN_00494160	undefined __thiscall thunk_FUN_00494160(void * this, int param_1)	__thiscall	ANALYSIS	1	1	0	1	0	0	0	0			4	0	1	thiscall_supported	__thiscall	medium	ECX is explicitly prepared at observed callsite	-
0	004011F9	thunk_FUN_00617c30	undefined4 __thiscall thunk_FUN_00617c30(void * this, int param_1, int param_2)	__thiscall	ANALYSIS	1	1	0	1	0	0	0	0			8	0	1	thiscall_supported	__thiscall	medium	ECX is explicitly prepared at observed callsite	-
0	00401212	thunk_FUN_0056a8d0	void __thiscall thunk_FUN_0056a8d0(void * this, byte param_1, byte param_2, char param_3)	__thiscall	ANALYSIS	10	10	0	0	10	0	0	0			12	0	10	ecx_is_not_receiver_candidate		review	10 callsites place an immediate/zero value in ECX	-
0	0040122B	thunk_FUN_00617ca0	int __thiscall thunk_FUN_00617ca0(void * this, int * param_1, int * param_2, undefined4 * param_3, int * param_4, int * param_5, int * param_6, uint param_7)	__thiscall	ANALYSIS	1	1	0	1	0	0	0	0			28	0	1	thiscall_supported	__thiscall	medium	ECX is explicitly prepared at observed callsite	-
0	00401235	thunk_FUN_00495750	int __thiscall thunk_FUN_00495750(void * this, STMessage * message)	__thiscall	ANALYSIS	0	0	0	0	0	0	0	0			4	1	0	unreferenced		review	no direct call reference to function or thunk entry	-
0	00401258	thunk_FUN_004602e0	undefined __thiscall thunk_FUN_004602e0(void * this, int param_1)	__thiscall	ANALYSIS	2	2	0	2	0	0	0	0			4	0	2	thiscall_supported	__thiscall	high	2 callsites explicitly load ECX; no caller stack cleanup observed	-
0	0040127B	thunk_FUN_0060ea30	undefined4 __thiscall thunk_FUN_0060ea30(void * this, RecoveredRecordView_0060EA30_C6688588 * param_1)	__thiscall	ANALYSIS	0	0	0	0	0	0	0	0			4	1	0	unreferenced		review	no direct call reference to function or thunk entry	-
0	0040128F	thunk_FUN_005822b0	undefined __thiscall thunk_FUN_005822b0(void * this, undefined4 param_1, ushort param_2)	__thiscall	ANALYSIS	1	1	0	1	0	0	0	0			8	0	1	thiscall_supported	__thiscall	medium	ECX is explicitly prepared at observed callsite	-
0	00401307	thunk_FUN_0055c0e0	undefined __thiscall thunk_FUN_0055c0e0(void * this, char * param_1, undefined4 param_2, int param_3, uint param_4, undefined4 * param_5)	__thiscall	ANALYSIS	0	0	0	0	0	0	0	0			20	1	0	unreferenced		review	no direct call reference to function or thunk entry	-
0	0040138E	thunk_FUN_006960d0	uint __thiscall thunk_FUN_006960d0(void * this, uint param_1, int param_2)	__thiscall	ANALYSIS	3	3	0	3	0	0	0	0			8	0	3	thiscall_supported	__thiscall	high	3 callsites explicitly load ECX; no caller stack cleanup observed	-
0	004013C0	thunk_FUN_005f89f0	int __thiscall thunk_FUN_005f89f0(void * this, int param_1)	__thiscall	ANALYSIS	7	7	0	5	0	0	2	0			4	0	5	thiscall_supported	__thiscall	high	5 callsites explicitly load ECX; no caller stack cleanup observed	-
0	004013CA	thunk_FUN_004ea530	undefined4 __thiscall thunk_FUN_004ea530(void * this, short param_1, short param_2, short param_3)	__thiscall	ANALYSIS	1	1	0	1	0	0	0	0			12	0	1	thiscall_supported	__thiscall	medium	ECX is explicitly prepared at observed callsite	-
0	004013E8	thunk_FUN_00419c50	void __thiscall thunk_FUN_00419c50(void * this, ushort param_1)	__thiscall	ANALYSIS	6	6	0	6	0	0	0	0			4	0	6	thiscall_supported	__thiscall	high	6 callsites explicitly load ECX; no caller stack cleanup observed	-
0	004013FC	thunk_FUN_00672a70	undefined __thiscall thunk_FUN_00672a70(void * this, byte param_1)	__thiscall	ANALYSIS	1	1	0	0	0	0	1	0			4	0	1	ambiguous		review	calls=1, pointer_ecx=0, live_ecx=0, no_ecx=1, expected_stack=4, incoming_ecx_used=false, exact_stack_calls=1	-
0	00401406	thunk_FUN_00696d00	int __thiscall thunk_FUN_00696d00(void * this, AnonShape_00696D00_CB3CB395 * param_1, uint param_2)	__thiscall	ANALYSIS	1	1	0	1	0	0	0	0			8	0	1	thiscall_supported	__thiscall	medium	ECX is explicitly prepared at observed callsite	-
0	00401532	thunk_FUN_004e99e0	undefined4 __thiscall thunk_FUN_004e99e0(void * this, undefined4 param_1, undefined4 param_2, undefined4 param_3)	__thiscall	ANALYSIS	1	1	0	1	0	0	0	0			12	0	1	thiscall_supported	__thiscall	medium	ECX is explicitly prepared at observed callsite	-
0	00401573	thunk_FUN_0068e4f0	uint * __thiscall thunk_FUN_0068e4f0(void * this, int param_1)	__thiscall	ANALYSIS	2	2	0	0	0	0	2	0			4	0	2	ambiguous		review	calls=2, pointer_ecx=0, live_ecx=0, no_ecx=2, expected_stack=4, incoming_ecx_used=false, exact_stack_calls=2	-
0	00401627	thunk_FUN_004d8e70	undefined4 __thiscall thunk_FUN_004d8e70(void * this, int param_1, int param_2, undefined4 param_3)	__thiscall	ANALYSIS	2	2	0	2	0	0	0	0			12	0	2	thiscall_supported	__thiscall	high	2 callsites explicitly load ECX; no caller stack cleanup observed	-
0	0040162C	thunk_FUN_004b7d00	int __thiscall thunk_FUN_004b7d00(void * this, STBoatC * param_1)	__thiscall	ANALYSIS	4	4	0	4	0	0	0	0			4	0	4	thiscall_supported	__thiscall	high	4 callsites explicitly load ECX; no caller stack cleanup observed	-
0	0040169A	thunk_FUN_0061c5f0	int __thiscall thunk_FUN_0061c5f0(void * this, undefined4 * param_1)	__thiscall	ANALYSIS	2	2	0	2	0	0	0	0			4	0	2	thiscall_supported	__thiscall	high	2 callsites explicitly load ECX; no caller stack cleanup observed	-
0	004016D1	thunk_FUN_004dfc70	int __thiscall thunk_FUN_004dfc70(void * this, int * param_1)	__thiscall	ANALYSIS	1	1	0	1	0	0	0	0			4	0	1	thiscall_supported	__thiscall	medium	ECX is explicitly prepared at observed callsite	-
