apply	owner	offset	offset_hex	size	proposed_name	proposed_type	type_apply	inferred_type	suggested_name	name_apply	type_confidence	name_confidence	type_evidence	name_evidence	reads	writes	confidence	reason	evidence_functions
1	AiBossClassTy	24	0x18	4	field_0018	/undefined4	0			0	none	none			1	0	high	consistent_this_relative_access	00648030
1	AiBossClassTy	1496	0x5D8	1	field_05D8	/undefined1	0			0	none	none			0	1	high	consistent_this_relative_access	00647DC0
1	AiBossClassTy	1561	0x619	4	field_0619	/undefined4	0			0	none	none			1	0	high	consistent_this_relative_access	00647DC0
1	AiBossClassTy	1577	0x629	4	field_0629	/undefined4	0			0	none	none			1	1	high	consistent_this_relative_access	00648030
1	AiBossClassTy	1624	0x658	4	field_0658	/undefined4	0			0	none	none			0	1	high	consistent_this_relative_access	00648030
1	AiEventClassTy	0	0x0	4	field_0000	/undefined4	0			0	none	none			102	0	high	consistent_this_relative_access	0064CD80 | 00652810 | 0065BD70
1	AiEventClassTy	132	0x84	4	field_0084	/undefined4	0			0	none	none			1	0	high	consistent_this_relative_access	00652810
1	AiEventClassTy	136	0x88	4	field_0088	/undefined4	0			0	none	none			4	4	high	consistent_this_relative_access	0064CD80 | 0064D000 | 0064D270
1	AiEventClassTy	140	0x8C	1	field_008C	/undefined1	0			0	none	none			1	0	high	consistent_this_relative_access	0064CD80
1	AiEventClassTy	145	0x91	1	field_0091	/undefined1	0			0	none	none			0	1	high	consistent_this_relative_access	0064CD80
1	AiEventClassTy	210	0xD2	4	field_00D2	/undefined4	0			0	none	none			1	2	high	consistent_this_relative_access	0064CD80 | 00652810
1	AiEventClassTy	214	0xD6	4	field_00D6	/undefined4	0			0	none	none			0	1	high	consistent_this_relative_access	00652810
1	AiEventClassTy	218	0xDA	4	field_00DA	/undefined4	0			0	none	none			1	0	high	consistent_this_relative_access	0064CD80
1	AiEventClassTy	1250	0x4E2	4	field_04E2	/undefined4	0			0	none	none			3	1	high	consistent_this_relative_access	0064CD80 | 00652810
1	AiEventClassTy	1254	0x4E6	4	field_04E6	/undefined4	0			0	none	none			1	0	high	consistent_this_relative_access	0064CD80
1	AiEventClassTy	1262	0x4EE	4	field_04EE	/undefined4	0			0	none	none			4	1	high	consistent_this_relative_access	0064CD80 | 00652810
1	AiEventClassTy	1266	0x4F2	4	field_04F2	/undefined4	0			0	none	none			1	0	high	consistent_this_relative_access	0064CD80
1	AiEventClassTy	1274	0x4FA	4	field_04FA	/undefined4	0			0	none	none			2	0	high	consistent_this_relative_access	0064CD80
