owner	type_path	status	typed_fields	named_fields	detail
AiBossClassTy	/AiBossClassTy	applied	0	0	5 fields; length=1628; replaced placeholder structure
AiEventClassTy	/AiEventClassTy	updated	0	0	17 fields; length=1463; updated unchanged generated structure
AiFltClassTy	/AiFltClassTy	updated	0	0	55 fields; length=648; updated unchanged generated structure
AiPlrClassTy	/AiPlrClassTy	updated	1	0	24 fields; length=1794; updated unchanged generated structure
AiTactClassTy	/AiTactClassTy	updated	0	0	21 fields; length=308; updated unchanged generated structure
AppClassTy	/AppClassTy	updated	0	0	14 fields; length=56; updated unchanged generated structure
BaseSystemC	/BaseSystemC	updated	0	0	1 fields; length=4; updated unchanged generated structure
BehPanelTy	/BehPanelTy	updated	0	0	29 fields; length=700; updated unchanged generated structure
BldBoatPanelTy	/BldBoatPanelTy	updated	1	0	18 fields; length=658; updated unchanged generated structure
BldLabPanelTy	/BldLabPanelTy	updated	0	0	11 fields; length=638; updated unchanged generated structure
BldObjPanelTy	/BldObjPanelTy	updated	0	0	17 fields; length=642; updated unchanged generated structure
ButtonClassTy	/ButtonClassTy	applied	0	0	50 fields; length=492; replaced placeholder structure
CBaseRenderer	/Demangler/CBaseRenderer	disabled	0	0	apply=0
CGenerate	/CGenerate	applied	2	0	21 fields; length=22615; replaced placeholder structure
CPanelTy	/CPanelTy	updated	7	0	292 fields; length=6111; updated unchanged generated structure
CampaignTy	/CampaignTy	updated	0	0	42 fields; length=8192; updated unchanged generated structure
ChooseMapTy	/ChooseMapTy	updated	4	0	67 fields; length=8388; updated unchanged generated structure
ComboTy	/ComboTy	applied	0	0	32 fields; length=276; replaced placeholder structure
ControlClassTy	/ControlClassTy	applied	0	0	27 fields; length=308; replaced placeholder structure
CursorClassTy	/CursorClassTy	updated	2	0	51 fields; length=1263; updated unchanged generated structure
DebugSystemC	/DebugSystemC	updated	0	0	1 fields; length=4; updated unchanged generated structure
DumpClassC	/DumpClassC	applied	0	0	2 fields; length=20; replaced placeholder structure
EditorClassTy	/EditorClassTy	applied	1	0	45 fields; length=536; replaced placeholder structure
FSGSTy	/FSGSTy	updated	8	0	162 fields; length=8387; updated unchanged generated structure
FrmPanelTy	/FrmPanelTy	updated	0	0	24 fields; length=483; updated unchanged generated structure
GameSystemC	/GameSystemC	updated	0	0	4 fields; length=1077; updated unchanged generated structure
HelpPanelTy	/HelpPanelTy	updated	3	0	62 fields; length=596; updated unchanged generated structure
HelpStringTy	/HelpStringTy	applied	1	0	9 fields; length=306; replaced placeholder structure
HoloTy	/HoloTy	applied	0	0	13 fields; length=51; replaced placeholder structure
InfocPanelTy	/InfocPanelTy	updated	2	0	90 fields; length=985; updated unchanged generated structure
InputClassTy	/InputClassTy	applied	0	0	24 fields; length=120; replaced placeholder structure
InterSystemC	/InterSystemC	updated	0	0	6 fields; length=52; updated unchanged generated structure
IntercomPanelTy	/IntercomPanelTy	applied	0	0	12 fields; length=420; replaced placeholder structure
JumpManagC	/JumpManagC	applied	0	0	4 fields; length=106; replaced placeholder structure
ListClassTy	/ListClassTy	applied	0	0	41 fields; length=524; replaced placeholder structure
MAdvTy	/MAdvTy	updated	0	0	10 fields; length=98; updated unchanged generated structure
MMObjTy	/MMObjTy	applied	0	0	5 fields; length=227; replaced placeholder structure
MMsgTy	/MMsgTy	updated	0	0	59 fields; length=7636; updated unchanged generated structure
MReportTy	/MReportTy	updated	5	0	59 fields; length=1115; updated unchanged generated structure
MTaskTy	/MTaskTy	updated	3	0	83 fields; length=1751; updated unchanged generated structure
MTestTy	/MTestTy	updated	0	0	9 fields; length=180; updated unchanged generated structure
MainMenuTy	/MainMenuTy	updated	0	0	64 fields; length=7908; updated unchanged generated structure
MoneyTy	/MoneyTy	applied	1	0	41 fields; length=166; replaced placeholder structure
OptPanelTy	/OptPanelTy	updated	2	0	47 fields; length=773; updated unchanged generated structure
PanelTy	/PanelTy	updated	0	0	14 fields; length=108; updated unchanged generated structure
PausePanelTy	/PausePanelTy	updated	1	0	12 fields; length=392; updated unchanged generated structure
PlayPanelTy	/PlayPanelTy	updated	1	0	25 fields; length=481; updated unchanged generated structure
PlaySystemTy	/PlaySystemTy	applied	0	0	3 fields; length=87; replaced placeholder structure
PopUpTy	/PopUpTy	applied	1	0	7 fields; length=161; replaced placeholder structure
PrividerTy	/PrividerTy	updated	3	0	55 fields; length=7326; updated unchanged generated structure
ProdPanelTy	/ProdPanelTy	updated	1	0	24 fields; length=421; updated unchanged generated structure
RadioClassTy	/RadioClassTy	applied	0	0	10 fields; length=104; replaced placeholder structure
ResearchPanelTy	/ResearchPanelTy	updated	0	0	16 fields; length=638; updated unchanged generated structure
SAMPanelTy	/SAMPanelTy	updated	1	0	14 fields; length=465; updated unchanged generated structure
