apply	owner	type_path	existing_length	observed_min_size	exact_allocation_size	proposed_length	field_count	auto_field_count	confidence	reason	evidence_functions
1	AiEventClassTy	/AiEventClassTy	1	1327		1327	4	4	high	observed_this_access_extent	00652810
1	AiFltClassTy	/AiFltClassTy	1	648		648	6	6	high	observed_this_access_extent	006618E0
1	AiPlrClassTy	/AiPlrClassTy	1	1794		1794	6	6	high	observed_this_access_extent	0067B520 | 0067C180
1	AiTactClassTy	/AiTactClassTy	1	304		304	4	3	high	observed_this_access_extent	0068EC70 | 00690650
1	AppClassTy	/AppClassTy	1	56		56	13	13	high	observed_this_access_extent	006E34C0
1	BaseSystemC	/BaseSystemC	1	4		4	1	1	high	observed_this_access_extent	00576AA0
1	BehPanelTy	/BehPanelTy	1	376		376	5	5	high	observed_this_access_extent	004EDF30 | 004EE350
1	BldBoatPanelTy	/BldBoatPanelTy	1	633		633	7	7	high	observed_this_access_extent	004EF320
1	BldLabPanelTy	/BldLabPanelTy	1	638		638	5	5	high	observed_this_access_extent	004EFD10 | 004EFFE0
1	BldObjPanelTy	/BldObjPanelTy	1	633		633	7	7	high	observed_this_access_extent	004F0E60
0	CBaseRenderer	/Demangler/CBaseRenderer	1	116		116	6	6	manual	existing_manual_or_unowned_structure_preserved	0074A113 | 0074A143
1	CPanelTy	/CPanelTy	1	6069		6069	30	30	high	observed_this_access_extent	004F2560 | 004F3A30 | 004F3CF0 | 004F3FE0 | 004F42A0 | 004F96A0 | 004FA400 | 004FA570 | 004FB060 | 004FE4F0 | 004FE6C0 | 00500520 | 005007A0 | 00505230
1	CampaignTy	/CampaignTy	1	101		101	2	2	high	observed_this_access_extent	00591BF0 | 00593040
1	ChooseMapTy	/ChooseMapTy	1	6752		6752	3	3	high	observed_this_access_extent	005AD390 | 005AFD00 | 005B0BA0
1	CursorClassTy	/CursorClassTy	1	100		100	3	3	high	observed_this_access_extent	00543C90 | 005449B0
1	DebugSystemC	/DebugSystemC	1	4		4	1	1	high	observed_this_access_extent	005781C0
0	EditorClassTy	/EditorClassTy	1	316		316	1	1	manual	insufficient_layout_anchors	00720A50
1	FSGSTy	/FSGSTy	1	7903		7903	14	14	high	observed_this_access_extent	00597120 | 0059B2C0 | 0059D720 | 005A0DC0 | 005A1430 | 005A1630 | 005A1920 | 005A2380 | 005A26C0 | 005A2A60 | 005A2C10 | 005A2D70 | 005A2FF0 | 005A3540 | 005A3AB0 | 005A40F0 | 005A4350
1	FrmPanelTy	/FrmPanelTy	1	376		376	5	5	high	observed_this_access_extent	00510370 | 005105E0
1	GameSystemC	/GameSystemC	1	1073		1073	2	2	high	observed_this_access_extent	005770D0
1	HelpPanelTy	/HelpPanelTy	1	592		592	14	14	high	observed_this_access_extent	00511AB0 | 00511C70 | 00511FA0 | 005134B0 | 00513810 | 00515E30 | 00516A40 | 00517A50 | 0051B5A0 | 0051C980
1	InfocPanelTy	/InfocPanelTy	1	376		376	4	4	high	observed_this_access_extent	005205E0
1	InterSystemC	/InterSystemC	1	52		52	4	4	high	observed_this_access_extent	00542440
0	JumpManagC	/JumpManagC	1	98		98	1	1	manual	insufficient_layout_anchors	006178C0
1	MAdvTy	/MAdvTy	1	92		92	2	2	high	observed_this_access_extent	005908B0
1	MMsgTy	/MMsgTy	1	7338		7338	5	5	high	observed_this_access_extent	005B7EF0 | 005B87D0 | 005B8C70 | 005B9010 | 005B9330
1	MReportTy	/MReportTy	1	127		127	6	6	high	observed_this_access_extent	005C0B00 | 005C1340 | 005C1A90
1	MTaskTy	/MTaskTy	1	109		109	4	4	high	observed_this_access_extent	005DFA30 | 005E4570
1	MTestTy	/MTestTy	1	165		165	2	2	high	observed_this_access_extent	005E5FB0
1	MainMenuTy	/MainMenuTy	1	384		384	4	4	high	observed_this_access_extent	005B3430 | 005B3D60 | 005B4BB0
1	OptPanelTy	/OptPanelTy	1	441		441	11	9	high	observed_this_access_extent	0052EFB0 | 0052F2B0 | 0052F900 | 005325B0 | 00533880
1	PanelTy	/PanelTy	1	96		96	4	4	high	observed_this_access_extent	005384A0 | 005389E0 | 00538BA0 | 00538DB0 | 00538FC0
1	PausePanelTy	/PausePanelTy	1	376		376	4	4	high	observed_this_access_extent	005396E0
1	PlayPanelTy	/PlayPanelTy	1	385		385	5	5	high	observed_this_access_extent	0053A820 | 0053AA50
0	PlaySystemTy	/PlaySystemTy	1	61		61	1	1	manual	insufficient_layout_anchors	0054EC20
1	PrividerTy	/PrividerTy	1	101	7326	7326	3	3	high	unique_allocation_size_and_this_accesses	005BAE00 | 005BC5E0
1	ProdPanelTy	/ProdPanelTy	1	405		405	6	6	high	observed_this_access_extent	0053F650 | 0053F780 | 0053FCD0 | 0053FEE0
1	ResearchPanelTy	/ResearchPanelTy	1	633		633	5	5	high	observed_this_access_extent	0053C820
1	SAMPanelTy	/SAMPanelTy	1	376		376	4	4	high	observed_this_access_extent	0053D290
1	SIDTy	/SIDTy	1	101		101	2	2	high	observed_this_access_extent	005D81F0 | 005D9470
1	STAppC	/STAppC	1	20222		20222	2	2	high	observed_this_access_extent	0056D1F0
