apply	type_path	offset	size	proposed_name	proposed_type	evidence_count	reason
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_AiEventClassTy_0000	20	4	field_0014	/undefined4	1	nested reads=1, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_AiEventClassTy_0000	24	4	field_0018	/undefined4	2	nested reads=99, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_AiEventClassTy_0000	48	4	field_0030	/undefined4	1	nested reads=2, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_AiFltClassTy_022F	8	4	field_0008	/undefined4	1	nested reads=1, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_AiFltClassTy_022F	28	4	field_001C	/undefined4	1	nested reads=1, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_AiFltClassTy_0284	130	2	field_0082	/undefined2	1	nested reads=1, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_AiFltClassTy_0284	132	2	field_0084	/undefined2	1	nested reads=1, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_AiFltClassTy_0284	134	2	field_0086	/undefined2	1	nested reads=1, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_CBaseRenderer_0000	40	4	field_0028	/undefined4	2	nested reads=2, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_CBaseRenderer_0000	96	4	field_0060	/undefined4	2	nested reads=2, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_CBaseRenderer_0000	108	4	field_006C	/undefined4	2	nested reads=2, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_CBaseRenderer_0000	112	4	field_0070	/undefined4	2	nested reads=2, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_CPanelTy_01B0	4	4	field_0004	/undefined4	1	nested reads=1, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_CPanelTy_01B0	8	4	field_0008	/undefined4	1	nested reads=1, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_CPanelTy_01B0	14	2	field_000E	/undefined2	1	nested reads=1, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_CPanelTy_01B0	20	4	field_0014	/undefined4	1	nested reads=1, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_CPanelTy_09ED	4	4	field_0004	/undefined4	2	nested reads=13, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_CPanelTy_09ED	8	4	field_0008	/undefined4	1	nested reads=3, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ChooseMapTy_0000	0	4	field_0000	/undefined4	1	nested reads=4, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ChooseMapTy_0000	8	4	field_0008	/undefined4	1	nested reads=7, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ChooseMapTy_000C	0	4	field_0000	/undefined4	1	nested reads=3, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ChooseMapTy_000C	20	4	field_0014	/undefined4	1	nested reads=2, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ChooseMapTy_1A5B	320	4	field_0140	/undefined4	1	nested reads=1, writes=1
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ChooseMapTy_1A5B	742	4	field_02E6	/undefined4	6	nested reads=23, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ChooseMapTy_1A5B	1356	4	field_054C	/undefined4	1	nested reads=1, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ChooseMapTy_1A5B	1670	4	field_0686	/undefined4	1	nested reads=5, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ChooseMapTy_1C7B	4	4	field_0004	/undefined4	3	nested reads=4, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ChooseMapTy_1C7B	8	4	field_0008	/undefined4	1	nested reads=1, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ChooseMapTy_1C8B	4	4	field_0004	/undefined4	1	nested reads=2, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ChooseMapTy_1C8B	8	4	field_0008	/undefined4	2	nested reads=2, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ChooseMapTy_1C97	8	4	field_0008	/undefined4	3	nested reads=15, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ChooseMapTy_1C97	20	4	field_0014	/undefined4	3	nested reads=7, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ChooseMapTy_1C9F	8	4	field_0008	/undefined4	3	nested reads=17, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ChooseMapTy_1C9F	20	4	field_0014	/undefined4	3	nested reads=8, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ChooseMapTy_20B8	0	1	field_0000	/undefined1	1	nested reads=1, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ChooseMapTy_20B8	2	1	field_0002	/undefined1	2	nested reads=0, writes=2
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ChooseMapTy_20B8	3	4	field_0003	/undefined4	3	nested reads=4, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ChooseMapTy_20B8	19	4	field_0013	/undefined4	1	nested reads=1, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ChooseMapTy_20B8	23	4	field_0017	/undefined4	2	nested reads=0, writes=2
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ChooseMapTy_20BC	0	1	field_0000	/undefined1	1	nested reads=1, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ChooseMapTy_20BC	2	1	field_0002	/undefined1	2	nested reads=0, writes=2
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ChooseMapTy_20BC	3	4	field_0003	/undefined4	3	nested reads=4, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ChooseMapTy_20BC	19	4	field_0013	/undefined4	1	nested reads=1, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ChooseMapTy_20BC	23	4	field_0017	/undefined4	2	nested reads=0, writes=2
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ChooseMapTy_20C0	0	1	field_0000	/undefined1	1	nested reads=1, writes=0
0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ChooseMapTy_20C0	2	1	field_0002	/undefined1	2	nested reads=0, writes=2
