apply	owner	parent_offset	type_path	length	field_count	access_count	confidence	reason
0	AiFltClassTy	547	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_AiFltClassTy_0223	32	2	10	review	multiple non-overlapping fixed offsets through one class pointer field
0	AiFltClassTy	559	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_AiFltClassTy_022F	32	2	14	review	multiple non-overlapping fixed offsets through one class pointer field
0	AiFltClassTy	644	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_AiFltClassTy_0284	324	7	15	review	multiple non-overlapping fixed offsets through one class pointer field
0	CBaseRenderer	0	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_CBaseRenderer_0000	116	4	8	review	multiple non-overlapping fixed offsets through one class pointer field
0	CGenerate	8	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_CGenerate_0008	8	2	25	review	multiple non-overlapping fixed offsets through one class pointer field
0	CGenerate	12	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_CGenerate_000C	1113	4	17	review	multiple non-overlapping fixed offsets through one class pointer field
0	CPanelTy	432	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_CPanelTy_01B0	24	4	4	review	multiple non-overlapping fixed offsets through one class pointer field
0	CPanelTy	2541	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_CPanelTy_09ED	12	2	42	review	multiple non-overlapping fixed offsets through one class pointer field
0	ChooseMapTy	12	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ChooseMapTy_000C	24	2	13	review	multiple non-overlapping fixed offsets through one class pointer field
0	ChooseMapTy	6747	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ChooseMapTy_1A5B	1674	4	86	review	multiple non-overlapping fixed offsets through one class pointer field
0	ChooseMapTy	7291	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ChooseMapTy_1C7B	12	2	5	review	multiple non-overlapping fixed offsets through one class pointer field
0	ChooseMapTy	7307	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ChooseMapTy_1C8B	12	2	4	review	multiple non-overlapping fixed offsets through one class pointer field
0	ChooseMapTy	7319	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ChooseMapTy_1C97	24	2	22	review	multiple non-overlapping fixed offsets through one class pointer field
0	ChooseMapTy	7327	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ChooseMapTy_1C9F	24	2	25	review	multiple non-overlapping fixed offsets through one class pointer field
0	ChooseMapTy	8376	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ChooseMapTy_20B8	27	5	10	review	multiple non-overlapping fixed offsets through one class pointer field
0	ChooseMapTy	8380	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ChooseMapTy_20BC	27	5	10	review	multiple non-overlapping fixed offsets through one class pointer field
0	ChooseMapTy	8384	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ChooseMapTy_20C0	27	5	10	review	multiple non-overlapping fixed offsets through one class pointer field
0	ComboTy	260	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ComboTy_0104	24	4	6	review	multiple non-overlapping fixed offsets through one class pointer field
0	CursorClassTy	1178	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_CursorClassTy_049A	605	3	14	review	multiple non-overlapping fixed offsets through one class pointer field
0	FSGSTy	49	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_FSGSTy_0031	24	2	4	review	multiple non-overlapping fixed offsets through one class pointer field
