apply	owner	parent_offset	type_path	length	field_count	access_count	confidence	reason	evidence_functions	evidence_sites
0	BehPanelTy	462	/SubmarineTitans/Recovered/InlineRecordArrays/BehPanelTy_Record_01CE_0027	39	0	4	review	review-only repeated record geometry: counts=[6], factory_counts=[], stride=0x27, loops=1, exact_loops=1; ambiguous_or_missing_exact_extent	004EE0A0	004EE126 record cursor owner+0x1CF, stride=0x27, exact_count=6 | 004EE16C MOV byte ptr [ESI + -0x1],0x1 | 004EE17F MOV dword ptr [ESI],EAX | 004EE189 MOV dword ptr [ESI + 0x8],EAX | 004EE18F MOV byte ptr [ESI + 0xc],0x3
1	CampaignTy	187	/SubmarineTitans/Recovered/InlineRecordArrays/CampaignTy_Record_00BB_01FB	507	9	16	layout	fixed inline record array from exact cursor loops: counts=[13], factory_counts=[13], stride=0x1FB, loops=6, exact_loops=2, boundaries=[188, 231, 255, 291, 372, 376], access_offsets=16, typed_nested_objects=3	00590B40 | 00591940 | 00591BF0 | 00593860	005911DE record cursor owner+0x123, stride=0x1FB, runtime_bound | 005911EA MOV dword ptr [EDI + 0x4],EAX | 005911F0 MOV dword ptr [EDI],EAX | 00591A58 record cursor owner+0xFF, stride=0x1FB, runtime_bound | 00591A5E MOV EAX,dword ptr [ESI + -0x18] | 00591A66 MOV ECX,dword ptr [ESI + 0x4] | 00591A69 MOV EDX,dword ptr [ESI] | 00591A6C MOV ECX,dword ptr [ESI + -0x14] | 00591A70 MOV EDX,dword ptr [ESI + 0x2c] | 00591A81 MOV EAX,dword ptr [ESI + 0x79] | 00591A89 MOV ECX,dword ptr [ESI + 0x95] | 00591A8F MOV EDX,dword ptr [ESI + 0x91] | 00591A96 MOV ECX,dword ptr [ESI + 0x7d] | 00591A9A MOV EDX,dword ptr [ESI + 0xbd] | 00591C80 record cursor owner+0x178, stride=0x1FB, runtime_bound | 00591C89 MOV EDX,dword ptr [ESI + -0x51] | 00591C8C MOV ECX,dword ptr [ESI + -0x55] | 00591C95 MOV AL,byte ptr [ESI + 0xffffff43] | 00591C9F MOV EAX,dword ptr [ESI] | 00591CA6 MOV ECX,dword ptr [ESI + 0x44] | 00591CB0 MOV AL,byte ptr [ESI + 0xffffff6a] | 00591CBA MOV EAX,dword ptr [ESI + 0x91] | 00591CC5 MOV EDX,dword ptr [ESI + 0xd5] | 00591CD2 MOV byte ptr [ESI + 0xffffff43],0x0 | 00591CD9 MOV EAX,dword ptr [ESI + 0xffffff73] | 00591CE4 MOV dword ptr [ESI + 0xffffff73],EAX | 00591CEA MOV ECX,dword ptr [ESI + 0xffffff6f] | 00591CF5 MOV EDX,dword ptr [ESI + -0x75] | 00591CF9 MOV EDX,dword ptr [ESI + -0x79] | 00591CFE MOV EAX,dword ptr [ESI + -0x4d] | 00591D58 record cursor owner+0xE7, stride=0x1FB, runtime_bound | 00591D5E MOV EAX,dword ptr [ESI] | 00591D66 MOV EAX,dword ptr [ESI + 0x44] | 005938A8 record cursor owner+0x174, stride=0x1FB, exact_count=13 | 005938B9 typed nested receiver=/SpriteClassTy at owner+0xE3 | 005938C0 typed nested receiver=/SpriteClassTy at owner+0x174 | 005938CB typed nested receiver=/SpriteClassTy at owner+0x205 | 005938F6 record cursor owner+0xBC, stride=0x1FB, exact_count=13
1	ChooseMapTy	188	/SubmarineTitans/Recovered/InlineRecordArrays/ChooseMapTy_Record_00BC_01FB	507	12	0	layout	fixed inline record array from exact cursor loops: counts=[13], factory_counts=[13], stride=0x1FB, loops=2, exact_loops=2, boundaries=[188, 372], access_offsets=0, typed_nested_objects=3	005B2790	005B27DC record cursor owner+0x174, stride=0x1FB, exact_count=13 | 005B27EF typed nested receiver=/SpriteClassTy at owner+0xE3 | 005B27F6 typed nested receiver=/SpriteClassTy at owner+0x174 | 005B2801 typed nested receiver=/SpriteClassTy at owner+0x205 | 005B2831 record cursor owner+0xBC, stride=0x1FB, exact_count=13
1	FSGSTy	188	/SubmarineTitans/Recovered/InlineRecordArrays/FSGSTy_Record_00BC_01FB	507	15	0	layout	fixed inline record array from exact cursor loops: counts=[13], factory_counts=[13], stride=0x1FB, loops=2, exact_loops=2, boundaries=[188, 372], access_offsets=0, typed_nested_objects=3	005AA2C0	005AA30C record cursor owner+0x174, stride=0x1FB, exact_count=13 | 005AA31F typed nested receiver=/SpriteClassTy at owner+0xE3 | 005AA326 typed nested receiver=/SpriteClassTy at owner+0x174 | 005AA331 typed nested receiver=/SpriteClassTy at owner+0x205 | 005AA361 record cursor owner+0xBC, stride=0x1FB, exact_count=13
0	InfocPanelTy	708	/SubmarineTitans/Recovered/InlineRecordArrays/InfocPanelTy_Record_02C4_0014	20	0	3	review	review-only repeated record geometry: counts=[12], factory_counts=[], stride=0x14, loops=1, exact_loops=1; ambiguous_or_missing_exact_extent	0051FF50	00520139 record cursor owner+0x2D8, stride=0x14, exact_count=12 | 00520153 MOV dword ptr [EDX],EDI | 00520333 MOV EDI,dword ptr [EDX + -0x4] | 00520338 MOV dword ptr [EDX + -0x4],EDI | 00520346 MOV EBX,dword ptr [EDX] | 00520350 MOV dword ptr [EDX + -0x14],EBX
0	MMObjTy	226	/SubmarineTitans/Recovered/InlineRecordArrays/MMObjTy_Record_00E2_01FB	507	0	1	review	review-only repeated record geometry: counts=[13], factory_counts=[], stride=0x1FB, loops=1, exact_loops=1; ambiguous_or_missing_exact_extent	005B6220	005B6277 record cursor owner+0x174, stride=0x1FB, exact_count=13 | 005B6294 MOV AL,byte ptr [ESI + 0xffffff6e]
1	MMsgTy	188	/SubmarineTitans/Recovered/InlineRecordArrays/MMsgTy_Record_00BC_01FB	507	8	18	layout	fixed inline record array from exact cursor loops: counts=[13], factory_counts=[13], stride=0x1FB, loops=6, exact_loops=2, boundaries=[188, 231, 255, 372], access_offsets=18, typed_nested_objects=3	005B6FF0 | 005B7210 | 005B7340 | 005B7540 | 005B95B0	005B70C2 record cursor owner+0xE7, stride=0x1FB, runtime_bound | 005B70C8 MOV dword ptr [ESI + 0x4],0x0 | 005B70CF MOV EAX,dword ptr [ESI] | 005B70D6 MOV EDX,dword ptr [ESI + 0x1c] | 005B70D9 MOV ECX,dword ptr [ESI + 0x18] | 005B70DD MOV EDX,dword ptr [ESI + 0x4] | 005B70E3 MOV EAX,dword ptr [ESI + 0x44] | 005B70EC MOV EAX,dword ptr [ESI] | 005B70F3 MOV ECX,dword ptr [ESI + 0x44] | 005B70FD MOV EAX,dword ptr [ESI + 0x91] | 005B7108 MOV EDX,dword ptr [ESI + 0xd5] | 005B7115 MOV AL,byte ptr [ESI + -0x5] | 005B711C MOV EAX,dword ptr [ESI + 0x122] | 005B7128 MOV EAX,dword ptr [ESI + 0x166] | 005B7278 record cursor owner+0xE7, stride=0x1FB, runtime_bound | 005B727E MOV EAX,dword ptr [ESI] | 005B7285 MOV ECX,dword ptr [ESI + 0x1c] | 005B7288 MOV EDX,dword ptr [ESI + 0x18] | 005B7290 MOV EAX,dword ptr [ESI + 0x44] | 005B73E2 record cursor owner+0xFF, stride=0x1FB, runtime_bound | 005B73E8 MOV EAX,dword ptr [ESI + -0x18] | 005B73F0 MOV ECX,dword ptr [ESI + 0x4] | 005B73F3 MOV EDX,dword ptr [ESI] | 005B73F6 MOV ECX,dword ptr [ESI + -0x14] | 005B73FA MOV EDX,dword ptr [ESI + 0x2c] | 005B7405 MOV EAX,dword ptr [ESI + 0x79] | 005B740D MOV ECX,dword ptr [ESI + 0x95] | 005B7413 MOV EDX,dword ptr [ESI + 0x91] | 005B741A MOV ECX,dword ptr [ESI + 0x7d] | 005B741E MOV EDX,dword ptr [ESI + 0xbd] | 005B742C MOV AL,byte ptr [ESI + -0x1d] | 005B7433 MOV EAX,dword ptr [ESI + 0x10a] | 005B743E MOV ECX,dword ptr [ESI + 0x126] | 005B7444 MOV EDX,dword ptr [ESI + 0x122] | 005B744B MOV ECX,dword ptr [ESI + 0x10e] | 005B7452 MOV EDX,dword ptr [ESI + 0x14e] | 005B7608 record cursor owner+0xFF, stride=0x1FB, runtime_bound | 005B7619 MOV EDX,dword ptr [EDI + 0x28] | 005B761C MOV ECX,dword ptr [EDI + 0x24] | 005B7625 MOV EAX,dword ptr [EDI + -0x14] | 005B7631 MOV dword ptr [EDI + -0x14],EAX | 005B7634 MOV ECX,dword ptr [EDI + -0x18] | 005B763C MOV EDX,dword ptr [EDI + 0x4] | 005B7640 MOV EDX,dword ptr [EDI] | 005B7644 MOV EAX,dword ptr [EDI + 0x2c] | 005B95F8 record cursor owner+0x174, stride=0x1FB, exact_count=13 | 005B9609 typed nested receiver=/SpriteClassTy at owner+0xE3 | 005B9610 typed nested receiver=/SpriteClassTy at owner+0x174 | 005B961B typed nested receiver=/SpriteClassTy at owner+0x205 | 005B9646 record cursor owner+0xBC, stride=0x1FB, exact_count=13
0	MReportTy	851	/SubmarineTitans/Recovered/InlineRecordArrays/MReportTy_Record_0353_001C	28	0	5	review	review-only repeated record geometry: counts=[9], factory_counts=[], stride=0x1C, loops=1, exact_loops=1; ambiguous_or_missing_exact_extent	005C1A90	005C1B67 record cursor owner+0x357, stride=0x1C, exact_count=9 | 005C1B74 MOV EAX,dword ptr [EDX + 0x14] | 005C1B81 MOV ESI,dword ptr [EDX + -0x4] | 005C1B93 MOV EDI,dword ptr [EDX + 0x4] | 005C1B9C MOV EAX,dword ptr [EDX] | 005C1BA2 MOV ESI,dword ptr [EDX + 0x8] | 005C1BB8 MOV EDI,dword ptr [EDX + 0x14]
1	MainMenuTy	187	/SubmarineTitans/Recovered/InlineRecordArrays/MainMenuTy_Record_00BB_01FB	507	16	17	layout	fixed inline record array from exact cursor loops: counts=[13], factory_counts=[13], stride=0x1FB, loops=6, exact_loops=3, boundaries=[188, 231, 255, 372, 376, 380], access_offsets=17, typed_nested_objects=3	005B3160 | 005B3430 | 005B3D60 | 005B50E0	005B32EA record cursor owner+0xFF, stride=0x1FB, runtime_bound | 005B32F0 MOV EAX,dword ptr [ESI + -0x18] | 005B32F8 MOV ECX,dword ptr [ESI + 0x4] | 005B32FB MOV EDX,dword ptr [ESI] | 005B32FE MOV ECX,dword ptr [ESI + -0x14] | 005B3302 MOV EDX,dword ptr [ESI + 0x2c] | 005B3313 MOV EAX,dword ptr [ESI + 0x79] | 005B331B MOV ECX,dword ptr [ESI + 0x95] | 005B3321 MOV EDX,dword ptr [ESI + 0x91] | 005B3328 MOV ECX,dword ptr [ESI + 0x7d] | 005B332C MOV EDX,dword ptr [ESI + 0xbd] | 005B34B4 record cursor owner+0x178, stride=0x1FB, runtime_bound | 005B34BD MOV EDX,dword ptr [ESI + -0x51] | 005B34C0 MOV ECX,dword ptr [ESI + -0x55] | 005B34C9 MOV AL,byte ptr [ESI + 0xffffff43] | 005B34D3 MOV EAX,dword ptr [ESI] | 005B34DA MOV ECX,dword ptr [ESI + 0x44] | 005B34E4 MOV AL,byte ptr [ESI + 0xffffff6a] | 005B34EE MOV EAX,dword ptr [ESI + 0x91] | 005B34F9 MOV EDX,dword ptr [ESI + 0xd5] | 005B3506 MOV byte ptr [ESI + 0xffffff43],0x0 | 005B350D MOV EAX,dword ptr [ESI + 0xffffff73] | 005B3518 MOV dword ptr [ESI + 0xffffff73],EAX | 005B351E MOV ECX,dword ptr [ESI + 0xffffff6f] | 005B3529 MOV EDX,dword ptr [ESI + -0x75] | 005B352D MOV EDX,dword ptr [ESI + -0x79] | 005B3532 MOV EAX,dword ptr [ESI + -0x4d] | 005B358C record cursor owner+0xE7, stride=0x1FB, runtime_bound | 005B3592 MOV EAX,dword ptr [ESI] | 005B359A MOV EAX,dword ptr [ESI + 0x44] | 005B3D6F record cursor owner+0x17C, stride=0x1FB, exact_count=13 | 005B3D7A MOV dword ptr [EDX + 0xffffff40],0x0 | 005B3D84 MOV dword ptr [EDX],0x0 | 005B5128 record cursor owner+0x174, stride=0x1FB, exact_count=13 | 005B5139 typed nested receiver=/SpriteClassTy at owner+0xE3 | 005B5140 typed nested receiver=/SpriteClassTy at owner+0x174 | 005B514B typed nested receiver=/SpriteClassTy at owner+0x205 | 005B5176 record cursor owner+0xBC, stride=0x1FB, exact_count=13
0	PlayPanelTy	385	/SubmarineTitans/Recovered/InlineRecordArrays/PlayPanelTy_Record_0181_0020	32	0	1	review	review-only repeated record geometry: counts=[2], factory_counts=[], stride=0x20, loops=1, exact_loops=1; ambiguous_or_missing_exact_extent	0053AA50	0053AAD6 record cursor owner+0x181, stride=0x20, exact_count=2 | 0053AAEB MOV EAX,dword ptr [EDI]
