address	status	proposed_name	detail
004158E0	applied	STGameObjC::STGameObjC	return=applied(STGameObjC *)
004232A0	applied	STGroupC::STGroupC	return=applied(STGroupC *)
0042A940	applied	STAllPlayersC::STAllPlayersC	return=applied(STAllPlayersC *)
0044E690	disabled	STBoatC::STBoatC	name_apply=0; convention_apply=0; parameter_apply=0; return_apply=0
00495920	disabled	DumpClassC::DumpClassC	name_apply=0; convention_apply=0; parameter_apply=0; return_apply=0
00497AF0	disabled	STGroupBoatC::STGroupBoatC	name_apply=0; convention_apply=0; parameter_apply=0; return_apply=0
004A88C0	applied	OpticClassC::OpticClassC	return=applied(OpticClassC *)
004B7EF0	disabled	TLOBaseTy::TLOBaseTy	name_apply=0; convention_apply=0; parameter_apply=0; return_apply=0
004C60A0	disabled	TLOBldMark::TLOBldMark	name_apply=0; convention_apply=0; parameter_apply=0; return_apply=0
004D0920	disabled	TLOFakeTy::TLOFakeTy	name_apply=0; convention_apply=0; parameter_apply=0; return_apply=0
00510C80	disabled	HelpPanelTy::HelpPanelTy	name_apply=0; convention_apply=0; parameter_apply=0; return_apply=0
00542440	disabled	InterSystemC::InterSystemC	name_apply=0; convention_apply=0; parameter_apply=0; return_apply=0
0054CB40	applied	STPlaySystemC::STPlaySystemC	return=applied(STPlaySystemC *)
005556D0	disabled	TraksClassTy::TraksClassTy	name_apply=0; convention_apply=0; parameter_apply=0; return_apply=0
005577C0	applied	VisibleClassTy::VisibleClassTy	return=applied(VisibleClassTy *)
0055BD40	disabled	CFsgsConnection::CFsgsConnection	name_apply=0; convention_apply=0; parameter_apply=0; return_apply=0
0056A5F0	applied	STAppC::STAppC	return=applied(STAppC *)
00576AA0	disabled	BaseSystemC::BaseSystemC	name_apply=0; convention_apply=0; parameter_apply=0; return_apply=0
00576DD0	disabled	GameSystemC::GameSystemC	name_apply=0; convention_apply=0; parameter_apply=0; return_apply=0
005781C0	disabled	DebugSystemC::DebugSystemC	name_apply=0; convention_apply=0; parameter_apply=0; return_apply=0
005785E0	disabled	STCrabC::STCrabC	name_apply=0; convention_apply=0; parameter_apply=0; return_apply=0
0057BD20	disabled	STFishC::STFishC	name_apply=0; convention_apply=0; parameter_apply=0; return_apply=0
0057F1D0	disabled	STDcResourcC::STDcResourcC	name_apply=0; convention_apply=0; parameter_apply=0; return_apply=0
005810D0	disabled	STJellyManC::STJellyManC	name_apply=0; convention_apply=0; parameter_apply=0; return_apply=0
005823D0	disabled	STJellyGunC::STJellyGunC	name_apply=0; convention_apply=0; parameter_apply=0; return_apply=0
00584970	disabled	STLBombC::STLBombC	name_apply=0; convention_apply=0; parameter_apply=0; return_apply=0
005861F0	disabled	STMBombC::STMBombC	name_apply=0; convention_apply=0; parameter_apply=0; return_apply=0
00589990	disabled	STOctopusC::STOctopusC	name_apply=0; convention_apply=0; parameter_apply=0; return_apply=0
0058BA30	disabled	STSatC::STSatC	name_apply=0; convention_apply=0; parameter_apply=0; return_apply=0
0058D750	disabled	STSharkC::STSharkC	name_apply=0; convention_apply=0; parameter_apply=0; return_apply=0
005DA610	disabled	StartSystemTy::StartSystemTy	name_apply=0; convention_apply=0; parameter_apply=0; return_apply=0
005EC7E0	disabled	STSprGameObjC::STSprGameObjC	name_apply=0; convention_apply=0; parameter_apply=0; return_apply=0
005F1350	disabled	STManBasisC::STManBasisC	name_apply=0; convention_apply=0; parameter_apply=0; return_apply=0
005F3440	disabled	STBHEShellC::STBHEShellC	name_apply=0; convention_apply=0; parameter_apply=0; return_apply=0
