apply	owner	size	size_hex	confidence	reason	evidence_functions	table_addresses	allocation_calls
1	BehPanelTy	700	0x2BC	high	unique_returned_allocation_size	004ED540	0079AB74	004ED547
1	BldBoatPanelTy	662	0x296	high	unique_returned_allocation_size	004EE8E0	0079ABA0	004EE8E7
1	BldLabPanelTy	638	0x27E	high	unique_returned_allocation_size	004EFA40	0079ABC8	004EFA47
1	BldObjPanelTy	662	0x296	high	unique_returned_allocation_size	004F0460	0079ABF0	004F0467
1	ButtonClassTy	492	0x1EC	high	unique_returned_allocation_size	0071E000	0079E288	0071E006
1	CampaignTy	8192	0x2000	high	unique_returned_allocation_size	00593860	0079BFF8	00593867
1	ChooseMapTy	8388	0x20C4	high	unique_returned_allocation_size	005B2790	0079C088	005B279B
1	FSGSTy	8387	0x20C3	high	unique_returned_allocation_size	005AA2C0	0079C02C	005AA2CB
1	FrmPanelTy	483	0x1E3	high	unique_returned_allocation_size	0050FC70	0079AC1C	0050FC77
1	HelpStringTy	306	0x132	high	unique_returned_allocation_size	0051F860	0079AC6C	0051F867
1	InfocPanelTy	985	0x3D9	high	unique_returned_allocation_size	0051FE40	0079AC70	0051FE47
1	IntercomPanelTy	421	0x1A5	high	unique_returned_allocation_size	00521840	0079AC9C	00521847
1	ListClassTy	524	0x20C	high	unique_returned_allocation_size	00720960	0079E2A4	00720967
1	MAdvTy	98	0x62	high	unique_returned_allocation_size	00590AD0	0079BFE4	00590AD3
1	MMsgTy	7850	0x1EAA	high	unique_returned_allocation_size	005B95B0	0079C0A8	005B95B7
1	MReportTy	1115	0x45B	high	unique_returned_allocation_size	005C2620	0079C0E4	005C2627
1	MTestTy	180	0xB4	high	unique_returned_allocation_size	005E6570	0079C23C	005E6577
1	MainMenuTy	7908	0x1EE4	high	unique_returned_allocation_size	005B50E0	0079C098	005B50E7
1	MoneyTy	166	0xA6	high	unique_returned_allocation_size	0052B670	0079ACE4	0052B677
1	OptPanelTy	774	0x306	high	unique_returned_allocation_size	0052E3A0	0079AD10	0052E3A7
1	PausePanelTy	392	0x188	high	unique_returned_allocation_size	005391E0	0079AD2C	005391E7
1	PlayPanelTy	481	0x1E1	high	unique_returned_allocation_size	00539AA0	0079AD48	00539AA7
1	PrividerTy	7326	0x1C9E	high	unique_returned_allocation_size	005BD2E0	0079C0C4	005BD2EB
1	ResearchPanelTy	646	0x286	high	unique_returned_allocation_size	0053BFF0	0079AD64	0053BFF7
1	SAMPanelTy	465	0x1D1	high	unique_returned_allocation_size	0053CE10	0079AD8C	0053CE17
1	SIDTy	7640	0x1DD8	high	unique_returned_allocation_size	005D9F80	0079C1AC	005D9F87
1	STAlgaC	76	0x4C	high	unique_returned_allocation_size	00576A60	0079B188	00576A63
1	STArtiafactC	1143	0x477	high	unique_returned_allocation_size	005EBC70	0079C260	005EBC76
1	STContainerC	1147	0x47B	high	unique_returned_allocation_size	005FC3A0	0079C714	005FC3A6
1	STTorpC	649	0x289	high	unique_returned_allocation_size	00645830	0079D4AC	00645836
1	SettMapMTy	8773	0x2245	high	unique_returned_allocation_size	005D4B40	0079C124	005D4B4B
1	SettMapTy	8700	0x21FC	high	unique_returned_allocation_size	005D77A0	0079C160	005D77AB
1	SoundManagerTy	65	0x41	high	unique_returned_allocation_size	00566590	0079B024	00566594
1	TrackbarClassTy	412	0x19C	high	unique_returned_allocation_size	00725520	0079E2CC	00725526
1	UpgPanelTy	1015	0x3F7	high	unique_returned_allocation_size	005527D0	0079AE90	005527D7
1	Visible	280	0x118	high	unique_returned_allocation_size	005947D0	0079C01C	005947D6
1	WaitTy	6916	0x1B04	high	unique_returned_allocation_size	005EAD30	0079C24C	005EAD3B
