function_address	label_address	proposed_name	status	detail
0040AE40	0040B258	cf_branch_target_0040B258	disabled	apply=0
0040AE40	0040B481	cf_join_0040B481	disabled	apply=0
0040AE40	0040B56A	cf_join_0040B56A	disabled	apply=0
0040C080	0040C875	cf_join_0040C875	disabled	apply=0
0040C080	0040C8F3	cf_branch_target_0040C8F3	disabled	apply=0
0040C080	0040C90D	cf_join_0040C90D	disabled	apply=0
0040CC80	0040CD0A	cf_join_0040CD0A	disabled	apply=0
0040CE20	0040D327	cf_branch_target_0040D327	disabled	apply=0
0040CE20	0040D369	cf_join_0040D369	disabled	apply=0
0040D540	0040D750	cf_join_0040D750	disabled	apply=0
0040D540	0040DB07	cf_join_0040DB07	disabled	apply=0
0040D540	0040DBB9	cf_branch_target_0040DBB9	disabled	apply=0
0040D540	0040DC04	cf_join_0040DC04	disabled	apply=0
0040D540	0040DD8A	cf_join_0040DD8A	disabled	apply=0
0040D540	0040DDE1	cf_join_0040DDE1	disabled	apply=0
0040E0F0	0040E872	cf_join_0040E872	disabled	apply=0
0040FC40	00410872	cf_join_00410872	disabled	apply=0
0040FC40	00410987	cf_join_00410987	disabled	apply=0
0040FC40	0041098F	cf_common_exit_0041098F	unchanged	label is already primary
0040FC40	004109FD	cf_break_loop_004109FD	disabled	apply=0
00410DC0	00411005	cf_break_loop_00411005	unchanged	label is already primary
00411260	00411975	cf_join_00411975	disabled	apply=0
00411E50	004125C1	cf_join_004125C1	disabled	apply=0
00413170	0041321E	cf_join_0041321E	disabled	apply=0
00413170	0041329B	cf_join_0041329B	disabled	apply=0
00413170	0041330A	cf_join_0041330A	disabled	apply=0
00413170	00413319	cf_branch_target_00413319	disabled	apply=0
00413170	004133AD	cf_continue_loop_004133AD	unchanged	label is already primary
00413170	00413426	cf_join_00413426	disabled	apply=0
00413170	00413487	cf_join_00413487	disabled	apply=0
00413170	00413496	cf_branch_target_00413496	disabled	apply=0
00413170	004134EC	cf_break_loop_004134EC	unchanged	label is already primary
00413170	0041350C	cf_join_0041350C	disabled	apply=0
00413170	00413585	cf_join_00413585	disabled	apply=0
00413170	004135D8	cf_join_004135D8	disabled	apply=0
00413170	00413620	cf_common_exit_00413620	unchanged	label is already primary
00413AF0	0041463F	cf_join_0041463F	disabled	apply=0
00414A70	00414BC1	cf_join_00414BC1	disabled	apply=0
00414A70	00414C44	cf_join_00414C44	disabled	apply=0
00414A70	00414CCC	cf_join_00414CCC	disabled	apply=0
00414A70	00414E8A	cf_break_loop_00414E8A	unchanged	label is already primary
00415160	00415467	cf_join_00415467	disabled	apply=0
00415160	00415472	cf_join_00415472	disabled	apply=0
00415590	004157E1	cf_join_004157E1	disabled	apply=0
00415590	004157F0	cf_join_004157F0	disabled	apply=0
00415ED0	004160CD	cf_join_004160CD	disabled	apply=0
00416400	004166C7	cf_join_004166C7	disabled	apply=0
00417740	004177BE	cf_common_exit_004177BE	unchanged	label is already primary
00417910	00417989	cf_common_exit_00417989	unchanged	label is already primary
00418030	004183B8	cf_join_004183B8	disabled	apply=0
00418030	0041862B	cf_join_0041862B	disabled	apply=0
00418D20	00418E38	cf_join_00418E38	disabled	apply=0
00418D20	00418E39	cf_join_00418E39	disabled	apply=0
00418D20	00418EF4	cf_join_00418EF4	disabled	apply=0
00418D20	00418F58	cf_join_00418F58	disabled	apply=0
00418D20	00418FBD	cf_join_00418FBD	disabled	apply=0
00418D20	00418FBE	cf_join_00418FBE	disabled	apply=0
00418D20	00419240	cf_join_00419240	disabled	apply=0
00418D20	00419296	cf_join_00419296	disabled	apply=0
00418D20	004192C9	cf_join_004192C9	disabled	apply=0
00418D20	00419446	cf_join_00419446	disabled	apply=0
00419DF0	00419F6C	cf_common_exit_00419F6C	unchanged	label is already primary
0041AF40	0041B128	cf_join_0041B128	disabled	apply=0
0041AF40	0041B237	cf_join_0041B237	disabled	apply=0
0041AF40	0041B26C	cf_join_0041B26C	disabled	apply=0
0041AF40	0041B2A1	cf_join_0041B2A1	disabled	apply=0
0041AF40	0041B2D2	cf_join_0041B2D2	disabled	apply=0
0041AF40	0041B308	cf_join_0041B308	disabled	apply=0
0041AF40	0041B6C6	cf_common_exit_0041B6C6	unchanged	label is already primary
0041AF40	0041B8F6	cf_join_0041B8F6	disabled	apply=0
0041AF40	0041B92C	cf_join_0041B92C	disabled	apply=0
0041AF40	0041BA2A	cf_join_0041BA2A	disabled	apply=0
0041AF40	0041BA5F	cf_join_0041BA5F	disabled	apply=0
0041AF40	0041BA90	cf_join_0041BA90	disabled	apply=0
0041AF40	0041BAC6	cf_join_0041BAC6	disabled	apply=0
0041AF40	0041BCAD	cf_join_0041BCAD	disabled	apply=0
0041AF40	0041BDB3	cf_join_0041BDB3	disabled	apply=0
0041AF40	0041BE5F	cf_common_exit_0041BE5F	unchanged	label is already primary
0041E530	0041EBC0	cf_join_0041EBC0	disabled	apply=0
0041E530	0041EC79	cf_join_0041EC79	disabled	apply=0
0041E530	0041ECCC	cf_join_0041ECCC	disabled	apply=0
0041F3B0	0041F51A	cf_join_0041F51A	disabled	apply=0
0041F3B0	0041F5A0	cf_join_0041F5A0	disabled	apply=0
0041F630	0041F738	cf_join_0041F738	disabled	apply=0
0041F630	0041F76A	cf_join_0041F76A	disabled	apply=0
0041F630	0041F78A	cf_join_0041F78A	disabled	apply=0
0041F630	0041F793	cf_join_0041F793	disabled	apply=0
0041F9B0	0041FDC6	cf_join_0041FDC6	disabled	apply=0
0041F9B0	0041FE0D	cf_join_0041FE0D	disabled	apply=0
0041F9B0	0041FFFD	cf_join_0041FFFD	disabled	apply=0
0041F9B0	0042004A	cf_continue_loop_0042004A	unchanged	label is already primary
00420340	00420557	cf_join_00420557	disabled	apply=0
00420340	004205BA	cf_join_004205BA	disabled	apply=0
00420340	0042061A	cf_join_0042061A	disabled	apply=0
00420340	00420678	cf_join_00420678	disabled	apply=0
004210E0	004212F3	cf_join_004212F3	disabled	apply=0
004248D0	00424A62	cf_join_00424A62	disabled	apply=0
004248D0	00424ADA	cf_branch_target_00424ADA	disabled	apply=0
004248D0	00424BEF	cf_branch_target_00424BEF	disabled	apply=0
004248D0	00424C56	cf_join_00424C56	disabled	apply=0
004248D0	00424CCA	cf_join_00424CCA	disabled	apply=0
004248D0	00424CCC	cf_common_exit_00424CCC	disabled	apply=0
00424E10	0042596F	cf_join_0042596F	disabled	apply=0
00424E10	004259C4	cf_join_004259C4	disabled	apply=0
00424E10	00425B8A	cf_join_00425B8A	disabled	apply=0
00424E10	00425BAD	cf_join_00425BAD	disabled	apply=0
00424E10	00425BC3	cf_join_00425BC3	disabled	apply=0
00424E10	00425BDC	cf_join_00425BDC	disabled	apply=0
00424E10	00425BF9	cf_join_00425BF9	disabled	apply=0
00424E10	00425D75	cf_join_00425D75	disabled	apply=0
00424E10	00425DD3	cf_join_00425DD3	disabled	apply=0
00424E10	00425E40	cf_join_00425E40	disabled	apply=0
00424E10	00425E63	cf_join_00425E63	disabled	apply=0
00424E10	00425E6C	cf_join_00425E6C	disabled	apply=0
00424E10	00425EEB	cf_join_00425EEB	disabled	apply=0
00424E10	00425FAC	cf_join_00425FAC	disabled	apply=0
00424E10	0042605B	cf_join_0042605B	disabled	apply=0
00424E10	004260A9	cf_join_004260A9	disabled	apply=0
00424E10	004260CC	cf_join_004260CC	disabled	apply=0
00424E10	00426157	cf_join_00426157	disabled	apply=0
00424E10	00426163	cf_join_00426163	disabled	apply=0
00424E10	00426186	cf_join_00426186	disabled	apply=0
00424E10	0042618F	cf_join_0042618F	disabled	apply=0
00424E10	004261A9	cf_join_004261A9	disabled	apply=0
00424E10	004261B5	cf_join_004261B5	disabled	apply=0
00424E10	004261D8	cf_join_004261D8	disabled	apply=0
00424E10	00426205	cf_join_00426205	disabled	apply=0
00424E10	00426215	cf_join_00426215	disabled	apply=0
00424E10	00426273	cf_join_00426273	disabled	apply=0
00424E10	0042627F	cf_join_0042627F	disabled	apply=0
00424E10	004262A2	cf_join_004262A2	disabled	apply=0
00424E10	00426339	cf_join_00426339	disabled	apply=0
00424E10	004263C4	cf_join_004263C4	disabled	apply=0
00424E10	004263EB	cf_join_004263EB	disabled	apply=0
00424E10	0042640E	cf_join_0042640E	disabled	apply=0
00424E10	00426417	cf_join_00426417	disabled	apply=0
00424E10	00426527	cf_join_00426527	disabled	apply=0
00424E10	0042654A	cf_join_0042654A	disabled	apply=0
00424E10	004265CD	cf_join_004265CD	disabled	apply=0
00424E10	00426606	cf_join_00426606	disabled	apply=0
00424E10	00426637	cf_branch_target_00426637	disabled	apply=0
00424E10	0042678E	cf_break_loop_0042678E	disabled	apply=0
00424E10	004267D5	cf_join_004267D5	disabled	apply=0
00427090	004278F1	cf_join_004278F1	disabled	apply=0
00427090	00427930	cf_join_00427930	disabled	apply=0
00427BB0	00427CCA	cf_join_00427CCA	disabled	apply=0
00427F20	004286BB	cf_branch_target_004286BB	disabled	apply=0
00427F20	004286D0	cf_common_join_004286D0	unchanged	label is already primary
00428B20	00428B85	cf_join_00428B85	disabled	apply=0
00428B20	00428C07	cf_join_00428C07	disabled	apply=0
00428CE0	00428D4E	cf_join_00428D4E	disabled	apply=0
00428E50	00428E95	cf_join_00428E95	disabled	apply=0
00428E50	004292E2	cf_join_004292E2	disabled	apply=0
00428E50	004293C6	cf_join_004293C6	disabled	apply=0
00428E50	00429475	cf_join_00429475	disabled	apply=0
00428E50	0042958F	cf_join_0042958F	disabled	apply=0
00428E50	004296CF	cf_continue_loop_004296CF	unchanged	label is already primary
00428E50	00429715	cf_join_00429715	disabled	apply=0
00428E50	00429D7A	cf_join_00429D7A	disabled	apply=0
00428E50	00429D7D	cf_join_00429D7D	disabled	apply=0
0042A780	0042A7E7	cf_join_0042A7E7	disabled	apply=0
0042ABE0	0042B01C	cf_join_0042B01C	disabled	apply=0
0042ABE0	0042B01F	cf_join_0042B01F	disabled	apply=0
0042ABE0	0042B022	cf_common_join_0042B022	unchanged	label is already primary
0042B1F0	0042B469	cf_join_0042B469	disabled	apply=0
