apply	function_address	expected_function	expected_signature	label_address	decompiler_label	existing_primary_name	existing_primary_source	proposed_name	kind	goto_count	cfg_incoming	back_edges_into	back_edges_from	confidence	reason	preview
0	0040AE40	FUN_0040ae40	int __thiscall FUN_0040ae40(void * this, uint param_1, char param_2)	0040B258	joined_r0x0040b258			cf_branch_target_0040B258	branch_target	1	1	0	0	review	single-predecessor unstructured target	0040B23B IMUL EDI,ESI; 0040B23E ADD EDI,EAX; 0040B240 ADD EDI,ECX; 0040B242 MOV ECX,dword ptr [0x007fb280]
0	0040AE40	FUN_0040ae40	int __thiscall FUN_0040ae40(void * this, uint param_1, char param_2)	0040B481	LAB_0040b481	LAB_0040b481	DEFAULT	cf_join_0040B481	join	3	11	0	0	medium	multi-predecessor target; semantic role requires review	0040B481 TEST EDI,EDI; 0040B483 JZ 0x0040b56a
0	0040AE40	FUN_0040ae40	int __thiscall FUN_0040ae40(void * this, uint param_1, char param_2)	0040B56A	LAB_0040b56a	LAB_0040b56a	DEFAULT	cf_join_0040B56A	join	2	3	0	0	medium	multi-predecessor target; semantic role requires review	0040B56A MOV EAX,dword ptr [EBX + 0x9f]; 0040B570 TEST EAX,EAX; 0040B572 JNZ 0x0040b941
0	0040C080	FUN_0040c080	undefined4 * __thiscall FUN_0040c080(void * this, uint param_1, uint * param_2)	0040C875	LAB_0040c875	LAB_0040c875	DEFAULT	cf_join_0040C875	join	1	2	0	0	medium	multi-predecessor target; semantic role requires review	0040C875 MOV DX,word ptr [EAX + EDX*0x2]; 0040C879 AND EDX,0xc000; 0040C87F CMP EDX,0xc000; 0040C885 JZ 0x0040c945
0	0040C080	FUN_0040c080	undefined4 * __thiscall FUN_0040c080(void * this, uint param_1, uint * param_2)	0040C8F3	joined_r0x0040c8f3			cf_branch_target_0040C8F3	branch_target	1	1	0	0	review	single-predecessor unstructured target	0040C8D5 MOV ECX,dword ptr [EBP + 0xffffff60]; 0040C8DB MOVSX ECX,word ptr [ECX*0x8 + 0x7ed570]; 0040C8E3 MOV DX,word ptr [EAX + ECX*0x2]; 0040C8E7 AND EDX,0xc000
0	0040C080	FUN_0040c080	undefined4 * __thiscall FUN_0040c080(void * this, uint param_1, uint * param_2)	0040C90D	LAB_0040c90d	LAB_0040c90d	DEFAULT	cf_join_0040C90D	join	2	6	0	0	medium	multi-predecessor target; semantic role requires review	0040C90D MOV EDX,dword ptr [EBP + -0x5c]; 0040C910 IMUL EDX,dword ptr [EBP + -0x60]; 0040C914 IMUL EDI,dword ptr [EBP + -0x28]; 0040C918 MOV ECX,dword ptr [EBP + -0x4c]
0	0040CC80	FUN_0040cc80	int __thiscall FUN_0040cc80(void * this, uint param_1)	0040CD0A	LAB_0040cd0a	LAB_0040cd0a	DEFAULT	cf_join_0040CD0A	join	1	2	0	0	medium	multi-predecessor target; semantic role requires review	0040CD0A MOV EDX,dword ptr [EAX + 0xa7]; 0040CD10 XOR ESI,ESI; 0040CD12 LEA ECX,[ECX + EDX*0x1 + 0x1]; 0040CD16 MOV EDX,dword ptr [EAX + 0x9f]
0	0040CE20	FUN_0040ce20	int __stdcall FUN_0040ce20(AnonShape_0040D540_1BB7A4CF * param_1, AnonShape_0040CE20_D3328A6B * param_2, int * param_3, int * param_4, int * param_5, uint * param_6)	0040D327	joined_r0x0040d327			cf_branch_target_0040D327	branch_target	3	1	0	0	review	single-predecessor unstructured target	0040D30F MOVSX ECX,word ptr [ESI + 0x4b]; 0040D313 MOVSX EDX,AX; 0040D316 MOVSX EAX,word ptr [EDI]; 0040D319 PUSH ECX; calls=FUN_00497920
0	0040CE20	FUN_0040ce20	int __stdcall FUN_0040ce20(AnonShape_0040D540_1BB7A4CF * param_1, AnonShape_0040CE20_D3328A6B * param_2, int * param_3, int * param_4, int * param_5, uint * param_6)	0040D369	LAB_0040d369	LAB_0040d369	DEFAULT	cf_join_0040D369	join	2	3	0	0	medium	multi-predecessor target; semantic role requires review	0040D369 MOVSX ECX,word ptr [EDI]; 0040D36C MOV EDX,dword ptr [EBP + 0x10]; 0040D36F MOV dword ptr [EDX],ECX; 0040D371 MOV EDX,dword ptr [EBP + 0x14]
0	0040D540	FUN_0040d540	int __stdcall FUN_0040d540(AnonShape_0040D540_1BB7A4CF * param_1, uint param_2)	0040D750	LAB_0040d750	LAB_0040d750	DEFAULT	cf_join_0040D750	join	1	2	0	0	medium	multi-predecessor target; semantic role requires review	0040D750 ADD EAX,0x3
