owner	field_offset	status	detail
AiFltClassTy	535	disabled	apply=0
AiFltClassTy	571	disabled	apply=0
AiPlrClassTy	1697	unchanged	element=unchanged /SubmarineTitans/Recovered/DArrayElements/AiPlrClassTy_field_06A1Element; descriptor=unchanged /SubmarineTitans/Recovered/DArraySpecializations/AiPlrClassTy_field_06A1DArray; verified=5 fields [0x0=field_0000, 0x1=field_0001, 0x3=field_0003, 0x7=state, 0x8=field_0008]; owner field already specialized
AiPlrClassTy	1709	disabled	apply=0
AiTactClassTy	177	disabled	apply=0
AiTactClassTy	201	disabled	apply=0
CPanelTy	2965	disabled	apply=0
ChooseMapTy	7323	disabled	apply=0
FSGSTy	7846	unchanged	element=unchanged /SubmarineTitans/Recovered/DArrayElements/FSGSTy_field_1EA6Element; descriptor=unchanged /SubmarineTitans/Recovered/DArraySpecializations/FSGSTy_field_1EA6DArray; verified=4 fields [0x0=field_0000, 0x1=field_0001, 0x21=field_0021, 0x29=field_0029]; owner field already specialized
MTaskTy	116	unchanged	element=unchanged /SubmarineTitans/Recovered/DArrayElements/MTaskTy_field_0074Element; descriptor=unchanged /SubmarineTitans/Recovered/DArraySpecializations/MTaskTy_field_0074DArray; verified=4 fields [0x5=field_0005, 0xA=field_000A, 0x1A=field_001A, 0x1E=field_001E]; owner field already specialized
MTaskTy	1607	disabled	apply=0
MTaskTy	1611	disabled	apply=0
MTaskTy	1615	disabled	apply=0
OptPanelTy	493	disabled	apply=0
STBoatC	1147	disabled	apply=0
STGroupBoatC	239	disabled	apply=0
STGroupBoatC	271	disabled	apply=0
STGroupBoatC	295	disabled	apply=0
STGroupBoatC	352	disabled	apply=0
STGroupBoatC	360	disabled	apply=0
STGroupBoatC	458	disabled	apply=0
STGroupBoatC	462	disabled	apply=0
STGroupBoatC	466	disabled	apply=0
STGroupBoatC	470	disabled	apply=0
STGroupBoatC	474	disabled	apply=0
STGroupBoatC	526	disabled	apply=0
STGroupBoatC	550	disabled	apply=0
STGroupBoatC	554	disabled	apply=0
STGroupBoatC	558	disabled	apply=0
STGroupBoatC	590	disabled	apply=0
STGroupBoatC	614	disabled	apply=0
STTorpC	577	disabled	apply=0
SettMapMTy	8751	disabled	apply=0
