apply	element_type_path	offset	size	proposed_name	proposed_type	evidence_count	reason
1	/SubmarineTitans/Recovered/DArrayElements/AiPlrClassTy_field_06A1Element	0	1	field_0000	/undefined1	1	observed_types={/undefined1=1}; semantic_roles={}; role_sites=; source_names={}; sites=existing generated baseline /SubmarineTitans/Recovered/DArrayElements/AiPlrClassTy_field_06A1Element
1	/SubmarineTitans/Recovered/DArrayElements/AiPlrClassTy_field_06A1Element	1	2	field_0001	/short	2	observed_types={/short=6}; semantic_roles={}; role_sites=; source_names={}; sites=0067B520 pvVar10->field_0001 | existing generated baseline /SubmarineTitans/Recovered/DArrayElements/AiPlrClassTy_field_06A1Element
1	/SubmarineTitans/Recovered/DArrayElements/AiPlrClassTy_field_06A1Element	3	2	field_0003	/short	2	observed_types={/short=5}; semantic_roles={}; role_sites=; source_names={}; sites=0067B520 pvVar10->field_0003 | existing generated baseline /SubmarineTitans/Recovered/DArrayElements/AiPlrClassTy_field_06A1Element
1	/SubmarineTitans/Recovered/DArrayElements/AiPlrClassTy_field_06A1Element	7	1	state	/byte	2	observed_types={/byte=9}; semantic_roles={state=3}; role_sites=0067B520 small assigned/compared domain=[0, 1, 2]; source_names={}; sites=0067B520 pvVar10->state | existing generated baseline /SubmarineTitans/Recovered/DArrayElements/AiPlrClassTy_field_06A1Element
1	/SubmarineTitans/Recovered/DArrayElements/AiPlrClassTy_field_06A1Element	8	2	field_0008	/ushort	2	observed_types={/ushort=7}; semantic_roles={}; role_sites=; source_names={}; sites=0067B520 pvVar10->field_0008 | existing generated baseline /SubmarineTitans/Recovered/DArrayElements/AiPlrClassTy_field_06A1Element
0	/SubmarineTitans/Recovered/DArrayElements/AiTactClassTy_field_00A5Element	4	4	field_0004	pointer:/AiFltClassTy	13	observed_types={/int=5, /uint=2, /undefined4=9, pointer:/AiFltClassTy=20, pointer:/SubmarineTitans/Recovered/HiddenThis/AnonReceiver_0065DA50=2, pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_00660D40_E58DF1E6=6}; semantic_roles={}; role_sites=; source_names={}; sites=0068E290 puVar4[1] | 0068E480 puVar5[1] | 0068E610 puVar1[1] | 0068E730 puVar3[1] | 0068EC70 puVar10[1] | 0068EC70 puVar13+0x4 | 0068F020 puVar7+0x4 | 0068FD00 puVar5+0x4 | 00690230 puVar1+0x4 | 006902B0 puVar1+0x4 | 00690650 puVar11+0x4 | 00690B90 puVar7[1] | existing generated baseline /SubmarineTitans/Recovered/DArrayElements/AiTactClassTy_field_00A5Element
1	/SubmarineTitans/Recovered/DArrayElements/AiTactClassTy_field_00BDElement	0	1	field_0000	/undefined1	2	observed_types={/undefined1=2}; semantic_roles={}; role_sites=; source_names={}; sites=0068F020 *puVar7 | existing generated baseline /SubmarineTitans/Recovered/DArrayElements/AiTactClassTy_field_00BDElement
1	/SubmarineTitans/Recovered/DArrayElements/AiTactClassTy_field_00BDElement	4	4	field_0004	pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_00660D40_E58DF1E6	2	observed_types={pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_00660D40_E58DF1E6=5}; semantic_roles={}; role_sites=; source_names={}; sites=0068F020 puVar7+0x4 | existing generated baseline /SubmarineTitans/Recovered/DArrayElements/AiTactClassTy_field_00BDElement
1	/SubmarineTitans/Recovered/DArrayElements/AiTactClassTy_field_00BDElement	12	2	field_000C	/ushort	2	observed_types={/ushort=2}; semantic_roles={}; role_sites=; source_names={}; sites=0068F020 puVar7+0xC | existing generated baseline /SubmarineTitans/Recovered/DArrayElements/AiTactClassTy_field_00BDElement
1	/SubmarineTitans/Recovered/DArrayElements/AiTactClassTy_field_00BDElement	14	4	field_000E	/int	2	observed_types={/int=3}; semantic_roles={}; role_sites=; source_names={}; sites=0068EC70 puVar14->field_000E | existing generated baseline /SubmarineTitans/Recovered/DArrayElements/AiTactClassTy_field_00BDElement
1	/SubmarineTitans/Recovered/DArrayElements/AiTactClassTy_field_00BDElement	18	4	field_0012	/int	2	observed_types={/int=3}; semantic_roles={}; role_sites=; source_names={}; sites=0068EC70 puVar14->field_0012 | existing generated baseline /SubmarineTitans/Recovered/DArrayElements/AiTactClassTy_field_00BDElement
1	/SubmarineTitans/Recovered/DArrayElements/AiTactClassTy_field_00BDElement	44	4	state	/int	2	observed_types={/int=9}; semantic_roles={state=3}; role_sites=0068EC70 small assigned/compared domain=[1, 2, 3]; source_names={}; sites=0068EC70 puVar14->state | existing generated baseline /SubmarineTitans/Recovered/DArrayElements/AiTactClassTy_field_00BDElement
1	/SubmarineTitans/Recovered/DArrayElements/AiTactClassTy_field_00BDElement	48	4	field_0030	pointer:/AiFltClassTy	3	observed_types={/int=1, /uint=1, pointer:/AiFltClassTy=2}; semantic_roles={}; role_sites=; source_names={}; sites=0068EC70 puVar14->field_0030 | 0068F020 puVar7+0x30 | existing generated baseline /SubmarineTitans/Recovered/DArrayElements/AiTactClassTy_field_00BDElement
1	/SubmarineTitans/Recovered/DArrayElements/AiTactClassTy_field_00BDElement	52	4	field_0034	/uint	2	observed_types={/uint=4}; semantic_roles={}; role_sites=; source_names={}; sites=0068EC70 puVar14->field_0034 | existing generated baseline /SubmarineTitans/Recovered/DArrayElements/AiTactClassTy_field_00BDElement
1	/SubmarineTitans/Recovered/DArrayElements/AiTactClassTy_field_00BDElement	56	2	field_0038	/undefined2	2	observed_types={/undefined2=2}; semantic_roles={}; role_sites=; source_names={}; sites=0068EC70 puVar14->field_0038 | existing generated baseline /SubmarineTitans/Recovered/DArrayElements/AiTactClassTy_field_00BDElement
1	/SubmarineTitans/Recovered/DArrayElements/AiTactClassTy_field_00BDElement	58	4	field_003A	/int	2	observed_types={/int=4}; semantic_roles={}; role_sites=; source_names={}; sites=0068EC70 puVar14->field_003A | existing generated baseline /SubmarineTitans/Recovered/DArrayElements/AiTactClassTy_field_00BDElement
