apply	function_address	owner	field_offset	rendered_alias	assignment_address	expected_alias_type	element_type_path	descriptor_type_path	split_required	confidence	reason
1	004EFFE0	BldLabPanelTy	634	pGStack_8	004F0043	pointer:/SubmarineTitans/Recovered/Enums/Global_sub_00526BA0_param_1Enum	/SubmarineTitans/Recovered/DArrayElements/BldLabPanelTy_field_027AElement	/SubmarineTitans/Recovered/DArraySpecializations/BldLabPanelTy_field_027ADArray	0	high	one SSA alias lifetime contains only matching DArray element addresses and null assignments
1	004F0210	BldLabPanelTy	634	pGVar7	004F02FE	pointer:/SubmarineTitans/Recovered/Enums/Global_sub_00526BA0_param_1Enum	/SubmarineTitans/Recovered/DArrayElements/BldLabPanelTy_field_027AElement	/SubmarineTitans/Recovered/DArraySpecializations/BldLabPanelTy_field_027ADArray	1	high	rendered local has other roles; split only the merge group whose defining assignment is the matching DArray address
0	004FF380	CPanelTy	2965	piVar7	004FF6DD	pointer:/int	/SubmarineTitans/Recovered/DArrayElements/CPanelTy_field_0B95Element	/SubmarineTitans/Recovered/DArraySpecializations/CPanelTy_field_0B95DArray	1	review	rendered local has other roles; split only the merge group whose defining assignment is the matching DArray address
0	00510E30	HelpPanelTy	443	pUVar11	0051103C	pointer:/WinDef.h/UINT	/SubmarineTitans/Recovered/DArrayElements/HelpPanelTy_field_01BBElement	/SubmarineTitans/Recovered/DArraySpecializations/HelpPanelTy_field_01BBDArray	0	review	one SSA alias lifetime contains only matching DArray element addresses and null assignments
0	00510E30	HelpPanelTy	443	pUVar14	00511026	pointer:/WinDef.h/UINT	/SubmarineTitans/Recovered/DArrayElements/HelpPanelTy_field_01BBElement	/SubmarineTitans/Recovered/DArraySpecializations/HelpPanelTy_field_01BBDArray	0	review	one SSA alias lifetime contains only matching DArray element addresses and null assignments
0	00510E30	HelpPanelTy	443	pvVar4	00510F7A	pointer:/undefined1	/SubmarineTitans/Recovered/DArrayElements/HelpPanelTy_field_01BBElement	/SubmarineTitans/Recovered/DArraySpecializations/HelpPanelTy_field_01BBDArray	0	review	one SSA alias lifetime contains only matching DArray element addresses and null assignments
0	00514330	HelpPanelTy	459	puVar6	0051438D	pointer:/undefined1	/SubmarineTitans/Recovered/DArrayElements/HelpPanelTy_field_01CBElement	/SubmarineTitans/Recovered/DArraySpecializations/HelpPanelTy_field_01CBDArray	0	review	one SSA alias lifetime contains only matching DArray element addresses and null assignments
0	005145E0	HelpPanelTy	459	puVar6	00514643	pointer:/undefined1	/SubmarineTitans/Recovered/DArrayElements/HelpPanelTy_field_01CBElement	/SubmarineTitans/Recovered/DArraySpecializations/HelpPanelTy_field_01CBDArray	0	review	one SSA alias lifetime contains only matching DArray element addresses and null assignments
0	0051DDD0	HelpPanelTy	443	local_1c	0051EA70	pointer:/int	/SubmarineTitans/Recovered/DArrayElements/HelpPanelTy_field_01BBElement	/SubmarineTitans/Recovered/DArraySpecializations/HelpPanelTy_field_01BBDArray	1	review	rendered local has other roles; split only the merge group whose defining assignment is the matching DArray address
0	0051DDD0	HelpPanelTy	443	local_8	0051EC91	pointer:/WinDef.h/UINT	/SubmarineTitans/Recovered/DArrayElements/HelpPanelTy_field_01BBElement	/SubmarineTitans/Recovered/DArraySpecializations/HelpPanelTy_field_01BBDArray	1	review	rendered local has other roles; split only the merge group whose defining assignment is the matching DArray address
0	0051DDD0	HelpPanelTy	471	piVar10		pointer:/int	/SubmarineTitans/Recovered/DArrayElements/HelpPanelTy_field_01D7Element	/SubmarineTitans/Recovered/DArraySpecializations/HelpPanelTy_field_01D7DArray	1	review	rendered local has other roles; split only the merge group whose defining assignment is the matching DArray address
0	005325B0	OptPanelTy	765	puVar12	0053284F	pointer:/uint	/SubmarineTitans/Recovered/DArrayElements/OptPanelTy_field_02FDElement	/SubmarineTitans/Recovered/DArraySpecializations/OptPanelTy_field_02FDDArray	1	review	rendered local has other roles; split only the merge group whose defining assignment is the matching DArray address
1	00555D90	TraksClassTy	36	psVar4		pointer:/short	/SubmarineTitans/Recovered/DArrayElements/TraksClassTy_field_0024Element	/SubmarineTitans/Recovered/DArraySpecializations/TraksClassTy_field_0024DArray	1	high	rendered local has other roles; split only the merge group whose defining assignment is the matching DArray address
1	00555E80	TraksClassTy	36	psVar5	00555EFD	pointer:/short	/SubmarineTitans/Recovered/DArrayElements/TraksClassTy_field_0024Element	/SubmarineTitans/Recovered/DArraySpecializations/TraksClassTy_field_0024DArray	0	high	one SSA alias lifetime contains only matching DArray element addresses and null assignments
1	00556170	TraksClassTy	36	psVar5	005561E9	pointer:/short	/SubmarineTitans/Recovered/DArrayElements/TraksClassTy_field_0024Element	/SubmarineTitans/Recovered/DArraySpecializations/TraksClassTy_field_0024DArray	1	high	rendered local has other roles; split only the merge group whose defining assignment is the matching DArray address
1	00557C90	VisibleClassTy	272	pcVar7	00557E19	pointer:/char	/SubmarineTitans/Recovered/DArrayElements/VisibleClassTy_field_0110Element	/SubmarineTitans/Recovered/DArraySpecializations/VisibleClassTy_field_0110DArray	0	high	one SSA alias lifetime contains only matching DArray element addresses and null assignments
1	00558840	VisibleClassTy	272	pcVar3	005589E0	pointer:/char	/SubmarineTitans/Recovered/DArrayElements/VisibleClassTy_field_0110Element	/SubmarineTitans/Recovered/DArraySpecializations/VisibleClassTy_field_0110DArray	1	high	rendered local has other roles; split only the merge group whose defining assignment is the matching DArray address
1	0055AB50	VisibleClassTy	244	piVar6	0055ABBD	pointer:/int	/SubmarineTitans/Recovered/DArrayElements/VisibleClassTy_field_00F4Element	/SubmarineTitans/Recovered/DArraySpecializations/VisibleClassTy_field_00F4DArray	0	high	one SSA alias lifetime contains only matching DArray element addresses and null assignments
1	0055B7F0	VisibleClassTy	272	pcVar1	0055B87A	pointer:/char	/SubmarineTitans/Recovered/DArrayElements/VisibleClassTy_field_0110Element	/SubmarineTitans/Recovered/DArraySpecializations/VisibleClassTy_field_0110DArray	1	high	rendered local has other roles; split only the merge group whose defining assignment is the matching DArray address
1	005A3540	FSGSTy	7870	puStack_c	005A3620	pointer:/uint	/SubmarineTitans/Recovered/DArrayElements/FSGSTy_field_1EBEElement	/SubmarineTitans/Recovered/DArraySpecializations/FSGSTy_field_1EBEDArray	0	high	one SSA alias lifetime contains only matching DArray element addresses and null assignments
1	005A3540	FSGSTy	7870	puVar5	005A37D4	pointer:/uint	/SubmarineTitans/Recovered/DArrayElements/FSGSTy_field_1EBEElement	/SubmarineTitans/Recovered/DArraySpecializations/FSGSTy_field_1EBEDArray	1	high	rendered local has other roles; split only the merge group whose defining assignment is the matching DArray address
1	005A4350	FSGSTy	7870	local_10	005A892B	pointer:/uint	/SubmarineTitans/Recovered/DArrayElements/FSGSTy_field_1EBEElement	/SubmarineTitans/Recovered/DArraySpecializations/FSGSTy_field_1EBEDArray	1	high	rendered local has other roles; split only the merge group whose defining assignment is the matching DArray address
1	005A4350	FSGSTy	7870	local_8	005A4E69	pointer:/uint	/SubmarineTitans/Recovered/DArrayElements/FSGSTy_field_1EBEElement	/SubmarineTitans/Recovered/DArraySpecializations/FSGSTy_field_1EBEDArray	1	high	rendered local has other roles; split only the merge group whose defining assignment is the matching DArray address
1	005A4350	FSGSTy	7870	puVar32	005A8046	pointer:/uint	/SubmarineTitans/Recovered/DArrayElements/FSGSTy_field_1EBEElement	/SubmarineTitans/Recovered/DArraySpecializations/FSGSTy_field_1EBEDArray	1	high	rendered local has other roles; split only the merge group whose defining assignment is the matching DArray address
1	005A4350	FSGSTy	8115	puVar32	005A7CD5	pointer:/uint	/SubmarineTitans/Recovered/DArrayElements/FSGSTy_field_1FB3Element	/SubmarineTitans/Recovered/DArraySpecializations/FSGSTy_field_1FB3DArray	1	high	rendered local has other roles; split only the merge group whose defining assignment is the matching DArray address
1	005C29B0	SettMapMTy	8060	puVar22	005C3274	pointer:/undefined1	/SubmarineTitans/Recovered/DArrayElements/SettMapMTy_field_1F7CElement	/SubmarineTitans/Recovered/DArraySpecializations/SettMapMTy_field_1F7CDArray	0	high	one SSA alias lifetime contains only matching DArray element addresses and null assignments
1	005C29B0	SettMapMTy	8060	puVar28	005C3261	pointer:/undefined1	/SubmarineTitans/Recovered/DArrayElements/SettMapMTy_field_1F7CElement	/SubmarineTitans/Recovered/DArraySpecializations/SettMapMTy_field_1F7CDArray	0	high	one SSA alias lifetime contains only matching DArray element addresses and null assignments
1	005CC2D0	SettMapMTy	8759	piVar2	005CC35A	pointer:/int	/SubmarineTitans/Recovered/DArrayElements/SettMapMTy_field_2237Element	/SubmarineTitans/Recovered/DArraySpecializations/SettMapMTy_field_2237DArray	0	high	one SSA alias lifetime contains only matching DArray element addresses and null assignments
1	005CCE10	SettMapMTy	8068	pcVar11	005CCF2E	pointer:/char	/SubmarineTitans/Recovered/DArrayElements/SettMapMTy_field_1F84Element	/SubmarineTitans/Recovered/DArraySpecializations/SettMapMTy_field_1F84DArray	0	high	one SSA alias lifetime contains only matching DArray element addresses and null assignments
1	005CD430	SettMapMTy	8068	pcVar6		pointer:/char	/SubmarineTitans/Recovered/DArrayElements/SettMapMTy_field_1F84Element	/SubmarineTitans/Recovered/DArraySpecializations/SettMapMTy_field_1F84DArray	1	high	rendered local has other roles; split only the merge group whose defining assignment is the matching DArray address
1	005CDB20	SettMapMTy	8068	pcVar7		pointer:/char	/SubmarineTitans/Recovered/DArrayElements/SettMapMTy_field_1F84Element	/SubmarineTitans/Recovered/DArraySpecializations/SettMapMTy_field_1F84DArray	1	high	rendered local has other roles; split only the merge group whose defining assignment is the matching DArray address
1	005CE0E0	SettMapMTy	8068	pcVar8		pointer:/char	/SubmarineTitans/Recovered/DArrayElements/SettMapMTy_field_1F84Element	/SubmarineTitans/Recovered/DArraySpecializations/SettMapMTy_field_1F84DArray	1	high	rendered local has other roles; split only the merge group whose defining assignment is the matching DArray address
1	005CE0E0	SettMapMTy	8759	local_10	005CF45F	pointer:/int	/SubmarineTitans/Recovered/DArrayElements/SettMapMTy_field_2237Element	/SubmarineTitans/Recovered/DArraySpecializations/SettMapMTy_field_2237DArray	1	high	rendered local has other roles; split only the merge group whose defining assignment is the matching DArray address
1	005CE0E0	SettMapMTy	8759	pAVar10	005CE8D4	pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_005D4990_5F0525CF	/SubmarineTitans/Recovered/DArrayElements/SettMapMTy_field_2237Element	/SubmarineTitans/Recovered/DArraySpecializations/SettMapMTy_field_2237DArray	0	high	one SSA alias lifetime contains only matching DArray element addresses and null assignments
1	005CFCD0	SettMapMTy	8068	pcVar4	005CFD32	pointer:/char	/SubmarineTitans/Recovered/DArrayElements/SettMapMTy_field_1F84Element	/SubmarineTitans/Recovered/DArraySpecializations/SettMapMTy_field_1F84DArray	0	high	one SSA alias lifetime contains only matching DArray element addresses and null assignments
1	005CFF40	SettMapMTy	8068	pcVar4	005CFFA5	pointer:/char	/SubmarineTitans/Recovered/DArrayElements/SettMapMTy_field_1F84Element	/SubmarineTitans/Recovered/DArraySpecializations/SettMapMTy_field_1F84DArray	0	high	one SSA alias lifetime contains only matching DArray element addresses and null assignments
1	005D0150	SettMapMTy	8068	pAVar6		pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_005D00B0_9E7CC102	/SubmarineTitans/Recovered/DArrayElements/SettMapMTy_field_1F84Element	/SubmarineTitans/Recovered/DArraySpecializations/SettMapMTy_field_1F84DArray	0	high	one SSA alias lifetime contains only matching DArray element addresses and null assignments
1	005D0150	SettMapMTy	8068	pcVar7	005D03A1	pointer:/char	/SubmarineTitans/Recovered/DArrayElements/SettMapMTy_field_1F84Element	/SubmarineTitans/Recovered/DArraySpecializations/SettMapMTy_field_1F84DArray	1	high	rendered local has other roles; split only the merge group whose defining assignment is the matching DArray address
1	005D0150	SettMapMTy	8068	pcVar8		pointer:/char	/SubmarineTitans/Recovered/DArrayElements/SettMapMTy_field_1F84Element	/SubmarineTitans/Recovered/DArraySpecializations/SettMapMTy_field_1F84DArray	1	high	rendered local has other roles; split only the merge group whose defining assignment is the matching DArray address
1	005D06C0	SettMapMTy	8068	pcVar3		pointer:/char	/SubmarineTitans/Recovered/DArrayElements/SettMapMTy_field_1F84Element	/SubmarineTitans/Recovered/DArraySpecializations/SettMapMTy_field_1F84DArray	1	high	rendered local has other roles; split only the merge group whose defining assignment is the matching DArray address
1	005D0850	SettMapMTy	8068	pcVar2		pointer:/char	/SubmarineTitans/Recovered/DArrayElements/SettMapMTy_field_1F84Element	/SubmarineTitans/Recovered/DArraySpecializations/SettMapMTy_field_1F84DArray	1	high	rendered local has other roles; split only the merge group whose defining assignment is the matching DArray address
