apply	owner	owner_type_path	field_offset	field_name	expected_field_type	element_size	element_type_path	descriptor_type_path	field_count	access_count	creation_sites	source_records	confidence	reason
0	AiFltClassTy	/AiFltClassTy	535	field_0217	pointer:/SubmarineTitans/Recovered/DArrayTy	-1	/SubmarineTitans/Recovered/DArrayElements/AiFltClassTy_field_0217Element	/SubmarineTitans/Recovered/DArraySpecializations/AiFltClassTy_field_0217DArray	0	0	0065D2A0 DArrayCreate elementSize=0x2C | 0065D2A0 DArrayCreate elementSize=0x34		conflict	DArrayCreate element_size={44=1, 52=1}; access_functions=0; field_accesses=0; selected_fields=0; inline_source_bases=[]; semantic_fields=0; primitive/invalid element size; insufficient non-overlapping element evidence
0	AiFltClassTy	/AiFltClassTy	571	field_023B	pointer:/SubmarineTitans/Recovered/DArrayTy	-1	/SubmarineTitans/Recovered/DArrayElements/AiFltClassTy_field_023BElement	/SubmarineTitans/Recovered/DArraySpecializations/AiFltClassTy_field_023BDArray	0	0	0065D2A0 DArrayCreate elementSize=0x14 | 0065D2A0 DArrayCreate elementSize=0x4 | 0065D2A0 DArrayCreate elementSize=0xC		conflict	DArrayCreate element_size={4=1, 12=1, 20=1}; access_functions=0; field_accesses=0; selected_fields=0; inline_source_bases=[]; semantic_fields=0; primitive/invalid element size; insufficient non-overlapping element evidence
1	AiPlrClassTy	/AiPlrClassTy	1697	field_06A1	pointer:/SubmarineTitans/Recovered/DArraySpecializations/AiPlrClassTy_field_06A1DArray	18	/SubmarineTitans/Recovered/DArrayElements/AiPlrClassTy_field_06A1Element	/SubmarineTitans/Recovered/DArraySpecializations/AiPlrClassTy_field_06A1DArray	5	20	00678980 DArrayCreate elementSize=0x12		high	DArrayCreate element_size=0x12; access_functions=1; field_accesses=20; selected_fields=5; inline_source_bases=[]; semantic_fields=1
0	AiPlrClassTy	/AiPlrClassTy	1709	field_06AD	pointer:/SubmarineTitans/Recovered/DArrayTy	28	/SubmarineTitans/Recovered/DArrayElements/AiPlrClassTy_field_06ADElement	/SubmarineTitans/Recovered/DArraySpecializations/AiPlrClassTy_field_06ADDArray	0	0	00678980 DArrayCreate elementSize=0x1C		review	DArrayCreate element_size=0x1C; access_functions=0; field_accesses=0; selected_fields=0; inline_source_bases=[]; semantic_fields=0; insufficient non-overlapping element evidence
0	AiTactClassTy	/AiTactClassTy	177	field_00B1	pointer:/SubmarineTitans/Recovered/DArrayTy	52	/SubmarineTitans/Recovered/DArrayElements/AiTactClassTy_field_00B1Element	/SubmarineTitans/Recovered/DArraySpecializations/AiTactClassTy_field_00B1DArray	0	0	0068DC80 DArrayCreate elementSize=0x34		review	DArrayCreate element_size=0x34; access_functions=0; field_accesses=0; selected_fields=0; inline_source_bases=[]; semantic_fields=0; insufficient non-overlapping element evidence
0	AiTactClassTy	/AiTactClassTy	201	field_00C9	pointer:/SubmarineTitans/Recovered/DArrayTy	8	/SubmarineTitans/Recovered/DArrayElements/AiTactClassTy_field_00C9Element	/SubmarineTitans/Recovered/DArraySpecializations/AiTactClassTy_field_00C9DArray	0	0	0068DC80 DArrayCreate elementSize=0x8		review	DArrayCreate element_size=0x8; access_functions=0; field_accesses=0; selected_fields=0; inline_source_bases=[]; semantic_fields=0; insufficient non-overlapping element evidence
0	CPanelTy	/CPanelTy	2965	field_0B95	pointer:/SubmarineTitans/Recovered/DArrayTy	9	/SubmarineTitans/Recovered/DArrayElements/CPanelTy_field_0B95Element	/SubmarineTitans/Recovered/DArraySpecializations/CPanelTy_field_0B95DArray	1	2	004F5690 DArrayCreate elementSize=0x9		review	DArrayCreate element_size=0x9; access_functions=1; field_accesses=2; selected_fields=1; inline_source_bases=[]; semantic_fields=0; owner layout is manual/hash-diverged; insufficient non-overlapping element evidence
0	ChooseMapTy	/ChooseMapTy	7323	field_1C9B	pointer:/SubmarineTitans/Recovered/DArrayTy	8	/SubmarineTitans/Recovered/DArrayElements/ChooseMapTy_field_1C9BElement	/SubmarineTitans/Recovered/DArraySpecializations/ChooseMapTy_field_1C9BDArray	0	0	005AFD00 DArrayCreate elementSize=0x8		review	DArrayCreate element_size=0x8; access_functions=0; field_accesses=0; selected_fields=0; inline_source_bases=[]; semantic_fields=0; insufficient non-overlapping element evidence
1	FSGSTy	/FSGSTy	7846	field_1EA6	pointer:/SubmarineTitans/Recovered/DArraySpecializations/FSGSTy_field_1EA6DArray	46	/SubmarineTitans/Recovered/DArrayElements/FSGSTy_field_1EA6Element	/SubmarineTitans/Recovered/DArraySpecializations/FSGSTy_field_1EA6DArray	4	50	0059DB20 DArrayCreate elementSize=0x2E		high	DArrayCreate element_size=0x2E; access_functions=4; field_accesses=50; selected_fields=4; inline_source_bases=[]; semantic_fields=0
1	MTaskTy	/MTaskTy	116	field_0074	pointer:/SubmarineTitans/Recovered/DArraySpecializations/MTaskTy_field_0074DArray	80	/SubmarineTitans/Recovered/DArrayElements/MTaskTy_field_0074Element	/SubmarineTitans/Recovered/DArraySpecializations/MTaskTy_field_0074DArray	4	19	005DFA30 DArrayCreate elementSize=0x50		high	DArrayCreate element_size=0x50; access_functions=1; field_accesses=19; selected_fields=4; inline_source_bases=[]; semantic_fields=0
0	MTaskTy	/MTaskTy	1607	field_0647	pointer:/SubmarineTitans/Recovered/DArrayTy	62	/SubmarineTitans/Recovered/DArrayElements/MTaskTy_field_0647Element	/SubmarineTitans/Recovered/DArraySpecializations/MTaskTy_field_0647DArray	0	0	005DFA30 DArrayCreate elementSize=0x3E		review	DArrayCreate element_size=0x3E; access_functions=0; field_accesses=0; selected_fields=0; inline_source_bases=[]; semantic_fields=0; insufficient non-overlapping element evidence
0	MTaskTy	/MTaskTy	1611	field_064B	pointer:/SubmarineTitans/Recovered/DArrayTy	158	/SubmarineTitans/Recovered/DArrayElements/MTaskTy_field_064BElement	/SubmarineTitans/Recovered/DArraySpecializations/MTaskTy_field_064BDArray	0	0	005DFA30 DArrayCreate elementSize=0x9E		review	DArrayCreate element_size=0x9E; access_functions=0; field_accesses=0; selected_fields=0; inline_source_bases=[]; semantic_fields=0; insufficient non-overlapping element evidence
0	MTaskTy	/MTaskTy	1615	field_064F	pointer:/SubmarineTitans/Recovered/DArrayTy	62	/SubmarineTitans/Recovered/DArrayElements/MTaskTy_field_064FElement	/SubmarineTitans/Recovered/DArraySpecializations/MTaskTy_field_064FDArray	0	0	005DFA30 DArrayCreate elementSize=0x3E		review	DArrayCreate element_size=0x3E; access_functions=0; field_accesses=0; selected_fields=0; inline_source_bases=[]; semantic_fields=0; insufficient non-overlapping element evidence
0	OptPanelTy	/OptPanelTy	493	field_01ED	pointer:/SubmarineTitans/Recovered/DArrayTy	8	/SubmarineTitans/Recovered/DArrayElements/OptPanelTy_field_01EDElement	/SubmarineTitans/Recovered/DArraySpecializations/OptPanelTy_field_01EDDArray	0	0	00532D50 DArrayCreate elementSize=0x8		review	DArrayCreate element_size=0x8; access_functions=0; field_accesses=0; selected_fields=0; inline_source_bases=[]; semantic_fields=0; insufficient non-overlapping element evidence
0	STBoatC	/STBoatC	1147	field_047B	pointer:/SubmarineTitans/Recovered/DArrayTy	14	/SubmarineTitans/Recovered/DArrayElements/STBoatC_field_047BElement	/SubmarineTitans/Recovered/DArraySpecializations/STBoatC_field_047BDArray	0	0	0048CC80 DArrayCreate elementSize=0xE		review	DArrayCreate element_size=0xE; access_functions=0; field_accesses=0; selected_fields=0; inline_source_bases=[]; semantic_fields=0; owner layout is manual/hash-diverged; insufficient non-overlapping element evidence
