apply	accessor_address	accessor	object_type_path	descriptor_type_path	source_kind	global_address	symbol	owner_type_path	field_offset	expected_type	expected_symbol_source	confidence	reason
1	00430470	STAllPlayersC::RegisterTorpedo	/STTorpC	/SubmarineTitans/Recovered/DArraySpecializations/DArrayOf_STTorpCPtr	global	007FA130	g_array_007FA130			pointer:/SubmarineTitans/Recovered/DArraySpecializations/DArrayOf_STTorpCPtr	ANALYSIS	high	DArrayGetElement copies one complete element into independently typed output local_8=/STTorpC *; source=g_array_007FA130; standalone global is DArray-compatible
1	00430470	STAllPlayersC::RegisterTorpedo	/STTorpC	/SubmarineTitans/Recovered/DArraySpecializations/DArrayOf_STTorpCPtr	global	007FA130	g_array_007FA130			pointer:/SubmarineTitans/Recovered/DArraySpecializations/DArrayOf_STTorpCPtr	ANALYSIS	high	DArrayGetElement copies one complete element into independently typed output local_8=/STTorpC *; source=g_array_007FA130; standalone global is DArray-compatible
1	00430620	STAllPlayersC::IsTorpLive	/STTorpC	/SubmarineTitans/Recovered/DArraySpecializations/DArrayOf_STTorpCPtr	global	007FA130	g_array_007FA130			pointer:/SubmarineTitans/Recovered/DArraySpecializations/DArrayOf_STTorpCPtr	ANALYSIS	high	DArrayGetElement copies one complete element into independently typed output local_8=/STTorpC *; source=g_array_007FA130; standalone global is DArray-compatible
1	00430960	STAllPlayersC::UnRegisterTorpedo	/STTorpC	/SubmarineTitans/Recovered/DArraySpecializations/DArrayOf_STTorpCPtr	global	007FA130	g_array_007FA130			pointer:/SubmarineTitans/Recovered/DArraySpecializations/DArrayOf_STTorpCPtr	ANALYSIS	high	DArrayGetElement copies one complete element into independently typed output local_8=/STTorpC *; source=g_array_007FA130; standalone global is DArray-compatible
1	004603B0	FUN_004603b0	/STTorpC	/SubmarineTitans/Recovered/DArraySpecializations/DArrayOf_STTorpCPtr	global	007FA130	g_array_007FA130			pointer:/SubmarineTitans/Recovered/DArraySpecializations/DArrayOf_STTorpCPtr	ANALYSIS	high	DArrayGetElement copies one complete element into independently typed output param_1=/STTorpC *; source=g_array_007FA130; standalone global is DArray-compatible
1	004608B0	STBoatC::Defence	/STTorpC	/SubmarineTitans/Recovered/DArraySpecializations/DArrayOf_STTorpCPtr	global	007FA130	g_array_007FA130			pointer:/SubmarineTitans/Recovered/DArraySpecializations/DArrayOf_STTorpCPtr	ANALYSIS	high	DArrayGetElement copies one complete element into independently typed output local_20=/STTorpC *; source=g_array_007FA130; standalone global is DArray-compatible
1	00471AC0	STBoatC::Guard	/STTorpC	/SubmarineTitans/Recovered/DArraySpecializations/DArrayOf_STTorpCPtr	global	007FA130	g_array_007FA130			pointer:/SubmarineTitans/Recovered/DArraySpecializations/DArrayOf_STTorpCPtr	ANALYSIS	high	DArrayGetElement copies one complete element into independently typed output local_20=/STTorpC *; source=g_array_007FA130; standalone global is DArray-compatible
1	0042B620	STAllPlayersC::GetObjPtr	/STGameObjC	/SubmarineTitans/Recovered/DArraySpecializations/DArrayOf_STGameObjCPtr	global	007FA154	g_array_007FA154			pointer:/SubmarineTitans/Recovered/DArraySpecializations/DArrayOf_STGameObjCPtr	ANALYSIS	high	concrete pointer return /STGameObjC; every non-null return derives from DArrayGetElement out-parameter objPtr; selector local array has 6 exact DArray sources; selector_assignments=[g_packedRecords_A62x8[objPtr].field3_0x9, g_array_007FA154, g_array_007FA158, g_array_007FA15C, g_array_007FA160, g_array_007FA164]; standalone global is DArray-compatible
1	0042B620	STAllPlayersC::GetObjPtr	/STGameObjC	/SubmarineTitans/Recovered/DArraySpecializations/DArrayOf_STGameObjCPtr	global	007FA158	g_array_007FA158			pointer:/SubmarineTitans/Recovered/DArraySpecializations/DArrayOf_STGameObjCPtr	ANALYSIS	high	concrete pointer return /STGameObjC; every non-null return derives from DArrayGetElement out-parameter objPtr; selector local array has 6 exact DArray sources; selector_assignments=[g_packedRecords_A62x8[objPtr].field3_0x9, g_array_007FA154, g_array_007FA158, g_array_007FA15C, g_array_007FA160, g_array_007FA164]; standalone global is DArray-compatible
1	0042B620	STAllPlayersC::GetObjPtr	/STGameObjC	/SubmarineTitans/Recovered/DArraySpecializations/DArrayOf_STGameObjCPtr	global	007FA15C	g_array_007FA15C			pointer:/SubmarineTitans/Recovered/DArraySpecializations/DArrayOf_STGameObjCPtr	ANALYSIS	high	concrete pointer return /STGameObjC; every non-null return derives from DArrayGetElement out-parameter objPtr; selector local array has 6 exact DArray sources; selector_assignments=[g_packedRecords_A62x8[objPtr].field3_0x9, g_array_007FA154, g_array_007FA158, g_array_007FA15C, g_array_007FA160, g_array_007FA164]; standalone global is DArray-compatible
