apply	family_id	function_address	expected_function	expected_signature	discriminator_ordinal	discriminator_name	discriminator_type	carrier_ordinal	carrier_name	carrier_type	case_value	type_path	size	layout	layout_sha256	confidence	evidence
1	STGroupBoatC_SetOrderData_00498D20	00498D20	STGroupBoatC::SetOrderData	void __thiscall SetOrderData(Global_sub_00498D20_param_1Enum orderType, void * data)	1	orderType	/SubmarineTitans/Recovered/Enums/Global_sub_00498D20_param_1Enum	2	data	pointer:/void	2	/SubmarineTitans/Recovered/DiscriminatedPayloads/STGroupBoatC_SetOrderData_00498D20_Case_2	4	0:4:/undefined4	3721c1a4bc2614672f12756d8efbf9468569c9f8985436e6d46d69d7adf377db	high	switch_expression=orderType; decompiler_case_reads; typed dereference *(undefined4 *)data
1	STGroupBoatC_SetOrderData_00498D20	00498D20	STGroupBoatC::SetOrderData	void __thiscall SetOrderData(Global_sub_00498D20_param_1Enum orderType, void * data)	1	orderType	/SubmarineTitans/Recovered/Enums/Global_sub_00498D20_param_1Enum	2	data	pointer:/void	4	/SubmarineTitans/Recovered/DiscriminatedPayloads/STGroupBoatC_SetOrderData_00498D20_Case_4	4	0:4:/undefined4	3721c1a4bc2614672f12756d8efbf9468569c9f8985436e6d46d69d7adf377db	high	switch_expression=orderType; decompiler_case_reads; typed dereference *(undefined4 *)data
1	STGroupBoatC_SetOrderData_00498D20	00498D20	STGroupBoatC::SetOrderData	void __thiscall SetOrderData(Global_sub_00498D20_param_1Enum orderType, void * data)	1	orderType	/SubmarineTitans/Recovered/Enums/Global_sub_00498D20_param_1Enum	2	data	pointer:/void	5	/SubmarineTitans/Recovered/DiscriminatedPayloads/STGroupBoatC_SetOrderData_00498D20_Case_5	4	0:4:/undefined4	3721c1a4bc2614672f12756d8efbf9468569c9f8985436e6d46d69d7adf377db	high	switch_expression=orderType; decompiler_case_reads; typed dereference *(undefined4 *)data
1	STGroupBoatC_SetOrderData_00498D20	00498D20	STGroupBoatC::SetOrderData	void __thiscall SetOrderData(Global_sub_00498D20_param_1Enum orderType, void * data)	1	orderType	/SubmarineTitans/Recovered/Enums/Global_sub_00498D20_param_1Enum	2	data	pointer:/void	6	/SubmarineTitans/Recovered/DiscriminatedPayloads/STGroupBoatC_SetOrderData_00498D20_Case_6	4	0:4:pointer:/SubmarineTitans/Recovered/DArrayTy	1dfa39cd8a9e83a84649f8a53bbcc8b768dcf60e2e890930d73977b6f3f88033	high	switch_expression=orderType; decompiler_case_reads; typed dereference *(DArrayTy **)data
1	STGroupBoatC_SetOrderData_00498D20	00498D20	STGroupBoatC::SetOrderData	void __thiscall SetOrderData(Global_sub_00498D20_param_1Enum orderType, void * data)	1	orderType	/SubmarineTitans/Recovered/Enums/Global_sub_00498D20_param_1Enum	2	data	pointer:/void	7	/SubmarineTitans/Recovered/DiscriminatedPayloads/STGroupBoatC_SetOrderData_00498D20_Case_7	4	0:4:/undefined4	3721c1a4bc2614672f12756d8efbf9468569c9f8985436e6d46d69d7adf377db	high	switch_expression=orderType; decompiler_case_reads; typed dereference *(undefined4 *)data
1	STGroupBoatC_SetOrderData_00498D20	00498D20	STGroupBoatC::SetOrderData	void __thiscall SetOrderData(Global_sub_00498D20_param_1Enum orderType, void * data)	1	orderType	/SubmarineTitans/Recovered/Enums/Global_sub_00498D20_param_1Enum	2	data	pointer:/void	8	/SubmarineTitans/Recovered/DiscriminatedPayloads/STGroupBoatC_SetOrderData_00498D20_Case_8	4	0:4:/undefined4	3721c1a4bc2614672f12756d8efbf9468569c9f8985436e6d46d69d7adf377db	high	switch_expression=orderType; decompiler_case_reads; typed dereference *(undefined4 *)data
0	STGroupBoatC_SetOrderData_00498D20	00498D20	STGroupBoatC::SetOrderData	void __thiscall SetOrderData(Global_sub_00498D20_param_1Enum orderType, void * data)	1	orderType	/SubmarineTitans/Recovered/Enums/Global_sub_00498D20_param_1Enum	2	data	pointer:/void	9	/SubmarineTitans/Recovered/DiscriminatedPayloads/STGroupBoatC_SetOrderData_00498D20_Case_9	4	0:4:/undefined4	3721c1a4bc2614672f12756d8efbf9468569c9f8985436e6d46d69d7adf377db	review	switch_expression=orderType; decompiler_case_reads; typed dereference *(undefined4 *)data | conflicting types at +0: 4:/undefined4 versus 2:/short | typed dereference *(undefined2 *)data
1	STGroupBoatC_SetOrderData_00498D20	00498D20	STGroupBoatC::SetOrderData	void __thiscall SetOrderData(Global_sub_00498D20_param_1Enum orderType, void * data)	1	orderType	/SubmarineTitans/Recovered/Enums/Global_sub_00498D20_param_1Enum	2	data	pointer:/void	10	/SubmarineTitans/Recovered/DiscriminatedPayloads/STGroupBoatC_SetOrderData_00498D20_Case_A	4	0:4:/undefined4	3721c1a4bc2614672f12756d8efbf9468569c9f8985436e6d46d69d7adf377db	high	switch_expression=orderType; decompiler_case_reads; typed dereference *(undefined4 *)data
1	STGroupBoatC_SetOrderData_00498D20	00498D20	STGroupBoatC::SetOrderData	void __thiscall SetOrderData(Global_sub_00498D20_param_1Enum orderType, void * data)	1	orderType	/SubmarineTitans/Recovered/Enums/Global_sub_00498D20_param_1Enum	2	data	pointer:/void	11	/SubmarineTitans/Recovered/DiscriminatedPayloads/STGroupBoatC_SetOrderData_00498D20_Case_B	4	0:4:pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_005EFAE0_B406B78B	697b42e5510e4c4dc3660e2c95612e965b7bd3849da9a8f3a06a90b236686178	high	switch_expression=orderType; decompiler_case_reads; typed dereference *(AnonShape_005EFAE0_B406B78B **)data
1	STGroupBoatC_SetOrderData_00498D20	00498D20	STGroupBoatC::SetOrderData	void __thiscall SetOrderData(Global_sub_00498D20_param_1Enum orderType, void * data)	1	orderType	/SubmarineTitans/Recovered/Enums/Global_sub_00498D20_param_1Enum	2	data	pointer:/void	12	/SubmarineTitans/Recovered/DiscriminatedPayloads/STGroupBoatC_SetOrderData_00498D20_Case_C	4	0:4:/undefined4	3721c1a4bc2614672f12756d8efbf9468569c9f8985436e6d46d69d7adf377db	high	switch_expression=orderType; decompiler_case_reads; typed dereference *(undefined4 *)data
