target	status	detail
/SubmarineTitans/Recovered/PointerShapes/AnonNested_0075DF10_01B2_1F0F9C79+4	disabled	apply=0
/SubmarineTitans/Recovered/PointerShapes/AnonNested_0075DF10_01B2_1F0F9C79+12	disabled	apply=0
/SubmarineTitans/Recovered/PointerShapes/AnonNested_AnonShape_00759190_45B6ED67_01A6_2E084C16+0	disabled	apply=0
/SubmarineTitans/Recovered/PointerShapes/AnonNested_AnonShape_00759190_45B6ED67_01A6_2E084C16+4	disabled	apply=0
/SubmarineTitans/Recovered/PointerShapes/AnonNested_AnonShape_00759190_45B6ED67_01A6_2E084C16+8	disabled	apply=0
/SubmarineTitans/Recovered/PointerShapes/AnonNested_AnonShape_00759190_45B6ED67_01A6_2E084C16+12	disabled	apply=0
/SubmarineTitans/Recovered/PointerShapes/AnonNested_AnonShape_00759190_45B6ED67_01A6_2E084C16+16	disabled	apply=0
/SubmarineTitans/Recovered/PointerShapes/AnonNested_AnonShape_00759190_45B6ED67_01A6_2E084C16+72	disabled	apply=0
/SubmarineTitans/Recovered/PointerShapes/AnonNested_RecoveredRecord_007576C0_30DE796E_01A2_AB632069+0	disabled	apply=0
/SubmarineTitans/Recovered/PointerShapes/AnonNested_RecoveredRecord_007576C0_30DE796E_01A2_AB632069+4	disabled	apply=0
/SubmarineTitans/Recovered/PointerShapes/AnonNested_RecoveredRecord_007576C0_30DE796E_01A2_AB632069+8	disabled	apply=0
/SubmarineTitans/Recovered/PointerShapes/AnonNested_RecoveredRecord_007576C0_30DE796E_01A2_AB632069+12	disabled	apply=0
/SubmarineTitans/Recovered/PointerShapes/AnonNested_RecoveredRecord_0075A670_EE0D550C_019A_F8ADDB3E+0	disabled	apply=0
/SubmarineTitans/Recovered/PointerShapes/AnonNested_RecoveredRecord_0075A670_EE0D550C_019A_F8ADDB3E+4	disabled	apply=0
/SubmarineTitans/Recovered/PointerShapes/AnonNested_RecoveredRecord_0075A670_EE0D550C_019A_F8ADDB3E+8	disabled	apply=0
/SubmarineTitans/Recovered/PointerShapes/AnonNested_RecoveredRecord_0075A670_EE0D550C_019A_F8ADDB3E+12	disabled	apply=0
/SubmarineTitans/Recovered/PointerShapes/AnonNested_RecoveredRecord_0075B8E0_0BFBB4AB_01AA_F7377AC4+0	disabled	apply=0
/SubmarineTitans/Recovered/PointerShapes/AnonNested_RecoveredRecord_0075B8E0_0BFBB4AB_01AA_F7377AC4+4	disabled	apply=0
/SubmarineTitans/Recovered/PointerShapes/AnonNested_RecoveredRecord_0075CDF0_76EF4ECD_019E_EB733C66+0	disabled	apply=0
/SubmarineTitans/Recovered/PointerShapes/AnonShape_007550C0_25940DF4+4	disabled	apply=0
/SubmarineTitans/Recovered/PointerShapes/AnonShape_007550C0_25940DF4+8	disabled	apply=0
