function_address	function_name	store_site	destination	target_address	target_name
0056ADC0	STAppC::InitApp	0056AE9D	dword ptr [EBP + -0x64]	0040251D	STAppC::MainWindowProc
005C7800	FUN_005c7800	005C7B53	dword ptr [0x0085400e]	00404C64	thunk_FUN_005c2760
00672930	FUN_00672930	00672943	dword ptr [0x007d2d1c]	00402928	thunk_FUN_00673110
00672930	FUN_00672930	0067294F	dword ptr [0x007d2d1c]	00402F2C	thunk_FUN_00673160
006E8580	ST3DSMAPContext::sub_006E8580	006E858C	dword ptr [EDI + 0x228]	006EB4B0	FUN_006eb4b0
006E8580	ST3DSMAPContext::sub_006E8580	006E8598	dword ptr [EAX + 0x230]	006EB540	FUN_006eb540
006E8580	ST3DSMAPContext::sub_006E8580	006E85A4	dword ptr [ECX + 0x22c]	006EB570	FUN_006eb570
007550C0	FUN_007550c0	00755121	dword ptr [ECX + 0x4]	00402928	thunk_FUN_00673110
007550C0	FUN_007550c0	00755128	dword ptr [ECX + 0x8]	00757430	FUN_00757430
007550C0	FUN_007550c0	00755139	dword ptr [ECX + 0x4]	00402F2C	thunk_FUN_00673160
007550C0	FUN_007550c0	00755140	dword ptr [ECX + 0x8]	00757430	FUN_00757430
00757280	FUN_00757280	0075729D	dword ptr [ECX + 0x8]	007572F0	Library::DKW::JPG::FUN_007572f0
00757280	FUN_00757280	007572A7	dword ptr [EDX + 0xc]	00757300	Library::DKW::JPG::FUN_00757300
00757280	FUN_00757280	007572B1	dword ptr [EAX + 0x10]	00757330	Library::DKW::JPG::FUN_00757330
00757280	FUN_00757280	007572BB	dword ptr [ECX + 0x14]	00757CD0	Library::DKW::JPG::FUN_00757cd0
00757280	FUN_00757280	007572C5	dword ptr [EDX + 0x18]	00757350	Library::DKW::JPG::FUN_00757350
007576C0	FUN_007576c0	007576D6	dword ptr [EAX]	007579C0	Library::DKW::JPG::FUN_007579c0
007576C0	FUN_007576c0	007576DC	dword ptr [EAX + 0x4]	00757C90	Library::DKW::JPG::FUN_00757c90
007576C0	FUN_007576c0	007576E3	dword ptr [EAX + 0x8]	00757710	Library::DKW::JPG::FUN_00757710
007576C0	FUN_007576c0	007576EA	dword ptr [EAX + 0xc]	007579A0	Library::DKW::JPG::FUN_007579a0
00757E60	FUN_00757e60	00757E76	dword ptr [EAX]	00759190	Library::DKW::JPG::FUN_00759190
00757E60	FUN_00757e60	00757E82	dword ptr [ECX + 0x4]	00758170	Library::DKW::JPG::FUN_00758170
00757E60	FUN_00757e60	00757E8F	dword ptr [EDX + 0x8]	00759120	Library::DKW::JPG::FUN_00759120
00757E60	FUN_00757e60	00757E9C	dword ptr [EAX + 0xc]	00758100	Library::DKW::JPG::FUN_00758100
00757E60	FUN_00757e60	00757EB4	dword ptr [EAX + ECX*0x1 + -0x4]	00758100	Library::DKW::JPG::FUN_00758100
00757E60	FUN_00757e60	00757EC5	dword ptr [EDX + 0x10]	00757EF0	Library::DKW::JPG::FUN_00757ef0
00757E60	FUN_00757e60	00757ED2	dword ptr [EAX + 0x48]	00758010	Library::DKW::JPG::FUN_00758010
0075A670	FUN_0075a670	0075A695	dword ptr [EBX]	0075A780	Library::DKW::JPG::FUN_0075a780
0075A670	FUN_0075a670	0075A69B	dword ptr [EBX + 0x8]	0075A800	Library::DKW::JPG::FUN_0075a800
0075A670	FUN_0075a670	0075A71C	dword ptr [EBX + 0x4]	0075AAB0	Library::DKW::JPG::FUN_0075aab0
0075A670	FUN_0075a670	0075A723	dword ptr [EBX + 0xc]	0075ACB0	Library::DKW::JPG::FUN_0075acb0
0075A670	FUN_0075a670	0075A75B	dword ptr [EBX + 0x4]	0075AAA0	Library::DKW::JPG::FUN_0075aaa0
0075A670	FUN_0075a670	0075A762	dword ptr [EBX + 0xc]	0075A860	Library::DKW::JPG::FUN_0075a860
0075B8E0	FUN_0075b8e0	0075B8F6	dword ptr [EAX]	0075B920	Library::DKW::JPG::FUN_0075b920
0075B8E0	FUN_0075b8e0	0075B8FC	dword ptr [EAX + 0x4]	0075BA30	Library::DKW::JPG::FUN_0075ba30
0075BED0	FUN_0075bed0	0075BEE7	dword ptr [EAX]	0075BF40	Library::DKW::JPG::FUN_0075bf40
0075CB40	FUN_0075cb40	0075CB58	dword ptr [EAX]	0075CBC0	Library::DKW::JPG::FUN_0075cbc0
0075CDF0	FUN_0075cdf0	0075CE0B	dword ptr [EDI]	0075CE80	Library::DKW::JPG::FUN_0075ce80
0075DE90	FUN_0075de90	0075DEAB	dword ptr [ESI]	0075DFE0	Library::DKW::JPG::FUN_0075dfe0
0075DE90	FUN_0075de90	0075DECC	dword ptr [ESI + 0x4]	0075E000	Library::DKW::JPG::FUN_0075e000
0075DE90	FUN_0075de90	0075DED3	dword ptr [ESI + 0xc]	0075E260	Library::DKW::JPG::FUN_0075e260
0075DE90	FUN_0075de90	0075DEF3	dword ptr [ESI + 0x4]	0075E0C0	Library::DKW::JPG::FUN_0075e0c0
0075DE90	FUN_0075de90	0075DEFA	dword ptr [ESI + 0xc]	0075E100	Library::DKW::JPG::FUN_0075e100
