target	status	detail
004F3540:p5	disabled	apply=0
004F3A30:p6	disabled	apply=0
004F3CF0:p6	unchanged	recovered function-pointer parameter already present
004F3FE0:p6	disabled	apply=0
004F42A0:p6	unchanged	recovered function-pointer parameter already present
0052EFB0:p4	disabled	apply=0
0052EFB0:p5	disabled	apply=0
005389E0:p4	disabled	apply=0
00538BA0:p6	disabled	apply=0
00538FC0:p5	disabled	apply=0
0053D7A0:p4	disabled	apply=0
0053D920:p6	disabled	apply=0
0053DCC0:p5	disabled	apply=0
0053FCD0:p2	disabled	apply=0
0053FEE0:p2	disabled	apply=0
0055F0C0:p5	unchanged	recovered function-pointer parameter already present
0055F0C0:p6	unchanged	recovered function-pointer parameter already present
00676C40:p1	unchanged	recovered function-pointer parameter already present
00676CE0:p1	disabled	apply=0
00683C70:p4	disabled	apply=0
0068CEC0:p3	disabled	apply=0
006904D0:p1	disabled	apply=0
006ACCD0:p3	unchanged	recovered function-pointer parameter already present
00725910:p3	disabled	apply=0
