apply	function_address	expected_function	parameter_ordinal	expected_parameter_name	expected_storage	expected_parameter_type	expected_parameter_source	expected_parameter_comment	definition_path	proposed_calling_convention	proposed_return_type	stack_parameter_count	proposed_parameter_types	target_addresses	target_sites	null_sites	unknown_sites	indirect_call_sites	confidence	evidence
0	004F3540	CPanelTy::PaintBut	5	param_5	Stack[0x14]:4	pointer:/undefined	DEFAULT		/SubmarineTitans/Recovered/FunctionPointerParameters/callback_004F3540_p5	__cdecl	/undefined4	3	/undefined4;/undefined4;/undefined4	00529F90|00529FE0|0052A030|0052A320|0052A390|0052A3E0	004FB060 CPanelTy::GetMessage -> 004F3540 @ 004FBD06 passes 00402BE4 thunk_FUN_0052a3e0 | 004FB060 CPanelTy::GetMessage -> 004F3540 @ 004FBD06 passes 00404A66 thunk_FUN_0052a390 | 004FB060 CPanelTy::GetMessage -> 004F3540 @ 004FC700 passes 00402BE4 thunk_FUN_0052a3e0 | 004FB060 CPanelTy::GetMessage -> 004F3540 @ 004FC73A passes 00404A66 thunk_FUN_0052a390 | 004FB060 CPanelTy::GetMessage -> 004F3540 @ 004FC763 passes 00404A66 thunk_FUN_0052a390 | 004FB060 CPanelTy::GetMessage -> 004F3540 @ 004FCB7E passes 00401E88 thunk_FUN_00529fe0 | 004FB060 CPanelTy::GetMessage -> 004F3540 @ 004FCB7E passes 004025C7 thunk_FUN_00529f90 | 004FB060 CPanelTy::GetMessage -> 004F3540 @ 004FCBB7 passes 004025C7 thunk_FUN_00529f90 | 004FB060 CPanelTy::GetMessage -> 004F3540 @ 004FCBF1 passes 00402BE4 thunk_FUN_0052a3e0 | 004FB060 CPanelTy::GetMessage -> 004F3540 @ 004FCC1A passes 00404A52 thunk_FUN_0052a030 | 004FB060 CPanelTy::GetMessage -> 004F3540 @ 004FCFA4 passes 0040420F thunk_FUN_0052a320 | 004FB060 CPanelTy::GetMessage -> 004F3540 @ 004FD01D passes 0040420F thunk_FUN_0052a320 | 004FB060 CPanelTy::GetMessage -> 004F3540 @ 004FD096 passes 0040420F thunk_FUN_0052a320 | 004FB060 CPanelTy::GetMessage -> 004F3540 @ 004FD10F passes 0040420F thunk_FUN_0052a320 | 004FB060 CPanelTy::GetMessage -> 004F3540 @ 004FD4D0 passes 00401E88 thunk_FUN_00529fe0 | 004FB060 CPanelTy::GetMessage -> 004F3540 @ 004FD51D passes 00401E88 thunk_FUN_00529fe0 | 004FB060 CPanelTy::GetMessage -> 004F3540 @ 004FD546 passes 00401E88 thunk_FUN_00529fe0			004F3597 CALL dword ptr [EBP + 0x18]	review	indirect_calls=1, observed_argument_counts=[3], caller_cleanup_counts=[3], direct_calls=15, exact_target_sites=17, null_sites=0, unknown_sites=0, targets=[00529F90, 00529FE0, 0052A030, 0052A320, 0052A390, 0052A3E0], machine_abis=[__cdecl;/undefined4;3;/undefined4;/undefined4;/undefined4, unproven:0052A320]; target machine ABIs are absent/conflicting
0	004F3A30	CPanelTy::PaintTxtBut	6	param_6	Stack[0x18]:4	pointer:/undefined	DEFAULT		/SubmarineTitans/Recovered/FunctionPointerParameters/callback_004F3A30_p6	__cdecl	/undefined4	3	/undefined4;/undefined4;/undefined4	0052A2D0	004FB060 CPanelTy::GetMessage -> 004F3A30 @ 004FCADA passes 00401249 thunk_FUN_0052a2d0			004F3B76 CALL dword ptr [EBP + 0x1c]	review	indirect_calls=1, observed_argument_counts=[3], caller_cleanup_counts=[3], direct_calls=1, exact_target_sites=1, null_sites=0, unknown_sites=0, targets=[0052A2D0], machine_abis=[__cdecl;/undefined4;3;/undefined4;/undefined4;/undefined4]; fewer than two exact target sites
0	004F3CF0	CPanelTy::PaintTxtBut	6	param_6	Stack[0x18]:4	pointer:/undefined	DEFAULT		/SubmarineTitans/Recovered/FunctionPointerParameters/callback_004F3CF0_p6					00529FE0	004FB060 CPanelTy::GetMessage -> 004F3CF0 @ 004FCB08 passes 00401E88 thunk_FUN_00529fe0 | 004FB060 CPanelTy::GetMessage -> 004F3CF0 @ 004FCB36 passes 00401E88 thunk_FUN_00529fe0			004F3DC2 CALL dword ptr [EBP + 0x1c] | 004F3E4F CALL dword ptr [EBP + 0x1c]	review	indirect_calls=2, observed_argument_counts=[-1, 3], caller_cleanup_counts=[-1, 3], direct_calls=2, exact_target_sites=2, null_sites=0, unknown_sites=0, targets=[00529FE0], machine_abis=[unproven:00529FE0]; cdecl caller cleanup is absent/conflicting; target machine ABIs are absent/conflicting
0	004F3FE0	CPanelTy::PaintLBut	6	param_6	Stack[0x18]:4	pointer:/undefined	DEFAULT		/SubmarineTitans/Recovered/FunctionPointerParameters/callback_004F3FE0_p6									004F40AC CALL dword ptr [EBP + 0x1c]	review	indirect_calls=1, observed_argument_counts=[1], caller_cleanup_counts=[1], direct_calls=0, exact_target_sites=0, null_sites=0, unknown_sites=0, targets=[], machine_abis=[]; incomplete direct-call coverage; fewer than two exact target sites; cdecl caller cleanup is absent/conflicting; target machine ABIs are absent/conflicting; manual/imported parameter preserved
1	004F42A0	CPanelTy::PaintTab	6	param_6	Stack[0x18]:4	pointer:/SubmarineTitans/Recovered/FunctionPointerParameters/callback_004F42A0_p6	DEFAULT	[STFunctionPointerParameterApplier] exact function-address argument and indirect-call chain; targets=0052A7B0	/SubmarineTitans/Recovered/FunctionPointerParameters/callback_004F42A0_p6	__cdecl	/undefined4	1	pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_0052A7B0_DD603BF4	0052A7B0	004FB060 CPanelTy::GetMessage -> 004F42A0 @ 004FD148 passes 00401BA4 thunk_FUN_0052a7b0 | 004FB060 CPanelTy::GetMessage -> 004F42A0 @ 004FD176 passes 00401BA4 thunk_FUN_0052a7b0			004F436D CALL dword ptr [EBP + 0x1c]	high	indirect_calls=1, observed_argument_counts=[1], caller_cleanup_counts=[1], direct_calls=2, exact_target_sites=2, null_sites=0, unknown_sites=0, targets=[0052A7B0], machine_abis=[__cdecl;/undefined4;1;pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_0052A7B0_DD603BF4]
0	0052EFB0	OptPanelTy::PaintDblBut	4	param_4	Stack[0x10]:4	pointer:/undefined	DEFAULT		/SubmarineTitans/Recovered/FunctionPointerParameters/callback_0052EFB0_p4	__cdecl	/undefined4	3	/undefined4;/undefined4;/undefined4	0052A4D0|0052A6C0	00533D10 OptPanelTy::GetMessage -> 0052EFB0 @ 005363FA passes 0040335A thunk_FUN_0052a4d0 | 00533D10 OptPanelTy::GetMessage -> 0052EFB0 @ 00536453 passes 0040335A thunk_FUN_0052a4d0 | 00533D10 OptPanelTy::GetMessage -> 0052EFB0 @ 005364AC passes 0040335A thunk_FUN_0052a4d0 | 00533D10 OptPanelTy::GetMessage -> 0052EFB0 @ 0053651B passes 0040335A thunk_FUN_0052a4d0 | 00533D10 OptPanelTy::GetMessage -> 0052EFB0 @ 00536574 passes 0040335A thunk_FUN_0052a4d0 | 00533D10 OptPanelTy::GetMessage -> 0052EFB0 @ 005365CD passes 0040335A thunk_FUN_0052a4d0 | 00533D10 OptPanelTy::GetMessage -> 0052EFB0 @ 00536F06 passes 0040235B thunk_FUN_0052a6c0 | 00533D10 OptPanelTy::GetMessage -> 0052EFB0 @ 00536F06 passes 0040335A thunk_FUN_0052a4d0			0052F09F CALL dword ptr [EBP + 0x14]	review	indirect_calls=1, observed_argument_counts=[3], caller_cleanup_counts=[3], direct_calls=7, exact_target_sites=8, null_sites=0, unknown_sites=0, targets=[0052A4D0, 0052A6C0], machine_abis=[__cdecl;/undefined4;3;/undefined4;/undefined4;/undefined4, unproven:0052A6C0]; target machine ABIs are absent/conflicting; manual/imported parameter preserved
0	0052EFB0	OptPanelTy::PaintDblBut	5	param_5	Stack[0x14]:4	pointer:/undefined	DEFAULT		/SubmarineTitans/Recovered/FunctionPointerParameters/callback_0052EFB0_p5								00533D10 OptPanelTy::GetMessage -> 0052EFB0 @ 005363FA has an untracked callback argument | 00533D10 OptPanelTy::GetMessage -> 0052EFB0 @ 00536453 has an untracked callback argument | 00533D10 OptPanelTy::GetMessage -> 0052EFB0 @ 005364AC has an untracked callback argument | 00533D10 OptPanelTy::GetMessage -> 0052EFB0 @ 0053651B has an untracked callback argument | 00533D10 OptPanelTy::GetMessage -> 0052EFB0 @ 00536574 has an untracked callback argument | 00533D10 OptPanelTy::GetMessage -> 0052EFB0 @ 005365CD has an untracked callback argument | 00533D10 OptPanelTy::GetMessage -> 0052EFB0 @ 00536F06 has an untracked callback argument	0052F16F CALL dword ptr [EBP + 0x18]	review	indirect_calls=1, observed_argument_counts=[3], caller_cleanup_counts=[3], direct_calls=7, exact_target_sites=0, null_sites=0, unknown_sites=7, targets=[], machine_abis=[]; incomplete direct-call coverage; fewer than two exact target sites; cdecl caller cleanup is absent/conflicting; target machine ABIs are absent/conflicting; manual/imported parameter preserved
0	005389E0	PanelTy::PaintBut	4	param_4	Stack[0x10]:4	pointer:/undefined	DEFAULT		/SubmarineTitans/Recovered/FunctionPointerParameters/callback_005389E0_p4	__cdecl	/undefined4	3	/undefined4;/undefined4;/undefined4	00529FE0	005400F0 ProdPanelTy::GetMessage -> 005389E0 @ 005402CA passes 00401E88 thunk_FUN_00529fe0			00538A84 CALL dword ptr [EBP + 0x14]	review	indirect_calls=1, observed_argument_counts=[3], caller_cleanup_counts=[3], direct_calls=1, exact_target_sites=1, null_sites=0, unknown_sites=0, targets=[00529FE0], machine_abis=[__cdecl;/undefined4;3;/undefined4;/undefined4;/undefined4]; fewer than two exact target sites; manual/imported parameter preserved
0	00538BA0	PanelTy::PaintTxtBut	6	param_6	Stack[0x18]:4	pointer:/undefined	DEFAULT		/SubmarineTitans/Recovered/FunctionPointerParameters/callback_00538BA0_p6									00538CA8 CALL dword ptr [EBP + 0x1c]	review	indirect_calls=1, observed_argument_counts=[1], caller_cleanup_counts=[1], direct_calls=0, exact_target_sites=0, null_sites=0, unknown_sites=0, targets=[], machine_abis=[]; incomplete direct-call coverage; fewer than two exact target sites; cdecl caller cleanup is absent/conflicting; target machine ABIs are absent/conflicting; manual/imported parameter preserved
0	00538FC0	PanelTy::PaintLBut	5	param_5	Stack[0x14]:4	pointer:/undefined	DEFAULT		/SubmarineTitans/Recovered/FunctionPointerParameters/callback_00538FC0_p5									00539067 CALL dword ptr [EBP + 0x18]	review	indirect_calls=1, observed_argument_counts=[1], caller_cleanup_counts=[1], direct_calls=0, exact_target_sites=0, null_sites=0, unknown_sites=0, targets=[], machine_abis=[]; incomplete direct-call coverage; fewer than two exact target sites; cdecl caller cleanup is absent/conflicting; target machine ABIs are absent/conflicting; manual/imported parameter preserved
