address	name	current_type	call_boundary_types	trusted_pointer_return_store_types	constructor_store_types	address_of_uses	proposed_type	type_apply	call_boundary_sites	trusted_store_sites
00790C1C	PTR_s_tlo_bubbles_00790c1c	pointer:/char	{pointer:/char=1}	{}	{}	0		0	004CC370 -> 004AB880 parameter 3 as pointer:/char @ 004CC4D5 (global value)	-
00790C20	PTR_s_tlo_emb6_00790c20	pointer:/char	{pointer:/char=2}	{}	{}	0		0	004CC370 -> 004AB880 parameter 3 as pointer:/char @ 004CC4FC (global value) | 004D11D0 -> 004AB880 parameter 3 as pointer:/char @ 004D2186 (global value)	-
00790C28	PTR_s_tlo_capture_00790c28	pointer:/char	{pointer:/char=1}	{}	{}	0		0	004CC370 -> 004AB880 parameter 3 as pointer:/char @ 004CC4A4 (global value)	-
00792CA0	DAT_00792ca0	/undefined4	{/SubmarineTitans/Recovered/Enums/STSprGameObjC_CheckRay_param_7Enum=1}	{}	{}	0	/SubmarineTitans/Recovered/Enums/STSprGameObjC_CheckRay_param_7Enum	0	004C3C00 -> 0041F9B0 parameter 7 as /SubmarineTitans/Recovered/Enums/STSprGameObjC_CheckRay_param_7Enum @ 004C401E (global value)	-
0079AD04	PTR_s_SAVE_DESC_0079ad04	pointer:/char	{pointer:/char=1}	{}	{}	0		0	00532D50 -> 006F1CE0 parameter 2 as pointer:/char @ 0053304F (global value)	-
0079ADEC	PTR_s_SAVE_DESC_0079adec	pointer:/char	{pointer:/char=1}	{}	{}	0		0	005449B0 -> 006F1CE0 parameter 2 as pointer:/char @ 005463ED (global value)	-
0079AE2C	PTR_s_LAST_NAME_0079ae2c	pointer:/char	{pointer:/char=2}	{}	{}	0		0	0054C740 -> 006F1CE0 parameter 2 as pointer:/char @ 0054C8DD (global value) | 0054D2F0 -> 006F13F0 parameter 2 as pointer:/char @ 0054D363 (global value)	-
0079AEBC	PTR_s_TRACKS_0079aebc	pointer:/char	{pointer:/char=2}	{}	{}	0		0	005564C0 -> 0054D550 parameter 1 as pointer:/char @ 00556638 (global value) | 005564C0 -> 006F2D90 parameter 1 as pointer:/char @ 0055654D (global value)	-
0079AEC4	PTR_s_VISIBILITY_0079aec4	pointer:/char	{pointer:/char=2}	{}	{}	0		0	00558840 -> 0054D550 parameter 1 as pointer:/char @ 00558A67 (global value) | 00558840 -> 006F2D90 parameter 1 as pointer:/char @ 005588FC (global value)	-
0079AF6C	PTR_s_PLT_MMGLASS_0079af6c	pointer:/char	{pointer:/char=1}	{}	{}	0		0	0055DA40 -> 00717FC0 parameter 1 as pointer:/char @ 0055DA7D (global value)	-
0079AF70	PTR_s_PLT_PAUSE_0079af70	pointer:/char	{pointer:/char=1}	{}	{}	0		0	0055D730 -> 00717FC0 parameter 1 as pointer:/char @ 0055D771 (global value)	-
0079AF74	PTR_s_PLT_EXPLITE_0079af74	pointer:/char	{pointer:/char=1}	{}	{}	0		0	0055D730 -> 00717FC0 parameter 1 as pointer:/char @ 0055D786 (global value)	-
0079AF78	PTR_s_PLT_SHAD30_0079af78	pointer:/char	{pointer:/char=1}	{}	{}	0		0	0055D730 -> 00717FC0 parameter 1 as pointer:/char @ 0055D79B (global value)	-
0079AF7C	PTR_s_PLT_SHAD40_0079af7c	pointer:/char	{pointer:/char=1}	{}	{}	0		0	0055D730 -> 00717FC0 parameter 1 as pointer:/char @ 0055D7AF (global value)	-
0079AF80	PTR_s_PLT_SHAD60_0079af80	pointer:/char	{pointer:/char=1}	{}	{}	0		0	0055D730 -> 00717FC0 parameter 1 as pointer:/char @ 0055D7C7 (global value)	-
