address	name	current_type	raw_target	classification	target_name	target_data_type	pointee	anonymous_pointee	script_owned	evidence_sites	proposed_type	type_apply
0042690C	PTR_caseD_10_0042690c	/pointer	00425B0C	code_pointer	SubmarineTitans::Recovered::HiddenThis::AnonReceiver_00424E10::FUN_00424e10			0	0	0		0
00426910	PTR_caseD_20_00426910	/pointer	00425C0E	code_pointer	SubmarineTitans::Recovered::HiddenThis::AnonReceiver_00424E10::FUN_00424e10			0	0	0		0
00438688	PTR_caseD_29_00438688	/pointer	004371A8	code_pointer	STAllPlayersC::CmdToPlsObj			0	0	0		0
004493D8	PTR_caseD_1_004493d8	/pointer	004493BF	code_pointer	STAllPlayersC::PutOnPlaceGuardBoats			0	0	0		0
004BD358	PTR_caseD_2a_004bd358	/pointer	004BCF6D	code_pointer	TLOBaseTy::GetMessage			0	0	0		0
004CFB64	PTR_caseD_d_004cfb64	/pointer	004CFA63	code_pointer	TLOBaseTy::sub_004CFA00			0	0	0		0
004CFD5C	PTR_caseD_d_004cfd5c	/pointer	004CFC24	code_pointer	FUN_004cfbe0			0	0	0		0
004E0710	PTR_caseD_1_004e0710	/pointer	004E04F8	code_pointer	FUN_004e04a0			0	0	0		0
005018F8	PTR_caseD_16_005018f8	/pointer	0050177C	code_pointer	CPanelTy::PaintCtrlBoat			0	0	0		0
00501C48	PTR_caseD_16_00501c48	/pointer	00501BCD	code_pointer	CPanelTy::sub_00501A10			0	0	0		0
0050224C	PTR_caseD_16_0050224c	/pointer	005020D5	code_pointer	CPanelTy::Update2PanelWB			0	0	0		0
00505CDC	PTR_DAT_00505cdc	pointer:/undefined	00505B89	initialized_data_pointer	DAT_00505b89		/undefined	0	0	0		0
00505CEC	PTR_DAT_00505cec	pointer:/undefined	00505BD1	initialized_data_pointer	DAT_00505bd1		/undefined	0	0	0		0
00511560	PTR_LAB_00511560	/pointer	00511476	control_flow_table_entry	LAB_00511476			0	0	0		0
00511564	PTR_LAB_00511564	/pointer	0051147D	control_flow_table_entry	LAB_0051147d			0	0	0		0
00520A58	PTR_caseD_0_00520a58	/pointer	005209AF	code_pointer	InfocPanelTy::Update			0	0	0		0
00520A5C	PTR_caseD_1_00520a5c	/pointer	005209AA	code_pointer	InfocPanelTy::Update			0	0	0		0
00520A60	PTR_caseD_2_00520a60	/pointer	0052099C	code_pointer	InfocPanelTy::Update			0	0	0		0
00531CE8	PTR_LAB_00531ce8	pointer:/undefined	00530AA9	control_flow_table_entry	LAB_00530aa9		/undefined	0	0	0		0
0053BC8C	PTR_caseD_0_0053bc8c	/pointer	0053B845	code_pointer	PlayPanelTy::GetMessage			0	0	0		0
0053BC90	PTR_caseD_1_0053bc90	/pointer	0053B825	code_pointer	PlayPanelTy::GetMessage			0	0	0		0
0053BC94	PTR_caseD_2_0053bc94	/pointer	0053B803	code_pointer	PlayPanelTy::GetMessage			0	0	0		0
0053BCA0	PTR_caseD_0_0053bca0	/pointer	0053B9B8	code_pointer	PlayPanelTy::GetMessage			0	0	0		0
0053BCA4	PTR_caseD_1_0053bca4	/pointer	0053B9B6	code_pointer	PlayPanelTy::GetMessage			0	0	0		0
0053BCA8	PTR_caseD_2_0053bca8	/pointer	0053B9A8	code_pointer	PlayPanelTy::GetMessage			0	0	0		0
0054FDB4	PTR_caseD_34_0054fdb4	/pointer	0054FCB9	code_pointer	STPlaySystemC::PrepareMail			0	0	0		0
0058850C	PTR_caseD_1_0058850c	/pointer	00587FE7	code_pointer	FUN_00586af0			0	0	0		0
0058F398	PTR_caseD_1_0058f398	/pointer	0058F359	code_pointer	FUN_0058f1e0			0	0	0		0
0058F39C	PTR_caseD_1_0058f39c	/pointer	0058F359	code_pointer	FUN_0058f1e0			0	0	0		0
00591420	PTR_caseD_1_00591420	/pointer	00590D91	code_pointer	CampaignTy::InitCampaign			0	0	0		0
005AC58C	PTR_caseD_6_005ac58c	/pointer	005AB679	code_pointer	ChooseMapTy::InitChooseMap			0	0	0		0
005AC604	PTR_caseD_6_005ac604	/pointer	005AC28D	code_pointer	ChooseMapTy::InitChooseMap			0	0	0		0
