apply	record_id	offset	offset_hex	size	proposed_name	proposed_type	type_confidence	name_confidence	reads	writes	evidence	reason
1	record_a62x8	0	0x0	1		/undefined1	layout	none	7	2	0042A940 STAllPlayersC::STAllPlayersC @ 0042A962 MOV byte ptr [EAX],0x0 | 00430A90 STAllPlayersC::GetMessage @ 00430B09 MOV byte ptr [ECX],DL | 0043BEB0 STAllPlayersC::GetPanelInfo @ 0043D4C2 MOV DL,byte ptr [ECX*0x2 + 0x7f4e20] | 004406C0 LookupRecordByte @ 004406E2 MOV AL,byte ptr [ECX*0x2 + 0x7f4e20] | 00441CE0 STAllPlayersC::_MakeMDPairs @ 00441DA9 MOV DL,byte ptr [ECX + 0x7f4e20] | 004D86A0 FUN_004d86a0 @ 004D86D6 MOV BL,byte ptr [EAX + 0x7f4e20] | 004D8B70 FUN_004d8b70 @ 004D8BBF CMP byte ptr [ESI + 0x7f4e20],0x3 | 004E51B0 FUN_004e51b0 @ 004E51F6 MOV DL,byte ptr [EBX + 0x7f4e20] | 004E6310 FUN_004e6310 @ 004E6388 MOV AL,byte ptr [EDI + 0x7f4e20]	stride_relative_memory_access
1	record_a62x8	1	0x1	4		/int	medium	none	0	0	hash-intact generated record field	existing_generated_field_baseline
1	record_a62x8	5	0x5	4		/undefined4	layout	none	18	2	0042A9C0 FUN_0042a9c0 @ 0042A9D5 MOV EAX,dword ptr [ECX*0x2 + 0x7f4e25] | 0042B760 FUN_0042b760 @ 0042B775 MOV ECX,dword ptr [ECX*0x2 + 0x7f4e25] | 0042B7D0 STAllPlayersC::AddObjsToGroup @ 0042B7FD MOV EDX,dword ptr [ECX*0x2 + 0x7f4e25] | 0042E210 STAllPlayersC::RegisterObject @ 0042E235 MOV ECX,dword ptr [EAX + 0x7f4e25] | 0042EFD0 STAllPlayersC::RegisterGroup @ 0042EFF4 MOV EDX,dword ptr [ECX*0x2 + 0x7f4e25] | 0042F140 STAllPlayersC::UnRegisterGroup @ 0042F165 MOV EDX,dword ptr [ECX*0x2 + 0x7f4e25] | 0042F2B0 STAllPlayersC::UnRegisterObject @ 0042F2DF MOV EDX,dword ptr [EAX + 0x7f4e25] | 00430A90 STAllPlayersC::GetMessage @ 00430C02 MOV dword ptr [ESI],EAX | 00430A90 STAllPlayersC::GetMessage @ 00430C79 MOV dword ptr [ESI],EAX | 00430A90 STAllPlayersC::GetMessage @ 00430E05 MOV EDI,dword ptr [EAX + -0x4] | 00430A90 STAllPlayersC::GetMessage @ 0043105B MOV EDX,dword ptr [ESI] | 004354E0 STAllPlayersC::ReplaceObject @ 00435625 MOV EDI,dword ptr [EAX] | 00435850 FUN_00435850 @ 0043586D MOV ECX,dword ptr [EDX*0x2 + 0x7f4e25] | 004407A0 FUN_004407a0 @ 004407B8 MOV EDI,dword ptr [ECX*0x2 + 0x7f4e25] | 00440860 STAllPlayersC::_ChangeMD @ 004408ED MOV EDI,dword ptr [ECX*0x2 + 0x7f4e25] | 00440990 STAllPlayersC::_ChangeDock @ 00440A07 MOV EDI,dword ptr [EDX*0x2 + 0x7f4e25] | 00440AA0 STAllPlayersC::_AssignDocks @ 00440AD5 MOV EDX,dword ptr [ECX*0x2 + 0x7f4e25] | 00442E50 STAllPlayersC::_AssignMDPairs @ 004431B0 MOV ESI,dword ptr [ECX*0x2 + 0x7f4e25] | 00443F30 STAllPlayersC::SaveAllPlData @ 00444182 MOV ECX,dword ptr [EDX + -0x4] | 00444E70 FUN_00444e70 @ 00444E98 MOV EDX,dword ptr [EBX + 0x7f4e25]	stride_relative_memory_access
1	record_a62x8	9	0x9	4		/undefined4	layout	none	41	2	0042A990 FUN_0042a990 @ 0042A9A5 MOV EAX,dword ptr [ECX*0x2 + 0x7f4e29] | 0042B5B0 FUN_0042b5b0 @ 0042B5C5 MOV ECX,dword ptr [ECX*0x2 + 0x7f4e29] | 0042B620 STAllPlayersC::GetObjPtr @ 0042B649 MOV ECX,dword ptr [ECX*0x2 + 0x7f4e29] | 0042E210 STAllPlayersC::RegisterObject @ 0042E23B MOV EDX,dword ptr [EAX + 0x7f4e29] | 0042F2B0 STAllPlayersC::UnRegisterObject @ 0042F2D9 MOV ECX,dword ptr [EAX + 0x7f4e29] | 00430A90 STAllPlayersC::GetMessage @ 00430BF7 MOV dword ptr [ESI + 0x4],EAX | 00430A90 STAllPlayersC::GetMessage @ 00430C71 MOV dword ptr [ESI + 0x4],EAX | 00430A90 STAllPlayersC::GetMessage @ 00430E08 MOV EBX,dword ptr [EAX] | 00430A90 STAllPlayersC::GetMessage @ 00431052 MOV ECX,dword ptr [ESI + 0x4] | 004354E0 STAllPlayersC::ReplaceObject @ 00435671 MOV ECX,dword ptr [EBX] | 0043E460 FUN_0043e460 @ 0043E47F MOV EDI,dword ptr [ECX*0x2 + 0x7f4e29] | 0043E4E0 STAllPlayersC::GetObjsList @ 0043E4FE MOV EAX,dword ptr [ESI*0x2 + 0x7f4e29] | 0043E640 FUN_0043e640 @ 0043E661 MOV EBX,dword ptr [ECX*0x2 + 0x7f4e29] | 0043E780 STAllPlayersC::GetTOBJList @ 0043E79D MOV EAX,dword ptr [ECX*0x2 + 0x7f4e29] | 0043F130 FUN_0043f130 @ 0043F151 MOV EBX,dword ptr [ECX*0x2 + 0x7f4e29] | 0043F200 STAllPlayersC::GetTOBJList @ 0043F21D MOV EAX,dword ptr [ECX*0x2 + 0x7f4e29] | 00441CE0 STAllPlayersC::_MakeMDPairs @ 00441DDB MOV EAX,dword ptr [ECX + 0x7f4e29] | 00443F30 STAllPlayersC::SaveAllPlData @ 00444198 MOV ECX,dword ptr [EDX] | 00444E70 FUN_00444e70 @ 00444EB0 MOV EDX,dword ptr [EBX + 0x7f4e29] | 00449B60 STAllPlayersC::DestroyObjectMsg @ 00449B8D MOV ECX,dword ptr [ECX*0x2 + 0x7f4e29] | 0044B5F0 STAllPlayersC::SelectObjects @ 0044B641 MOV EAX,dword ptr [EAX*0x2 + 0x7f4e29] | 0044B5F0 STAllPlayersC::SelectObjects @ 0044B763 MOV EAX,dword ptr [EAX*0x2 + 0x7f4e29] | 0044B5F0 STAllPlayersC::SelectObjects @ 0044B844 MOV EAX,dword ptr [EAX*0x2 + 0x7f4e29] | 0044B5F0 STAllPlayersC::SelectObjects @ 0044B8ED MOV EAX,dword ptr [EAX*0x2 + 0x7f4e29] | 0044B5F0 STAllPlayersC::SelectObjects @ 0044B996 MOV EAX,dword ptr [EAX*0x2 + 0x7f4e29] | 00493340 STBoatC::CheckForReplenisher @ 00493364 MOV EAX,dword ptr [EAX + 0x7f4e29] | 004B31C0 FUN_004b31c0 @ 004B329C MOV ECX,dword ptr [EDI + 0x7f4e29] | 004B31C0 FUN_004b31c0 @ 004B3317 MOV ECX,dword ptr [EDI + 0x7f4e29] | 004B7750 FUN_004b7750 @ 004B77A6 MOV ECX,dword ptr [ESI + 0x7f4e29] | 004B7750 FUN_004b7750 @ 004B78A7 MOV ECX,dword ptr [ESI + 0x7f4e29] | 004DE4F0 FUN_004de4f0 @ 004DE520 MOV ESI,dword ptr [EDX + 0x7f4e29] | 004DE4F0 FUN_004de4f0 @ 004DE62A MOV ESI,dword ptr [EDX + 0x7f4e29] | 004DFC70 FUN_004dfc70 @ 004DFC96 MOV ECX,dword ptr [EBX + 0x7f4e29] | 004DFC70 FUN_004dfc70 @ 004DFD61 MOV ECX,dword ptr [EBX + 0x7f4e29] | 004E51B0 FUN_004e51b0 @ 004E56B6 MOV EAX,dword ptr [ESI + 0x7f4e29] | 004E51B0 FUN_004e51b0 @ 004E56CB MOV ECX,dword ptr [ESI + 0x7f4e29] | 004E51B0 FUN_004e51b0 @ 004E5760 MOV ECX,dword ptr [ESI + 0x7f4e29] | 004E6310 FUN_004e6310 @ 004E64B8 MOV ECX,dword ptr [EDI + 0x7f4e29] | 004E6310 FUN_004e6310 @ 004E6511 MOV ECX,dword ptr [EDI + 0x7f4e29] | 004E6310 FUN_004e6310 @ 004E6544 MOV ECX,dword ptr [EDI + 0x7f4e29] | 004E6310 FUN_004e6310 @ 004E6595 MOV ECX,dword ptr [EDI + 0x7f4e29] | 004EA870 FUN_004ea870 @ 004EA8F7 MOV ECX,dword ptr [EAX + 0x7f4e29] | 004EA870 FUN_004ea870 @ 004EA945 MOV ECX,dword ptr [EDX*0x2 + 0x7f4e29]	stride_relative_memory_access
1	record_a62x8	13	0xD	2		/undefined2	layout	none	8	4	0042E210 STAllPlayersC::RegisterObject @ 0042E525 INC word ptr [ESI + 0x7f4e2d] | 0042E210 STAllPlayersC::RegisterObject @ 0042E52C MOV AX,word ptr [ESI + 0x7f4e2d] | 0042E210 STAllPlayersC::RegisterObject @ 0042E7FC INC word ptr [ESI + 0x7f4e2d] | 0042E210 STAllPlayersC::RegisterObject @ 0042E803 MOV AX,word ptr [ESI + 0x7f4e2d] | 0042F2B0 STAllPlayersC::UnRegisterObject @ 0042F571 DEC word ptr [EDI + 0x7f4e2d] | 0042F2B0 STAllPlayersC::UnRegisterObject @ 0042F578 MOV AX,word ptr [EDI + 0x7f4e2d] | 0042F2B0 STAllPlayersC::UnRegisterObject @ 0042F9F2 DEC word ptr [EDI + 0x7f4e2d] | 0042F2B0 STAllPlayersC::UnRegisterObject @ 0042F9F9 MOV AX,word ptr [EDI + 0x7f4e2d] | 0044E1B0 FUN_0044e1b0 @ 0044E1CB MOV DX,word ptr [ECX*0x2 + 0x7f4e2d] | 0044E1F0 FUN_0044e1f0 @ 0044E204 MOV AX,word ptr [ECX*0x2 + 0x7f4e2d] | 004B31C0 FUN_004b31c0 @ 004B327A MOV AX,word ptr [EDX*0x2 + 0x7f4e2d] | 004B31C0 FUN_004b31c0 @ 004B332A MOV CX,word ptr [EDI + 0x7f4e2d]	stride_relative_memory_access
1	record_a62x8	15	0xF	4		/undefined4	layout	none	9	2	00430A90 STAllPlayersC::GetMessage @ 00431077 MOV ECX,dword ptr [ESI] | 00430A90 STAllPlayersC::GetMessage @ 0043107F MOV dword ptr [ESI],EBX | 00441CE0 STAllPlayersC::_MakeMDPairs @ 00441D67 MOV EAX,dword ptr [EDI] | 00441CE0 STAllPlayersC::_MakeMDPairs @ 00442091 MOV EAX,dword ptr [EDX] | 00441CE0 STAllPlayersC::_MakeMDPairs @ 00442125 MOV ECX,dword ptr [ESI] | 00442300 STAllPlayersC::_AddMDPairs @ 004424E7 MOV EAX,dword ptr [EAX + ECX*0x2 + 0x7f4e2f] | 00442300 STAllPlayersC::_AddMDPairs @ 00442771 MOV EAX,dword ptr [ESI + EDI*0x2 + 0x7f4e2f] | 00442B40 STAllPlayersC::_SubMDObject @ 00442C07 MOV EDI,dword ptr [ECX + EDX*0x2 + 0x7f4e2f] | 00442B40 STAllPlayersC::_SubMDObject @ 00442D05 MOV EDI,dword ptr [ECX] | 00443F30 STAllPlayersC::SaveAllPlData @ 00443F98 MOV EAX,dword ptr [EDI] | 00444E70 FUN_00444e70 @ 00444EE1 MOV dword ptr [ESI + EBX*0x1 + 0x7f4e2f],EAX	stride_relative_memory_access
1	record_a62x8	19	0x13	4		/undefined4	layout	none	7	1	00430A90 STAllPlayersC::GetMessage @ 00431077 MOV ECX,dword ptr [ESI] | 00441CE0 STAllPlayersC::_MakeMDPairs @ 00441D67 MOV EAX,dword ptr [EDI] | 00441CE0 STAllPlayersC::_MakeMDPairs @ 004420AA MOV EAX,dword ptr [ECX] | 00441CE0 STAllPlayersC::_MakeMDPairs @ 00442125 MOV ECX,dword ptr [ESI] | 00442B40 STAllPlayersC::_SubMDObject @ 00442D05 MOV EDI,dword ptr [ECX] | 00442E50 STAllPlayersC::_AssignMDPairs @ 00442F5B MOV ECX,dword ptr [EAX + EDX*0x2 + 0x7f4e2f] | 00443F30 STAllPlayersC::SaveAllPlData @ 00443F98 MOV EAX,dword ptr [EDI] | 00444E70 FUN_00444e70 @ 00444EEA MOV dword ptr [ESI + EBX*0x1 + 0x7f4e2f],0x0	stride_relative_memory_access
1	record_a62x8	31	0x1F	4		/undefined4	layout	none	7	3	00443F30 STAllPlayersC::SaveAllPlData @ 0044419F MOV ECX,dword ptr [EDX + 0x16] | 00444E70 FUN_00444e70 @ 00444F0C MOV dword ptr [EBX + 0x7f4e3f],EAX | 004D78E0 FUN_004d78e0 @ 004D7965 MOV EDI,dword ptr [EAX + 0x7f4e3f] | 004D86A0 FUN_004d86a0 @ 004D86C3 MOV dword ptr [EAX + 0x7f4e3f],EDI | 004D87B0 FUN_004d87b0 @ 004D87DC MOV ECX,dword ptr [ECX*0x2 + 0x7f4e3f] | 004D8800 FUN_004d8800 @ 004D8825 MOV EAX,dword ptr [ECX*0x2 + 0x7f4e3f] | 004D8870 FUN_004d8870 @ 004D8892 MOV EAX,dword ptr [ECX*0x2 + 0x7f4e3f] | 004D88B0 FUN_004d88b0 @ 004D88D5 MOV dword ptr [ECX*0x2 + 0x7f4e3f],EAX | 004D8B70 FUN_004d8b70 @ 004D8C4D MOV EDX,dword ptr [ESI + 0x7f4e3f] | 004D8B70 FUN_004d8b70 @ 004D8C92 MOV EAX,dword ptr [ESI + 0x7f4e3f]	stride_relative_memory_access
1	record_a62x8	35	0x23	4		/undefined4	layout	none	8	3	00443F30 STAllPlayersC::SaveAllPlData @ 004441A5 MOV ECX,dword ptr [EDX + 0x1a] | 00444E70 FUN_00444e70 @ 00444F15 MOV dword ptr [EBX + 0x7f4e43],ECX | 004D78E0 FUN_004d78e0 @ 004D795C MOV EBX,dword ptr [EAX + 0x7f4e43] | 004D86A0 FUN_004d86a0 @ 004D86D0 MOV dword ptr [EAX + 0x7f4e43],EDI | 004D88F0 FUN_004d88f0 @ 004D891C MOV ECX,dword ptr [ECX*0x2 + 0x7f4e43] | 004D8940 FUN_004d8940 @ 004D8965 MOV EAX,dword ptr [ECX*0x2 + 0x7f4e43] | 004D89B0 FUN_004d89b0 @ 004D89D2 MOV EAX,dword ptr [ECX*0x2 + 0x7f4e43] | 004D89F0 FUN_004d89f0 @ 004D8A15 MOV dword ptr [ECX*0x2 + 0x7f4e43],EAX | 004D8B70 FUN_004d8b70 @ 004D8BF5 MOV ECX,dword ptr [ESI + 0x7f4e43] | 004D8B70 FUN_004d8b70 @ 004D8C40 MOV EAX,dword ptr [ESI + 0x7f4e43] | 004D8B70 FUN_004d8b70 @ 004D8C80 MOV EDX,dword ptr [ESI + 0x7f4e43]	stride_relative_memory_access
1	record_a62x8	39	0x27	4		/undefined4	layout	none	7	3	00443F30 STAllPlayersC::SaveAllPlData @ 004441AB MOV ECX,dword ptr [EDX + 0x1e] | 00444E70 FUN_00444e70 @ 00444F29 MOV dword ptr [EBX + 0x7f4e47],EDX | 004D78E0 FUN_004d78e0 @ 004D7950 MOV ECX,dword ptr [EAX + 0x7f4e47] | 004D86A0 FUN_004d86a0 @ 004D8704 MOV dword ptr [EAX + 0x7f4e47],ESI | 004D8A30 FUN_004d8a30 @ 004D8A5C MOV ECX,dword ptr [ECX*0x2 + 0x7f4e47] | 004D8A80 FUN_004d8a80 @ 004D8AA5 MOV EAX,dword ptr [ECX*0x2 + 0x7f4e47] | 004D8AF0 FUN_004d8af0 @ 004D8B12 MOV EAX,dword ptr [ECX*0x2 + 0x7f4e47] | 004D8B30 FUN_004d8b30 @ 004D8B55 MOV dword ptr [ECX*0x2 + 0x7f4e47],EAX | 004D8B70 FUN_004d8b70 @ 004D8C3A MOV EDX,dword ptr [ESI + 0x7f4e47] | 004D8B70 FUN_004d8b70 @ 004D8C8B MOV EAX,dword ptr [ESI + 0x7f4e47]	stride_relative_memory_access
