convention_apply	receiver_type_apply	receiver_type_cleanup	receiver_role_apply	receiver_role_cleanup	address	expected_name	expected_name_source	expected_signature	expected_signature_source	expected_calling_convention	proposed_calling_convention	receiver_type_name	receiver_type_path	observed_size	group_members	vtable_slots	calls	ecx_pointer_setup	ecx_scalar_setup	ecx_live_prior	caller_cleanup_calls	expected_stack_bytes	confidence	reason	analysis_version
0	0	0	0	0	0040C080	FUN_0040c080	DEFAULT	undefined4 * __thiscall FUN_0040c080(void * this, uint param_1, DArrayTy * param_2)	ANALYSIS	__thiscall	__thiscall	RecoveredReceiver_0040C080	/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_0040C080	4	2		1	1	0	0	0	8	medium	incoming_receiver_captures=1; entry_receiver_register_captures=1; receiver_accesses=0; receiver_bulk_copies=0; incoming_edx_uses=0; calls=1; ecx_pointer_setup=1; ecx_scalar_setup=0; caller_cleanup_calls=0; callee_ret_pop=[8]; expected_stack=8; receiver_family_members=2; same_this_callees=3; adopt_untyped_existing_thiscall	3
0	0	0	0	0	00415B30	sub_00415B30	ANALYSIS	undefined4 __thiscall sub_00415B30(void * this, short param_1, short param_2, short param_3, short param_4, short param_5, short param_6, byte param_7)	ANALYSIS	__thiscall	__thiscall	RecoveredReceiver_00415B30	/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_00415B30	130	1		45	45	0	0	0	28	medium	incoming_receiver_captures=0; entry_receiver_register_captures=1; receiver_accesses=34; receiver_bulk_copies=0; incoming_edx_uses=0; calls=45; ecx_pointer_setup=45; ecx_scalar_setup=0; caller_cleanup_calls=0; callee_ret_pop=[28]; expected_stack=28; receiver_family_members=1; same_this_callees=0; single_function_field_only_receiver_kept_neutral; adopt_untyped_existing_thiscall	3
0	0	0	0	0	00416240	sub_00416240	ANALYSIS	void __thiscall sub_00416240(void * this, ushort param_1, short param_2, ushort param_3)	ANALYSIS	__thiscall	__thiscall	RecoveredReceiver_00416240	/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_00416240	855	2		27	27	0	0	0	12	medium	incoming_receiver_captures=0; entry_receiver_register_captures=0; receiver_accesses=3; receiver_bulk_copies=0; incoming_edx_uses=0; calls=27; ecx_pointer_setup=27; ecx_scalar_setup=0; caller_cleanup_calls=0; callee_ret_pop=[12]; expected_stack=12; receiver_family_members=2; same_this_callees=0; adopt_untyped_existing_thiscall	3
0	0	0	0	0	00416270	FUN_00416270	DEFAULT	undefined __thiscall FUN_00416270(void * this, uint * param_1, short * param_2, short * param_3)	ANALYSIS	__thiscall	__thiscall	RecoveredReceiver_00416270	/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_00416270	746	4		56	53	0	1	0	12	medium	incoming_receiver_captures=0; entry_receiver_register_captures=0; receiver_accesses=3; receiver_bulk_copies=0; incoming_edx_uses=0; calls=56; ecx_pointer_setup=53; ecx_scalar_setup=0; caller_cleanup_calls=0; callee_ret_pop=[12]; expected_stack=12; receiver_family_members=4; same_this_callees=0; adopt_untyped_existing_thiscall	3
0	0	0	0	0	004167A0	sub_004167A0	ANALYSIS	void __thiscall sub_004167A0(void * this)	ANALYSIS	__thiscall	__thiscall	RecoveredReceiver_004167A0	/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_004167A0	1032	6	0x10	18	16	0	1	0	0	medium	incoming_receiver_captures=0; entry_receiver_register_captures=1; receiver_accesses=4; receiver_bulk_copies=0; incoming_edx_uses=0; calls=18; ecx_pointer_setup=16; ecx_scalar_setup=0; caller_cleanup_calls=0; callee_ret_pop=[0]; expected_stack=0; receiver_family_members=6; same_this_callees=1; adopt_untyped_existing_thiscall	3
0	0	0	0	0	00416840	FUN_00416840	DEFAULT	void __thiscall FUN_00416840(void * this, undefined2 * param_1, undefined2 * param_2, undefined2 * param_3)	ANALYSIS	__thiscall	__thiscall	RecoveredReceiver_00416840	/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_00416840	215	1		4	4	0	0	0	12	medium	incoming_receiver_captures=0; entry_receiver_register_captures=0; receiver_accesses=6; receiver_bulk_copies=0; incoming_edx_uses=0; calls=4; ecx_pointer_setup=4; ecx_scalar_setup=0; caller_cleanup_calls=0; callee_ret_pop=[12]; expected_stack=12; receiver_family_members=1; same_this_callees=0; single_function_field_only_receiver_kept_neutral; adopt_untyped_existing_thiscall	3
0	0	0	0	0	00417740	FUN_00417740	DEFAULT	undefined4 __thiscall FUN_00417740(void * this, short param_1, short param_2)	ANALYSIS	__thiscall	__thiscall	RecoveredReceiver_00417740	/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_00417740	244	1		7	7	0	0	0	8	medium	incoming_receiver_captures=0; entry_receiver_register_captures=0; receiver_accesses=7; receiver_bulk_copies=0; incoming_edx_uses=0; calls=7; ecx_pointer_setup=7; ecx_scalar_setup=0; caller_cleanup_calls=0; callee_ret_pop=[8]; expected_stack=8; receiver_family_members=1; same_this_callees=0; single_function_field_only_receiver_kept_neutral; adopt_untyped_existing_thiscall	3
0	0	0	0	0	00417A00	FUN_00417a00	DEFAULT	void __thiscall FUN_00417a00(void * this, byte param_1)	ANALYSIS	__thiscall	__thiscall	RecoveredReceiver_00417A00	/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_00417A00	143	1		6	6	0	0	0	4	medium	incoming_receiver_captures=0; entry_receiver_register_captures=0; receiver_accesses=1; receiver_bulk_copies=0; incoming_edx_uses=0; calls=6; ecx_pointer_setup=6; ecx_scalar_setup=0; caller_cleanup_calls=0; callee_ret_pop=[4]; expected_stack=4; receiver_family_members=1; same_this_callees=0; single_function_field_only_receiver_kept_neutral; adopt_untyped_existing_thiscall	3
0	0	0	0	0	00417A20	FUN_00417a20	DEFAULT	undefined4 __thiscall FUN_00417a20(void * this, short param_1, short param_2, short param_3, int param_4)	ANALYSIS	__thiscall	__thiscall	RecoveredReceiver_00417A20	/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_00417A20	143	1		16	16	0	0	0	16	medium	incoming_receiver_captures=0; entry_receiver_register_captures=1; receiver_accesses=14; receiver_bulk_copies=0; incoming_edx_uses=0; calls=16; ecx_pointer_setup=16; ecx_scalar_setup=0; caller_cleanup_calls=0; callee_ret_pop=[16]; expected_stack=16; receiver_family_members=1; same_this_callees=0; single_function_field_only_receiver_kept_neutral; adopt_untyped_existing_thiscall	3
0	0	0	0	0	00417E70	FUN_00417e70	DEFAULT	undefined4 __thiscall FUN_00417e70(void * this, short param_1)	ANALYSIS	__thiscall	__thiscall	RecoveredReceiver_00417E70	/SubmarineTitans/Recovered/HiddenThis/RecoveredReceiver_00417E70	735	3	0xD8	8	7	0	1	0	4	medium	incoming_receiver_captures=0; entry_receiver_register_captures=0; receiver_accesses=2; receiver_bulk_copies=0; incoming_edx_uses=0; calls=8; ecx_pointer_setup=7; ecx_scalar_setup=0; caller_cleanup_calls=0; callee_ret_pop=[4]; expected_stack=4; receiver_family_members=3; same_this_callees=0; adopt_untyped_existing_thiscall	3
