apply	target_kind	structure_path	component_offset	expected_field_name	expected_component_type	expected_comment	proposed_vtable_type	proposed_field_name	table_address	slot_count	signature_function_address	signature_function	signature_mode	receiver_type	stack_parameter_count	proposed_parameter_types	proposed_return_type	confidence	evidence
0	dispatch_interface_audit	/STGameObjC	0	vtable	pointer:/SubmarineTitans/Recovered/VTables/STGameObjCVTable	[STClassLayoutApplier] reads=362, writes=2; type_confidence=existing; name_confidence=none; owner_vtable_pointer; concrete_type_already_present; cfg_field_recovery=1; typed_cross_class_recovery=355	/SubmarineTitans/Recovered/VTables/STGameObjCDispatchVTable	vtable	007900A0	82			dispatch_shape	pointer:/SubmarineTitans/Recovered/VTables/STGameObjCVTable				audit	audit-only polymorphic interface; physical prefix has 53 slot(s); 21 independently recovered derived tables extend the STGameObjC dispatch interface to 82 slot(s); the class vptr must remain pointer:/SubmarineTitans/Recovered/VTables/STGameObjCVTable
1	vtable_slot	/SubmarineTitans/Recovered/VTables/AiBossClassTyVTable	0	GetMessage	pointer:/SubmarineTitans/Recovered/VTableFunctions/vfunc_00403792_GetMessage	slot 0x0 -> 00403792 AiBossClassTy::GetMessage	/SubmarineTitans/Recovered/VTables/AiBossClassTyVTable	GetMessage		0	00648030	AiBossClassTy::GetMessage	family_target	pointer:/SubmarineTitans/Recovered/VTableFunctions/vfunc_00403792_GetMessage				family	1 independently typed vtable component(s) for resolved target 00648030 agree on pointer:/SubmarineTitans/Recovered/VTableFunctions/vfunc_00403792_GetMessage
1	vtable_slot	/SubmarineTitans/Recovered/VTables/AiBossClassTyVTable_at_1C	0	vfunc_00	pointer:/SubmarineTitans/Recovered/IndirectCallFunctions/icall_00647B60_FUN_00647b60_stdcall	slot 0x0 -> 00405961 thunk_FUN_00647b60 [STIndirectCallApplier]	/SubmarineTitans/Recovered/VTables/AiBossClassTyVTable_at_1C	vfunc_00		0	00647B60	FUN_00647b60	synthetic_stdcall		1	/undefined2	/undefined4	layout	vtable membership, no semantic incoming ECX use, and every RET agrees on callee cleanup 4 byte(s); stack parameter types=/undefined2; return=/undefined4
1	vtable_slot	/SubmarineTitans/Recovered/VTables/AiBossClassTyVTable_at_1C	4	vfunc_04	pointer:/SubmarineTitans/Recovered/IndirectCallFunctions/icall_00647B80_FUN_00647b80_stdcall	slot 0x4 -> 00404D9A thunk_FUN_00647b80 [STIndirectCallApplier]	/SubmarineTitans/Recovered/VTables/AiBossClassTyVTable_at_1C	vfunc_04		0	00647B80	FUN_00647b80	synthetic_stdcall		1	/undefined2	/undefined4	layout	vtable membership, no semantic incoming ECX use, and every RET agrees on callee cleanup 4 byte(s); stack parameter types=/undefined2; return=/undefined4
1	vtable_slot	/SubmarineTitans/Recovered/VTables/AiBossClassTyVTable_at_1C	8	vfunc_08	pointer:/SubmarineTitans/Recovered/IndirectCallFunctions/icall_00647BA0_FUN_00647ba0_for_AiBossClassTy	slot 0x8 -> 00405AB0 thunk_FUN_00647ba0 [STIndirectCallApplier]	/SubmarineTitans/Recovered/VTables/AiBossClassTyVTable_at_1C	vfunc_08		0	00647BA0	FUN_00647ba0	synthetic_thiscall	pointer:/AiBossClassTy	1	/undefined2	/undefined4	layout	vtable membership, semantic incoming ECX use, and every RET agrees on callee cleanup 4 byte(s); stack parameter types=/undefined2; return=/undefined4
1	vtable_slot	/SubmarineTitans/Recovered/VTables/AiBossClassTyVTable_at_1C	12	vfunc_0C	pointer:/SubmarineTitans/Recovered/IndirectCallFunctions/icall_00647BE0_FUN_00647be0_for_AiBossClassTy	slot 0xC -> 00403CBF thunk_FUN_00647be0 [STIndirectCallApplier]	/SubmarineTitans/Recovered/VTables/AiBossClassTyVTable_at_1C	vfunc_0C		0	00647BE0	FUN_00647be0	synthetic_thiscall	pointer:/AiBossClassTy	1	/undefined2	/undefined4	layout	vtable membership, semantic incoming ECX use, and every RET agrees on callee cleanup 4 byte(s); stack parameter types=/undefined2; return=/undefined4
1	vtable_slot	/SubmarineTitans/Recovered/VTables/AiBossClassTyVTable_at_1C	16	vfunc_10	pointer:/SubmarineTitans/Recovered/IndirectCallFunctions/icall_00647C10_FUN_00647c10_for_AiBossClassTy	slot 0x10 -> 00404AC0 thunk_FUN_00647c10 [STIndirectCallApplier]	/SubmarineTitans/Recovered/VTables/AiBossClassTyVTable_at_1C	vfunc_10		0	00647C10	FUN_00647c10	synthetic_thiscall	pointer:/AiBossClassTy	2	/undefined2;/undefined2	/undefined4	layout	vtable membership, semantic incoming ECX use, and every RET agrees on callee cleanup 8 byte(s); stack parameter types=/undefined2;/undefined2; return=/undefined4
1	vtable_slot	/SubmarineTitans/Recovered/VTables/AiBossClassTyVTable_at_1C	20	vfunc_14	pointer:/SubmarineTitans/Recovered/IndirectCallFunctions/icall_00647C80_FUN_00647c80_for_AiBossClassTy	slot 0x14 -> 0040136B thunk_FUN_00647c80 [STIndirectCallApplier]	/SubmarineTitans/Recovered/VTables/AiBossClassTyVTable_at_1C	vfunc_14		0	00647C80	FUN_00647c80	synthetic_thiscall	pointer:/AiBossClassTy	0		/undefined4	layout	vtable membership, semantic incoming ECX use, and every RET agrees on callee cleanup 0 byte(s); stack parameter types=; return=/undefined4
1	vtable_slot	/SubmarineTitans/Recovered/VTables/AiBossClassTyVTable_at_1C	24	vfunc_18	pointer:/SubmarineTitans/Recovered/IndirectCallFunctions/icall_00647B40_FUN_00647b40_for_AiBossClassTy	slot 0x18 -> 004041FB thunk_FUN_00647b40 [STIndirectCallApplier]	/SubmarineTitans/Recovered/VTables/AiBossClassTyVTable_at_1C	vfunc_18		0	00647B40	FUN_00647b40	synthetic_thiscall	pointer:/AiBossClassTy	0		/undefined4	layout	polymorphic slot consensus supplies an otherwise-unused ECX receiver; every RET agrees on zero stack cleanup; return=/undefined4
1	vtable_slot	/SubmarineTitans/Recovered/VTables/AiBossClassTyVTable_at_1C	28	vfunc_1C	pointer:/SubmarineTitans/Recovered/IndirectCallFunctions/icall_00647CA0_FUN_00647ca0_for_AiBossClassTy	slot 0x1C -> 004022A2 thunk_FUN_00647ca0 [STIndirectCallApplier]	/SubmarineTitans/Recovered/VTables/AiBossClassTyVTable_at_1C	vfunc_1C		0	00647CA0	FUN_00647ca0	synthetic_thiscall	pointer:/AiBossClassTy	1	/undefined2	/undefined4	layout	vtable membership, semantic incoming ECX use, and every RET agrees on callee cleanup 4 byte(s); stack parameter types=/undefined2; return=/undefined4
