function_address	function	call_address	table_register	slot_offset	observed_pushes	last_ecx_assignment	instruction
00418030	SubmarineTitans::Recovered::HiddenThis::AnonReceiver_00417FF0::FUN_00418030	00418768	EDX	16	6	EBX	CALL dword ptr [EDX + 0x10]
004189D0	STGameObjC::MoveStep	00418A2B	EAX	24	3	ESI	CALL dword ptr [EAX + 0x18]
00419BF0	FUN_00419bf0	00419BF5	EAX	28	1		CALL dword ptr [EAX + 0x1c]
00419BF0	FUN_00419bf0	00419C09	EDX	32	0	ESI	CALL dword ptr [EDX + 0x20]
00419DF0	STGameObjC::SetSelfCheckFlag	0041A060	EAX	48	1	EBX	CALL dword ptr [EAX + 0x30]
00419DF0	STGameObjC::SetSelfCheckFlag	0041A083	EDX	52	1	EBX	CALL dword ptr [EDX + 0x34]
00419DF0	STGameObjC::SetSelfCheckFlag	0041A13E	EAX	64	1	EBX	CALL dword ptr [EAX + 0x40]
00419DF0	STGameObjC::SetSelfCheckFlag	0041A19D	EDX	76	1	EBX	CALL dword ptr [EDX + 0x4c]
00419DF0	STGameObjC::SetSelfCheckFlag	0041A1DB	EDX	88	1	EBX	CALL dword ptr [EDX + 0x58]
00419DF0	STGameObjC::SetSelfCheckFlag	0041A20D	EDX	96	1	EBX	CALL dword ptr [EDX + 0x60]
00419DF0	STGameObjC::SetSelfCheckFlag	0041A23F	EDX	88	1	EBX	CALL dword ptr [EDX + 0x58]
00419DF0	STGameObjC::SetSelfCheckFlag	0041A271	EDX	100	1	EBX	CALL dword ptr [EDX + 0x64]
00419DF0	STGameObjC::SetSelfCheckFlag	0041A30A	EDX	56	1	EBX	CALL dword ptr [EDX + 0x38]
00419DF0	STGameObjC::SetSelfCheckFlag	0041A385	EDX	60	1	EBX	CALL dword ptr [EDX + 0x3c]
00419DF0	STGameObjC::SetSelfCheckFlag	0041A3D3	EAX	68	1	EBX	CALL dword ptr [EAX + 0x44]
00419DF0	STGameObjC::SetSelfCheckFlag	0041A3F5	EDX	72	1	EBX	CALL dword ptr [EDX + 0x48]
00419DF0	STGameObjC::SetSelfCheckFlag	0041A453	EDX	80	1	EBX	CALL dword ptr [EDX + 0x50]
00419DF0	STGameObjC::SetSelfCheckFlag	0041A46A	EAX	84	1	EBX	CALL dword ptr [EAX + 0x54]
00419DF0	STGameObjC::SetSelfCheckFlag	0041A494	EAX	92	1	EBX	CALL dword ptr [EAX + 0x5c]
0041AF40	STGameObjC::GetMessage	0041B004	EDX	204	0	EBX	CALL dword ptr [EDX + 0xcc]
0041AF40	STGameObjC::GetMessage	0041B033	EAX	208	0	EBX	CALL dword ptr [EAX + 0xd0]
