apply	action	function_address	function_name	call_address	slot_offset	expected_override	proposed_calling_convention	receiver_type	stack_parameter_count	proposed_parameter_types	proposed_return_type	signature_function_address	signature_function	confidence	evidence
1	present	00419BF0	FUN_00419bf0	00419C09	32	none	__thiscall	pointer:/void	0		/void			high	exact structural dispatch presentation: all machine CFG paths agree on the unadjusted ECX receiver; slot=0x20; stack_words=0; return=/void; no physical vtable or semantic receiver owner is claimed
1	present	0041C5A0	sub_0041C5A0	0041C618	44	none	__thiscall	pointer:/void	0		/undefined4			high	exact structural dispatch presentation: all machine CFG paths agree on the unadjusted ECX receiver; slot=0x2C; stack_words=0; return=/undefined4; no physical vtable or semantic receiver owner is claimed
1	present	0041C5A0	sub_0041C5A0	0041C661	152	none	__thiscall	pointer:/void	0		/undefined4			high	exact structural dispatch presentation: all machine CFG paths agree on the unadjusted ECX receiver; slot=0x98; stack_words=0; return=/undefined4; no physical vtable or semantic receiver owner is claimed
1	present	0041CE40	FUN_0041ce40	0041CE7C	8	none	__thiscall	pointer:/void	0		/undefined4			high	exact structural dispatch presentation: all machine CFG paths agree on the unadjusted ECX receiver; slot=0x8; stack_words=0; return=/undefined4; no physical vtable or semantic receiver owner is claimed
1	present	0041CF50	FUN_0041cf50	0041CF86	8	none	__thiscall	pointer:/void	0		/undefined4			high	exact structural dispatch presentation: all machine CFG paths agree on the unadjusted ECX receiver; slot=0x8; stack_words=0; return=/undefined4; no physical vtable or semantic receiver owner is claimed
1	present	0041CFF0	FUN_0041cff0	0041D02C	8	none	__thiscall	pointer:/void	0		/undefined4			high	exact structural dispatch presentation: all machine CFG paths agree on the unadjusted ECX receiver; slot=0x8; stack_words=0; return=/undefined4; no physical vtable or semantic receiver owner is claimed
1	present	0041D100	FUN_0041d100	0041D134	8	none	__thiscall	pointer:/void	0		/undefined4			high	exact structural dispatch presentation: all machine CFG paths agree on the unadjusted ECX receiver; slot=0x8; stack_words=0; return=/undefined4; no physical vtable or semantic receiver owner is claimed
1	present	0041D3E0	FUN_0041d3e0	0041D41C	8	none	__thiscall	pointer:/void	0		/undefined4			high	exact structural dispatch presentation: all machine CFG paths agree on the unadjusted ECX receiver; slot=0x8; stack_words=0; return=/undefined4; no physical vtable or semantic receiver owner is claimed
1	present	0041D4F0	FUN_0041d4f0	0041D524	8	none	__thiscall	pointer:/void	0		/undefined4			high	exact structural dispatch presentation: all machine CFG paths agree on the unadjusted ECX receiver; slot=0x8; stack_words=0; return=/undefined4; no physical vtable or semantic receiver owner is claimed
1	present	0041DD00	FUN_0041dd00	0041DF5F	44	none	__thiscall	pointer:/void	0		/undefined4			high	exact structural dispatch presentation: all machine CFG paths agree on the unadjusted ECX receiver; slot=0x2C; stack_words=0; return=/undefined4; no physical vtable or semantic receiver owner is claimed
1	present	0041DD00	FUN_0041dd00	0041E141	44	none	__thiscall	pointer:/void	0		/undefined4			high	exact structural dispatch presentation: all machine CFG paths agree on the unadjusted ECX receiver; slot=0x2C; stack_words=0; return=/undefined4; no physical vtable or semantic receiver owner is claimed
1	present	0041DD00	FUN_0041dd00	0041E14D	44	none	__thiscall	pointer:/void	0		/undefined4			high	exact structural dispatch presentation: all machine CFG paths agree on the unadjusted ECX receiver; slot=0x2C; stack_words=0; return=/undefined4; no physical vtable or semantic receiver owner is claimed
1	present	0041DD00	FUN_0041dd00	0041E23C	44	none	__thiscall	pointer:/void	0		/undefined4			high	exact structural dispatch presentation: all machine CFG paths agree on the unadjusted ECX receiver; slot=0x2C; stack_words=0; return=/undefined4; no physical vtable or semantic receiver owner is claimed
1	present	0041F630	FUN_0041f630	0041F7A5	108	none	__thiscall	pointer:/void	0		/undefined4			high	exact structural dispatch presentation: all machine CFG paths agree on the unadjusted ECX receiver; slot=0x6C; stack_words=0; return=/undefined4; no physical vtable or semantic receiver owner is claimed
1	present	00423320	FUN_00423320	00423339	0	none	__thiscall	pointer:/void	1	/undefined4	/undefined4			high	exact structural dispatch presentation: all machine CFG paths agree on the unadjusted ECX receiver; slot=0x0; stack_words=1; return=/undefined4; no physical vtable or semantic receiver owner is claimed
1	present	00423850	STGroupC::AddObj	00423958	8	none	__thiscall	pointer:/void	2	/undefined4;/undefined4	/void			high	exact structural dispatch presentation: all machine CFG paths agree on the unadjusted ECX receiver; slot=0x8; stack_words=2; return=/void; no physical vtable or semantic receiver owner is claimed
1	apply	00423850	STGroupC::AddObj	004239E6	256	__thiscall;/undefined1;pointer:/STGameObjC;/undefined1	__thiscall	pointer:/STGameObjC	1	/undefined1	/undefined1	00422E20	FUN_00422e20	high	exact CALLIND at physical slot 0x100; observed_pushes=1; ECX=ESI; physical_vtable_paths=[/SubmarineTitans/Recovered/VTables/STGameObjCVTable]; receiver_paths=[/STGameObjC]; audit-only dispatch metadata; 21/21 physical implementations across tables 00790AA0|00797560|00798C70|0079B238|0079B3C4|0079B528|0079B78C|0079B8F0|0079BA54|0079BBB8|0079BD1C|0079BE80|0079C260|0079C3EC|0079C5AC|0079C714|0079C9B0|0079CEFC|0079D1D8|0079D33C|0079D4AC agree on synthetic_dispatch_thiscall, stack cleanup words=1, stack parameter types=/undefined1; return consensus={/undefined1=21} => /undefined1
