apply	function_address	function_name	jump_address	table_address	entry_count	destinations	first_non_entry	first_non_entry_word	byte_read_site	confidence	reason
0	00413AF0	FUN_00413af0	00414479	00414660	7	00414480;004145C5;004145D8;004145ED;00414604;00414624;00414635	0041467C	06060600	00414473	review	exact_consecutive_pointer_entries_match_all_computed_jump_refs; all_destinations_are_instruction_starts_in_containing_function; next_machine_word_is_not_an_executable_target; independent_indexed_byte_read_starts_at_first_non_entry; prevents_packed_lookup_bytes_from_being_reinterpreted_as_an_extra_jump_address; bounded_machine_candidate_without_decompiler_overread
0	0041C3F0	TLOEmbryoTy::sub_0041C3F0	0041C4BA	0041C508	3	0041C4C1;0041C4F7;0041C501	0041C514	02020200	0041C4B4	review	exact_consecutive_pointer_entries_match_all_computed_jump_refs; all_destinations_are_instruction_starts_in_containing_function; next_machine_word_is_not_an_executable_target; independent_indexed_byte_read_starts_at_first_non_entry; prevents_packed_lookup_bytes_from_being_reinterpreted_as_an_extra_jump_address; bounded_machine_candidate_without_decompiler_overread
0	0041C5A0	sub_0041C5A0	0041C62B	0041C66C	3	0041C632;0041C65D;0041C667	0041C678	02020200	0041C625	review	exact_consecutive_pointer_entries_match_all_computed_jump_refs; all_destinations_are_instruction_starts_in_containing_function; next_machine_word_is_not_an_executable_target; independent_indexed_byte_read_starts_at_first_non_entry; prevents_packed_lookup_bytes_from_being_reinterpreted_as_an_extra_jump_address; bounded_machine_candidate_without_decompiler_overread
0	0041DD00	FUN_0041dd00	0041DF76	0041E2DC	4	0041DF7D;0041E00A;0041E098;0041E2D5	0041E2EC	03030300	0041DF70	review	exact_consecutive_pointer_entries_match_all_computed_jump_refs; all_destinations_are_instruction_starts_in_containing_function; next_machine_word_is_not_an_executable_target; independent_indexed_byte_read_starts_at_first_non_entry; prevents_packed_lookup_bytes_from_being_reinterpreted_as_an_extra_jump_address; bounded_machine_candidate_without_decompiler_overread
0	0041DD00	FUN_0041dd00	0041E253	0041E324	4	0041E25A;0041E285;0041E2B0;0041E2D5	0041E334	03030300	0041E24D	review	exact_consecutive_pointer_entries_match_all_computed_jump_refs; all_destinations_are_instruction_starts_in_containing_function; next_machine_word_is_not_an_executable_target; independent_indexed_byte_read_starts_at_first_non_entry; prevents_packed_lookup_bytes_from_being_reinterpreted_as_an_extra_jump_address; bounded_machine_candidate_without_decompiler_overread
0	0041F630	FUN_0041f630	0041F763	0041F82C	2	0041F76A;0041F78A	0041F834	01010000	0041F75D	review	exact_consecutive_pointer_entries_match_all_computed_jump_refs; all_destinations_are_instruction_starts_in_containing_function; next_machine_word_is_not_an_executable_target; independent_indexed_byte_read_starts_at_first_non_entry; prevents_packed_lookup_bytes_from_being_reinterpreted_as_an_extra_jump_address; bounded_machine_candidate_without_decompiler_overread
0	0041F630	FUN_0041f630	0041F783	0041F854	2	0041F76A;0041F78A	0041F85C	01010000	0041F77D	review	exact_consecutive_pointer_entries_match_all_computed_jump_refs; all_destinations_are_instruction_starts_in_containing_function; next_machine_word_is_not_an_executable_target; independent_indexed_byte_read_starts_at_first_non_entry; prevents_packed_lookup_bytes_from_being_reinterpreted_as_an_extra_jump_address; bounded_machine_candidate_without_decompiler_overread
0	0041F9B0	STSprGameObjC::CheckRay	0041FA06	00420120	2	0041FA0D;0041FA28	00420128	01010100	0041FA00	review	exact_consecutive_pointer_entries_match_all_computed_jump_refs; all_destinations_are_instruction_starts_in_containing_function; next_machine_word_is_not_an_executable_target; independent_indexed_byte_read_starts_at_first_non_entry; prevents_packed_lookup_bytes_from_being_reinterpreted_as_an_extra_jump_address; bounded_machine_candidate_without_decompiler_overread
0	00420340	STSprGameObjC::LoadActFrame	00420436	00420858	6	0042043D;004204A0;00420503;00420557;004205BA;0042061A	00420870	01010100	00420430	review	exact_consecutive_pointer_entries_match_all_computed_jump_refs; all_destinations_are_instruction_starts_in_containing_function; next_machine_word_is_not_an_executable_target; independent_indexed_byte_read_starts_at_first_non_entry; prevents_packed_lookup_bytes_from_being_reinterpreted_as_an_extra_jump_address; bounded_machine_candidate_without_decompiler_overread
0	00420340	STSprGameObjC::LoadActFrame	00420550	004208E4	4	00420557;004205BA;0042061A;0042082A	004208F4	03030000	0042054A	review	exact_consecutive_pointer_entries_match_all_computed_jump_refs; all_destinations_are_instruction_starts_in_containing_function; next_machine_word_is_not_an_executable_target; independent_indexed_byte_read_starts_at_first_non_entry; prevents_packed_lookup_bytes_from_being_reinterpreted_as_an_extra_jump_address; bounded_machine_candidate_without_decompiler_overread
0	00420AE0	STSprGameObjC::LoadLifeFrame	00420BB5	00420E5C	4	00420BBC;00420C48;00420CD4;00420E2D	00420E6C	00000000	00420BAF	review	exact_consecutive_pointer_entries_match_all_computed_jump_refs; all_destinations_are_instruction_starts_in_containing_function; next_machine_word_is_not_an_executable_target; independent_indexed_byte_read_starts_at_first_non_entry; prevents_packed_lookup_bytes_from_being_reinterpreted_as_an_extra_jump_address; bounded_machine_candidate_without_decompiler_overread
0	00430750	FUN_00430750	00430768	004307CC	8	0043076F;00430775;0043077B;00430781;00430787;0043078D;00430798;0043079E	004307EC	00000000	00430762	review	exact_consecutive_pointer_entries_match_all_computed_jump_refs; all_destinations_are_instruction_starts_in_containing_function; next_machine_word_is_not_an_executable_target; independent_indexed_byte_read_starts_at_first_non_entry; prevents_packed_lookup_bytes_from_being_reinterpreted_as_an_extra_jump_address; bounded_machine_candidate_without_decompiler_overread
0	00435B90	FUN_00435b90	00435C5C	00436A84	21	00435C63;00435CD8;00435D4D;00435DD2;00435E4F;00435ED5;00435F52;00435F5F;00435FE5;0043606B;004360E0;00436155;004361E2;00436257;004362D4;0043635A;004363E4;0043646E;004364E7;0043655B;00436987	00436AD8	02011400	00435C56	review	exact_consecutive_pointer_entries_match_all_computed_jump_refs; all_destinations_are_instruction_starts_in_containing_function; next_machine_word_is_not_an_executable_target; independent_indexed_byte_read_starts_at_first_non_entry; prevents_packed_lookup_bytes_from_being_reinterpreted_as_an_extra_jump_address; bounded_machine_candidate_without_decompiler_overread
0	00436F20	STAllPlayersC::CmdToPlsObj	0043702C	00438680	4	00437033;00437191;004371A8;00438676	00438690	03030000	00437026	review	exact_consecutive_pointer_entries_match_all_computed_jump_refs; all_destinations_are_instruction_starts_in_containing_function; next_machine_word_is_not_an_executable_target; independent_indexed_byte_read_starts_at_first_non_entry; prevents_packed_lookup_bytes_from_being_reinterpreted_as_an_extra_jump_address; bounded_machine_candidate_without_decompiler_overread
0	00436F20	STAllPlayersC::CmdToPlsObj	004375B6	004386D0	15	004375BD;004376E1;0043778C;004377B3;0043791E;00437E70;004381E5;00438245;0043824D;00438292;00438311;00438357;004384AB;0043864A;00438676	0043870C	0E0E0E00	004375B0	review	exact_consecutive_pointer_entries_match_all_computed_jump_refs; all_destinations_are_instruction_starts_in_containing_function; next_machine_word_is_not_an_executable_target; independent_indexed_byte_read_starts_at_first_non_entry; prevents_packed_lookup_bytes_from_being_reinterpreted_as_an_extra_jump_address; bounded_machine_candidate_without_decompiler_overread
0	00436F20	STAllPlayersC::CmdToPlsObj	00437E8B	0043875C	9	00437E92;00437F17;00437F44;0043800B;00438045;00438108;00438171;004381AB;00438676	00438780	08020100	00437E85	review	exact_consecutive_pointer_entries_match_all_computed_jump_refs; all_destinations_are_instruction_starts_in_containing_function; next_machine_word_is_not_an_executable_target; independent_indexed_byte_read_starts_at_first_non_entry; prevents_packed_lookup_bytes_from_being_reinterpreted_as_an_extra_jump_address; bounded_machine_candidate_without_decompiler_overread
0	00436F20	STAllPlayersC::CmdToPlsObj	004385E5	004387C8	4	0043824D;004385EC;00438621;00438676	004387D8	00000000	004385DF	review	exact_consecutive_pointer_entries_match_all_computed_jump_refs; all_destinations_are_instruction_starts_in_containing_function; next_machine_word_is_not_an_executable_target; independent_indexed_byte_read_starts_at_first_non_entry; prevents_packed_lookup_bytes_from_being_reinterpreted_as_an_extra_jump_address; bounded_machine_candidate_without_decompiler_overread
0	0043BEB0	STAllPlayersC::GetPanelInfo	0043C4D2	0043D8EC	5	0043C4D9;0043C515;0043C544;0043C67B;0043D8E0	0043D900	01040100	0043C4CC	review	exact_consecutive_pointer_entries_match_all_computed_jump_refs; all_destinations_are_instruction_starts_in_containing_function; next_machine_word_is_not_an_executable_target; independent_indexed_byte_read_starts_at_first_non_entry; prevents_packed_lookup_bytes_from_being_reinterpreted_as_an_extra_jump_address; bounded_machine_candidate_without_decompiler_overread
