apply	address	old_name	library	namespace	confidence	evidence	references
0	004012F8	_EnumPlObj	MSVCRT	Library::MSVCRT	medium	global underscore-prefixed symbol: _EnumPlObj	004012F8
0	004013F2	_EnumDest	MSVCRT	Library::MSVCRT	medium	global underscore-prefixed symbol: _EnumDest	004013F2
0	004015EB	_CreateStgListByRoot	MSVCRT	Library::MSVCRT	medium	global underscore-prefixed symbol: _CreateStgListByRoot	004015EB
0	00402932	_EnumArt	MSVCRT	Library::MSVCRT	medium	global underscore-prefixed symbol: _EnumArt	00402932
0	00403445	_GetEmbrGrpTobjGrpExch	MSVCRT	Library::MSVCRT	medium	global underscore-prefixed symbol: _GetEmbrGrpTobjGrpExch	00403445
0	00403675	_EnumMines	MSVCRT	Library::MSVCRT	medium	global underscore-prefixed symbol: _EnumMines	00403675
0	00403882	_EnumRCCont	MSVCRT	Library::MSVCRT	medium	global underscore-prefixed symbol: _EnumRCCont	00403882
0	00404142	_EnumRCField	MSVCRT	Library::MSVCRT	medium	global underscore-prefixed symbol: _EnumRCField	00404142
0	004041D8	_GetEmbrTobjGrpExch	MSVCRT	Library::MSVCRT	medium	global underscore-prefixed symbol: _GetEmbrTobjGrpExch	004041D8
0	00404DA9	_GetStaffGrpExch	MSVCRT	Library::MSVCRT	medium	global underscore-prefixed symbol: _GetStaffGrpExch	00404DA9
0	00675EA0	_AddObjGrpExch	MSVCRT	Library::MSVCRT	medium	global underscore-prefixed symbol: _AddObjGrpExch	00675EA0
0	00675FE0	_AddAllGrpExch	MSVCRT	Library::MSVCRT	medium	global underscore-prefixed symbol: _AddAllGrpExch	00675FE0
0	00676170	_GetStaffGrpExch	MSVCRT	Library::MSVCRT	medium	global underscore-prefixed symbol: _GetStaffGrpExch	00676170
0	00676260	_GetEmbrTobjGrpExch	MSVCRT	Library::MSVCRT	medium	global underscore-prefixed symbol: _GetEmbrTobjGrpExch	00676260
0	006763F0	_GetEmbrGrpTobjGrpExch	MSVCRT	Library::MSVCRT	medium	global underscore-prefixed symbol: _GetEmbrGrpTobjGrpExch	006763F0
0	00676D80	_EnumPlObj	MSVCRT	Library::MSVCRT	medium	global underscore-prefixed symbol: _EnumPlObj	00676D80
0	00677960	_EnumRCField	MSVCRT	Library::MSVCRT	medium	global underscore-prefixed symbol: _EnumRCField	00677960
0	00677BE0	_EnumRCCont	MSVCRT	Library::MSVCRT	medium	global underscore-prefixed symbol: _EnumRCCont	00677BE0
0	00677F40	_EnumArt	MSVCRT	Library::MSVCRT	medium	global underscore-prefixed symbol: _EnumArt	00677F40
0	00678240	_EnumMines	MSVCRT	Library::MSVCRT	medium	global underscore-prefixed symbol: _EnumMines	00678240
0	006785A0	_EnumDest	MSVCRT	Library::MSVCRT	medium	global underscore-prefixed symbol: _EnumDest	006785A0
0	0067DC20	_CreateStgListByRoot	MSVCRT	Library::MSVCRT	medium	global underscore-prefixed symbol: _CreateStgListByRoot	0067DC20
1	006A3C80	Library::MSVCRT::FUN_006a3c80	MSVCRT	Library::MSVCRT	high	E:\\__titans\\Crt\\_Dbgheap.c	006A3CC1
1	006A3D40	Library::MSVCRT::FUN_006a3d40	MSVCRT	Library::MSVCRT	high	E:\\__titans\\Crt\\_Dbgheap.c	006A3D6A | 006A3FB9
1	006A4160	Library::MSVCRT::FUN_006a4160	MSVCRT	Library::MSVCRT	high	E:\\__titans\\Crt\\_Dbgheap.c	006A41AC
1	006A41E0	Library::MSVCRT::FUN_006a41e0	MSVCRT	Library::MSVCRT	high	E:\\__titans\\Crt\\_Dbgheap.c	006A4257 | 006A4325 | 006A43BB | 006A4410 | 006A449B | 006A45CC | 006A4616 | 006A465A
1	006A4950	Library::MSVCRT::FUN_006a4950	MSVCRT	Library::MSVCRT	high	E:\\__titans\\Crt\\_Dbgheap.c	006A497F
