function_address	original_name	merge_group	anchor_address	anchor_kind	status	detail
0040EB90	uVar8	0	0040EFC8	signed_scalar_role	disabled	apply=0
0040EB90	uVar8	1	0040EEC4	signed_scalar_role	disabled	apply=0
0040F840	uVar8	1	0040FA9B	signed_scalar_role	disabled	apply=0
0040F840	uVar9	1	0040FAB4	signed_scalar_role	disabled	apply=0
00413AF0	uVar14	1	00413BAF	signed_scalar_role	disabled	apply=0
00414A70	uVar8	0	00414D75	signed_scalar_role	disabled	apply=0
00414A70	uVar8	1	00414E20	signed_scalar_role	disabled	apply=0
00416400	uVar7	0	0041650E	signed_scalar_role	disabled	apply=0
00416400	uVar7	1	00416522	signed_scalar_role	disabled	apply=0
00416400	uVar7	2	00416533	signed_scalar_role	disabled	apply=0
00418030	uVar12	0	004180B2	signed_scalar_role	disabled	apply=0
00418030	uVar12	1	004180CC	signed_scalar_role	disabled	apply=0
00418030	uVar12	2	004180E6	signed_scalar_role	disabled	apply=0
00418030	uVar12	3	0041868A	signed_scalar_role	disabled	apply=0
00418030	uVar12	4	004186A9	signed_scalar_role	disabled	apply=0
00418030	uVar12	5	004186BA	signed_scalar_role	disabled	apply=0
0041F3B0	uVar3	0	0041F431	signed_scalar_role	disabled	apply=0
0041F3B0	uVar3	1	0041F4E5	signed_scalar_role	disabled	apply=0
00424E10	uVar16	1	004258B1	signed_scalar_role	disabled	apply=0
00424E10	uVar23	1	0042665E	signed_scalar_role	disabled	apply=0
00424E10	uVar23	2	00426688	signed_scalar_role	disabled	apply=0
00424E10	uVar23	3	004266AF	signed_scalar_role	disabled	apply=0
00424E10	uVar28	0	004258AA	signed_scalar_role	disabled	apply=0
00424E10	uVar28	1	00425911	signed_scalar_role	disabled	apply=0
0043BEB0	dVar8	1	0043D188	call_argument	disabled	apply=0
00440AA0	uStack_3a	0	004410C1	signed_scalar_role	disabled	apply=0
00442E50	dVar16	0	0044363D	call_argument	disabled	apply=0
00442E50	dVar16	1	004436BE	call_argument	disabled	apply=0
00446F80	uVar10	3	00447779	signed_scalar_role	disabled	apply=0
00446F80	uVar10	4	0044778D	signed_scalar_role	disabled	apply=0
00446F80	uVar7	1	00447256	signed_scalar_role	disabled	apply=0
00446F80	uVar7	2	0044726E	signed_scalar_role	disabled	apply=0
0044EE30	dVar13	1	00450E60	unsigned_scalar_role	disabled	apply=0
0044EE30	dVar13	3	0044F3D1	unsigned_scalar_role	disabled	apply=0
0044EE30	uVar14	14	00450868	unsigned_scalar_role	disabled	apply=0
0044EE30	uVar26	0	0045A608	signed_scalar_role	disabled	apply=0
0044EE30	uVar26	1	0045A620	signed_scalar_role	disabled	apply=0
0044EE30	uVar26	2	0045A638	signed_scalar_role	disabled	apply=0
0044EE30	uVar26	3	004591AB	signed_scalar_role	disabled	apply=0
0044EE30	uVar26	4	004591C1	signed_scalar_role	disabled	apply=0
0044EE30	uVar26	5	004591D7	signed_scalar_role	disabled	apply=0
0045F6C0	uVar10	0	0045F787	signed_scalar_role	disabled	apply=0
0045F6C0	uVar10	1	0045F7A6	signed_scalar_role	disabled	apply=0
0045F6C0	uVar10	2	0045F7B7	signed_scalar_role	disabled	apply=0
00462180	dVar13	0	0046300D	unsigned_scalar_role	disabled	apply=0
00462180	uVar18	0	004646AB	signed_scalar_role	disabled	apply=0
00462180	uVar18	1	004646C8	signed_scalar_role	disabled	apply=0
00462180	uVar18	2	004646E5	signed_scalar_role	disabled	apply=0
00462180	uVar18	3	00463DBD	signed_scalar_role	disabled	apply=0
00462180	uVar18	4	00463DD0	signed_scalar_role	disabled	apply=0
00462180	uVar18	5	00463DE3	signed_scalar_role	disabled	apply=0
0046CF20	uVar7	0	0046D244	signed_scalar_role	disabled	apply=0
0046CF20	uVar7	1	0046D25A	signed_scalar_role	disabled	apply=0
0046CF20	uVar7	2	0046D270	signed_scalar_role	disabled	apply=0
00480600	uVar10	0	00480F5B	signed_scalar_role	disabled	apply=0
00480600	uVar3	0	00480638	call_return	disabled	apply=0
00480600	uVar3	1	0048061F	call_return	disabled	apply=0
00481560	uVar3	1	00481CF5	call_argument	disabled	apply=0
004845E0	bVar8	3	00484A84	boolean_scalar_role	disabled	apply=0
004845E0	bVar8	4	00484B13	boolean_scalar_role	disabled	apply=0
004899A0	uVar12	0	0048A018	signed_scalar_role	disabled	apply=0
004899A0	uVar12	1	00489C88	signed_scalar_role	disabled	apply=0
0048DFD0	uVar6	8	0048F123	signed_scalar_role	disabled	apply=0
0048DFD0	uVar7	3	0048EC64	signed_scalar_role	disabled	apply=0
00497E00	bVar10	0	00498140	boolean_scalar_role	disabled	apply=0
00497E00	bVar10	1	00498178	boolean_scalar_role	disabled	apply=0
004A9D60	uVar1	0	004A9E66	signed_scalar_role	disabled	apply=0
004A9D60	uVar1	1	004A9EAA	signed_scalar_role	disabled	apply=0
004A9FB0	uVar1	0	004AA0B6	signed_scalar_role	disabled	apply=0
004A9FB0	uVar1	1	004AA0FA	signed_scalar_role	disabled	apply=0
004AA200	uVar1	0	004AA306	signed_scalar_role	disabled	apply=0
004AA200	uVar1	1	004AA34A	signed_scalar_role	disabled	apply=0
004AA450	uVar1	0	004AA556	signed_scalar_role	disabled	apply=0
004AA450	uVar1	1	004AA59A	signed_scalar_role	disabled	apply=0
004AA6A0	uVar1	0	004AA794	signed_scalar_role	disabled	apply=0
004AA6A0	uVar1	1	004AA7D8	signed_scalar_role	disabled	apply=0
004AA8D0	uVar1	0	004AA9C1	signed_scalar_role	disabled	apply=0
004AA8D0	uVar1	1	004AAA05	signed_scalar_role	disabled	apply=0
004AAB00	uVar1	0	004AABF1	signed_scalar_role	disabled	apply=0
004AAB00	uVar1	1	004AAC35	signed_scalar_role	disabled	apply=0
004AAD30	uVar1	0	004AAE24	signed_scalar_role	disabled	apply=0
004AAD30	uVar1	1	004AAE68	signed_scalar_role	disabled	apply=0
004AE0B0	uVar12	0	004AEC6F	signed_scalar_role	disabled	apply=0
004AE0B0	uVar12	1	004AEBAC	signed_scalar_role	disabled	apply=0
004AE0B0	uVar12	2	004AEAE5	signed_scalar_role	disabled	apply=0
004AE0B0	uVar12	3	004AEA1E	signed_scalar_role	disabled	apply=0
004AE0B0	uVar12	4	004AE958	signed_scalar_role	disabled	apply=0
004AE0B0	uVar9	1	004AEC80	signed_scalar_role	disabled	apply=0
004AE0B0	uVar9	3	004AEBBD	signed_scalar_role	disabled	apply=0
004AE0B0	uVar9	5	004AEAF6	signed_scalar_role	disabled	apply=0
004AE0B0	uVar9	7	004AEA2F	signed_scalar_role	disabled	apply=0
004AE0B0	uVar9	9	004AE96A	signed_scalar_role	disabled	apply=0
004AF080	uVar17	1	004AF6F5	signed_scalar_role	disabled	apply=0
004AF080	uVar17	2	004AF704	signed_scalar_role	disabled	apply=0
004AF080	uVar17	3	004AF79A	signed_scalar_role	disabled	apply=0
004AF080	uVar17	4	004AF7A9	signed_scalar_role	disabled	apply=0
004AF080	uVar17	5	004AF83F	signed_scalar_role	disabled	apply=0
004AF080	uVar17	6	004AF84E	signed_scalar_role	disabled	apply=0
004AF080	uVar17	7	004AF8E4	signed_scalar_role	disabled	apply=0
004AF080	uVar17	8	004AF8F3	signed_scalar_role	disabled	apply=0
004AF080	uVar17	9	004AFB74	signed_scalar_role	disabled	apply=0
004AF080	uVar17	10	004AFB84	signed_scalar_role	disabled	apply=0
004AF080	uVar17	11	004AF651	signed_scalar_role	disabled	apply=0
004AF080	uVar17	12	004AF661	signed_scalar_role	disabled	apply=0
004B33D0	uVar18	3	004B4DB6	signed_scalar_role	disabled	apply=0
004B33D0	uVar18	4	004B4DCC	signed_scalar_role	disabled	apply=0
004B9FA0	dVar23	2	004BA376	unsigned_scalar_role	disabled	apply=0
004B9FA0	uVar27	5	004BAC58	call_return	disabled	apply=0
004B9FA0	uVar27	6	004BAC74	call_return	disabled	apply=0
004B9FA0	uVar27	7	004BAC90	call_return	disabled	apply=0
004C3C00	uVar10	1	004C3F39	signed_scalar_role	disabled	apply=0
004C5350	uVar6	1	004C55D0	signed_scalar_role	disabled	apply=0
004CBAD0	uVar2	0	004CBB57	call_return	disabled	apply=0
004CBAD0	uVar2	1	004CBB74	call_return	disabled	apply=0
004CBAD0	uVar2	2	004CBB91	call_return	disabled	apply=0
004CBAD0	uVar2	4	004CBAF8	call_return	disabled	apply=0
004CBAD0	uVar2	5	004CBB15	call_return	disabled	apply=0
004CBAD0	uVar2	6	004CBB32	call_return	disabled	apply=0
004CC370	uVar3	4	004CC3DD	call_return	disabled	apply=0
004CC900	uVar1	1	004CC943	call_return	disabled	apply=0
004D11D0	uVar7	1	004D1930	call_return	disabled	apply=0
004D11D0	uVar7	5	004D1B80	call_return	disabled	apply=0
004D5470	uVar2	0	004D54E4	call_return	disabled	apply=0
004D5470	uVar2	1	004D5501	call_return	disabled	apply=0
004D5470	uVar2	2	004D5525	call_return	disabled	apply=0
004D5470	uVar2	3	004D5486	call_return	disabled	apply=0
004D5470	uVar2	4	004D54A3	call_return	disabled	apply=0
004D5470	uVar2	5	004D54C7	call_return	disabled	apply=0
004DC760	dVar4	0	004DC971	unsigned_scalar_role	disabled	apply=0
004DC760	dVar4	1	004DC7F7	unsigned_scalar_role	disabled	apply=0
004DC760	dVar4	2	004DC87D	unsigned_scalar_role	disabled	apply=0
004DEC10	dVar2	0	004DEDDD	unsigned_scalar_role	disabled	apply=0
004DEC10	dVar2	1	004DED52	unsigned_scalar_role	disabled	apply=0
004DF3B0	dVar4	0	004DF5C1	unsigned_scalar_role	disabled	apply=0
004DF3B0	dVar4	1	004DF447	unsigned_scalar_role	disabled	apply=0
004DF3B0	dVar4	2	004DF4CD	unsigned_scalar_role	disabled	apply=0
004E9CE0	uVar5	1	004E9FDA	call_return	disabled	apply=0
004E9CE0	uVar5	2	004E9FF6	call_return	disabled	apply=0
004E9CE0	uVar5	3	004EA012	call_return	disabled	apply=0
004E9CE0	uVar5	5	004EA175	call_return	disabled	apply=0
004E9CE0	uVar5	6	004EA192	call_return	disabled	apply=0
004E9CE0	uVar5	7	004EA1AF	call_return	disabled	apply=0
004ED630	pCVar3	0	004ED6B0	call_return	disabled	apply=0
004ED630	pCVar3	1	004ED886	call_return	disabled	apply=0
004ED630	pCVar3	2	004ED8AB	call_return	disabled	apply=0
004ED630	pCVar3	3	004ED87D	call_return	disabled	apply=0
004EEA40	pCVar5	0	004EEB0F	call_return	disabled	apply=0
004F05C0	pCVar4	0	004F0665	call_return	disabled	apply=0
004F2E40	text	0	004F2F38	call_argument	disabled	apply=0
004F5690	pCVar7	0	004F5904	call_return	disabled	apply=0
004F5690	pCVar7	1	004F59C9	call_return	disabled	apply=0
004F5690	pCVar7	2	004F5ADA	call_return	disabled	apply=0
004F5690	pCVar7	3	004F5B07	call_return	disabled	apply=0
004F5690	pCVar7	4	004F5B34	call_return	disabled	apply=0
004F5690	pCVar7	5	004F5C09	call_return	disabled	apply=0
004F5690	pCVar7	6	004F5C97	call_return	disabled	apply=0
004F5690	pCVar7	7	004F5CE4	call_return	disabled	apply=0
004F5690	pCVar7	8	004F5D6E	call_return	disabled	apply=0
004F5690	pCVar7	9	004F5D93	call_return	disabled	apply=0
004F5690	pCVar7	10	004F5DBF	call_return	disabled	apply=0
004F5690	pCVar7	11	004F5DF2	call_return	disabled	apply=0
004F5690	pCVar7	12	004F5E18	call_return	disabled	apply=0
004F5690	pCVar7	13	004F5E3E	call_return	disabled	apply=0
004F5690	pCVar7	14	004F5E63	call_return	disabled	apply=0
004F5690	pCVar7	15	004F5E88	call_return	disabled	apply=0
004F5690	pCVar7	16	004F5EAD	call_return	disabled	apply=0
004F5690	pCVar7	17	004F5FA5	call_return	disabled	apply=0
004F5690	pCVar7	18	004F60FF	call_return	disabled	apply=0
004F5690	pCVar7	19	004F6130	call_return	disabled	apply=0
004F5690	pCVar7	20	004F6161	call_return	disabled	apply=0
004F5690	pCVar7	21	004F6195	call_return	disabled	apply=0
004F5690	pCVar7	22	004F61BC	call_return	disabled	apply=0
004F5690	pCVar7	23	004F61E3	call_return	disabled	apply=0
004F5690	pCVar7	24	004F620A	call_return	disabled	apply=0
004F5690	pCVar7	25	004F6231	call_return	disabled	apply=0
004F5690	pCVar7	26	004F6258	call_return	disabled	apply=0
004F5690	pCVar7	27	004F627F	call_return	disabled	apply=0
004F5690	pCVar7	28	004F62A6	call_return	disabled	apply=0
004F5690	pCVar7	29	004F62CD	call_return	disabled	apply=0
004F5690	pCVar7	30	004F62F4	call_return	disabled	apply=0
004F5690	pCVar7	31	004F649C	call_return	disabled	apply=0
004F5690	pCVar7	32	004F64C3	call_return	disabled	apply=0
004F5690	pCVar7	33	004F64EA	call_return	disabled	apply=0
004F5690	pCVar7	34	004F6511	call_return	disabled	apply=0
004F5690	pCVar7	35	004F655C	call_return	disabled	apply=0
