apply	function_address	expected_function	expected_signature	expected_signature_source	expected_calling_convention	expected_return_type	expected_return_source	expected_parameter_count	expected_parameter_name	expected_parameter_type	expected_parameter_source	proposed_calling_convention	proposed_return_type	proposed_parameter_name	proposed_parameter_type	shared_zero_stub	confidence	reason	evidence
0	0041AF40	STGameObjC::GetMessage	int __thiscall GetMessage(STGameObjC * this, STMessage * message)	USER_DEFINED	__thiscall	/int	USER_DEFINED	1	message	pointer:/SubmarineTitans/Recovered/STMessage	ANALYSIS	__thiscall	/int	message	pointer:/SubmarineTitans/Recovered/STMessage	false	high	already_typed	family_entries=00403EBD|0041AF40; family_names=STGameObjC::GetMessage; ret4=3; direct_offsets={10:6,14:1,18:1,1c:26}
0	0041E530	STSprGameObjC::GetMessage	int __thiscall GetMessage(STSprGameObjC * this, STMessage * message)	USER_DEFINED	__thiscall	/int	USER_DEFINED	1	message	pointer:/SubmarineTitans/Recovered/STMessage	ANALYSIS	__thiscall	/int	message	pointer:/SubmarineTitans/Recovered/STMessage	false	high	already_typed	family_entries=00404F07|0041E530; family_names=STSprGameObjC::GetMessage; ret4=19; direct_offsets={10:1,14:0,18:0,1c:0}
0	00423EC0	STGroupC::GetMessage	int __thiscall GetMessage(STGroupC * this, STMessage * message)	USER_DEFINED	__thiscall	/int	USER_DEFINED	1	message	pointer:/SubmarineTitans/Recovered/STMessage	ANALYSIS	__thiscall	/int	message	pointer:/SubmarineTitans/Recovered/STMessage	false	high	already_typed	family_entries=004034EA|00423EC0; family_names=STGroupC::GetMessage; ret4=4; direct_offsets={10:1,14:2,18:2,1c:1}
0	00430A90	STAllPlayersC::GetMessage	int __thiscall GetMessage(STAllPlayersC * this, STMessage * message)	USER_DEFINED	__thiscall	/int	USER_DEFINED	1	message	pointer:/SubmarineTitans/Recovered/STMessage	ANALYSIS	__thiscall	/int	message	pointer:/SubmarineTitans/Recovered/STMessage	false	high	already_typed	family_entries=00405CA4|00430A90; family_names=STAllPlayersC::GetMessage; ret4=7; direct_offsets={10:2,14:0,18:0,1c:0}
0	0044EE30	STBoatC::GetMessage	int __thiscall GetMessage(STBoatC * this, STMessage * message)	USER_DEFINED	__thiscall	/int	USER_DEFINED	1	message	pointer:/SubmarineTitans/Recovered/STMessage	USER_DEFINED	__thiscall	/int	message	pointer:/SubmarineTitans/Recovered/STMessage	false	high	already_typed	family_entries=004024EB|0044EE30; family_names=STBoatC::GetMessage; ret4=21; direct_offsets={10:6,14:14,18:35,1c:30}
0	00495980	DumpClassC::GetMessage	int __thiscall GetMessage(DumpClassC * this, STMessage * message)	USER_DEFINED	__thiscall	/int	USER_DEFINED	1	message	pointer:/SubmarineTitans/Recovered/STMessage	ANALYSIS	__thiscall	/int	message	pointer:/SubmarineTitans/Recovered/STMessage	false	high	already_typed	family_entries=00402E8C|00495980; family_names=DumpClassC::GetMessage; ret4=3; direct_offsets={10:3,14:0,18:0,1c:0}
0	00497E00	STGroupBoatC::GetMessage	int __thiscall GetMessage(STGroupBoatC * this, STMessage * message)	USER_DEFINED	__thiscall	/int	USER_DEFINED	1	message	pointer:/SubmarineTitans/Recovered/STMessage	ANALYSIS	__thiscall	/int	message	pointer:/SubmarineTitans/Recovered/STMessage	false	high	already_typed	family_entries=00403BA7|00497E00; family_names=STGroupBoatC::GetMessage; ret4=10; direct_offsets={10:2,14:2,18:2,1c:0}
0	004A8920	OpticClassC::GetMessage	int __thiscall GetMessage(OpticClassC * this, STMessage * message)	USER_DEFINED	__thiscall	/int	USER_DEFINED	1	message	pointer:/SubmarineTitans/Recovered/STMessage	ANALYSIS	__thiscall	/int	message	pointer:/SubmarineTitans/Recovered/STMessage	false	high	already_typed	family_entries=004022CA|004A8920; family_names=OpticClassC::GetMessage; ret4=5; direct_offsets={10:1,14:0,18:2,1c:0}
0	004B9FA0	TLOBaseTy::GetMessage	int __thiscall GetMessage(TLOBaseTy * this, STMessage * message)	USER_DEFINED	__thiscall	/int	USER_DEFINED	1	message	pointer:/SubmarineTitans/Recovered/STMessage	ANALYSIS	__thiscall	/int	message	pointer:/SubmarineTitans/Recovered/STMessage	false	high	already_typed	family_entries=00401640|004B9FA0; family_names=TLOBaseTy::GetMessage; ret4=72; direct_offsets={10:12,14:13,18:5,1c:10}
0	004C6A00	TLOBldMark::GetMessage	int __thiscall GetMessage(TLOBldMark * this, STMessage * message)	USER_DEFINED	__thiscall	/int	USER_DEFINED	1	message	pointer:/SubmarineTitans/Recovered/STMessage	ANALYSIS	__thiscall	/int	message	pointer:/SubmarineTitans/Recovered/STMessage	false	high	already_typed	family_entries=004044D5|004C6A00; family_names=TLOBldMark::GetMessage; ret4=4; direct_offsets={10:1,14:1,18:0,1c:0}
