apply	name	value_hex	value_decimal	function_address	function	confidence	reason	strings
1	MESS_AIBOSSCLASSTY_5DC5	0x5DC5	24005	00648030	AiBossClassTy::GetMessage	high	existing_enum_catalog_value	handlers: 00648030 AiBossClassTy::GetMessage
1	MESS_AIBOSSCLASSTY_5DC6	0x5DC6	24006	00648030	AiBossClassTy::GetMessage	high	existing_enum_catalog_value	handlers: 00648030 AiBossClassTy::GetMessage
1	MESS_AIBOSSCLASSTY_5DD0	0x5DD0	24016	00648030	AiBossClassTy::GetMessage	high	existing_enum_catalog_value	handlers: 00648030 AiBossClassTy::GetMessage
1	MESS_AIBOSSCLASSTY_7106	0x7106	28934	00648030	AiBossClassTy::GetMessage	high	existing_enum_catalog_value	handlers: 00648030 AiBossClassTy::GetMessage
1	MESS_AIFLTCLASSTY_5D95	0x5D95	23957	00667D90	AiFltClassTy::GetMessage	high	existing_enum_catalog_value	handlers: 00667D90 AiFltClassTy::GetMessage
1	MESS_AIFLTCLASSTY_5D96	0x5D96	23958	00667D90	AiFltClassTy::GetMessage	high	existing_enum_catalog_value	handlers: 00667D90 AiFltClassTy::GetMessage
1	MESS_AIFLTCLASSTY_5D99	0x5D99	23961	00667D90	AiFltClassTy::GetMessage	high	existing_enum_catalog_value	handlers: 00667D90 AiFltClassTy::GetMessage
1	MESS_AIPLRCLASSTY_5D94	0x5D94	23956	0067C7E0	AiPlrClassTy::GetMessage	high	existing_enum_catalog_value	handlers: 0067C7E0 AiPlrClassTy::GetMessage
1	MESS_AIPLRCLASSTY_5D97	0x5D97	23959	0067C7E0	AiPlrClassTy::GetMessage	high	existing_enum_catalog_value	handlers: 0067C7E0 AiPlrClassTy::GetMessage
1	MESS_BEHPANELTY_B200	0xB200	45568	004EE4D0	BehPanelTy::GetMessage	high	existing_enum_catalog_value	handlers: 004EE4D0 BehPanelTy::GetMessage | 005522A0 TradePanelTy::GetMessage
1	MESS_BEHPANELTY_B20E	0xB20E	45582	004EE4D0	BehPanelTy::GetMessage	high	existing_enum_catalog_value	handlers: 004EE4D0 BehPanelTy::GetMessage
1	MESS_BEHPANELTY_C0A0	0xC0A0	49312	004EE4D0	BehPanelTy::GetMessage	high	existing_enum_catalog_value	handlers: 004EE4D0 BehPanelTy::GetMessage | 00522E80 IntercomPanelTy::GetMessage | 005DCE90 StartSystemTy::GetMessage
1	MESS_BEHPANELTY_C0B1	0xC0B1	49329	004EE4D0	BehPanelTy::GetMessage	high	existing_enum_catalog_value	handlers: 004EE4D0 BehPanelTy::GetMessage
1	MESS_BLDLABPANELTY_C0A4	0xC0A4	49316	004F0210	BldLabPanelTy::GetMessage	high	existing_enum_catalog_value	handlers: 004F0210 BldLabPanelTy::GetMessage
1	MESS_BLDLABPANELTY_C0B3	0xC0B3	49331	004F0210	BldLabPanelTy::GetMessage	high	existing_enum_catalog_value	handlers: 004F0210 BldLabPanelTy::GetMessage
1	MESS_BLDOBJPANELTY_B205	0xB205	45573	004F1080	BldObjPanelTy::GetMessage	high	existing_enum_catalog_value	handlers: 004F1080 BldObjPanelTy::GetMessage
1	MESS_BLDOBJPANELTY_B206	0xB206	45574	004F1080	BldObjPanelTy::GetMessage	high	existing_enum_catalog_value	handlers: 004F1080 BldObjPanelTy::GetMessage
1	MESS_CHOOSEMAPTY_6327	0x6327	25383	005B0BA0	ChooseMapTy::GetMessage	high	existing_enum_catalog_value	handlers: 005B0BA0 ChooseMapTy::GetMessage | 005D1400 SettMapMTy::GetMessage
1	MESS_CHOOSEMAPTY_6942	0x6942	26946	005B0BA0	ChooseMapTy::GetMessage	high	existing_enum_catalog_value	handlers: 005B0BA0 ChooseMapTy::GetMessage | 005EA680 WaitTy::GetMessage
