address	status	proposed_name	detail
00402E14	disabled	AiEventClassTy::sub_00402E14	all apply flags are 0
00405687	disabled	CursorClassTy::sub_00405687	all apply flags are 0
00415B30	disabled		all apply flags are 0
00415ED0	disabled	STJellyGunC::sub_00415ED0	all apply flags are 0
00416240	repaired	sub_00416240	removed weak class owner; reset 0 downstream script-owned receiver types
004162B0	disabled	STFishC::sub_004162B0	all apply flags are 0
004167A0	repaired	sub_004167A0	removed weak class owner; reset 0 downstream script-owned receiver types
004176C0	disabled	STBoatC::sub_004176C0	all apply flags are 0
00417830	disabled		all apply flags are 0
00417910	disabled	STBoatC::sub_00417910	all apply flags are 0
00417A00	disabled		all apply flags are 0
00417A20	disabled		all apply flags are 0
00417D30	applied	TLOBaseTy::sub_00417D30	owner=applied(TLOBaseTy::sub_00417D30); parameters=applied(no explicit parameters); convention=applied(__thiscall); this_type=unchanged
00417E70	disabled		all apply flags are 0
00417EE0	disabled		all apply flags are 0
00417FF0	disabled		all apply flags are 0
00418010	disabled		all apply flags are 0
00418030	disabled		all apply flags are 0
00419C70	partial	TLOEmbryoTy::sub_00419C70	owner=applied(TLOEmbryoTy::sub_00419C70); this_type=conflict(no auto this parameter)
00419CF0	partial	TLOEmbryoTy::sub_00419CF0	owner=applied(TLOEmbryoTy::sub_00419CF0); this_type=conflict(no auto this parameter)
00419D30	applied	TLOBaseTy::sub_00419D30	owner=applied(TLOBaseTy::sub_00419D30); this_type=unchanged
0041C3F0	applied	TLOEmbryoTy::sub_0041C3F0	owner=applied(TLOEmbryoTy::sub_0041C3F0); this_type=unchanged
0041C5A0	applied	STColl3C::sub_0041C5A0	owner=applied(STColl3C::sub_0041C5A0); parameters=applied(no explicit parameters); convention=applied(__thiscall); this_type=unchanged
0041C710	disabled		all apply flags are 0
0041CAF0	disabled		all apply flags are 0
0041D590	applied	TLOBaseTy::sub_0041D590	owner=applied(TLOBaseTy::sub_0041D590); parameters=applied(no explicit parameters); convention=applied(__thiscall); this_type=unchanged
0041D900	disabled	TLOEmbryoTy::sub_0041D900	all apply flags are 0
0041DC40	disabled		all apply flags are 0
0041DD00	disabled		all apply flags are 0
0041F630	disabled	TLOEmbryoTy::sub_0041F630	all apply flags are 0
0041F970	applied	STSprGameObjC::sub_0041F970	owner=applied(STSprGameObjC::sub_0041F970); parameters=applied(no explicit parameters); convention=applied(__thiscall); this_type=unchanged
004232A0	disabled	STGroupBoatC::sub_004232A0	all apply flags are 0
00423E00	disabled	STGroupC::sub_00423E00	all apply flags are 0
004248D0	applied	SubmarineTitans::Recovered::HiddenThis::AnonReceiver_004248D0::sub_004248D0	owner=applied(SubmarineTitans::Recovered::HiddenThis::AnonReceiver_004248D0::sub_004248D0); this_type=unchanged
00427090	applied	SubmarineTitans::Recovered::HiddenThis::AnonReceiver_004248D0::sub_00427090	owner=applied(SubmarineTitans::Recovered::HiddenThis::AnonReceiver_004248D0::sub_00427090); this_type=unchanged
0042B5B0	disabled	STAllPlayersC::sub_0042B5B0	all apply flags are 0
0042B760	disabled	STAllPlayersC::sub_0042B760	all apply flags are 0
0042C300	disabled	STAllPlayersC::sub_0042C300	all apply flags are 0
00430750	disabled	STAllPlayersC::sub_00430750	all apply flags are 0
00435850	disabled	STAllPlayersC::sub_00435850	all apply flags are 0
0043FC50	disabled	STAllPlayersC::sub_0043FC50	all apply flags are 0
00440820	disabled	STAllPlayersC::sub_00440820	all apply flags are 0
00444E70	disabled	STAllPlayersC::sub_00444E70	all apply flags are 0
0044CC90	disabled	STAllPlayersC::sub_0044CC90	all apply flags are 0
0044CD20	disabled	STAllPlayersC::sub_0044CD20	all apply flags are 0
0044CDB0	disabled	STAllPlayersC::sub_0044CDB0	all apply flags are 0
0045F6C0	disabled	STBoatC::sub_0045F6C0	all apply flags are 0
0045FF50	disabled	STBoatC::sub_0045FF50	all apply flags are 0
00460260	disabled	STBoatC::sub_00460260	all apply flags are 0
004602B0	disabled	STBoatC::sub_004602B0	all apply flags are 0
00460360	disabled	STBoatC::sub_00460360	all apply flags are 0
00481520	disabled	STBoatC::sub_00481520	all apply flags are 0
0048D930	disabled	STBoatC::sub_0048D930	all apply flags are 0
0048DBA0	disabled	STBoatC::sub_0048DBA0	all apply flags are 0
0048DFD0	applied	STBoatC::sub_0048DFD0	owner=applied(STBoatC::sub_0048DFD0); this_type=unchanged
00490570	disabled	STBoatC::sub_00490570	all apply flags are 0
00490CD0	applied	STBoatC::sub_00490CD0	owner=applied(STBoatC::sub_00490CD0); this_type=unchanged
00492390	disabled	STBoatC::sub_00492390	all apply flags are 0
00492420	disabled	STBoatC::sub_00492420	all apply flags are 0
004926C0	disabled	STBoatC::sub_004926C0	all apply flags are 0
004939B0	disabled	STBoatC::sub_004939B0	all apply flags are 0
00493CD0	disabled		all apply flags are 0
004952E0	disabled	STBoatC::sub_004952E0	all apply flags are 0
00497000	disabled	DumpClassC::sub_00497000	all apply flags are 0
0049A500	applied	STGroupBoatC::sub_0049A500	owner=applied(STGroupBoatC::sub_0049A500); this_type=unchanged
004A7E30	disabled	STGroupBoatC::sub_004A7E30	all apply flags are 0
004A8F20	disabled	OpticClassC::sub_004A8F20	all apply flags are 0
004A9B60	disabled	OpticClassC::sub_004A9B60	all apply flags are 0
004A9C80	disabled	OpticClassC::sub_004A9C80	all apply flags are 0
004AB470	disabled	OpticClassC::sub_004AB470	all apply flags are 0
004AB650	disabled	OpticClassC::sub_004AB650	all apply flags are 0
004ACD30	applied	STT3DSprC::sub_004ACD30	owner=applied(STT3DSprC::sub_004ACD30); this_type=unchanged
004ACE30	applied	STT3DSprC::sub_004ACE30	owner=applied(STT3DSprC::sub_004ACE30); this_type=unchanged
004ACE60	applied	STT3DSprC::sub_004ACE60	owner=applied(STT3DSprC::sub_004ACE60); this_type=unchanged
004ACEF0	applied	STT3DSprC::sub_004ACEF0	owner=applied(STT3DSprC::sub_004ACEF0); this_type=unchanged
004ACF20	applied	STT3DSprC::sub_004ACF20	owner=applied(STT3DSprC::sub_004ACF20); this_type=unchanged
004ACF50	applied	STT3DSprC::sub_004ACF50	owner=applied(STT3DSprC::sub_004ACF50); this_type=unchanged
004ACF90	applied	STT3DSprC::sub_004ACF90	owner=applied(STT3DSprC::sub_004ACF90); this_type=unchanged
004ACFE0	applied	STT3DSprC::sub_004ACFE0	owner=applied(STT3DSprC::sub_004ACFE0); this_type=unchanged
004AD020	applied	STT3DSprC::sub_004AD020	owner=applied(STT3DSprC::sub_004AD020); this_type=unchanged
004AD070	applied	STT3DSprC::sub_004AD070	owner=applied(STT3DSprC::sub_004AD070); this_type=unchanged
004AD3C0	applied	STT3DSprC::sub_004AD3C0	owner=applied(STT3DSprC::sub_004AD3C0); this_type=unchanged
004B6FC0	disabled	STAllPlayersC::sub_004B6FC0	all apply flags are 0
004B7030	disabled	STAllPlayersC::sub_004B7030	all apply flags are 0
004B7F90	applied	TLOBaseTy::sub_004B7F90	owner=applied(TLOBaseTy::sub_004B7F90); this_type=unchanged
004B9A40	applied	TLOBaseTy::sub_004B9A40	owner=applied(TLOBaseTy::sub_004B9A40); parameters=applied(no explicit parameters); convention=applied(__thiscall); this_type=unchanged
004C2F70	applied	TLOBaseTy::sub_004C2F70	owner=applied(TLOBaseTy::sub_004C2F70); parameters=applied(no explicit parameters); convention=applied(__thiscall); this_type=unchanged
004C3480	disabled	TLOBaseTy::sub_004C3480	all apply flags are 0
004C34A0	applied	TLOBaseTy::sub_004C34A0	owner=applied(TLOBaseTy::sub_004C34A0); this_type=unchanged
004C4550	applied	TLOBaseTy::sub_004C4550	owner=applied(TLOBaseTy::sub_004C4550); this_type=unchanged
004C56B0	applied	TLOBaseTy::sub_004C56B0	owner=applied(TLOBaseTy::sub_004C56B0); this_type=unchanged
004C61A0	applied	TLOBldMark::sub_004C61A0	owner=applied(TLOBldMark::sub_004C61A0); parameters=applied(no explicit parameters); convention=applied(__thiscall); this_type=unchanged
004C61E0	applied	TLOBldMark::sub_004C61E0	owner=applied(TLOBldMark::sub_004C61E0); parameters=applied(no explicit parameters); convention=applied(__thiscall); this_type=unchanged
004C6C70	applied	TLOBaseTy::sub_004C6C70	owner=applied(TLOBaseTy::sub_004C6C70); this_type=unchanged
004C7230	disabled	TLOBaseTy::sub_004C7230	all apply flags are 0
004C96E0	applied	TLOBaseTy::sub_004C96E0	owner=applied(TLOBaseTy::sub_004C96E0); parameters=applied(no explicit parameters); convention=applied(__thiscall); this_type=unchanged
004CA7B0	applied	TLOBaseTy::sub_004CA7B0	owner=applied(TLOBaseTy::sub_004CA7B0); this_type=unchanged
004CBA10	disabled	TLOBaseTy::sub_004CBA10	all apply flags are 0
004CBA30	applied	TLOBaseTy::sub_004CBA30	owner=applied(TLOBaseTy::sub_004CBA30); parameters=applied(no explicit parameters); convention=applied(__thiscall); this_type=unchanged
004CBF30	applied	TLOBaseTy::sub_004CBF30	owner=applied(TLOBaseTy::sub_004CBF30); parameters=applied(no explicit parameters); convention=applied(__thiscall); this_type=unchanged
004CBFB0	disabled	TLOBaseTy::sub_004CBFB0	all apply flags are 0
004CC330	applied	TLOBaseTy::sub_004CC330	owner=applied(TLOBaseTy::sub_004CC330); parameters=applied(no explicit parameters); convention=applied(__thiscall); this_type=unchanged
004CD3B0	disabled	TLOBaseTy::sub_004CD3B0	all apply flags are 0
004CEB00	applied	TLOBaseTy::sub_004CEB00	owner=applied(TLOBaseTy::sub_004CEB00)
004D10A0	applied	TLOEmbryoTy::sub_004D10A0	owner=applied(TLOEmbryoTy::sub_004D10A0); this_type=unchanged
004D73B0	disabled	STAllPlayersC::sub_004D73B0	all apply flags are 0
004D7430	disabled	STAllPlayersC::sub_004D7430	all apply flags are 0
004D78E0	disabled	STAllPlayersC::sub_004D78E0	all apply flags are 0
004D8110	disabled	STAllPlayersC::sub_004D8110	all apply flags are 0
004D86A0	disabled	STAllPlayersC::sub_004D86A0	all apply flags are 0
004D8760	disabled	STAllPlayersC::sub_004D8760	all apply flags are 0
004DC150	applied	TLOBaseTy::sub_004DC150	owner=applied(TLOBaseTy::sub_004DC150); parameters=applied(no explicit parameters); convention=applied(__thiscall); this_type=unchanged
004E51B0	disabled	STAllPlayersC::sub_004E51B0	all apply flags are 0
004EA620	applied	TLOBaseTy::sub_004EA620	owner=applied(TLOBaseTy::sub_004EA620); parameters=applied(no explicit parameters); convention=applied(__thiscall); this_type=unchanged
004EAA20	partial	TLOBaseTy::sub_004EAA20	owner=applied(TLOBaseTy::sub_004EAA20); this_type=conflict(no auto this parameter)
004EB010	applied	STAllPlayersC::sub_004EB010	owner=applied(STAllPlayersC::sub_004EB010); this_type=unchanged
004EF140	applied	BldBoatPanelTy::sub_004EF140	owner=applied(BldBoatPanelTy::sub_004EF140); parameters=applied(no explicit parameters); convention=applied(__thiscall); this_type=unchanged
004EFE20	applied	BldLabPanelTy::sub_004EFE20	owner=applied(BldLabPanelTy::sub_004EFE20); parameters=applied(no explicit parameters); convention=applied(__thiscall); this_type=unchanged
004F0C80	applied	BldObjPanelTy::sub_004F0C80	owner=applied(BldObjPanelTy::sub_004F0C80); parameters=applied(no explicit parameters); convention=applied(__thiscall); this_type=unchanged
004F1610	applied	CPanelTy::sub_004F1610	owner=applied(CPanelTy::sub_004F1610); this_type=unchanged
004F17D0	applied	CPanelTy::sub_004F17D0	owner=applied(CPanelTy::sub_004F17D0); this_type=unchanged
004F1890	disabled	CPanelTy::sub_004F1890	all apply flags are 0
004F1950	applied	CPanelTy::sub_004F1950	owner=applied(CPanelTy::sub_004F1950); parameters=applied(no explicit parameters); convention=applied(__thiscall); this_type=unchanged
004F19D0	disabled	CPanelTy::sub_004F19D0	all apply flags are 0
004F1C80	disabled	CPanelTy::sub_004F1C80	all apply flags are 0
004F1D20	disabled	CPanelTy::sub_004F1D20	all apply flags are 0
004F4570	applied	CPanelTy::sub_004F4570	owner=applied(CPanelTy::sub_004F4570); this_type=unchanged
004F8020	applied	CPanelTy::sub_004F8020	owner=applied(CPanelTy::sub_004F8020); this_type=unchanged
00501A10	applied	CPanelTy::sub_00501A10	owner=applied(CPanelTy::sub_00501A10); parameters=applied(no explicit parameters); convention=applied(__thiscall); this_type=unchanged
00501D00	disabled	CPanelTy::sub_00501D00	all apply flags are 0
00502330	disabled	CPanelTy::sub_00502330	all apply flags are 0
00505070	disabled	CPanelTy::sub_00505070	all apply flags are 0
005050B0	applied	CPanelTy::sub_005050B0	owner=applied(CPanelTy::sub_005050B0); this_type=unchanged
00506040	applied	CPanelTy::sub_00506040	owner=applied(CPanelTy::sub_00506040); parameters=applied(no explicit parameters); convention=applied(__thiscall); this_type=unchanged
005097B0	disabled	CPanelTy::sub_005097B0	all apply flags are 0
00512BE0	applied	HelpPanelTy::sub_00512BE0	owner=applied(HelpPanelTy::sub_00512BE0); this_type=unchanged
005148A0	disabled		all apply flags are 0
00526BA0	disabled	BldLabPanelTy::sub_00526BA0	all apply flags are 0
0052B330	applied	CPanelTy::sub_0052B330	owner=applied(CPanelTy::sub_0052B330); parameters=applied(no explicit parameters); convention=applied(__thiscall); this_type=unchanged
0052B760	applied	MoneyTy::sub_0052B760	owner=applied(MoneyTy::sub_0052B760); this_type=unchanged
0052B8A0	applied	MoneyTy::sub_0052B8A0	owner=applied(MoneyTy::sub_0052B8A0); parameters=applied(no explicit parameters); convention=applied(__thiscall); this_type=unchanged
0052B8F0	applied	MoneyTy::sub_0052B8F0	owner=applied(MoneyTy::sub_0052B8F0); parameters=applied(no explicit parameters); convention=applied(__thiscall); this_type=unchanged
0052B940	applied	MoneyTy::sub_0052B940	owner=applied(MoneyTy::sub_0052B940); parameters=applied(no explicit parameters); convention=applied(__thiscall); this_type=unchanged
0052B990	applied	MoneyTy::sub_0052B990	owner=applied(MoneyTy::sub_0052B990); parameters=applied(no explicit parameters); convention=applied(__thiscall); this_type=unchanged
0052BBE0	applied	MoneyTy::sub_0052BBE0	owner=applied(MoneyTy::sub_0052BBE0); parameters=applied(no explicit parameters); convention=applied(__thiscall); this_type=unchanged
0052BDA0	applied	MoneyTy::sub_0052BDA0	owner=applied(MoneyTy::sub_0052BDA0); this_type=unchanged
0053C620	applied	ResearchPanelTy::sub_0053C620	owner=applied(ResearchPanelTy::sub_0053C620); parameters=applied(no explicit parameters); convention=applied(__thiscall); this_type=unchanged
0053F510	disabled		all apply flags are 0
005440C0	disabled	CursorClassTy::sub_005440C0	all apply flags are 0
00544100	disabled	CursorClassTy::sub_00544100	all apply flags are 0
00544150	disabled	CursorClassTy::sub_00544150	all apply flags are 0
00544990	disabled	CursorClassTy::sub_00544990	all apply flags are 0
0054A8D0	applied	CursorClassTy::sub_0054A8D0	owner=applied(CursorClassTy::sub_0054A8D0); parameters=applied(no explicit parameters); convention=applied(__thiscall)
0054B700	applied	CursorClassTy::sub_0054B700	owner=applied(CursorClassTy::sub_0054B700); this_type=unchanged
0054CBB0	disabled	STPlaySystemC::sub_0054CBB0	all apply flags are 0
0054EBB0	applied	STPlaySystemC::sub_0054EBB0	owner=applied(STPlaySystemC::sub_0054EBB0); this_type=unchanged
00550190	applied	STPlaySystemC::sub_00550190	owner=applied(STPlaySystemC::sub_00550190); parameters=applied(no explicit parameters); convention=applied(__thiscall); this_type=unchanged
005501D0	disabled	STPlaySystemC::sub_005501D0	all apply flags are 0
00550380	disabled		all apply flags are 0
005503C0	disabled	STPlaySystemC::sub_005503C0	all apply flags are 0
00550430	disabled	STPlaySystemC::sub_00550430	all apply flags are 0
005504F0	disabled	STPlaySystemC::sub_005504F0	all apply flags are 0
