create_apply	signature_apply	name_apply	representative	record_index	record_address	type_id	type_id_hex	enum_value_name	raw_factory_address	target_address	entry_bytes	current_name	current_name_source	current_signature	current_signature_source	current_return_type	proposed_name	proposed_return_type	owner	allocation_size	constructor_owners	confidence	reason
0	1	0	1	0	007CA720	2	0x0002	ST_OBJECT_BUTTON	0071E000	0071E000	5668EC010000E8C524F9FF8BF085F674	CreateButton	ANALYSIS	ButtonClassTy * __cdecl CreateButton(void)	ANALYSIS	/ButtonClassTy *32	CreateButton	ButtonClassTy *	ButtonClassTy	492		high	registry[0] at 007CA720 stores type 0x0002 and executable pointer 0071E000; allocation size 492 uniquely matches /ButtonClassTy
0	1	0	1	1	007CA728	3	0x0003	ST_OBJECT_TRACKBAR	00725520	00725520	56689C010000E8A5AFF8FF8BF085F674	CreateTrackbar	ANALYSIS	TrackbarClassTy * __cdecl CreateTrackbar(void)	ANALYSIS	/TrackbarClassTy *32	CreateTrackbar	TrackbarClassTy *	TrackbarClassTy	412		high	registry[1] at 007CA728 stores type 0x0003 and executable pointer 00725520; allocation size 412 uniquely matches /TrackbarClassTy
0	1	0	1	2	007CA730	4	0x0004	ST_OBJECT_SLIDER	00724D00	00724D00	6A64E8C9B7F8FF85C074078BC8E9FEF5	CreateSlider	ANALYSIS	SliderClassTy * __cdecl CreateSlider(void)	ANALYSIS	/SliderClassTy *32	CreateSlider	SliderClassTy *	SliderClassTy	100		high	registry[2] at 007CA730 stores type 0x0004 and executable pointer 00724D00; allocation size 100 uniquely matches /SliderClassTy
0	1	0	1	3	007CA738	5	0x0005	ST_OBJECT_TYPE_0005	007242D0	007242D0	566A78E8F8C1F8FF8BF085F6741F8BCE	FUN_007242d0	DEFAULT	void * __cdecl FUN_007242d0(void)	ANALYSIS	/void *32	CreateObjectType_0005	void *		120		review	registry[3] at 007CA738 stores type 0x0005 and executable pointer 007242D0; allocation size 120 has no unique current class-layout match
0	1	0	1	4	007CA740	6	0x0006	ST_OBJECT_EDITOR	007233B0	007233B0	6818020000E816D1F8FF85C074078BC8	CreateEditor	ANALYSIS	EditorClassTy * __cdecl CreateEditor(void)	ANALYSIS	/EditorClassTy *32	CreateEditor	EditorClassTy *	EditorClassTy	536		high	registry[4] at 007CA740 stores type 0x0006 and executable pointer 007233B0; allocation size 536 uniquely matches /EditorClassTy
0	1	0	1	5	007CA748	7	0x0007	ST_OBJECT_LIST	00720960	00720960	5657680C020000E864FBF8FF8BF033FF	CreateList	ANALYSIS	ListClassTy * __cdecl CreateList(void)	ANALYSIS	/ListClassTy *32	CreateList	ListClassTy *	ListClassTy	524		high	registry[5] at 007CA748 stores type 0x0007 and executable pointer 00720960; allocation size 524 uniquely matches /ListClassTy
0	1	0	1	6	007CA750	8	0x0008	ST_OBJECT_VIEWER	0071F210	0071F210	68F8010000E8B612F9FF85C074078BC8	CreateViewer	ANALYSIS	ViewerClassTy * __cdecl CreateViewer(void)	ANALYSIS	/ViewerClassTy *32	CreateViewer	ViewerClassTy *	ViewerClassTy	504		high	registry[6] at 007CA750 stores type 0x0008 and executable pointer 0071F210; allocation size 504 uniquely matches /ViewerClassTy
0	1	0	1	7	007CA758	9	0x0009	ST_OBJECT_RADIO	0071E6D0	0071E6D0	6A68E8F91DF9FF85C074078BC8E95EF9	CreateRadio	ANALYSIS	RadioClassTy * __cdecl CreateRadio(void)	ANALYSIS	/RadioClassTy *32	CreateRadio	RadioClassTy *	RadioClassTy	104		high	registry[7] at 007CA758 stores type 0x0009 and executable pointer 0071E6D0; allocation size 104 uniquely matches /RadioClassTy
0	1	0	1	8	007CA760	1	0x0001	ST_OBJECT_TYPE_0001	0071B190	0071B190	6890000000E89633010083C40485C074	FUN_0071b190	DEFAULT	void * __cdecl FUN_0071b190(void)	ANALYSIS	/void *32	CreateObjectType_0001	void *				exact_factory_abi	registry[8] at 007CA760 stores type 0x0001 and executable pointer 0071B190
0	1	0	1	9	007CA768	33024	0x8100	ST_OBJECT_TYPE_8100	0040217B	00495720	E9A0350900E9EB152300E9C6281500E9	FUN_00495720	DEFAULT	void * __cdecl FUN_00495720(void)	ANALYSIS	/void *32	CreateObjectType_8100	void *		44		review	registry[9] at 007CA768 stores type 0x8100 and executable pointer 0040217B; allocation size 44 has no unique current class-layout match
0	1	0	1	10	007CA770	256	0x0100	ST_OBJECT_TYPE_0100	00401C5D	004A88F0	E98E6C0A00E929EF0C00E9A4F32400E9	FUN_004a88f0	DEFAULT	void * __cdecl FUN_004a88f0(void)	ANALYSIS	/void *32	CreateObjectType_0100	void *		32	OpticClassC	review	registry[10] at 007CA770 stores type 0x0100 and executable pointer 00401C5D; allocation size 32 has no unique current class-layout match
0	1	0	1	11	007CA778	257	0x0101	ST_OBJECT_TYPE_0101	00405353	00543450	E9F8E01300E9E3372100E90E561200E9	FUN_00543450	DEFAULT	void * __cdecl FUN_00543450(void)	ANALYSIS	/void *32	CreateObjectType_0101	void *		1275	SpriteClassTy	review	registry[11] at 007CA778 stores type 0x0101 and executable pointer 00405353; allocation size 1275 has no unique current class-layout match
0	1	0	1	12	007CA780	258	0x0102	ST_OBJECT_TYPE_0102	0040374C	00495950	E9FF210900E99ABA1F00E9F58D1E00E9	FUN_00495950	DEFAULT	void * __cdecl FUN_00495950(void)	ANALYSIS	/void *32	CreateObjectType_0102	void *		24	DumpClassC	review	registry[12] at 007CA780 stores type 0x0102 and executable pointer 0040374C; allocation size 24 has no unique current class-layout match
0	1	0	1	13	007CA788	259	0x0103	ST_OBJECT_ST_ALGA	00404B38	00576A60	E9231F1700E95E8B2500E9B92C0F00E9	CreateSTAlga	ANALYSIS	STAlgaC * __cdecl CreateSTAlga(void)	ANALYSIS	/STAlgaC *32	CreateSTAlga	STAlgaC *	STAlgaC	76		high	registry[13] at 007CA788 stores type 0x0103 and executable pointer 00404B38; allocation size 76 uniquely matches /STAlgaC
0	1	0	1	14	007CA790	260	0x0104	ST_OBJECT_TYPE_0104	00401E1A	0048A640	E921880800E96C410E00E987602100E9	FUN_0048a640	DEFAULT	void * __cdecl FUN_0048a640(void)	ANALYSIS	/void *32	CreateObjectType_0104	void *		2142	STBoatC	review	registry[14] at 007CA790 stores type 0x0104 and executable pointer 00401E1A; allocation size 2142 has no unique current class-layout match
