item_kind	item_id	locator	status	detail
type	AnonNested_004B7F90_01F5_230F20CA	/SubmarineTitans/Recovered/PointerShapes/AnonNested_004B7F90_01F5_230F20CA	disabled	apply=0
type	AnonNested_004C5980_05FB_38F047AC	/SubmarineTitans/Recovered/PointerShapes/AnonNested_004C5980_05FB_38F047AC	disabled	apply=0
type	AnonNested_004C9430_0607_7C13AC95	/SubmarineTitans/Recovered/PointerShapes/AnonNested_004C9430_0607_7C13AC95	disabled	apply=0
type	AnonNested_004D0A80_024D_FEDAAB1B	/SubmarineTitans/Recovered/PointerShapes/AnonNested_004D0A80_024D_FEDAAB1B	disabled	apply=0
type	AnonNested_004D6360_0360_98F97B35	/SubmarineTitans/Recovered/PointerShapes/AnonNested_004D6360_0360_98F97B35	disabled	apply=0
type	AnonNested_004E9960_061B_217F6F13	/SubmarineTitans/Recovered/PointerShapes/AnonNested_004E9960_061B_217F6F13	disabled	apply=0
type	AnonNested_0052BDA0_007E_1B3446E2	/SubmarineTitans/Recovered/PointerShapes/AnonNested_0052BDA0_007E_1B3446E2	disabled	apply=0
type	AnonNested_0054EAB0_0065_6333AF5F	/SubmarineTitans/Recovered/PointerShapes/AnonNested_0054EAB0_0065_6333AF5F	disabled	apply=0
type	AnonNested_0054EB20_0065_4A00EB9C	/SubmarineTitans/Recovered/PointerShapes/AnonNested_0054EB20_0065_4A00EB9C	disabled	apply=0
type	AnonNested_005F4C50_0169_A2908DF5	/SubmarineTitans/Recovered/PointerShapes/AnonNested_005F4C50_0169_A2908DF5	disabled	apply=0
type	AnonNested_005F5B80_0169_794156D7	/SubmarineTitans/Recovered/PointerShapes/AnonNested_005F5B80_0169_794156D7	disabled	apply=0
type	AnonNested_005F9CB0_02E6_32192ADE	/SubmarineTitans/Recovered/PointerShapes/AnonNested_005F9CB0_02E6_32192ADE	disabled	apply=0
type	AnonNested_005FAC40_02E6_39D7D583	/SubmarineTitans/Recovered/PointerShapes/AnonNested_005FAC40_02E6_39D7D583	disabled	apply=0
type	AnonNested_005FADA0_02E6_8D03AC6C	/SubmarineTitans/Recovered/PointerShapes/AnonNested_005FADA0_02E6_8D03AC6C	disabled	apply=0
type	AnonNested_006001E0_0233_B26101C5	/SubmarineTitans/Recovered/PointerShapes/AnonNested_006001E0_0233_B26101C5	disabled	apply=0
type	AnonNested_006028A0_0211_79D9690B	/SubmarineTitans/Recovered/PointerShapes/AnonNested_006028A0_0211_79D9690B	disabled	apply=0
type	AnonNested_0060D390_023C_02238FCF	/SubmarineTitans/Recovered/PointerShapes/AnonNested_0060D390_023C_02238FCF	disabled	apply=0
type	AnonNested_0060D660_023C_EDAA5EF6	/SubmarineTitans/Recovered/PointerShapes/AnonNested_0060D660_023C_EDAA5EF6	disabled	apply=0
type	AnonNested_0060D810_0244_C78BBECE	/SubmarineTitans/Recovered/PointerShapes/AnonNested_0060D810_0244_C78BBECE	disabled	apply=0
type	AnonNested_006139A0_0298_4BCC28B8	/SubmarineTitans/Recovered/PointerShapes/AnonNested_006139A0_0298_4BCC28B8	disabled	apply=0
type	AnonNested_00617A20_005E_D2939D1E	/SubmarineTitans/Recovered/PointerShapes/AnonNested_00617A20_005E_D2939D1E	disabled	apply=0
type	AnonNested_00617FB0_005E_483CD789	/SubmarineTitans/Recovered/PointerShapes/AnonNested_00617FB0_005E_483CD789	disabled	apply=0
type	AnonNested_00617FB0_0062_35E1D28C	/SubmarineTitans/Recovered/PointerShapes/AnonNested_00617FB0_0062_35E1D28C	disabled	apply=0
type	AnonNested_00617FB0_0066_193D2AD0	/SubmarineTitans/Recovered/PointerShapes/AnonNested_00617FB0_0066_193D2AD0	disabled	apply=0
type	AnonNested_0061D710_00A3_C72C5EA4	/SubmarineTitans/Recovered/PointerShapes/AnonNested_0061D710_00A3_C72C5EA4	disabled	apply=0
type	AnonNested_006226C0_0211_7A284649	/SubmarineTitans/Recovered/PointerShapes/AnonNested_006226C0_0211_7A284649	disabled	apply=0
type	AnonNested_006308F0_0038_6CBBD4FA	/SubmarineTitans/Recovered/PointerShapes/AnonNested_006308F0_0038_6CBBD4FA	disabled	apply=0
type	AnonNested_00631220_0034_EF4AC123	/SubmarineTitans/Recovered/PointerShapes/AnonNested_00631220_0034_EF4AC123	disabled	apply=0
type	AnonNested_00631220_0038_55904769	/SubmarineTitans/Recovered/PointerShapes/AnonNested_00631220_0038_55904769	disabled	apply=0
type	AnonNested_00633770_001D_40333508	/SubmarineTitans/Recovered/PointerShapes/AnonNested_00633770_001D_40333508	disabled	apply=0
type	AnonNested_0063CFF0_0336_DC162146	/SubmarineTitans/Recovered/PointerShapes/AnonNested_0063CFF0_0336_DC162146	disabled	apply=0
type	AnonNested_0063FE70_0336_EDA006AC	/SubmarineTitans/Recovered/PointerShapes/AnonNested_0063FE70_0336_EDA006AC	disabled	apply=0
type	AnonNested_00640170_037F_4BC1E19C	/SubmarineTitans/Recovered/PointerShapes/AnonNested_00640170_037F_4BC1E19C	disabled	apply=0
