source_target	destination_target	site
0040AE40|parameter|ECX:4 (auto)	00423E70|parameter|ECX:4 (auto)	0040AE40 C call -> FUN_00423e70
0040AE40|parameter|Stack[0x4]:4	00423E70|parameter|Stack[0x4]:2	0040AE40 C call -> FUN_00423e70
0040AE40|local|Stack[-0x2c]:4	006A5E90|parameter|Stack[0x4]:4	0040AE40 C call -> FUN_006a5e90
0040AE40|local|Stack[-0x48]:4	00497920|parameter|Stack[0x4]:4	0040AE40 C call -> FUN_00497920
0040AE40|local|Stack[-0x8]:4	00497920|parameter|Stack[0x10]:4	0040AE40 C call -> FUN_00497920
0040AE40|local|Stack[-0x48]:4	00497920|parameter|Stack[0x4]:4	0040AE40 C call -> FUN_00497920
0040AE40|local|Stack[-0x48]:4	00497920|parameter|Stack[0x4]:4	0040AE40 C call -> FUN_00497920
0040AE40|local|Stack[-0xc]:4	00497920|parameter|Stack[0xc]:4	0040AE40 C call -> FUN_00497920
0040AE40|local|Stack[-0x28]:4	006A9190|parameter|Stack[0x34]:4	0040AE40 C call -> Library::DKW::WAY::FUN_006a9190
0040AE40|local|Stack[-0x24]:4	006A9190|parameter|Stack[0x3c]:4	0040AE40 C call -> Library::DKW::WAY::FUN_006a9190
0040AE40|local|Stack[-0x2c]:4	006A8270|parameter|Stack[0x4]:4	0040AE40 C call -> Library::DKW::WAY::FUN_006a8270
0040AE40|local|Stack[-0x24]:4	006A8270|parameter|Stack[0x34]:4	0040AE40 C call -> Library::DKW::WAY::FUN_006a8270
0040AE40|local|Stack[-0x2c]:4	006A5E90|parameter|Stack[0x4]:4	0040AE40 C call -> FUN_006a5e90
0040BC90|parameter|ECX:4 (auto)	00423E70|parameter|ECX:4 (auto)	0040BC90 C call -> FUN_00423e70
0040BC90|parameter|Stack[0x4]:4	00423E70|parameter|Stack[0x4]:2	0040BC90 C call -> FUN_00423e70
0040BC90|local|Stack[-0x1c]:4	00497920|parameter|Stack[0xc]:4	0040BC90 C call -> FUN_00497920
0040BC90|parameter|Stack[0x4]:4	00497920|parameter|Stack[0x10]:4	0040BC90 C call -> FUN_00497920
0040BC90|local|Stack[-0x8]:4	006A9190|parameter|Stack[0x4]:4	0040BC90 C call -> Library::DKW::WAY::FUN_006a9190
0040BC90|parameter|Stack[0x8]:4	006A9190|parameter|Stack[0x20]:4	0040BC90 C call -> Library::DKW::WAY::FUN_006a9190
0040BC90|parameter|Stack[0xc]:4	006A9190|parameter|Stack[0x24]:4	0040BC90 C call -> Library::DKW::WAY::FUN_006a9190
0040BC90|parameter|Stack[0x10]:4	006A9190|parameter|Stack[0x28]:4	0040BC90 C call -> Library::DKW::WAY::FUN_006a9190
0040BC90|local|Stack[-0x8]:4	006AB090|parameter|Stack[0x4]:4	0040BC90 C call -> FUN_006ab090
0040BC90|parameter|Stack[0x8]:4	006AB090|parameter|Stack[0x14]:4	0040BC90 C call -> FUN_006ab090
0040BC90|parameter|Stack[0xc]:4	006AB090|parameter|Stack[0x18]:4	0040BC90 C call -> FUN_006ab090
0040BC90|parameter|Stack[0x10]:4	006AB090|parameter|Stack[0x1c]:4	0040BC90 C call -> FUN_006ab090
0040C080|parameter|ECX:4 (auto)	00423E70|parameter|ECX:4 (auto)	0040C080 C call -> FUN_00423e70
0040C080|parameter|Stack[0x4]:4	00423E70|parameter|Stack[0x4]:2	0040C080 C call -> FUN_00423e70
0040C080|parameter|Stack[0x8]:4	006ACC70|parameter|ECX:4	0040C080 C call -> DArrayGetElement
0040C080|local|Stack[-0x90]:4	004162F0|parameter|ECX:4 (auto)	0040C080 C call -> STFishC::sub_004162F0
0040C080|local|Stack[-0x24]:2	004162F0|parameter|Stack[0x4]:4	0040C080 C call -> STFishC::sub_004162F0
0040C080|local|Stack[-0x4c]:2	004162F0|parameter|Stack[0x8]:4	0040C080 C call -> STFishC::sub_004162F0
