apply	function_address	function_name	target_kind	target_name	target_locator	expected_type	expected_source	proposed_type	access_count	field_count	confidence	type_evidence	evidence_sites	reason
0			global	PTR_PTR_007bb198	007BB198	pointer:/undefined	DATA		10	2	review	{}	004C2950 record-index PTR_PTR_007bb198+0x4 stride=12 | 004D32C0 record-index PTR_PTR_007bb198+0x4 stride=12 | 004C2950 record-index PTR_PTR_007bb198+0x8 stride=12 | 004D32C0 record-index PTR_PTR_007bb198+0x8 stride=12 | 004D55B0 record-index PTR_PTR_007bb198+0x8 stride=12	unowned image-backed pointer is concrete global data; fixed-offset geometry is retained for review until an owning global analyzer proves it
0			global	PTR_thunk_FUN_00673160_007d2d1c	007D2D1C	/pointer	DATA		0	0	review	{}		conflicting or invalid access widths
0			global	PTR_007f4d50	007F4D50	pointer:/int	DATA	pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_GLOBAL_007F4D50_3F7AFA45	2	2	review	{}	0040F270 record-index PTR_007f4d50+0x1 stride=4 | 0040F270 record-index PTR_007f4d50+0x2 stride=4	single/weak fixed-offset profile retained for review; affine record access lacks one unique stride with two fields and three sites
0			global	g_runtimeRecords_007F4D74	007F4D74	pointer:/SubmarineTitans/Recovered/GlobalAggregates/RuntimeRecord_007F4D74_0010	DATA		0	0	review	{}		unowned image-backed pointer is concrete global data; fixed-offset geometry is retained for review until an owning global analyzer proves it
0			global	g_array_007FA130	007FA130	pointer:/SubmarineTitans/Recovered/DArraySpecializations/DArrayOf_STTorpCPtr	DATA	pointer:/SubmarineTitans/Recovered/DArraySpecializations/DArrayOf_STTorpCPtr	0	0	existing	{pointer:/SubmarineTitans/Recovered/DArrayTy=4}	00430A90 C call -> DArrayDestroy DArray helper => pointer:/SubmarineTitans/Recovered/DArrayTy | 00430A90 C call -> DArrayDestroy parameter array => pointer:/SubmarineTitans/Recovered/DArrayTy	target already has a named/manual structure pointer type
0			global	g_array_007FA150	007FA150	pointer:/SubmarineTitans/Recovered/DArrayTy	DATA	pointer:/SubmarineTitans/Recovered/DArrayTy	0	0	existing	{pointer:/SubmarineTitans/Recovered/DArrayTy=12}	00430A90 C call -> DArrayDestroy DArray helper => pointer:/SubmarineTitans/Recovered/DArrayTy | 00430A90 C call -> DArrayDestroy parameter array => pointer:/SubmarineTitans/Recovered/DArrayTy | 004B1120 C call -> DArrayGetNext DArray helper => pointer:/SubmarineTitans/Recovered/DArrayTy | 004B1120 C call -> DArrayGetNext parameter array => pointer:/SubmarineTitans/Recovered/DArrayTy	target already has a named/manual structure pointer type
0			global	g_array_007FA154	007FA154	pointer:/SubmarineTitans/Recovered/DArraySpecializations/DArrayOf_STGameObjCPtr	DATA	pointer:/SubmarineTitans/Recovered/DArraySpecializations/DArrayOf_STGameObjCPtr	0	0	existing	{pointer:/SubmarineTitans/Recovered/DArrayTy=8}	00430A90 C call -> DArrayDestroy DArray helper => pointer:/SubmarineTitans/Recovered/DArrayTy | 00430A90 C call -> DArrayDestroy parameter array => pointer:/SubmarineTitans/Recovered/DArrayTy | 00430A90 C call -> DArrayGetElement DArray helper => pointer:/SubmarineTitans/Recovered/DArrayTy | 00430A90 C call -> DArrayGetElement parameter array => pointer:/SubmarineTitans/Recovered/DArrayTy	target already has a named/manual structure pointer type
0			global	g_array_007FA158	007FA158	pointer:/SubmarineTitans/Recovered/DArraySpecializations/DArrayOf_STGameObjCPtr	DATA	pointer:/SubmarineTitans/Recovered/DArraySpecializations/DArrayOf_STGameObjCPtr	0	0	existing	{pointer:/SubmarineTitans/Recovered/DArrayTy=8}	00430A90 C call -> DArrayDestroy DArray helper => pointer:/SubmarineTitans/Recovered/DArrayTy | 00430A90 C call -> DArrayDestroy parameter array => pointer:/SubmarineTitans/Recovered/DArrayTy | 00430A90 C call -> DArrayGetElement DArray helper => pointer:/SubmarineTitans/Recovered/DArrayTy | 00430A90 C call -> DArrayGetElement parameter array => pointer:/SubmarineTitans/Recovered/DArrayTy	target already has a named/manual structure pointer type
0			global	g_array_007FA15C	007FA15C	pointer:/SubmarineTitans/Recovered/DArraySpecializations/DArrayOf_STGameObjCPtr	DATA	pointer:/SubmarineTitans/Recovered/DArraySpecializations/DArrayOf_STGameObjCPtr	0	0	existing	{pointer:/SubmarineTitans/Recovered/DArrayTy=8}	00430A90 C call -> DArrayDestroy DArray helper => pointer:/SubmarineTitans/Recovered/DArrayTy | 00430A90 C call -> DArrayDestroy parameter array => pointer:/SubmarineTitans/Recovered/DArrayTy | 00430A90 C call -> DArrayGetElement DArray helper => pointer:/SubmarineTitans/Recovered/DArrayTy | 00430A90 C call -> DArrayGetElement parameter array => pointer:/SubmarineTitans/Recovered/DArrayTy	target already has a named/manual structure pointer type
0			global	g_array_007FA160	007FA160	pointer:/SubmarineTitans/Recovered/DArraySpecializations/DArrayOf_STGameObjCPtr	DATA	pointer:/SubmarineTitans/Recovered/DArraySpecializations/DArrayOf_STGameObjCPtr	0	0	existing	{pointer:/SubmarineTitans/Recovered/DArrayTy=8}	00430A90 C call -> DArrayDestroy DArray helper => pointer:/SubmarineTitans/Recovered/DArrayTy | 00430A90 C call -> DArrayDestroy parameter array => pointer:/SubmarineTitans/Recovered/DArrayTy | 00430A90 C call -> DArrayGetElement DArray helper => pointer:/SubmarineTitans/Recovered/DArrayTy | 00430A90 C call -> DArrayGetElement parameter array => pointer:/SubmarineTitans/Recovered/DArrayTy	target already has a named/manual structure pointer type
