apply	address	old_name	qualified_name	owner	method	suggested_calling_convention	calling_convention_evidence	source_file	source_line	confidence	reason
0	00415160	STGroupBoatC::Way3DGrpDistribTgt	STGroupBoatC::Way3DGrpDistribTgt	STGroupBoatC	Way3DGrpDistribTgt		no incoming ECX use found in first 24 instructions	E:\\__titans\\wlad\\Grpway3d.cpp		medium	unique_method_and_source
0	00415590	STGroupBoatC::Way3DGrpGetDistrPoint	STGroupBoatC::Way3DGrpGetDistrPoint	STGroupBoatC	Way3DGrpGetDistrPoint		no incoming ECX use found in first 24 instructions	E:\\__titans\\wlad\\Grpway3d.cpp		medium	unique_method_and_source
1	004189D0	FUN_004189d0	STGameObjC::MoveStep	STGameObjC	MoveStep	__thiscall	004189D7: MOV ESI,ECX	E:\\__titans\\wlad\\Tc_gobj.cpp		high	unique_method_and_source
1	00419DF0	FUN_00419df0	STGameObjC::SetSelfCheckFlag	STGameObjC	SetSelfCheckFlag	__thiscall	00419DF1: MOV EBX,ECX	E:\\__titans\\wlad\\Tc_gobj.cpp		high	unique_method_and_source
1	0041A680	FUN_0041a680	STGameObjC::ResetSelfCheckFlag	STGameObjC	ResetSelfCheckFlag	__thiscall	0041A681: MOV ESI,ECX	E:\\__titans\\wlad\\Tc_gobj.cpp		high	unique_method_and_source
0	0041AF40	STGameObjC::GetMessage	STGameObjC::GetMessage	STGameObjC	GetMessage	__thiscall	0041AF4D: MOV dword ptr [EBP + -0xc],ECX	E:\\__titans\\wlad\\Tc_gobj.cpp		medium	unique_method_and_source
0	0041E530	STSprGameObjC::GetMessage	STSprGameObjC::GetMessage	STSprGameObjC	GetMessage	__thiscall	0041E53E: MOV dword ptr [EBP + -0xc],ECX	E:\\__titans\\wlad\\Tc_gobj.cpp		medium	unique_method_and_source
0	0041F9B0	STSprGameObjC::CheckRay	STSprGameObjC::CheckRay	STSprGameObjC	CheckRay	__thiscall	0041F9C0: MOV dword ptr [EBP + -0x18],ECX	E:\\__titans\\wlad\\Tc_gobj.cpp		medium	unique_method_and_source
1	00420340	FUN_00420340	STSprGameObjC::LoadActFrame	STSprGameObjC	LoadActFrame	__thiscall	00420348: MOV EBX,ECX	E:\\__titans\\wlad\\Tc_gobj.cpp		high	unique_method_and_source
1	00420AE0	FUN_00420ae0	STSprGameObjC::LoadLifeFrame	STSprGameObjC	LoadLifeFrame	__thiscall	00420AE8: MOV EBX,ECX	E:\\__titans\\wlad\\Tc_gobj.cpp		high	unique_method_and_source
0	004210E0	STAllPlayersC::SaveGObjData	STAllPlayersC::SaveGObjData	STAllPlayersC	SaveGObjData	__thiscall	004210ED: MOV dword ptr [EBP + -0x10],ECX	E:\\__titans\\wlad\\Tc_gobj.cpp		medium	unique_method_and_source
0	00422210	STAllPlayersC::RestoreGObjData	STAllPlayersC::RestoreGObjData	STAllPlayersC	RestoreGObjData	__thiscall	0042221B: MOV dword ptr [EBP + -0x4],ECX	E:\\__titans\\wlad\\Tc_gobj.cpp		medium	unique_method_and_source
0	004233E0	STGroupC::GetGroupContent	STGroupC::GetGroupContent	STGroupC	GetGroupContent	__thiscall	004233E6: MOV EAX,dword ptr [ECX + 0x29]	E:\\__titans\\wlad\\tc_grp.cpp		medium	unique_method_and_source
0	00423520	STGroupC::GetTOBJQty	STGroupC::GetTOBJQty	STGroupC	GetTOBJQty	__thiscall	0042352D: MOV dword ptr [EBP + -0xc],ECX	E:\\__titans\\wlad\\tc_grp.cpp		medium	unique_method_and_source
0	00423660	STGroupC::GetTOBJList	STGroupC::GetTOBJList	STGroupC	GetTOBJList	__thiscall	0042366D: MOV dword ptr [EBP + -0xc],ECX	E:\\__titans\\wlad\\tc_grp.cpp		medium	unique_method_and_source
0	00423850	STGroupC::AddObj	STGroupC::AddObj	STGroupC	AddObj	__thiscall	00423856: MOV EAX,dword ptr [ECX + 0x29]	E:\\__titans\\wlad\\tc_grp.cpp		medium	unique_method_and_source
0	00423B50	STGroupC::AddObjs	STGroupC::AddObjs	STGroupC	AddObjs	__thiscall	00423B5F: MOV dword ptr [EBP + -0xc],ECX	E:\\__titans\\wlad\\tc_grp.cpp		medium	unique_method_and_source
0	00423EC0	STGroupC::GetMessage	STGroupC::GetMessage	STGroupC	GetMessage	__thiscall	00423ECD: MOV dword ptr [EBP + -0x4],ECX	E:\\__titans\\wlad\\tc_grp.cpp		medium	unique_method_and_source
0	004240F0	STGroupC::SaveGrpData	STGroupC::SaveGrpData	STGroupC	SaveGrpData	__thiscall	004240FD: MOV dword ptr [EBP + -0xc],ECX	E:\\__titans\\wlad\\tc_grp.cpp		medium	unique_method_and_source
0	00424360	STGroupC::RestoreGrpData	STGroupC::RestoreGrpData	STGroupC	RestoreGrpData	__thiscall	0042436A: MOV dword ptr [EBP + -0x8],ECX	E:\\__titans\\wlad\\tc_grp.cpp		medium	unique_method_and_source
0	004247B0	STGroupC::SetAVPar	STGroupC::SetAVPar	STGroupC	SetAVPar	__thiscall	004247B3: PUSH ECX	E:\\__titans\\wlad\\tc_grp.cpp		medium	unique_method_and_source
0	0042AB00	STAllPlayersC::GetGObjFromZone	STAllPlayersC::GetGObjFromZone	STAllPlayersC	GetGObjFromZone	__thiscall	0042AB0B: MOV dword ptr [EBP + -0x4],ECX	E:\\__titans\\wlad\\to_allpl.cpp		medium	unique_method_and_source
0	0042ABE0	STAllPlayersC::GetGObjFromZone2	STAllPlayersC::GetGObjFromZone2	STAllPlayersC	GetGObjFromZone2	__thiscall	0042ABFA: MOV dword ptr [0x00858df8],ECX	E:\\__titans\\wlad\\to_allpl.cpp		medium	unique_method_and_source
0	0042B1F0	STAllPlayersC::GetGObjFromBox	STAllPlayersC::GetGObjFromBox	STAllPlayersC	GetGObjFromBox	__thiscall	0042B202: LEA EDX,[ECX + EAX*0x1 + -0x1]	E:\\__titans\\wlad\\to_allpl.cpp		medium	unique_method_and_source
1	0042B620	FUN_0042b620	STAllPlayersC::GetObjPtr	STAllPlayersC	GetObjPtr	__thiscall	0042B649: MOV ECX,dword ptr [ECX*0x2 + 0x7f4e29]	E:\\__titans\\wlad\\to_allpl.cpp		high	unique_method_and_source
0	0042B7D0	STAllPlayersC::AddObjsToGroup	STAllPlayersC::AddObjsToGroup	STAllPlayersC	AddObjsToGroup	__thiscall	0042B7E2: MOV EBX,ECX	E:\\__titans\\wlad\\to_allpl.cpp		medium	unique_method_and_source
0	0042BB30	STAllPlayersC::AddObjToTmp	STAllPlayersC::AddObjToTmp	STAllPlayersC	AddObjToTmp	__thiscall	0042BB3D: MOV dword ptr [EBP + -0x8],ECX	E:\\__titans\\wlad\\to_allpl.cpp		medium	unique_method_and_source
0	0042BEA0	STAllPlayersC::AddObjToTmp2	STAllPlayersC::AddObjToTmp2	STAllPlayersC	AddObjToTmp2	__thiscall	0042BEAD: MOV dword ptr [EBP + -0x8],ECX	E:\\__titans\\wlad\\to_allpl.cpp		medium	unique_method_and_source
0	0042C1C0	STAllPlayersC::AddObjsToTmp	STAllPlayersC::AddObjsToTmp	STAllPlayersC	AddObjsToTmp	__thiscall	0042C1CD: MOV dword ptr [EBP + -0x8],ECX	E:\\__titans\\wlad\\to_allpl.cpp		medium	unique_method_and_source
0	0042C4B0	STAllPlayersC::DelObjsFromTmp	STAllPlayersC::DelObjsFromTmp	STAllPlayersC	DelObjsFromTmp	__thiscall	0042C4BD: MOV dword ptr [EBP + -0x8],ECX	E:\\__titans\\wlad\\to_allpl.cpp		medium	unique_method_and_source
1	0042C5F0	FUN_0042c5f0	STAllPlayersC::DelObjFromTmps	STAllPlayersC	DelObjFromTmps	__thiscall	0042C601: MOV ESI,ECX	E:\\__titans\\wlad\\to_allpl.cpp		high	unique_method_and_source
0	0042CDE0	STAllPlayersC::PushTV	STAllPlayersC::PushTV	STAllPlayersC	PushTV		no incoming ECX use found in first 24 instructions	E:\\__titans\\wlad\\to_allpl.cpp		medium	unique_method_and_source
1	0042CEF0	FUN_0042cef0	STAllPlayersC::DelObjFromSaveTmps	STAllPlayersC	DelObjFromSaveTmps	__thiscall	0042CEF3: PUSH ECX	E:\\__titans\\wlad\\to_allpl.cpp		high	unique_method_and_source
1	0042D190	FUN_0042d190	STAllPlayersC::ResetActivityFromObjs	STAllPlayersC	ResetActivityFromObjs	__thiscall	0042D19E: MOV EDI,ECX	E:\\__titans\\wlad\\to_allpl.cpp		high	unique_method_and_source
1	0042D370	FUN_0042d370	STAllPlayersC::SetActivityToObjs	STAllPlayersC	SetActivityToObjs	__thiscall	0042D37D: MOV EDI,ECX	E:\\__titans\\wlad\\to_allpl.cpp		high	unique_method_and_source
1	0042D4F0	FUN_0042d4f0	STAllPlayersC::ResetActivityFromTmp	STAllPlayersC	ResetActivityFromTmp	__thiscall	0042D4FE: MOV ESI,ECX	E:\\__titans\\wlad\\to_allpl.cpp		high	unique_method_and_source
1	0042D6B0	FUN_0042d6b0	STAllPlayersC::RemoveActiveTV	STAllPlayersC	RemoveActiveTV		no incoming ECX use found in first 24 instructions	E:\\__titans\\wlad\\to_allpl.cpp		high	unique_method_and_source
0	0042D980	STAllPlayersC::GetActiveCenter	STAllPlayersC::GetActiveCenter	STAllPlayersC	GetActiveCenter	__thiscall	0042D991: LEA EAX,[ECX + ECX*0x4]	E:\\__titans\\wlad\\to_allpl.cpp		medium	unique_method_and_source
1	0042DFE0	FUN_0042dfe0	STAllPlayersC::PrepareToCmd	STAllPlayersC	PrepareToCmd	__thiscall	0042DFF6: MOV ESI,ECX	E:\\__titans\\wlad\\to_allpl.cpp		high	unique_method_and_source
0	0042E210	STAllPlayersC::RegisterObject	STAllPlayersC::RegisterObject	STAllPlayersC	RegisterObject	__thiscall	0042E219: MOV dword ptr [EBP + -0x14],ECX	E:\\__titans\\wlad\\to_allpl.cpp		medium	unique_method_and_source
0	0042EFD0	STAllPlayersC::RegisterGroup	STAllPlayersC::RegisterGroup	STAllPlayersC	RegisterGroup	__thiscall	0042EFF4: MOV EDX,dword ptr [ECX*0x2 + 0x7f4e25]	E:\\__titans\\wlad\\to_allpl.cpp		medium	unique_method_and_source
0	0042F140	STAllPlayersC::UnRegisterGroup	STAllPlayersC::UnRegisterGroup	STAllPlayersC	UnRegisterGroup	__thiscall	0042F165: MOV EDX,dword ptr [ECX*0x2 + 0x7f4e25]	E:\\__titans\\wlad\\to_allpl.cpp		medium	unique_method_and_source
