function_address	function	parameter_ordinal	parameter_name	current_type	direct_call_sites	byte_reads	byte_writes	bulk_transports	wide_dereferences	escapes	complete	apply	status	evidence
00413170	FUN_00413170	4	param_5	pointer:/undefined4	1	0	0	0	2	0	1	0	mixed_or_wide_pointee	complete mutable byte-buffer machine proof: direct_calls=1, byte_reads=0, byte_writes=0, rep_movs_transports=0, wide_dereferences=2, escapes=0; byte_read_sites=-; byte_write_sites=-; wide_sites=0041317C MOV EBX,dword ptr [EAX] operand=DWORD PTR [EAX] width=4 | 00413627 MOV dword ptr [EDX],EBX operand=DWORD PTR [EDX] width=4
00413AF0	FUN_00413af0	0	param_1	pointer:/void	0	1	0	0	44	0	1	0	mixed_or_wide_pointee	complete mutable byte-buffer machine proof: direct_calls=0, byte_reads=1, byte_writes=0, rep_movs_transports=0, wide_dereferences=44, escapes=0; byte_read_sites=004143D4 TEST byte ptr [EBX + 0x49],0x1; byte_write_sites=-; wide_sites=00413B73 MOV AX,word ptr [EBX + 0x27] operand=WORD PTR [EBX + 0X27] width=2 | 00413C2E MOV CX,word ptr [EBX + 0x27] operand=WORD PTR [EBX + 0X27] width=2 | 00413C3E MOV EDX,dword ptr [EBX + 0x29] operand=DWORD PTR [EBX + 0X29] width=4 | 00413C56 MOV ECX,dword ptr [EBX + 0x29] operand=DWORD PTR [EBX + 0X29] width=4 | 00413D7C MOV AX,word ptr [EBX + 0x27] operand=WORD PTR [EBX + 0X27] width=2 | 00413DB1 MOV EAX,dword ptr [EBX + 0x4d] operand=DWORD PTR [EBX + 0X4D] width=4 | 00413DCB CMP word ptr [EBX + 0x27],SI operand=WORD PTR [EBX + 0X27] width=2 | 00413F98 MOV CX,word ptr [EBX + 0x27] operand=WORD PTR [EBX + 0X27] width=2 | ... +36
00415ED0	STJellyGunC::sub_00415ED0	1	param_1	pointer:/undefined4	0	0	0	0	3	0	1	0	mixed_or_wide_pointee	complete mutable byte-buffer machine proof: direct_calls=0, byte_reads=0, byte_writes=0, rep_movs_transports=0, wide_dereferences=3, escapes=0; byte_read_sites=-; byte_write_sites=-; wide_sites=00415F47 MOV dword ptr [ECX],0x1 operand=DWORD PTR [ECX] width=4 | 004160DD MOV dword ptr [EDX],0x1 operand=DWORD PTR [EDX] width=4 | 004160E8 MOV dword ptr [EAX],0x0 operand=DWORD PTR [EAX] width=4
00416840	FUN_00416840	1	param_1	pointer:/undefined2	0	0	0	0	1	0	1	0	mixed_or_wide_pointee	complete mutable byte-buffer machine proof: direct_calls=0, byte_reads=0, byte_writes=0, rep_movs_transports=0, wide_dereferences=1, escapes=0; byte_read_sites=-; byte_write_sites=-; wide_sites=00416856 MOV word ptr [EDX],AX operand=WORD PTR [EDX] width=2
00416840	FUN_00416840	2	param_2	pointer:/undefined2	0	0	0	0	1	0	1	0	mixed_or_wide_pointee	complete mutable byte-buffer machine proof: direct_calls=0, byte_reads=0, byte_writes=0, rep_movs_transports=0, wide_dereferences=1, escapes=0; byte_read_sites=-; byte_write_sites=-; wide_sites=0041686D MOV word ptr [EDX],AX operand=WORD PTR [EDX] width=2
00416840	FUN_00416840	3	param_3	pointer:/undefined2	0	0	0	0	1	0	1	0	mixed_or_wide_pointee	complete mutable byte-buffer machine proof: direct_calls=0, byte_reads=0, byte_writes=0, rep_movs_transports=0, wide_dereferences=1, escapes=0; byte_read_sites=-; byte_write_sites=-; wide_sites=00416884 MOV word ptr [EAX],DX operand=WORD PTR [EAX] width=2
0041AB60	FUN_0041ab60	0	param_1	pointer:/undefined4	0	0	0	0	2	0	1	0	mixed_or_wide_pointee	complete mutable byte-buffer machine proof: direct_calls=0, byte_reads=0, byte_writes=0, rep_movs_transports=0, wide_dereferences=2, escapes=0; byte_read_sites=-; byte_write_sites=-; wide_sites=0041AB6E STOSD.REP ES:EDI string_width=4 | 0041AB70 STOSW ES:EDI string_width=2
0041AB90	FUN_0041ab90	0	param_1	pointer:/undefined4	0	0	0	0	1	0	1	0	mixed_or_wide_pointee	complete mutable byte-buffer machine proof: direct_calls=0, byte_reads=0, byte_writes=0, rep_movs_transports=0, wide_dereferences=1, escapes=0; byte_read_sites=-; byte_write_sites=-; wide_sites=0041AB9E STOSD.REP ES:EDI string_width=4
0041AC90	FUN_0041ac90	0	param_1	pointer:/undefined4	0	0	1	0	1	0	1	0	mixed_or_wide_pointee	complete mutable byte-buffer machine proof: direct_calls=0, byte_reads=0, byte_writes=1, rep_movs_transports=0, wide_dereferences=1, escapes=0; byte_read_sites=-; byte_write_sites=0041ACA0 STOSB ES:EDI; wide_sites=0041AC9E STOSD.REP ES:EDI string_width=4
0041ACC0	FUN_0041acc0	0	param_1	pointer:/undefined4	0	0	0	0	4	0	1	0	mixed_or_wide_pointee	complete mutable byte-buffer machine proof: direct_calls=0, byte_reads=0, byte_writes=0, rep_movs_transports=0, wide_dereferences=4, escapes=0; byte_read_sites=-; byte_write_sites=-; wide_sites=0041ACC8 MOV dword ptr [ECX],EAX operand=DWORD PTR [ECX] width=4 | 0041ACCA MOV dword ptr [ECX + 0x4],EAX operand=DWORD PTR [ECX + 0X4] width=4 | 0041ACCD MOV dword ptr [ECX + 0x8],EAX operand=DWORD PTR [ECX + 0X8] width=4 | 0041ACD0 MOV dword ptr [ECX + 0xc],EAX operand=DWORD PTR [ECX + 0XC] width=4
