caller_address	caller	call_site	direct_address	direct_function	resolved_address	resolved_function	thunk_chain	observed_stack_args	expected_stack_args	stack_arguments	register_arguments	status
0040AE40	STGroupBoatC::sub_0040AE40	0040AE53	0040286F	STGroupBoatC::sub_00423E70	00423E70	STGroupBoatC::sub_00423E70	0040286F STGroupBoatC::sub_00423E70 -> 00423E70 STGroupBoatC::sub_00423E70	4	1	p1=/uint (STGroupBoatC::sub_0040AE40 parameter param_1)		exact_callee_purge_suffix
0040AE40	STGroupBoatC::sub_0040AE40	0040AE6E	006AB060	FreeAndNull	006AB060	FreeAndNull	006AB060 FreeAndNull	1	1	p0=unknown		exact_address_match
0040AE40	STGroupBoatC::sub_0040AE40	0040AF40	006AADD0	FUN_006aadd0	006AADD0	FUN_006aadd0	006AADD0 FUN_006aadd0	6	6	p0=/int, source=/short, sign-extended/2 (MOVSX at 0040AF31 establishes signed source width 2) | p1=/int, source=/short, sign-extended/2 (MOVSX at 0040AF36 establishes signed source width 2) | p2=/int, source=/short, sign-extended/2 (MOVSX at 0040AF3A establishes signed source width 2) | p3=unknown | p4=unknown | p5=unknown		exact_address_match
0040AE40	STGroupBoatC::sub_0040AE40	0040AF7E	0072D7F0	Library::MSVCRT::__setjmp3	0072D7F0	Library::MSVCRT::__setjmp3	0072D7F0 Library::MSVCRT::__setjmp3	2	2	p0=unknown | p1=/uint (literal 0 at 0040AF68)		exact_address_match
0040AE40	STGroupBoatC::sub_0040AE40	0040AFED	006AAC70	Library::DKW::LIB::MemAlloc	006AAC70	Library::DKW::LIB::MemAlloc	006AAC70 Library::DKW::LIB::MemAlloc	1	1	p0=/uint (literal 144 at 0040AFE8)		exact_address_match
0040AE40	STGroupBoatC::sub_0040AE40	0040B0E7	004044AD	thunk_FUN_00497920	00497920	FUN_00497920	004044AD thunk_FUN_00497920 -> 00497920 FUN_00497920	4	4	p0=unknown | p1=unknown | p2=/int, source=/short, sign-extended/2 (MOVSX at 0040B0D9 establishes signed source width 2) | p3=unknown		exact_address_match
0040AE40	STGroupBoatC::sub_0040AE40	0040B147	004044AD	thunk_FUN_00497920	00497920	FUN_00497920	004044AD thunk_FUN_00497920 -> 00497920 FUN_00497920	4	4	p0=unknown | p1=/int, source=/short, sign-extended/2 (MOVSX at 0040B141 establishes signed source width 2) | p2=unknown | p3=unknown		exact_address_match
0040AE40	STGroupBoatC::sub_0040AE40	0040B1B4	004044AD	thunk_FUN_00497920	00497920	FUN_00497920	004044AD thunk_FUN_00497920 -> 00497920 FUN_00497920	2	4	p0=unknown | p1=unknown | p2=untracked | p3=untracked		cfg_stack_state_incomplete
0040AE40	STGroupBoatC::sub_0040AE40	0040B210	004044AD	thunk_FUN_00497920	00497920	FUN_00497920	004044AD thunk_FUN_00497920 -> 00497920 FUN_00497920	4	4	p0=unknown | p1=unknown | p2=unknown | p3=unknown		exact_address_match
0040AE40	STGroupBoatC::sub_0040AE40	0040B297	004044AD	thunk_FUN_00497920	00497920	FUN_00497920	004044AD thunk_FUN_00497920 -> 00497920 FUN_00497920	4	4	p0=unknown | p1=unknown | p2=unknown | p3=unknown		exact_address_match
0040AE40	STGroupBoatC::sub_0040AE40	0040B2F6	004044AD	thunk_FUN_00497920	00497920	FUN_00497920	004044AD thunk_FUN_00497920 -> 00497920 FUN_00497920	4	4	p0=unknown | p1=unknown | p2=/int, source=/short, sign-extended/2 (MOVSX at 0040B2E9 establishes signed source width 2) | p3=unknown		exact_address_match
0040AE40	STGroupBoatC::sub_0040AE40	0040B359	004044AD	thunk_FUN_00497920	00497920	FUN_00497920	004044AD thunk_FUN_00497920 -> 00497920 FUN_00497920	4	4	p0=unknown | p1=unknown | p2=unknown | p3=unknown		exact_address_match
0040AE40	STGroupBoatC::sub_0040AE40	0040B3BA	004044AD	thunk_FUN_00497920	00497920	FUN_00497920	004044AD thunk_FUN_00497920 -> 00497920 FUN_00497920	4	4	p0=unknown | p1=/int, source=/short, sign-extended/2 (MOVSX at 0040B3B4 establishes signed source width 2) | p2=unknown | p3=unknown		exact_address_match
0040AE40	STGroupBoatC::sub_0040AE40	0040B419	004044AD	thunk_FUN_00497920	00497920	FUN_00497920	004044AD thunk_FUN_00497920 -> 00497920 FUN_00497920	4	4	p0=unknown | p1=unknown | p2=unknown | p3=unknown		exact_address_match
0040AE40	STGroupBoatC::sub_0040AE40	0040B470	004044AD	thunk_FUN_00497920	00497920	FUN_00497920	004044AD thunk_FUN_00497920 -> 00497920 FUN_00497920	4	4	p0=unknown | p1=/int, source=/short, sign-extended/2 (MOVSX at 0040B468 establishes signed source width 2) | p2=unknown | p3=unknown		exact_address_match
0040AE40	STGroupBoatC::sub_0040AE40	0040B48E	006AAC70	Library::DKW::LIB::MemAlloc	006AAC70	Library::DKW::LIB::MemAlloc	006AAC70 Library::DKW::LIB::MemAlloc	1	1	p0=/uint (literal 144 at 0040B489)		exact_address_match
0040AE40	STGroupBoatC::sub_0040AE40	0040B59C	006A62E0	FUN_006a62e0	006A62E0	FUN_006a62e0	006A62E0 FUN_006a62e0	6	6	p0=/int, source=/short, sign-extended/2 (MOVSX at 0040B595 establishes signed source width 2) | p1=/int, source=/short, sign-extended/2 (MOVSX at 0040B591 establishes signed source width 2) | p2=/int, source=/short, sign-extended/2 (MOVSX at 0040B58B establishes signed source width 2) | p3=unknown | p4=unknown | p5=unknown		exact_address_match
0040AE40	STGroupBoatC::sub_0040AE40	0040B5AC	006AAC10	Library::DKW::LIB::MemAllocClear	006AAC10	Library::DKW::LIB::MemAllocClear	006AAC10 Library::DKW::LIB::MemAllocClear	1	1	p0=/uint (literal 686 at 0040B5A1)		exact_address_match
0040AE40	STGroupBoatC::sub_0040AE40	0040B6C8	004044AD	thunk_FUN_00497920	00497920	FUN_00497920	004044AD thunk_FUN_00497920 -> 00497920 FUN_00497920	4	4	p0=unknown | p1=unknown | p2=unknown | p3=unknown		exact_address_match
0040AE40	STGroupBoatC::sub_0040AE40	0040B72B	006AB060	FreeAndNull	006AB060	FreeAndNull	006AB060 FreeAndNull	1	1	p0=unknown		exact_address_match
0040AE40	STGroupBoatC::sub_0040AE40	0040B7A1	006A9190	Library::DKW::WAY::FUN_006a9190	006A9190	Library::DKW::WAY::FUN_006a9190	006A9190 Library::DKW::WAY::FUN_006a9190	15	15	p0=/SubmarineTitans/Recovered/GlobalRecords/STPathingGrid16 (data at 007FB278) | p1=/int, source=/SubmarineTitans/Recovered/GlobalRecords/STPathingGrid16, sign-extended/2 (data at 007FB278; MOVSX at 0040B791 establishes signed source width 2) | p2=/int, source=/SubmarineTitans/Recovered/GlobalRecords/STPathingGrid16, sign-extended/2 (data at 007FB278; MOVSX at 0040B788 establishes signed source width 2) | p3=/int, source=/SubmarineTitans/Recovered/GlobalRecords/STPathingGrid16, sign-extended/2 (data at 007FB278; MOVSX at 0040B781 establishes signed source width 2) | p4=/short, source=/short, sign-extended/2 (MOVSX at 0040B77B establishes signed source width 2) | p5=/short, source=/short, sign-extended/2 (MOVSX at 0040B777 establishes signed source width 2) | p6=/short, source=/short, sign-extended/2 (MOVSX at 0040B771 establishes signed source width 2) | p7=unknown | p8=unknown | p9=unknown | p10=unknown | p11=unknown | p12=unknown | p13=unknown | p14=unknown		exact_address_match
0040AE40	STGroupBoatC::sub_0040AE40	0040B7D5	006AAC70	Library::DKW::LIB::MemAlloc	006AAC70	Library::DKW::LIB::MemAlloc	006AAC70 Library::DKW::LIB::MemAlloc	1	1	p0=unknown		exact_address_match
0040AE40	STGroupBoatC::sub_0040AE40	0040B92D	006A8270	Library::DKW::WAY::FUN_006a8270	006A8270	Library::DKW::WAY::FUN_006a8270	006A8270 Library::DKW::WAY::FUN_006a8270	13	13	p0=unknown | p1=/int, source=/SubmarineTitans/Recovered/GlobalRecords/STPathingGrid16, sign-extended/2 (data at 007FB278; MOVSX at 0040B91F establishes signed source width 2) | p2=/int, source=/SubmarineTitans/Recovered/GlobalRecords/STPathingGrid16, sign-extended/2 (data at 007FB278; MOVSX at 0040B918 establishes signed source width 2) | p3=/SubmarineTitans/Recovered/GlobalRecords/STPathingGrid16, source=/SubmarineTitans/Recovered/GlobalRecords/STPathingGrid16, sign-extended/2 (data at 007FB278; MOVSX at 0040B90F establishes signed source width 2) | p4=/short, source=/short, sign-extended/2 (MOVSX at 0040B90B establishes signed source width 2) | p5=/short, source=/short, sign-extended/2 (MOVSX at 0040B905 establishes signed source width 2) | p6=/short, source=/short, sign-extended/2 (MOVSX at 0040B901 establishes signed source width 2) | p7=unknown | p8=unknown | p9=unknown | p10=unknown | p11=unknown | p12=unknown		exact_address_match
0040AE40	STGroupBoatC::sub_0040AE40	0040B93C	006AB060	FreeAndNull	006AB060	FreeAndNull	006AB060 FreeAndNull	1	1	p0=unknown		exact_address_match
0040AE40	STGroupBoatC::sub_0040AE40	0040B950	006A5E90	FUN_006a5e90	006A5E90	FUN_006a5e90	006A5E90 FUN_006a5e90	1	1	p0=unknown		exact_address_match
