type_apply	name_apply	repair	protected_override	function_address	expected_function	target_kind	target_ordinal	expected_target_name	expected_target_type	expected_target_source	proposed_name	proposed_type	confidence	evidence_sites	reason
0	0	0	0	00413170	FUN_00413170	parameter	4	param_5	pointer:/undefined4	DEFAULT		pointer:/int	review	00413050 -> 00413170 @ 004130DD; address of FUN_00413050 parameter param_1	type_evidence={pointer:/int=1}; name_evidence={}; strong_evidence=0
0	0	0	0	00419CF0	TLOEmbryoTy::sub_00419CF0	parameter	1	param_2	/undefined4	DEFAULT		/uint	review	004B9FA0 -> 00419CF0 @ 004BACBB; unproven partial register write at 004BACB4	type_evidence={/uint=1}; name_evidence={}; strong_evidence=0
0	0	0	0	00423300	FUN_00423300	return		<RETURN>	/int	ANALYSIS		pointer:/AiFltClassTy	review	00423300 returns used as this of AiFltClassTy::GetAiMess @ 00657BB1 | 00423300 returns used as this of AiFltClassTy::GetAiMess @ 00658CE4 | 00423300 returns used as this of AiFltClassTy::GetAiMess @ 0065935D	type_evidence={pointer:/AiFltClassTy=3}; name_evidence={}; strong_evidence=3; machine_abi_target_preserved
0	0	0	0	004354E0	STAllPlayersC::ReplaceObject	parameter	2	param_2	/undefined4	DEFAULT		/uint	review	004D32C0 -> 004354E0 @ 004D3986; unproven partial register write at 004D3972	type_evidence={/uint=1}; name_evidence={}; strong_evidence=0
0	0	0	0	004354E0	STAllPlayersC::ReplaceObject	parameter	3	param_3	/undefined4	DEFAULT		/uint	review	004D32C0 -> 004354E0 @ 004D3986; unproven partial register write at 004D3976	type_evidence={/uint=1}; name_evidence={}; strong_evidence=0
0	0	0	0	00435930	STAllPlayersC::GetCursorType	parameter	1	param_1	/undefined4	DEFAULT		/SubmarineTitans/Recovered/Enums/Global_sub_00435B90_param_3Enum	review	00435930 -> 00435B90 @ 00435B00	type_evidence={/SubmarineTitans/Recovered/Enums/Global_sub_00435B90_param_3Enum=1}; name_evidence={}; strong_evidence=0
0	0	0	0	004407A0	FUN_004407a0	parameter	1	param_2	/undefined4	DEFAULT		/uint	review	004945C0 -> 004407A0 @ 004947A6; unproven partial register write at 0049479A	type_evidence={/uint=1}; name_evidence={}; strong_evidence=0
0	0	0	0	004407A0	FUN_004407a0	parameter	2	param_3	/undefined4	DEFAULT		/uint	review	004945C0 -> 004407A0 @ 004947A6; unproven partial register write at 00494796	type_evidence={/uint=1}; name_evidence={}; strong_evidence=0
0	0	0	0	00488D10	STBoatC::vfunc_4C	parameter	1	param_1	pointer:/undefined4	DEFAULT		pointer:/SubmarineTitans/Recovered/Enums/STBoatC_field_06F7State	review	00488D34 exact 4-byte output store from /STBoatC+0x6f7	type_evidence={pointer:/SubmarineTitans/Recovered/Enums/STBoatC_field_06F7State=1}; name_evidence={}; strong_evidence=1; offset_zero_scalar_store_is_part_of_larger_output_aggregate
0	0	0	0	00492550	FUN_00492550	parameter	4	param_4	pointer:/undefined2	DEFAULT		pointer:/short	review	004758E0 -> 00492550 @ 00475A1D; /STBoatC+0x5d0	type_evidence={pointer:/short=1}; name_evidence={}; strong_evidence=0
0	0	0	0	00492550	FUN_00492550	parameter	5	param_5	pointer:/undefined2	DEFAULT		pointer:/short	review	004758E0 -> 00492550 @ 00475A1D; /STBoatC+0x5d2	type_evidence={pointer:/short=1}; name_evidence={}; strong_evidence=0
0	0	0	0	004AF080	FUN_004af080	parameter	7	param_8	/undefined4	DEFAULT		/int	review	004B0D10 -> 004AF080 @ 004B0E36; FUN_004b0d10 parameter param_8	type_evidence={/int=1}; name_evidence={}; strong_evidence=0
0	0	0	0	004AF080	FUN_004af080	parameter	8	param_9	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredRecord_004AF080_5D31BF96	DEFAULT		pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredRecord_004B0D10_23CAA7D2	review	004B0D10 -> 004AF080 @ 004B0E36; FUN_004b0d10 parameter param_9	type_evidence={pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredRecord_004B0D10_23CAA7D2=1}; name_evidence={}; strong_evidence=1; offset_zero_scalar_store_is_part_of_larger_output_aggregate
