type_apply	name_apply	repair	function_address	expected_function	target_kind	target_ordinal	expected_target_name	expected_target_type	expected_target_source	proposed_name	proposed_type	confidence	evidence_sites	reason
1	0	1	0068CEC0	FUN_0068cec0	parameter	0	lpFileName	pointer:/byte	ANALYSIS	lpFileName	/winnt.h/LPCSTR	high	0068CEC0 -> EXTERNAL:0000001F @ 0068D116	type_evidence={/winnt.h/LPCSTR=1}; name_evidence={lpFileName=1}; strong_evidence=1; script_target_repair
0	0	1	0068FC70	FUN_0068fc70	parameter	1	aiMess	/int	ANALYSIS		pointer:/uint	review	0068FC70 -> 00662240 @ 0068FCB8	type_evidence={pointer:/uint=1}; name_evidence={}; strong_evidence=0; script_target_repair
0	0	1	006BBE40	FUN_006bbe40	parameter	1	param_2	pointer:/uint	DEFAULT		/int	review	006EB4B0 -> 006BBE40 @ 006EB4E2	type_evidence={/int=1}; name_evidence={}; strong_evidence=0; script_target_repair
1	0	1	006CEF60	FUN_006cef60	parameter	2	param_3	pointer:/int	DEFAULT		/int	high	006CEF60 -> 006D3300 @ 006CF376 | 006CEF60 -> 006DA080 @ 006CF4D7	type_evidence={/int=2}; name_evidence={}; strong_evidence=0; script_target_repair
1	0	1	00725910	FUN_00725910	parameter	0	hFindFile	pointer:/char	ANALYSIS	hFindFile	/winnt.h/HANDLE	high	00725910 -> EXTERNAL:00000072 @ 00725B18 | 00725910 -> EXTERNAL:00000072 @ 00725C0F	type_evidence={/winnt.h/HANDLE=2}; name_evidence={hFindFile=2}; strong_evidence=2; script_target_repair
1	0	1	0074868B	FUN_0074868b	parameter	1	lpCriticalSection	pointer:/int	ANALYSIS	lpCriticalSection	/winbase.h/LPCRITICAL_SECTION	high	0074868B -> EXTERNAL:00000019 @ 007486CE	type_evidence={/winbase.h/LPCRITICAL_SECTION=1}; name_evidence={lpCriticalSection=1}; strong_evidence=1; script_target_repair
1	0	1	00749106	FUN_00749106	parameter	1	lpCriticalSection	pointer:/undefined4	ANALYSIS	lpCriticalSection	/winbase.h/LPCRITICAL_SECTION	high	00749106 -> EXTERNAL:00000019 @ 0074914E | 00749106 -> EXTERNAL:00000019 @ 00749164 | 00749106 -> EXTERNAL:00000019 @ 0074917C | 00749106 -> EXTERNAL:00000019 @ 007491B4	type_evidence={/winbase.h/LPCRITICAL_SECTION=4}; name_evidence={lpCriticalSection=4}; strong_evidence=4; script_target_repair
1	0	1	007494D1	FUN_007494d1	parameter	2	lpCriticalSection	pointer:/undefined4	ANALYSIS	lpCriticalSection	/winbase.h/LPCRITICAL_SECTION	high	007494D1 -> EXTERNAL:00000019 @ 00749535 | 007494D1 -> EXTERNAL:00000019 @ 0074954D | 007494D1 -> EXTERNAL:00000019 @ 007495A0 | 007494D1 -> EXTERNAL:00000019 @ 007495AD	type_evidence={/winbase.h/LPCRITICAL_SECTION=4}; name_evidence={lpCriticalSection=4}; strong_evidence=4; script_target_repair
1	0	1	00749F88	FUN_00749f88	parameter	0	lpCriticalSection	pointer:/int	ANALYSIS	lpCriticalSection	/winbase.h/LPCRITICAL_SECTION	high	00749F88 -> EXTERNAL:00000019 @ 00749FFB | 00749F88 -> EXTERNAL:00000019 @ 0074A048	type_evidence={/winbase.h/LPCRITICAL_SECTION=2}; name_evidence={lpCriticalSection=2}; strong_evidence=2; script_target_repair
1	0	1	0074B5E6	FUN_0074b5e6	parameter	2	lpCriticalSection	pointer:/int	ANALYSIS	lpCriticalSection	/winbase.h/LPCRITICAL_SECTION	high	0074B5E6 -> EXTERNAL:00000019 @ 0074B659	type_evidence={/winbase.h/LPCRITICAL_SECTION=1}; name_evidence={lpCriticalSection=1}; strong_evidence=1; script_target_repair
