function_address	function	target_kind	target_ordinal	target_name	current_type	storage	source	candidate_type	strong_evidence	candidate_sites	status	type_evidence	evidence_sites
0040100A	STAllPlayersC::DistributeGuardBoats	return		<RETURN>	/undefined	<UNASSIGNED>	DEFAULT		0	0	no_evidence		-
0040100F	MTaskTy::NoneMTask	return		<RETURN>	/undefined	<UNASSIGNED>	DEFAULT		0	0	no_evidence		-
00401019	CPanelTy::Update2PanelWB	return		<RETURN>	/undefined	<UNASSIGNED>	DEFAULT		0	0	no_evidence		-
0040101E	thunk_FUN_004df8f0	return		<RETURN>	/undefined4	EAX:4	DEFAULT		0	0	no_evidence		-
00401028	STAllPlayersC::DeleteGuardBoat	return		<RETURN>	/undefined	<UNASSIGNED>	DEFAULT		0	0	no_evidence		-
0040102D	thunk_FUN_00680710	parameter	1	param_2	/undefined4	Stack[0x8]:4	DEFAULT		0	0	no_evidence		-
00401032	FSGSTy::OutLadProc	return		<RETURN>	/undefined	<UNASSIGNED>	DEFAULT		0	0	no_evidence		-
0040103C	thunk_FUN_00590130	parameter	1	param_1	/undefined4	Stack[0x4]:4	DEFAULT		0	0	no_evidence		-
0040103C	thunk_FUN_00590130	return		<RETURN>	/undefined	<UNASSIGNED>	DEFAULT		0	0	no_evidence		-
00401046	STLightC::sub_0061D6D0	return		<RETURN>	/undefined	<UNASSIGNED>	DEFAULT		0	0	no_evidence		-
0040104B	thunk_FUN_005797b0	return		<RETURN>	/undefined4	EAX:4	DEFAULT		0	0	no_evidence		-
0040105A	thunk_FUN_00627850	parameter	0	param_1	/undefined4	Stack[0x4]:4	DEFAULT		0	0	no_evidence		-
0040105A	thunk_FUN_00627850	parameter	1	param_2	/undefined4	Stack[0x8]:4	DEFAULT		0	0	no_evidence		-
0040105A	thunk_FUN_00627850	parameter	2	param_3	/undefined4	Stack[0xc]:4	DEFAULT		0	0	no_evidence		-
0040105A	thunk_FUN_00627850	parameter	3	param_4	/undefined4	Stack[0x10]:4	DEFAULT		0	0	no_evidence		-
0040105A	thunk_FUN_00627850	parameter	7	param_8	/undefined4	Stack[0x20]:4	DEFAULT		0	0	no_evidence		-
0040105A	thunk_FUN_00627850	parameter	9	param_10	/undefined4	Stack[0x28]:4	DEFAULT		0	0	no_evidence		-
0040105A	thunk_FUN_00627850	return		<RETURN>	/undefined	<UNASSIGNED>	DEFAULT		0	0	no_evidence		-
00401064	STT3DSprC::SetCurFase	return		<RETURN>	/undefined4	EAX:4	DEFAULT		0	0	no_evidence		-
00401069	thunk_FUN_00683280	return		<RETURN>	/undefined	<UNASSIGNED>	DEFAULT		0	0	no_evidence		-
