function_address	function	family	storage_local_parameter	conflicting_value_domains	machine_definitions	consumers	selected_fix	reason	status	pcode_anchor_verified	call_boundary_verified
0040AE40	STGroupBoatC::sub_0040AE40	local_lifetime	local_2c/mg0	pointer(pointer:/short) -> scalar(/int)	0040B92D:t1824 call_argument operand=0 target=006A8270	DEFAULT; direct=006A8270	unattachable High lifetime is represented by the exact address-stable per-use boundary 0040B92D:t1824|006A8270|0	exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol; complete CALL-operand scan records an address-local source view only	neutralized	1	1
0040AE40		unattachable_call_argument_lifetime	generated per-use lifetime	anchors=0040B92D:t1824; target=006A8270; operand=0; locals=local_2c; transition=pointer:/short -> /int	verified by the matching Ghidra analyzer/export evidence	source audit kind=exact_machine_lifetime_call_view	exact source-only lifetime/view; Program ABI unchanged	Ghidra cannot persist this split without merging unrelated machine lifetimes	neutralized	1	1
0040BC90	STGroupBoatC::sub_0040BC90	local_lifetime	local_8/mg0	pointer(pointer:/short) -> scalar(/int)	0040BEC9:t858 call_argument operand=0 target=006A9190	DEFAULT; direct=006A9190	unattachable High lifetime is represented by the exact address-stable per-use boundary 0040BEC9:t858|006A9190|0	exact call-boundary type is proven, but no same-width transparent p-code path reattaches that argument to one persistent HighSymbol; complete CALL-operand scan records an address-local source view only	neutralized	1	1
0040BC90		unattachable_call_argument_lifetime	generated per-use lifetime	anchors=0040BEC9:t858; target=006A9190; operand=0; locals=local_8; transition=pointer:/short -> /int	verified by the matching Ghidra analyzer/export evidence	source audit kind=exact_machine_lifetime_call_view	exact source-only lifetime/view; Program ABI unchanged	Ghidra cannot persist this split without merging unrelated machine lifetimes	neutralized	1	1
0040EB90	FUN_0040eb90	local_lifetime	uVar12/mg0	scalar(/uint) -> scalar(/int)	0040EFC8:t1702 signed_scalar_role operand=-1 target=	INT_SRIGHT	retain neutral or current storage; require an exact per-use view	separate decompiler merge group; exact_type_votes=1; score=4; sources=[scalar_arithmetic]; one-way call conversion alone is review-only	review	1	1
0040EB90	FUN_0040eb90	local_lifetime	uVar12/mg1	scalar(/uint) -> scalar(/int)	0040EEC4:t1309 signed_scalar_role operand=-1 target=	INT_SRIGHT	retain neutral or current storage; require an exact per-use view	separate decompiler merge group; exact_type_votes=1; score=4; sources=[scalar_arithmetic]; one-way call conversion alone is review-only	review	1	1
0040F840	FUN_0040f840	local_lifetime	uVar8/mg1	scalar(/uint) -> scalar(/int)	0040FA9B:t1052 signed_scalar_role operand=-1 target=	INT_SRIGHT	retain neutral or current storage; require an exact per-use view	separate decompiler merge group; exact_type_votes=1; score=4; sources=[scalar_arithmetic]; one-way call conversion alone is review-only	review	1	1
0040F840	FUN_0040f840	local_lifetime	uVar9/mg1	scalar(/uint) -> scalar(/int)	0040FAB4:t1118 signed_scalar_role operand=-1 target=	INT_SRIGHT	retain neutral or current storage; require an exact per-use view	separate decompiler merge group; exact_type_votes=1; score=4; sources=[scalar_arithmetic]; one-way call conversion alone is review-only	review	1	1
00413AF0	FUN_00413af0	local_lifetime	uVar18/mg1	scalar(/uint) -> unknown	00413BAF:t226 signed_scalar_role operand=-1 target=	INT_SRIGHT	retain neutral or current storage; require an exact per-use view	incompatible exact lifetime types=[/int, /uint]	review	1	1
00414A70	FUN_00414a70	local_lifetime	uVar8/mg0	scalar(/uint) -> scalar(/int)	00414D75:t1721 signed_scalar_role operand=-1 target=	INT_SRIGHT	retain neutral or current storage; require an exact per-use view	separate decompiler merge group; exact_type_votes=1; score=4; sources=[scalar_arithmetic]; one-way call conversion alone is review-only	review	1	1
00414A70	FUN_00414a70	local_lifetime	uVar8/mg1	scalar(/uint) -> scalar(/int)	00414E20:t1646 signed_scalar_role operand=-1 target=	INT_SRIGHT	retain neutral or current storage; require an exact per-use view	separate decompiler merge group; exact_type_votes=1; score=4; sources=[scalar_arithmetic]; one-way call conversion alone is review-only	review	1	1
00416400	FUN_00416400	local_lifetime	uVar7/mg0	scalar(/uint) -> scalar(/int)	0041650E:t378 signed_scalar_role operand=-1 target=	INT_SRIGHT	retain neutral or current storage; require an exact per-use view	separate decompiler merge group; exact_type_votes=1; score=4; sources=[scalar_arithmetic]; one-way call conversion alone is review-only	review	1	1
00416400	FUN_00416400	local_lifetime	uVar7/mg1	scalar(/uint) -> scalar(/int)	00416522:t417 signed_scalar_role operand=-1 target=	INT_SRIGHT	retain neutral or current storage; require an exact per-use view	separate decompiler merge group; exact_type_votes=1; score=4; sources=[scalar_arithmetic]; one-way call conversion alone is review-only	review	1	1
00416400	FUN_00416400	local_lifetime	uVar7/mg2	scalar(/uint) -> scalar(/int)	00416533:t453 signed_scalar_role operand=-1 target=	INT_SRIGHT	retain neutral or current storage; require an exact per-use view	separate decompiler merge group; exact_type_votes=1; score=4; sources=[scalar_arithmetic]; one-way call conversion alone is review-only	review	1	1
00418030	SubmarineTitans::Recovered::HiddenThis::RecoveredReceiver_004167A0::FUN_00418030	local_lifetime	uVar11/mg0	scalar(/uint) -> scalar(/int)	004180B2:t162 signed_scalar_role operand=-1 target=	INT_SRIGHT	retain neutral or current storage; require an exact per-use view	separate decompiler merge group; exact_type_votes=1; score=4; sources=[scalar_arithmetic]; one-way call conversion alone is review-only	review	1	1
00418030	SubmarineTitans::Recovered::HiddenThis::RecoveredReceiver_004167A0::FUN_00418030	local_lifetime	uVar11/mg1	scalar(/uint) -> scalar(/int)	004180CC:t210 signed_scalar_role operand=-1 target=	INT_SRIGHT	retain neutral or current storage; require an exact per-use view	separate decompiler merge group; exact_type_votes=1; score=4; sources=[scalar_arithmetic]; one-way call conversion alone is review-only	review	1	1
00418030	SubmarineTitans::Recovered::HiddenThis::RecoveredReceiver_004167A0::FUN_00418030	local_lifetime	uVar11/mg2	scalar(/uint) -> scalar(/int)	004180E6:t258 signed_scalar_role operand=-1 target=	INT_SRIGHT	retain neutral or current storage; require an exact per-use view	separate decompiler merge group; exact_type_votes=1; score=4; sources=[scalar_arithmetic]; one-way call conversion alone is review-only	review	1	1
00418030	SubmarineTitans::Recovered::HiddenThis::RecoveredReceiver_004167A0::FUN_00418030	local_lifetime	uVar11/mg3	scalar(/uint) -> scalar(/int)	0041868A:t626 signed_scalar_role operand=-1 target=	INT_SRIGHT	retain neutral or current storage; require an exact per-use view	separate decompiler merge group; exact_type_votes=1; score=4; sources=[scalar_arithmetic]; one-way call conversion alone is review-only	review	1	1
00418030	SubmarineTitans::Recovered::HiddenThis::RecoveredReceiver_004167A0::FUN_00418030	local_lifetime	uVar11/mg4	scalar(/uint) -> scalar(/int)	004186A9:t680 signed_scalar_role operand=-1 target=	INT_SRIGHT	retain neutral or current storage; require an exact per-use view	separate decompiler merge group; exact_type_votes=1; score=4; sources=[scalar_arithmetic]; one-way call conversion alone is review-only	review	1	1
00418030	SubmarineTitans::Recovered::HiddenThis::RecoveredReceiver_004167A0::FUN_00418030	local_lifetime	uVar11/mg5	scalar(/uint) -> scalar(/int)	004186BA:t716 signed_scalar_role operand=-1 target=	INT_SRIGHT	retain neutral or current storage; require an exact per-use view	separate decompiler merge group; exact_type_votes=1; score=4; sources=[scalar_arithmetic]; one-way call conversion alone is review-only	review	1	1
00418D20		incoming_parameter_slot_lifetime	generated per-use lifetime	_param_4: short[2] -> int x86 stack slot	verified by the matching Ghidra analyzer/export evidence	source audit kind=promoted_parameter_slot_materialization	exact source-only lifetime/view; Program ABI unchanged	Ghidra cannot persist this split without merging unrelated machine lifetimes	neutralized	1	1
0041AF40	STGameObjC::GetMessage	local_lifetime	local_c/mg0	darray_pointer(pointer:/SubmarineTitans/Recovered/DArrayTy) -> unknown	0041B319:t1788 call_argument operand=0 target=006AE110	ANALYSIS; direct=006AE110	retain neutral or current storage; require an exact per-use view	incompatible exact lifetime types=[pointer:/SubmarineTitans/Recovered/DArrayTy, pointer:/int]	review	1	1
0041CDA0	VisibleClassTy::sub_0041CDA0	return_abi	EAX/x87 return	scalar(/undefined4) -> scalar(/bool)	all reachable callee return paths	all explicit return values are constants in {0,1}, but the source domain alone does not prove the x86 ABI return width; review STAbiConsistencyAnalyzer evidence: [1, 1, 1, 1, 0]	retain current machine-width return pending strict ABI proof	all explicit return values are constants in {0,1}, but the source domain alone does not prove the x86 ABI return width; review STAbiConsistencyAnalyzer evidence: [1, 1, 1, 1, 0]	review	1	1
0041E530	STSprGameObjC::GetMessage	local_lifetime	local_10/mg0	pointer(pointer:/STSprGameObjC) -> unknown	0041E554:t10625 typed_copy operand=0 target=	DEFAULT	retain neutral or current storage; require an exact per-use view	incompatible exact lifetime types=[pointer:/STGameObjC, pointer:/STSprGameObjC]	review	1	1
