type_path	type_name	owner	provenance	length	defined_components	usage_functions	merge_apply	rejection_reason
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_AiFltClassTy_0223	AnonPointee_AiFltClassTy_0223	AiFltClassTy+0x0223	class_field_pointee	32	2		0	anonymous geometry match only; no named semantic anchor
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_AiFltClassTy_022F	AnonPointee_AiFltClassTy_022F	AiFltClassTy+0x022F	class_field_pointee	32	2		0	anonymous geometry match only; no named semantic anchor
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_CPanelTy_01B4	AnonPointee_CPanelTy_01B4	CPanelTy+0x01B4	class_field_pointee	12	2		0	anonymous geometry match only; no named semantic anchor
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ChooseMapTy_1C7B	AnonPointee_ChooseMapTy_1C7B	ChooseMapTy+0x1C7B	class_field_pointee	12	2		0	anonymous geometry match only; no named semantic anchor
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ChooseMapTy_1C8B	AnonPointee_ChooseMapTy_1C8B	ChooseMapTy+0x1C8B	class_field_pointee	12	2		0	anonymous geometry match only; no named semantic anchor
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_FSGSTy_1A97	AnonPointee_FSGSTy_1A97	FSGSTy+0x1A97	class_field_pointee	24	4		0	anonymous geometry match only; no named semantic anchor
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_HelpPanelTy_0068	AnonPointee_HelpPanelTy_0068	HelpPanelTy+0x0068	class_field_pointee	24	4		0	anonymous geometry match only; no named semantic anchor
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_HelpPanelTy_01B3	AnonPointee_HelpPanelTy_01B3	HelpPanelTy+0x01B3	class_field_pointee	32	2		0	anonymous geometry match only; no named semantic anchor
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_HelpPanelTy_0218	AnonPointee_HelpPanelTy_0218	HelpPanelTy+0x0218	class_field_pointee	24	4		0	anonymous geometry match only; no named semantic anchor
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_MReportTy_0073	AnonPointee_MReportTy_0073	MReportTy+0x0073	class_field_pointee	12	2		0	anonymous geometry match only; no named semantic anchor
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_MReportTy_0077	AnonPointee_MReportTy_0077	MReportTy+0x0077	class_field_pointee	24	4		0	anonymous geometry match only; no named semantic anchor
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_MTaskTy_06BF	AnonPointee_MTaskTy_06BF	MTaskTy+0x06BF	class_field_pointee	24	4		0	anonymous geometry match only; no named semantic anchor
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_PlaySystemTy_0039	AnonPointee_PlaySystemTy_0039	PlaySystemTy+0x0039	class_field_pointee	24	3		0	anonymous geometry match only; no named semantic anchor
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_PrividerTy_1C8E	AnonPointee_PrividerTy_1C8E	PrividerTy+0x1C8E	class_field_pointee	12	2		0	anonymous geometry match only; no named semantic anchor
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ProdPanelTy_0000	AnonPointee_ProdPanelTy_0000	ProdPanelTy+0x0000	class_field_pointee	32	2		0	no independently proven named layout has complete compatible geometry
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ST3DSMAPContext_0280	AnonPointee_ST3DSMAPContext_0280	ST3DSMAPContext+0x0280	class_field_pointee	1101	16		0	no independently proven named layout has complete compatible geometry
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ST3DSMAPContext_0446	AnonPointee_ST3DSMAPContext_0446	ST3DSMAPContext+0x0446	class_field_pointee	13	2		0	anonymous geometry match only; no named semantic anchor
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ST3DSMAPContext_044A	AnonPointee_ST3DSMAPContext_044A	ST3DSMAPContext+0x044A	class_field_pointee	13	2		0	anonymous geometry match only; no named semantic anchor
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ST3DSMAPContext_044E	AnonPointee_ST3DSMAPContext_044E	ST3DSMAPContext+0x044E	class_field_pointee	21	6		0	no independently proven named layout has complete compatible geometry
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ST3DSMAPContext_0452	AnonPointee_ST3DSMAPContext_0452	ST3DSMAPContext+0x0452	class_field_pointee	28	6		0	no independently proven named layout has complete compatible geometry
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_018D	AnonPointee_STAllPlayersC_018D	STAllPlayersC+0x018D	class_field_pointee	16	4		0	all observed offsets fit the named layout, but partial geometry does not prove type identity; semantic_anchor=false; anonymous geometry match only; no named semantic anchor
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_0191	AnonPointee_STAllPlayersC_0191	STAllPlayersC+0x0191	class_field_pointee	16	4		0	all observed offsets fit the named layout, but partial geometry does not prove type identity; semantic_anchor=false; anonymous geometry match only; no named semantic anchor
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_0195	AnonPointee_STAllPlayersC_0195	STAllPlayersC+0x0195	class_field_pointee	20	6		0	anonymous geometry match only; no named semantic anchor
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_0199	AnonPointee_STAllPlayersC_0199	STAllPlayersC+0x0199	class_field_pointee	20	6		0	anonymous geometry match only; no named semantic anchor
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_01A5	AnonPointee_STAllPlayersC_01A5	STAllPlayersC+0x01A5	class_field_pointee	12	3		0	all observed offsets fit the named layout, but partial geometry does not prove type identity; semantic_anchor=false; anonymous geometry match only; no named semantic anchor
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_01A9	AnonPointee_STAllPlayersC_01A9	STAllPlayersC+0x01A9	class_field_pointee	12	3		0	all observed offsets fit the named layout, but partial geometry does not prove type identity; semantic_anchor=false; anonymous geometry match only; no named semantic anchor
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_01AD	AnonPointee_STAllPlayersC_01AD	STAllPlayersC+0x01AD	class_field_pointee	12	4		0	anonymous geometry match only; no named semantic anchor
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_01B1	AnonPointee_STAllPlayersC_01B1	STAllPlayersC+0x01B1	class_field_pointee	12	4		0	anonymous geometry match only; no named semantic anchor
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_01B5	AnonPointee_STAllPlayersC_01B5	STAllPlayersC+0x01B5	class_field_pointee	12	4		0	anonymous geometry match only; no named semantic anchor
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAllPlayersC_01B9	AnonPointee_STAllPlayersC_01B9	STAllPlayersC+0x01B9	class_field_pointee	12	4		0	anonymous geometry match only; no named semantic anchor
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STAppC_115A	AnonPointee_STAppC_115A	STAppC+0x115A	class_field_pointee	8	2		0	the unique named geometry is not a semantic anchor; layout equality alone cannot identify a type
/SubmarineTitans/Recovered/ClassPointees/AnonPointee_STBHEShellC_00F3	AnonPointee_STBHEShellC_00F3	STBHEShellC+0x00F3	class_field_pointee	256	7		0	no independently proven named layout has complete compatible geometry
