start	end	length	classification	base_kind	non_padding_bytes	inbound_call_refs	raw_pointer_refs	create_apply	rejection_reason
00401000	00401000	1	orphan_code	orphan_instruction	0	0	0	0	isolated instruction lacks agreeing inbound control-flow and function-boundary evidence
00401001	00401009	9	unknown_nonpadding	raw	4	0	0	0	non-padding bytes lack a complete referenced entry, prologue/epilogue, SEH, or closed stub proof
00401050	00401054	5	unknown_nonpadding	raw	4	0	0	0	non-padding bytes lack a complete referenced entry, prologue/epilogue, SEH, or closed stub proof
004010A5	004010A9	5	unknown_nonpadding	raw	4	0	0	0	non-padding bytes lack a complete referenced entry, prologue/epilogue, SEH, or closed stub proof
004010D2	004010D6	5	unknown_nonpadding	raw	4	0	0	0	non-padding bytes lack a complete referenced entry, prologue/epilogue, SEH, or closed stub proof
0040114A	0040114E	5	unknown_nonpadding	raw	4	0	0	0	non-padding bytes lack a complete referenced entry, prologue/epilogue, SEH, or closed stub proof
0040118B	0040118F	5	unknown_nonpadding	raw	4	0	0	0	non-padding bytes lack a complete referenced entry, prologue/epilogue, SEH, or closed stub proof
004011A9	004011AD	5	unknown_nonpadding	raw	4	0	0	0	non-padding bytes lack a complete referenced entry, prologue/epilogue, SEH, or closed stub proof
004011D6	004011DA	5	unknown_nonpadding	raw	4	0	0	0	non-padding bytes lack a complete referenced entry, prologue/epilogue, SEH, or closed stub proof
004011E0	004011E9	10	unknown_nonpadding	raw	8	0	0	0	non-padding bytes lack a complete referenced entry, prologue/epilogue, SEH, or closed stub proof
00401203	00401207	5	unknown_nonpadding	raw	4	0	0	0	non-padding bytes lack a complete referenced entry, prologue/epilogue, SEH, or closed stub proof
00401262	00401266	5	unknown_nonpadding	raw	4	0	0	0	non-padding bytes lack a complete referenced entry, prologue/epilogue, SEH, or closed stub proof
00401271	0040127A	10	unknown_nonpadding	raw	8	0	0	0	non-padding bytes lack a complete referenced entry, prologue/epilogue, SEH, or closed stub proof
00401299	0040129D	5	unknown_nonpadding	raw	4	0	0	0	non-padding bytes lack a complete referenced entry, prologue/epilogue, SEH, or closed stub proof
004012DA	004012DE	5	unknown_nonpadding	raw	4	0	0	0	non-padding bytes lack a complete referenced entry, prologue/epilogue, SEH, or closed stub proof
00401357	0040135B	5	unknown_nonpadding	raw	4	0	0	0	non-padding bytes lack a complete referenced entry, prologue/epilogue, SEH, or closed stub proof
0040139D	004013A1	5	unknown_nonpadding	raw	4	0	0	0	non-padding bytes lack a complete referenced entry, prologue/epilogue, SEH, or closed stub proof
004013E3	004013E7	5	unknown_nonpadding	raw	4	0	0	0	non-padding bytes lack a complete referenced entry, prologue/epilogue, SEH, or closed stub proof
0040140B	0040140F	5	unknown_nonpadding	raw	4	0	0	0	non-padding bytes lack a complete referenced entry, prologue/epilogue, SEH, or closed stub proof
0040145B	0040145F	5	unknown_nonpadding	raw	4	0	0	0	non-padding bytes lack a complete referenced entry, prologue/epilogue, SEH, or closed stub proof
00401488	0040148C	5	unknown_nonpadding	raw	4	0	0	0	non-padding bytes lack a complete referenced entry, prologue/epilogue, SEH, or closed stub proof
00401497	0040149B	5	unknown_nonpadding	raw	4	0	0	0	non-padding bytes lack a complete referenced entry, prologue/epilogue, SEH, or closed stub proof
004014A6	004014AA	5	unknown_nonpadding	raw	4	0	0	0	non-padding bytes lack a complete referenced entry, prologue/epilogue, SEH, or closed stub proof
00401514	00401518	5	unknown_nonpadding	raw	4	0	0	0	non-padding bytes lack a complete referenced entry, prologue/epilogue, SEH, or closed stub proof
00401550	00401554	5	unknown_nonpadding	raw	4	0	0	0	non-padding bytes lack a complete referenced entry, prologue/epilogue, SEH, or closed stub proof
0040155F	00401563	5	unknown_nonpadding	raw	4	0	0	0	non-padding bytes lack a complete referenced entry, prologue/epilogue, SEH, or closed stub proof
00401591	00401595	5	unknown_nonpadding	raw	4	0	0	0	non-padding bytes lack a complete referenced entry, prologue/epilogue, SEH, or closed stub proof
0040159B	0040159F	5	unknown_nonpadding	raw	4	0	0	0	non-padding bytes lack a complete referenced entry, prologue/epilogue, SEH, or closed stub proof
00401613	00401617	5	unknown_nonpadding	raw	4	0	0	0	non-padding bytes lack a complete referenced entry, prologue/epilogue, SEH, or closed stub proof
00401631	00401635	5	unknown_nonpadding	raw	4	0	0	0	non-padding bytes lack a complete referenced entry, prologue/epilogue, SEH, or closed stub proof
00401654	0040165D	10	unknown_nonpadding	raw	8	0	0	0	non-padding bytes lack a complete referenced entry, prologue/epilogue, SEH, or closed stub proof
004016DB	004016DF	5	unknown_nonpadding	raw	3	0	0	0	non-padding bytes lack a complete referenced entry, prologue/epilogue, SEH, or closed stub proof
004016F9	004016FD	5	unknown_nonpadding	raw	4	0	0	0	non-padding bytes lack a complete referenced entry, prologue/epilogue, SEH, or closed stub proof
00401762	00401766	5	unknown_nonpadding	raw	4	0	0	0	non-padding bytes lack a complete referenced entry, prologue/epilogue, SEH, or closed stub proof
004017C1	004017C5	5	unknown_nonpadding	raw	4	0	0	0	non-padding bytes lack a complete referenced entry, prologue/epilogue, SEH, or closed stub proof
00401816	0040181A	5	unknown_nonpadding	raw	4	0	0	0	non-padding bytes lack a complete referenced entry, prologue/epilogue, SEH, or closed stub proof
00401820	00401824	5	unknown_nonpadding	raw	4	0	0	0	non-padding bytes lack a complete referenced entry, prologue/epilogue, SEH, or closed stub proof
0040182A	00401833	10	unknown_nonpadding	raw	8	0	0	0	non-padding bytes lack a complete referenced entry, prologue/epilogue, SEH, or closed stub proof
0040183E	00401842	5	unknown_nonpadding	raw	4	0	0	0	non-padding bytes lack a complete referenced entry, prologue/epilogue, SEH, or closed stub proof
0040187F	00401883	5	unknown_nonpadding	raw	4	0	0	0	non-padding bytes lack a complete referenced entry, prologue/epilogue, SEH, or closed stub proof
00401901	00401905	5	unknown_nonpadding	raw	4	0	0	0	non-padding bytes lack a complete referenced entry, prologue/epilogue, SEH, or closed stub proof
00401910	00401914	5	unknown_nonpadding	raw	4	0	0	0	non-padding bytes lack a complete referenced entry, prologue/epilogue, SEH, or closed stub proof
00401983	00401987	5	unknown_nonpadding	raw	4	0	0	0	non-padding bytes lack a complete referenced entry, prologue/epilogue, SEH, or closed stub proof
004019C9	004019CD	5	unknown_nonpadding	raw	4	0	0	0	non-padding bytes lack a complete referenced entry, prologue/epilogue, SEH, or closed stub proof
004019E2	004019E6	5	unknown_nonpadding	raw	4	0	0	0	non-padding bytes lack a complete referenced entry, prologue/epilogue, SEH, or closed stub proof
00401ADC	00401AE0	5	unknown_nonpadding	raw	4	0	0	0	non-padding bytes lack a complete referenced entry, prologue/epilogue, SEH, or closed stub proof
00401B22	00401B26	5	unknown_nonpadding	raw	4	0	0	0	non-padding bytes lack a complete referenced entry, prologue/epilogue, SEH, or closed stub proof
