apply	source_type	target_type	length	concrete_fields	defined_components	distinct_function_targets	global_reference_functions	global_pointer_roots	containing_pointer_fields	status	evidence
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0040D540_1BB7A4CF		48	1	1	4	0		0	insufficient_structural_shape	fewer than two exact offset/width components do not establish a useful record view
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0040F220_06315B9F		20	2	2	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0040F220_61B59860		20	2	2	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0041AF40_EF4C5356		12	0	2	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0041AF40_F59F8577		24	2	2	0	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_004210E0_306A4C8B		945	4	67	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00422210_9D5BEAD8		636	1	18	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00424360_8159BFF1		56	2	8	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00428E50_DFCBD4F2		64	2	4	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00439100_AC816B12		16	1	3	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00440AA0_D2D43F84		45	2	2	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00443F30_5DF553AC		2109	1	1	1	0		0	insufficient_structural_shape	fewer than two exact offset/width components do not establish a useful record view
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00443F30_9F0248D4		12	1	2	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00444E70_523E22DE		116	2	4	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00444E70_8EFB8E54		16	1	2	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
0	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00444E70_E59ECBC3		2680	2	9	1	0		0	function_local_or_unreferenced	exact managed pointee reaches fewer than two distinct function boundaries and has no unique global root referenced by two functions
