function_address	semantic_id	status	detail
00415ED0	boolean_return_domain	disabled	apply=0
0041C710	boolean_return_domain	disabled	apply=0
0041CDA0	boolean_return_domain	disabled	apply=0
004838E0	boolean_return_domain	disabled	apply=0
00483E30	boolean_return_domain	disabled	apply=0
00490570	boolean_return_domain	disabled	apply=0
004926C0	boolean_return_domain	disabled	apply=0
00492B20	boolean_return_domain	disabled	apply=0
00493CD0	boolean_return_domain	disabled	apply=0
004B1690	boolean_return_domain	disabled	apply=0
004B31C0	boolean_return_domain	disabled	apply=0
004B9D90	boolean_return_domain	disabled	apply=0
004C34A0	boolean_return_domain	disabled	apply=0
004C56B0	boolean_return_domain	disabled	apply=0
004DE7D0	boolean_return_domain	disabled	apply=0
004E2C30	boolean_return_domain	disabled	apply=0
004E91E0	boolean_return_domain	disabled	apply=0
004EA620	boolean_return_domain	disabled	apply=0
00555880	boolean_return_domain	disabled	apply=0
0055AD00	boolean_return_domain	disabled	apply=0
0055B1C0	boolean_return_domain	disabled	apply=0
0056F930	boolean_return_domain	disabled	apply=0
0057D420	boolean_return_domain	disabled	apply=0
00584060	boolean_return_domain	disabled	apply=0
0058B190	boolean_return_domain	disabled	apply=0
0058F030	boolean_return_domain	disabled	apply=0
005DDB40	boolean_return_domain	disabled	apply=0
005EFAE0	boolean_return_domain	disabled	apply=0
005F07A0	boolean_return_domain	disabled	apply=0
005F0BA0	boolean_return_domain	disabled	apply=0
005F1D80	boolean_return_domain	disabled	apply=0
005F4C50	boolean_return_domain	disabled	apply=0
00600750	boolean_return_domain	disabled	apply=0
0060CEF0	boolean_return_domain	disabled	apply=0
0060D940	boolean_return_domain	disabled	apply=0
00615AD0	boolean_return_domain	disabled	apply=0
006193E0	boolean_return_domain	disabled	apply=0
0062CAC0	boolean_return_domain	disabled	apply=0
00630AC0	boolean_return_domain	disabled	apply=0
00631190	boolean_return_domain	disabled	apply=0
00651770	boolean_return_domain	disabled	apply=0
0065EF70	boolean_return_domain	disabled	apply=0
0065F5C0	boolean_return_domain	disabled	apply=0
00697AF0	boolean_return_domain	disabled	apply=0
006A0150	boolean_return_domain	disabled	apply=0
006A24E0	boolean_return_domain	disabled	apply=0
006B6530	boolean_return_domain	disabled	apply=0
006B9AA0	boolean_return_domain	disabled	apply=0
006BC440	boolean_return_domain	disabled	apply=0
006D0680	boolean_return_domain	disabled	apply=0
0074B99C	boolean_return_domain	disabled	apply=0
00756800	boolean_return_domain	disabled	apply=0
00757CD0	boolean_return_domain	disabled	apply=0
00757D90	boolean_return_domain	disabled	apply=0
00757EF0	boolean_return_domain	disabled	apply=0
00758010	boolean_return_domain	disabled	apply=0
00758100	boolean_return_domain	disabled	apply=0
00759120	boolean_return_domain	disabled	apply=0
0075B720	boolean_return_domain	disabled	apply=0
0075BA30	boolean_return_domain	disabled	apply=0
0075BE40	boolean_return_domain	disabled	apply=0
0075C180	boolean_return_domain	disabled	apply=0
0075C3B0	boolean_return_domain	disabled	apply=0
0075C440	boolean_return_domain	disabled	apply=0
0075C680	boolean_return_domain	disabled	apply=0
0075C790	boolean_return_domain	disabled	apply=0
