source_apply	name_apply	address	old_name	source_file	diagnostic_lines	source_confidence	source_reason	proposed_name	name_confidence	name_reason	free_name_candidates
1	0	0040AE40	FUN_0040ae40	E:\\__titans\\wlad\\Grpway3d.cpp	275	high	unique_embedded_source_path		none	no_strict_free_function_string	
1	0	0040BC90	FUN_0040bc90	E:\\__titans\\wlad\\Grpway3d.cpp	371	high	unique_embedded_source_path		none	no_strict_free_function_string	
1	0	0040C080	FUN_0040c080	E:\\__titans\\wlad\\Grpway3d.cpp	563	high	unique_embedded_source_path		none	no_strict_free_function_string	
1	0	0040E0F0	FUN_0040e0f0	E:\\__titans\\wlad\\Grpway3d.cpp	2357	high	unique_embedded_source_path		none	no_strict_free_function_string	
1	0	0040FC40	FUN_0040fc40	E:\\__titans\\wlad\\Grpway3d.cpp	2635	high	unique_embedded_source_path		none	no_strict_free_function_string	
1	0	00410DC0	FUN_00410dc0	E:\\__titans\\wlad\\Grpway3d.cpp	2726	high	unique_embedded_source_path		none	no_strict_free_function_string	
1	0	00411260	FUN_00411260	E:\\__titans\\wlad\\Grpway3d.cpp	2926	high	unique_embedded_source_path		none	no_strict_free_function_string	
1	0	00411E50	FUN_00411e50	E:\\__titans\\wlad\\Grpway3d.cpp	3130	high	unique_embedded_source_path		none	no_strict_free_function_string	
1	0	00412960	FUN_00412960	E:\\__titans\\wlad\\Grpway3d.cpp	3194	high	unique_embedded_source_path		none	no_strict_free_function_string	
1	0	00413050	FUN_00413050	E:\\__titans\\wlad\\Grpway3d.cpp	3241	high	unique_embedded_source_path		none	no_strict_free_function_string	
1	0	00414980	FUN_00414980	E:\\__titans\\wlad\\Grpway3d.cpp	1373 | 1374 | 1382 | 1383	high	unique_embedded_source_path		none	no_strict_free_function_string	
0	0	00415160	STGroupBoatC::Way3DGrpDistribTgt	E:\\__titans\\wlad\\Grpway3d.cpp	3686 | 3693	high	source_already_present_in_function_comment		none	no_strict_free_function_string	
0	0	00415590	STGroupBoatC::Way3DGrpGetDistrPoint	E:\\__titans\\wlad\\Grpway3d.cpp	3758 | 3768	high	source_already_present_in_function_comment		none	no_strict_free_function_string	
0	0	004189D0	STGameObjC::MoveStep	E:\\__titans\\wlad\\Tc_gobj.cpp	831	high	source_already_present_in_function_comment		none	no_strict_free_function_string	
