apply	kind	function_address	expected_function	expected_signature	stack_offset	length	proposed_name	expected_overlaps	site	reason	evidence
0	dynamic_alloca	0040C080	FUN_0040c080	undefined4 * __thiscall FUN_0040c080(uint param_1, DArrayTy * param_2)	0	0	dynamic_stack_0040C118		0040C118	runtime_extent_review	call target has the machine-verified MSVC alloca_probe p-code fixup; the resulting ESP-rooted object has runtime extent and cannot be a fixed Listing local
0	dynamic_alloca	0040E0F0	FUN_0040e0f0	int __stdcall FUN_0040e0f0(int param_1, int param_2, int param_3, int param_4, int param_5)	0	0	dynamic_stack_0040E2CD		0040E2CD	runtime_extent_review	call target has the machine-verified MSVC alloca_probe p-code fixup; the resulting ESP-rooted object has runtime extent and cannot be a fixed Listing local
0	dynamic_alloca	0040EB90	FUN_0040eb90	undefined4 __stdcall FUN_0040eb90(void)	0	0	dynamic_stack_0040EBCC		0040EBCC	runtime_extent_review	call target has the machine-verified MSVC alloca_probe p-code fixup; the resulting ESP-rooted object has runtime extent and cannot be a fixed Listing local
0	dynamic_alloca	0040F4D0	FUN_0040f4d0	void __stdcall FUN_0040f4d0(byte * param_1, uint param_2, int param_3, int param_4)	0	0	dynamic_stack_0040F505		0040F505	runtime_extent_review	call target has the machine-verified MSVC alloca_probe p-code fixup; the resulting ESP-rooted object has runtime extent and cannot be a fixed Listing local
0	dynamic_alloca	0040FC40	FUN_0040fc40	int __stdcall FUN_0040fc40(int param_1, int param_2, int param_3, int param_4, int param_5, int param_6)	0	0	dynamic_stack_0040FEAD		0040FEAD	runtime_extent_review	call target has the machine-verified MSVC alloca_probe p-code fixup; the resulting ESP-rooted object has runtime extent and cannot be a fixed Listing local
0	dynamic_alloca	00411260	FUN_00411260	int __stdcall FUN_00411260(int param_1, int param_2, int param_3, int param_4, int param_5, uint param_6)	0	0	dynamic_stack_0041142F		0041142F	runtime_extent_review	call target has the machine-verified MSVC alloca_probe p-code fixup; the resulting ESP-rooted object has runtime extent and cannot be a fixed Listing local
0	dynamic_alloca	00411E50	FUN_00411e50	int __stdcall FUN_00411e50(int param_1, int param_2, int param_3, int param_4, int param_5, uint param_6, int param_7)	0	0	dynamic_stack_0041204E		0041204E	runtime_extent_review	call target has the machine-verified MSVC alloca_probe p-code fixup; the resulting ESP-rooted object has runtime extent and cannot be a fixed Listing local
0	dynamic_alloca	00413AF0	FUN_00413af0	undefined __stdcall FUN_00413af0(void * param_1, DArrayTy * param_2, int param_3, int param_4, int param_5)	0	0	dynamic_stack_00413B82		00413B82	runtime_extent_review	call target has the machine-verified MSVC alloca_probe p-code fixup; the resulting ESP-rooted object has runtime extent and cannot be a fixed Listing local
0	dynamic_alloca	00413AF0	FUN_00413af0	undefined __stdcall FUN_00413af0(void * param_1, DArrayTy * param_2, int param_3, int param_4, int param_5)	0	0	dynamic_stack_00413BBC		00413BBC	runtime_extent_review	call target has the machine-verified MSVC alloca_probe p-code fixup; the resulting ESP-rooted object has runtime extent and cannot be a fixed Listing local
0	dynamic_alloca	00424E10	SubmarineTitans::Recovered::HiddenThis::AnonReceiver_004248D0::FUN_00424e10	int __thiscall FUN_00424e10(int param_1, float param_2, float param_3, float param_4, int param_5, int param_6, int * param_7)	0	0	dynamic_stack_0042542D		0042542D	runtime_extent_review	call target has the machine-verified MSVC alloca_probe p-code fixup; the resulting ESP-rooted object has runtime extent and cannot be a fixed Listing local
