apply	function_address	expected_function	expected_signature	target_address	expected_target	expected_target_signature	stack_offset	length	element_type	element_width	element_count	proposed_name	expected_overlaps	call_sites	consumer_sites	reason	evidence
0	0040D540	FUN_0040d540	int __stdcall FUN_0040d540(AnonShape_0040D540_1BB7A4CF * param_1, uint param_2)	0040CE20	FUN_0040ce20	int __stdcall FUN_0040ce20(AnonShape_0040D540_1BB7A4CF * param_1, RecoveredRecordView_0040CE20_65C5764C * param_2, int * param_3, int * param_4, int * param_5, uint * param_6)	-72	72	/uint	4	18	output_values_neg_48	Stack[-0x10]:4:local_10:/undefined4:DEFAULT: | Stack[-0x14]:4:local_14:/undefined4:DEFAULT: | Stack[-0x18]:4:local_18:/undefined4:DEFAULT: | Stack[-0x1c]:4:local_1c:/undefined4:DEFAULT: | Stack[-0x20]:4:local_20:/undefined4:DEFAULT: | Stack[-0x24]:4:local_24:/undefined4:DEFAULT: | Stack[-0x28]:4:local_28:/undefined4:DEFAULT: | Stack[-0x2c]:4:local_2c:/undefined4:DEFAULT: | Stack[-0x30]:4:local_30:/undefined4:DEFAULT: | Stack[-0x34]:4:local_34:/undefined4:DEFAULT: | Stack[-0x38]:4:local_38:/undefined4:DEFAULT: | Stack[-0x3c]:4:local_3c:/undefined4:DEFAULT: | Stack[-0x40]:4:local_40:/undefined4:DEFAULT: | Stack[-0x44]:4:local_44:/undefined4:DEFAULT: | Stack[-0x48]:4:local_48:/undefined4:DEFAULT: | Stack[-0x8]:4:local_8:/undefined4:DEFAULT: | Stack[-0xc]:4:local_c:/undefined4:DEFAULT:	0040DD1B@0040DD0C<-0040DD06		needs_two_exact_output_calls	last explicit scalar-pointer parameter; exact EBP-rooted argument; callee return is tested and drives a width-4 pointer walk;
0	0040D540	FUN_0040d540	int __stdcall FUN_0040d540(AnonShape_0040D540_1BB7A4CF * param_1, uint param_2)	0040CE20	FUN_0040ce20	int __stdcall FUN_0040ce20(AnonShape_0040D540_1BB7A4CF * param_1, RecoveredRecordView_0040CE20_65C5764C * param_2, int * param_3, int * param_4, int * param_5, uint * param_6)	-32	32	/uint	4	8	output_values_neg_20	Stack[-0x10]:4:local_10:/undefined4:DEFAULT: | Stack[-0x14]:4:local_14:/undefined4:DEFAULT: | Stack[-0x18]:4:local_18:/undefined4:DEFAULT: | Stack[-0x1c]:4:local_1c:/undefined4:DEFAULT: | Stack[-0x20]:4:local_20:/undefined4:DEFAULT: | Stack[-0x8]:4:local_8:/undefined4:DEFAULT: | Stack[-0xc]:4:local_c:/undefined4:DEFAULT:	0040DDCB@0040DDBC<-0040DDB6		needs_two_exact_output_calls	last explicit scalar-pointer parameter; exact EBP-rooted argument; callee return is tested and drives a width-4 pointer walk;
0	00416400	FUN_00416400	int __fastcall FUN_00416400(STJellyGunC * param_1)	00415ED0	STJellyGunC::sub_00415ED0	int __thiscall sub_00415ED0(undefined4 * param_1, int * param_2)	-44	4	/int	4	1	output_values_neg_2C	Stack[-0x2c]:1:local_2c:/undefined:DEFAULT:	00416460@0041645C<-00416456		needs_two_exact_output_calls	last explicit scalar-pointer parameter; exact EBP-rooted argument; callee return is tested and drives a width-4 pointer walk;
0	0041C710	FUN_0041c710	int __fastcall FUN_0041c710(RecoveredRecordView_0041C710_A35B7121 * param_1)	00558C00	VisibleClassTy::sub_00558C00	undefined4 __thiscall sub_00558C00(VisibleClassTy_sub_00558C00_param_1Enum param_1, int param_2, int param_3, int * param_4, int * param_5)	-12	12	/int	4	3	output_values_neg_C	Stack[-0x8]:4:local_8:/undefined4:DEFAULT: | Stack[-0xc]:4:local_c:/undefined4:DEFAULT:	0041C76E@0041C75D<-0041C757		needs_two_exact_output_calls	last explicit scalar-pointer parameter; exact EBP-rooted argument; callee return is tested and drives a width-4 pointer walk;
0	0041C710	FUN_0041c710	int __fastcall FUN_0041c710(RecoveredRecordView_0041C710_A35B7121 * param_1)	00558C00	VisibleClassTy::sub_00558C00	undefined4 __thiscall sub_00558C00(VisibleClassTy_sub_00558C00_param_1Enum param_1, int param_2, int param_3, int * param_4, int * param_5)	-8	8	/int	4	2	output_values_neg_8	Stack[-0x8]:4:local_8:/undefined4:DEFAULT:	0041C815@0041C804<-0041C7FE|0041C8A2@0041C890<-0041C88A|0041C92F@0041C91D<-0041C917|0041C9BD@0041C9AA<-0041C9A4		needs_two_count_driven_consumers	last explicit scalar-pointer parameter; exact EBP-rooted argument; callee return is tested and drives a width-4 pointer walk;
0	00428E50	FUN_00428e50	undefined __cdecl FUN_00428e50(RecoveredRecord_00428E50_9DEE1150 * param_1)	00428B20	FUN_00428b20	int __cdecl FUN_00428b20(int * param_1, uint param_2, uint param_3, uint * param_4)	-264	16	/uint	4	4	output_values_neg_108	Stack[-0x108]:1:local_108:/undefined:DEFAULT:	0042936B@00429364<-00429350		needs_two_exact_output_calls	last explicit scalar-pointer parameter; exact EBP-rooted argument; callee return is tested and drives a width-4 pointer walk;
0	0042ABE0	STAllPlayersC::GetGObjFromZone2	void __thiscall GetGObjFromZone2(char param_1, int param_2, int param_3, int param_4, int param_5, int * param_6, int * param_7, int * param_8, int * param_9, int * param_10, int * param_11, int * param_12, int * param_13, int * param_14, int * param_15, int * param_16, int * param_17)	006EAD90	Library::Ourlib::ST3DSPR::FUN_006ead90	int __thiscall FUN_006ead90(int param_1, int param_2, int param_3, int param_4, undefined4 * param_5, int * param_6)	-8	8	/int	4	2	output_values_neg_8	Stack[-0x8]:4:local_8:/undefined4:DEFAULT:	0042ADF4@0042ADDF<-0042ADD9		needs_two_exact_output_calls	last explicit scalar-pointer parameter; exact EBP-rooted argument; callee return is tested and drives a width-4 pointer walk;
0	00436F20	STAllPlayersC::CmdToPlsObj	void __thiscall CmdToPlsObj(void * command)	004E9960	FUN_004e9960	undefined4 __thiscall FUN_004e9960(undefined4 * param_1, undefined4 * param_2, undefined4 * param_3)	-78	0	/undefined4	4	0	output_values_neg_4E		00438455@0043844D<-00438447		needs_two_exact_output_calls	last explicit scalar-pointer parameter; exact EBP-rooted argument; callee return is tested and drives a width-4 pointer walk;
0	00436F20	STAllPlayersC::CmdToPlsObj	void __thiscall CmdToPlsObj(void * command)	006E62D0	STPlaySystemC::sub_006E62D0	int __thiscall sub_006E62D0(RecoveredRecordView_005EFAE0_855D930D * param_1, int * param_2)	-64	12	/int	4	3	output_values_neg_40	Stack[-0x38]:4:local_38:/undefined4:DEFAULT: | Stack[-0x3c]:4:local_3c:/undefined4:DEFAULT: | Stack[-0x40]:4:local_40:/undefined4:DEFAULT:	00437BA3@00437B99<-00437B8E		needs_two_exact_output_calls	last explicit scalar-pointer parameter; exact EBP-rooted argument; callee return is tested and drives a width-4 pointer walk;
0	00436F20	STAllPlayersC::CmdToPlsObj	void __thiscall CmdToPlsObj(void * command)	0042B7D0	STAllPlayersC::AddObjsToGroup	undefined4 __thiscall AddObjsToGroup(char param_1, ushort param_2, DArrayTy * groupContent, undefined2 * param_4)	-28	16	/undefined2	2	8	output_values_neg_1C	Stack[-0x16]:2:local_16:/undefined2:DEFAULT: | Stack[-0x17]:1:local_17:/undefined1:DEFAULT: | Stack[-0x18]:1:local_18:/undefined1:DEFAULT: | Stack[-0x1c]:4:local_1c:/undefined4:DEFAULT:	00437512@00437507<-00437504|0043756E@00437563<-00437560		needs_two_count_driven_consumers	last explicit scalar-pointer parameter; exact EBP-rooted argument; callee return is tested and drives a width-2 pointer walk;
