thunk_address	status	proposed_qualified_name	details
0040100A	disabled	STAllPlayersC::DistributeGuardBoats	apply=0
0040100F	disabled	MTaskTy::NoneMTask	apply=0
00401014	disabled	FUN_00682370	apply=0
00401019	disabled	CPanelTy::Update2PanelWB	apply=0
0040101E	disabled	FUN_004df8f0	apply=0
00401023	disabled	FUN_0043e640	apply=0
00401028	disabled	STAllPlayersC::DeleteGuardBoat	apply=0
0040102D	disabled	FUN_00680710	apply=0
00401032	disabled	FSGSTy::OutLadProc	apply=0
00401037	disabled	STMBombC::GetMessage	apply=0
0040103C	disabled	FUN_00590130	apply=0
00401041	disabled	FUN_0067bd50	apply=0
00401046	disabled	STLightC::sub_0061D6D0	apply=0
0040104B	disabled	FUN_005797b0	apply=0
00401055	disabled	CursorClassTy::sub_00544940	apply=0
0040105A	disabled	FUN_00627850	apply=0
0040105F	disabled	InterSystemC::DoneSystem	apply=0
00401064	disabled	STT3DSprC::SetCurFase	apply=0
00401069	disabled	FUN_00683280	apply=0
0040106E	disabled	FUN_00652300	apply=0
00401073	disabled	FUN_00621780	apply=0
00401078	disabled	STPlaySystemC::SaveObjData	apply=0
0040107D	disabled	FUN_004e8dc0	apply=0
00401082	disabled	TLOBaseTy::SetActivity	apply=0
00401087	disabled	TLOBaseTy::sub_004C56B0	apply=0
0040108C	disabled	FUN_006270e0	apply=0
00401091	disabled	STSprGameObjC::FUN_005f0220	apply=0
00401096	disabled	FUN_005eff00	apply=0
0040109B	disabled	FUN_005803e0	apply=0
004010A0	disabled	TLOBaseTy::fireProc	apply=0
004010AA	disabled	TLOBaseTy::SetState	apply=0
004010AF	disabled	FUN_00682050	apply=0
004010B4	disabled	FUN_0067f1d0	apply=0
004010B9	disabled	CursorClassTy::InitCursor	apply=0
004010BE	disabled	STGroupBoatC::GrpAttack	apply=0
004010C3	disabled	FUN_0058cfe0	apply=0
004010C8	disabled	FUN_004d83d0	apply=0
004010CD	disabled	FUN_00496f00	apply=0
004010D7	disabled	LandInit	apply=0
004010DC	disabled	FUN_006799b0	apply=0
004010E1	disabled	AiTactClassTy::GetAiMess	apply=0
004010E6	disabled	FUN_0056a2a0	apply=0
004010EB	disabled	FUN_00637c50	apply=0
004010F0	disabled	FUN_0044cdb0	apply=0
004010F5	disabled	STFieldC::sub_00609CD0	apply=0
004010FA	disabled	FUN_00697cf0	apply=0
004010FF	disabled	STAllPlayersC::GetScrObjList	apply=0
00401104	disabled	FUN_006a3c10	apply=0
00401109	disabled	FUN_00619540	apply=0
0040110E	disabled	WaitTy::CloseButtons	apply=0
00401113	disabled	STBoatC::BackBuild	apply=0
00401118	disabled	STExplosion::sub_00604970	apply=0
0040111D	disabled	FUN_004a8890	apply=0
00401122	disabled	FUN_004dbb60	apply=0
00401127	disabled	TraksClassTy::DrawTrakSprite	apply=0
0040112C	disabled	FUN_006a3c50	apply=0
00401131	disabled	FUN_006938c0	apply=0
00401136	disabled	CreateAiFlt	apply=0
0040113B	disabled	FUN_006a00b0	apply=0
00401140	disabled	FUN_0060aa00	apply=0
00401145	disabled	MTestTy::DoneMTest	apply=0
0040114F	disabled	FUN_0055d630	apply=0
00401154	disabled	FUN_004e3880	apply=0
00401159	disabled	SubmarineTitans::Recovered::HiddenThis::AnonReceiver_00644410::sub_00645F10	apply=0
