apply	name_apply	signature_apply	thunk_address	expected_qualified_name	expected_name_source	expected_signature	expected_signature_source	target_address	target_qualified_name	target_name_source	target_signature	proposed_qualified_name	reason
0	0	0	0040100A	STAllPlayersC::DistributeGuardBoats	DEFAULT	undefined __thiscall DistributeGuardBoats(STAllPlayersC * this, char param_1)	ANALYSIS	00446F80	STAllPlayersC::DistributeGuardBoats	USER_DEFINED	undefined __thiscall DistributeGuardBoats(STAllPlayersC * this, char param_1)	STAllPlayersC::DistributeGuardBoats	transparent=1; semantic_target=1; already_forwarded=1; redundant_manual_suffix=0; generated_stale=0; abi_equivalent=1; signature_apply=0
0	0	0	0040100F	MTaskTy::NoneMTask	DEFAULT	undefined __thiscall NoneMTask(MTaskTy * this)	USER_DEFINED	005E0AC0	MTaskTy::NoneMTask	USER_DEFINED	undefined __thiscall NoneMTask(MTaskTy * this)	MTaskTy::NoneMTask	transparent=1; semantic_target=1; already_forwarded=1; redundant_manual_suffix=0; generated_stale=0; abi_equivalent=1; signature_apply=0
0	0	0	00401014	thunk_FUN_00682370	DEFAULT	void __cdecl thunk_FUN_00682370(undefined4 * param_1)	ANALYSIS	00682370	FUN_00682370	DEFAULT	void __cdecl FUN_00682370(undefined4 * param_1)	FUN_00682370	transparent=1; semantic_target=0; already_forwarded=0; redundant_manual_suffix=0; generated_stale=1; abi_equivalent=1; signature_apply=0
0	0	0	00401019	CPanelTy::Update2PanelWB	DEFAULT	undefined __thiscall Update2PanelWB(CPanelTy * this)	USER_DEFINED	00501FF0	CPanelTy::Update2PanelWB	USER_DEFINED	undefined __thiscall Update2PanelWB(CPanelTy * this)	CPanelTy::Update2PanelWB	transparent=1; semantic_target=1; already_forwarded=1; redundant_manual_suffix=0; generated_stale=0; abi_equivalent=1; signature_apply=0
0	0	0	0040101E	thunk_FUN_004df8f0	DEFAULT	undefined4 __stdcall thunk_FUN_004df8f0(void)	ANALYSIS	004DF8F0	FUN_004df8f0	DEFAULT	undefined4 __stdcall FUN_004df8f0(void)	FUN_004df8f0	transparent=1; semantic_target=0; already_forwarded=0; redundant_manual_suffix=0; generated_stale=1; abi_equivalent=1; signature_apply=0
0	0	0	00401023	thunk_FUN_0043e640	DEFAULT	short __stdcall thunk_FUN_0043e640(char param_1, Global_sub_0043E640_param_2Enum param_2, int param_3, char param_4)	ANALYSIS	0043E640	FUN_0043e640	DEFAULT	short __stdcall FUN_0043e640(char param_1, Global_sub_0043E640_param_2Enum param_2, int param_3, char param_4)	FUN_0043e640	transparent=1; semantic_target=0; already_forwarded=0; redundant_manual_suffix=0; generated_stale=1; abi_equivalent=1; signature_apply=0
0	0	0	00401028	STAllPlayersC::DeleteGuardBoat	DEFAULT	undefined __thiscall DeleteGuardBoat(STAllPlayersC * this, char param_1, short param_2, int param_3)	ANALYSIS	00446520	STAllPlayersC::DeleteGuardBoat	USER_DEFINED	undefined __thiscall DeleteGuardBoat(STAllPlayersC * this, char param_1, short param_2, int param_3)	STAllPlayersC::DeleteGuardBoat	transparent=1; semantic_target=1; already_forwarded=1; redundant_manual_suffix=0; generated_stale=0; abi_equivalent=1; signature_apply=0
0	0	0	0040102D	thunk_FUN_00680710	DEFAULT	undefined4 * __cdecl thunk_FUN_00680710(byte * param_1, undefined4 param_2)	ANALYSIS	00680710	FUN_00680710	DEFAULT	undefined4 * __cdecl FUN_00680710(byte * param_1, undefined4 param_2)	FUN_00680710	transparent=1; semantic_target=0; already_forwarded=0; redundant_manual_suffix=0; generated_stale=1; abi_equivalent=1; signature_apply=0
0	0	0	00401032	FSGSTy::OutLadProc	DEFAULT	undefined __thiscall OutLadProc(FSGSTy * this, int param_1, MMMObjTy * param_2, MMMObjTy * param_3, int param_4, int param_5, FSGSTy * param_6, int param_7)	USER_DEFINED	005956C0	FSGSTy::OutLadProc	USER_DEFINED	undefined __thiscall OutLadProc(FSGSTy * this, int param_1, MMMObjTy * param_2, MMMObjTy * param_3, int param_4, int param_5, FSGSTy * param_6, int param_7)	FSGSTy::OutLadProc	transparent=1; semantic_target=1; already_forwarded=1; redundant_manual_suffix=0; generated_stale=0; abi_equivalent=1; signature_apply=0
0	0	0	00401037	STMBombC::GetMessage	DEFAULT	int __thiscall GetMessage(STMBombC * this, STMessage * message)	ANALYSIS	00588BC0	STMBombC::GetMessage	USER_DEFINED	int __thiscall GetMessage(STMBombC * this, STMessage * message)	STMBombC::GetMessage	transparent=0; semantic_target=1; already_forwarded=1; redundant_manual_suffix=0; generated_stale=0; abi_equivalent=1; signature_apply=0
0	0	0	0040103C	thunk_FUN_00590130	DEFAULT	undefined __thiscall thunk_FUN_00590130(void * this, undefined4 param_1)	ANALYSIS	00590130	FUN_00590130	DEFAULT	undefined __thiscall FUN_00590130(void * this, undefined4 param_1)	FUN_00590130	transparent=1; semantic_target=0; already_forwarded=0; redundant_manual_suffix=0; generated_stale=1; abi_equivalent=1; signature_apply=0
0	0	0	00401041	thunk_FUN_0067bd50	DEFAULT	int __cdecl thunk_FUN_0067bd50(DArrayTy * param_1)	ANALYSIS	0067BD50	FUN_0067bd50	DEFAULT	int __cdecl FUN_0067bd50(DArrayTy * param_1)	FUN_0067bd50	transparent=1; semantic_target=0; already_forwarded=0; redundant_manual_suffix=0; generated_stale=1; abi_equivalent=1; signature_apply=0
0	0	0	00401046	STLightC::sub_0061D6D0	DEFAULT	int __thiscall sub_0061D6D0(STLightC * this)	ANALYSIS	0061D6D0	STLightC::sub_0061D6D0	ANALYSIS	int __thiscall sub_0061D6D0(STLightC * this)	STLightC::sub_0061D6D0	transparent=1; semantic_target=0; already_forwarded=1; redundant_manual_suffix=0; generated_stale=0; abi_equivalent=1; signature_apply=0
0	0	0	0040104B	thunk_FUN_005797b0	DEFAULT	int __thiscall thunk_FUN_005797b0(void * this, short * param_1, short * param_2, undefined2 * param_3)	ANALYSIS	005797B0	FUN_005797b0	DEFAULT	int __thiscall FUN_005797b0(void * this, short * param_1, short * param_2, undefined2 * param_3)	FUN_005797b0	transparent=1; semantic_target=0; already_forwarded=0; redundant_manual_suffix=0; generated_stale=1; abi_equivalent=1; signature_apply=0
0	0	0	00401055	CursorClassTy::sub_00544940	DEFAULT	void __thiscall sub_00544940(CursorClassTy * this)	ANALYSIS	00544940	CursorClassTy::sub_00544940	ANALYSIS	void __thiscall sub_00544940(CursorClassTy * this)	CursorClassTy::sub_00544940	transparent=1; semantic_target=0; already_forwarded=1; redundant_manual_suffix=0; generated_stale=0; abi_equivalent=1; signature_apply=0
