apply	family_id	canonical_type	member_type	length	named_fields	evidence
0	EXACT_03A1F874B6DA	/SubmarineTitans/Recovered/PointerShapes/AnonNested_0052A430_0014_F40A3334	/SubmarineTitans/Recovered/PointerShapes/AnonNested_0052A430_0014_F40A3334	12	0	exact layout has semantic_anchor_count=0 among named structures=[/SoundPosition, /SubmarineTitans/Recovered/STPosition32]
0	EXACT_03A1F874B6DA	/SubmarineTitans/Recovered/PointerShapes/AnonNested_0052A430_0014_F40A3334	/SubmarineTitans/Recovered/PointerShapes/AnonNested_0075EB40_0080_454B432A	12	0	exact layout has semantic_anchor_count=0 among named structures=[/SoundPosition, /SubmarineTitans/Recovered/STPosition32]
0	EXACT_03A1F874B6DA	/SubmarineTitans/Recovered/PointerShapes/AnonNested_0052A430_0014_F40A3334	/SubmarineTitans/Recovered/PointerShapes/AnonNested_AnonShape_0075FE30_46CD87E7_01BA_82756618	12	0	exact layout has semantic_anchor_count=0 among named structures=[/SoundPosition, /SubmarineTitans/Recovered/STPosition32]
0	EXACT_071C1E69EAC6	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0065D6E0_0F9074F6	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0065D6E0_0F9074F6	128	0	anonymous geometry match only; no named semantic anchor
0	EXACT_071C1E69EAC6	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0065D6E0_0F9074F6	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0065D720_52DE2AAB	128	0	anonymous geometry match only; no named semantic anchor
0	EXACT_071C1E69EAC6	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0065D6E0_0F9074F6	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0065E360_B94C37CB	128	0	anonymous geometry match only; no named semantic anchor
0	EXACT_071C1E69EAC6	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0065D6E0_0F9074F6	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0065FA10_37C5A4D3	128	0	anonymous geometry match only; no named semantic anchor
0	EXACT_071C1E69EAC6	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0065D6E0_0F9074F6	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0065FD00_EB74ED0C	128	0	anonymous geometry match only; no named semantic anchor
0	EXACT_071C1E69EAC6	/SubmarineTitans/Recovered/PointerShapes/AnonShape_0065D6E0_0F9074F6	/SubmarineTitans/Recovered/PointerShapes/AnonShape_00660180_1CB7CB7C	128	0	anonymous geometry match only; no named semantic anchor
0	EXACT_0B749B36EF02	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ST3DSMAPContext_0446	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ST3DSMAPContext_0446	13	0	anonymous geometry match only; no named semantic anchor
0	EXACT_0B749B36EF02	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ST3DSMAPContext_0446	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ST3DSMAPContext_044A	13	0	anonymous geometry match only; no named semantic anchor
0	EXACT_0F99D88FE62E	/SubmarineTitans/Recovered/PointerShapes/AnonNested_004EE350_0018_78690378	/SubmarineTitans/Recovered/PointerShapes/AnonNested_004EE350_0018_78690378	8	0	anonymous geometry match only; no named semantic anchor
0	EXACT_0F99D88FE62E	/SubmarineTitans/Recovered/PointerShapes/AnonNested_004EE350_0018_78690378	/SubmarineTitans/Recovered/PointerShapes/AnonNested_005389E0_0018_A8EBF066	8	0	anonymous geometry match only; no named semantic anchor
0	EXACT_0F99D88FE62E	/SubmarineTitans/Recovered/PointerShapes/AnonNested_004EE350_0018_78690378	/SubmarineTitans/Recovered/PointerShapes/AnonNested_00538FC0_0018_DB9172F2	8	0	anonymous geometry match only; no named semantic anchor
0	EXACT_0F99D88FE62E	/SubmarineTitans/Recovered/PointerShapes/AnonNested_004EE350_0018_78690378	/SubmarineTitans/Recovered/PointerShapes/AnonNested_0053D7A0_0018_F6872402	8	0	anonymous geometry match only; no named semantic anchor
0	EXACT_0F99D88FE62E	/SubmarineTitans/Recovered/PointerShapes/AnonNested_004EE350_0018_78690378	/SubmarineTitans/Recovered/PointerShapes/AnonNested_0053DCC0_0018_16DF3813	8	0	anonymous geometry match only; no named semantic anchor
0	EXACT_125F543C400E	/SubmarineTitans/Recovered/HiddenThis/AnonReceiver_004EEFB0VTable	/SubmarineTitans/Recovered/HiddenThis/AnonReceiver_004EEFB0VTable	44	11	anonymous geometry match only; no named semantic anchor
