apply	function_address	expected_function	target_kind	target_ordinal	expected_name	expected_storage	expected_type	expected_source	proposed_type	allow_manual_override	family_id	confidence	evidence
0	004028BA	STAllPlayersC::GetObjPtr	return	-1	<RETURN>	EAX:4	pointer:/STGameObjC	ANALYSIS	pointer:/STGameObjC	1	STGAMEOBJ_BASE_FAMILY	high	high-fanout STAllPlayersC::GetObjPtr family has 371 direct/thunk-mediated callers and returns the semantic STGameObjC polymorphic base
1	00403229	DibPut	parameter	0	param_1	Stack[0x4]:4	pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_006B5B10_E0D06CF1	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredSourceFamily_dibcopy	0	SOURCE_FUNCTION_FAMILY	high	one script-owned pointer shape is anchored by one library source basename, multiple semantic function names, and exact first-argument call flow
1	00404C0F	ChooseMapTy::sub_005B5BE0	parameter	1	param_1	Stack[0x4]:4	pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_006B5B10_E0D06CF1	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredSourceFamily_dibcopy	0	SOURCE_FUNCTION_FAMILY	high	one script-owned pointer shape is anchored by one library source basename, multiple semantic function names, and exact first-argument call flow
1	00405155	SettMapMTy::sub_005B5F00	parameter	1	param_1	Stack[0x4]:4	pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_006B5B10_E0D06CF1	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredSourceFamily_dibcopy	0	SOURCE_FUNCTION_FAMILY	high	one script-owned pointer shape is anchored by one library source basename, multiple semantic function names, and exact first-argument call flow
0	0042B620	STAllPlayersC::GetObjPtr	return	-1	<RETURN>	EAX:4	pointer:/STGameObjC	ANALYSIS	pointer:/STGameObjC	1	STGAMEOBJ_BASE_FAMILY	high	high-fanout STAllPlayersC::GetObjPtr family has 371 direct/thunk-mediated callers and returns the semantic STGameObjC polymorphic base
1	00540760	DibPut	parameter	0	param_1	Stack[0x4]:4	pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_006B5B10_E0D06CF1	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredSourceFamily_dibcopy	0	SOURCE_FUNCTION_FAMILY	high	one script-owned pointer shape is anchored by one library source basename, multiple semantic function names, and exact first-argument call flow
1	005B5BE0	ChooseMapTy::sub_005B5BE0	parameter	1	param_1	Stack[0x4]:4	pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_006B5B10_E0D06CF1	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredSourceFamily_dibcopy	0	SOURCE_FUNCTION_FAMILY	high	one script-owned pointer shape is anchored by one library source basename, multiple semantic function names, and exact first-argument call flow
1	005B5F00	SettMapMTy::sub_005B5F00	parameter	1	param_1	Stack[0x4]:4	pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_006B5B10_E0D06CF1	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredSourceFamily_dibcopy	0	SOURCE_FUNCTION_FAMILY	high	one script-owned pointer shape is anchored by one library source basename, multiple semantic function names, and exact first-argument call flow
1	006B4170	FUN_006b4170	parameter	0	param_1	Stack[0x4]:4	pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_006B5B10_E0D06CF1	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredSourceFamily_dibcopy	0	SOURCE_FUNCTION_FAMILY	high	one script-owned pointer shape is anchored by one library source basename, multiple semantic function names, and exact first-argument call flow
1	006B55F0	Library::DKW::WGR::FUN_006b55f0	parameter	0	param_1	Stack[0x4]:4	pointer:/SubmarineTitans/Recovered/PointerShapes/AnonShape_006B5B10_E0D06CF1	DEFAULT	pointer:/SubmarineTitans/Recovered/PointerShapes/RecoveredSourceFamily_dibcopy	0	SOURCE_FUNCTION_FAMILY	high	one script-owned pointer shape is anchored by one library source basename, multiple semantic function names, and exact first-argument call flow
